,0
0,0.0016566255963146
1,8.336602020632504e-05
2,2.778676537676939e-05
3,1.6071672003055323e-05
4,1.1633813606581777e-05
5,9.556883541134517e-06
6,8.475285090733685e-06
7,7.77230621999468e-06
8,7.3171140369885055e-06
9,7.051227963677033e-06
10,6.853986174040762e-06
11,6.6808946362295225e-06
12,6.543466070545394e-06
13,6.353352950649681e-06
14,6.194511179048152e-06
15,5.897111406789038e-06
16,5.557277504332503e-06
17,5.291115720544564e-06
18,5.01156173263014e-06
19,4.837261279241278e-06
20,4.5874269512944875e-06
21,4.399587391763964e-06
22,4.244704191899966e-06
23,4.1074813795217405e-06
24,3.993200461875505e-06
25,3.875819328324125e-06
26,3.7937150934371946e-06
27,3.6679777940664633e-06
28,3.564671321109835e-06
29,3.4848268175314846e-06
30,3.418948343821191e-06
31,3.346947479095673e-06
32,3.2522863269155722e-06
33,3.1852006956660086e-06
34,3.133658917642741e-06
35,3.1157801468613216e-06
36,3.0329763385306424e-06
37,2.94276308389034e-06
38,2.883050028467676e-06
39,2.878052513284752e-06
40,2.825029204907594e-06
41,2.784618269908315e-06
42,2.730136889063617e-06
43,2.6757440135579185e-06
44,2.617421557889311e-06
45,2.5851856690232814e-06
46,2.553761507369501e-06
47,2.5181728908243693e-06
48,2.42509008096089e-06
49,2.4775365275190546e-06
50,2.4193078360281125e-06
51,2.421979708048511e-06
52,2.3968517982380617e-06
53,2.3656353525830875e-06
54,2.347730871158408e-06
55,2.336728529076125e-06
56,2.3280352274133537e-06
57,2.245240091007065e-06
58,2.233675369308316e-06
59,2.1878391150628348e-06
60,2.2294611338932318e-06
61,2.1598738633663795e-06
62,2.1791078527882024e-06
63,2.090126276496656e-06
64,2.174626363739434e-06
65,2.110117619647594e-06
66,2.0614306328592044e-06
67,2.0696477873395504e-06
68,2.07804082311197e-06
69,2.0945864993008272e-06
70,2.2023424113887533e-06
71,2.1379651650171e-06
72,2.3089378607719695e-06
73,2.2835362641413703e-06
74,2.311732504808404e-06
75,2.4560369387955594e-06
76,2.47594700020864e-06
77,2.5057067607401572e-06
78,2.472681811348225e-06
79,2.5387798623981315e-06
80,2.650490192233241e-06
81,2.559115000846607e-06
82,2.545416777948292e-06
83,2.598583771844345e-06
84,2.5282118086235736e-06
85,2.647987176680766e-06
86,2.6310596592777743e-06
87,2.6694038600644264e-06
88,2.6990085271236702e-06
89,2.614045401294302e-06
90,2.6171352973671485e-06
91,2.627465173920625e-06
92,2.6337575863049918e-06
93,2.7274160405883144e-06
94,2.569098756068584e-06
95,2.643666214043183e-06
96,2.655797475168286e-06
97,2.6855570481381987e-06
98,2.6850672258215893e-06
99,2.659671730016723e-06
100,2.647359766043993e-06
101,2.714519635064701e-06
102,2.619942419487714e-06
103,2.6620666155549874e-06
104,2.65310498574911e-06
105,2.6680291489782476e-06
106,2.5497748931144918e-06
107,2.509558513415292e-06
108,2.5517403722286896e-06
109,2.420705425560498e-06
110,2.625002625002625e-06
111,2.5250840800392736e-06
112,2.520186695430397e-06
113,2.4768707024850998e-06
114,2.5296089079162268e-06
115,2.4785993600256453e-06
116,2.4351742694198888e-06
117,2.502862649154971e-06
118,2.2847951452672755e-06
119,2.3393218765061292e-06
120,2.37128832242763e-06
121,2.282583233684309e-06
122,1.977007403892728e-06
123,2.1585544035665726e-06
124,2.11843051661397e-06
125,2.169197396963124e-06
126,2.0944820869419515e-06
127,2.128935842352317e-06
128,2.053822471693192e-06
129,2.1224513974072215e-06
130,2.0721640928636395e-06
131,1.911384735559739e-06
132,1.7397834005897168e-06
133,2.0234805512481252e-06
134,1.8557075998649043e-06
135,1.7437111728380332e-06
136,1.7424274104740796e-06
137,1.7639925466619658e-06
138,1.6287873560681767e-06
139,1.7259957316275014e-06
140,1.1227628290412651e-06
141,2.0062514601653657e-06
142,9.272240395813398e-07
143,1.5702988242063122e-06
144,1.274871142399282e-06
145,1.3785424916464467e-06
146,1.4059368495345294e-06
147,5.076026182143047e-07
148,0.0
149,0.0
