,median_beta
0,0.0
1,2.6633536370571807e-06
2,3.166231540498018e-06
3,3.314759163503246e-06
4,5.162975418442003e-06
5,4.791737190218055e-06
6,4.345450805959819e-06
7,3.498334837824695e-06
8,3.4502743017304284e-06
9,3.320972864454232e-06
10,3.169742434373491e-06
11,2.559124499537782e-06
12,2.183839401665294e-06
13,1.6419595566612498e-06
14,1.2043294768572755e-06
15,9.509253794690348e-07
16,7.139031663817354e-07
17,5.448462106124664e-07
18,3.729406069050621e-07
19,2.934760882381821e-07
20,2.0528704914787615e-07
21,1.6400478474431988e-07
22,1.3510362554895094e-07
23,1.1132832049311632e-07
24,1.0644922399323626e-07
25,9.608991380322919e-08
26,9.783509105934166e-08
27,9.056429444791348e-08
28,9.634980626219965e-08
29,9.895125852225264e-08
30,9.458290351437878e-08
31,9.486670483481617e-08
32,1.0519217470967412e-07
33,1.0708347589042697e-07
34,1.0878378262640878e-07
35,1.1224738725498267e-07
36,1.2091428060671747e-07
37,1.248241444842386e-07
38,1.1081448712265105e-07
39,1.246104055669948e-07
40,1.3297335175385473e-07
41,1.243163487280286e-07
42,1.4570841500245726e-07
43,1.3347825868748588e-07
44,1.6715337550780154e-07
45,1.527733091584849e-07
46,1.65410580074228e-07
47,1.6129148437683603e-07
48,1.736963947394426e-07
49,1.74599779638599e-07
50,1.7586650758831767e-07
51,1.5825034928598196e-07
52,1.4459664085108528e-07
53,1.3651347541663375e-07
54,1.4873273816525365e-07
55,1.483428109916532e-07
56,1.6954152201691e-07
57,1.4842042254446637e-07
58,1.744780489166658e-07
59,1.925051566933839e-07
60,1.6736137256676649e-07
61,2.1264962804015107e-07
62,1.757079382650159e-07
63,1.5097625540125355e-07
64,2.157653475021861e-07
65,1.9195088514311665e-07
66,1.5417186703807633e-07
67,1.6045100014406602e-07
68,1.533777147088615e-07
69,1.8139639547225546e-07
70,1.248039752404829e-07
71,1.6471888416353118e-07
72,1.6843568343867042e-07
73,2.759956345376206e-07
74,1.2136848113156272e-07
75,1.740776767520216e-07
76,1.2981954699104832e-07
77,1.1332146403007947e-07
78,1.1016189744967277e-07
79,2.7826265044618025e-07
80,9.880476266612315e-08
81,2.7252263300467105e-07
82,7.728165374259638e-08
83,3.5337824303039264e-07
84,2.343125917423917e-07
85,2.4584731111878883e-07
86,1.7587498670128995e-07
87,6.52453374130186e-07
88,2.1542938524524972e-07
89,1.5196036418801274e-07
90,2.4831631734565416e-07
91,2.1398101757584682e-07
92,1.992541374215935e-07
93,7.030381353707979e-07
94,1.9070125807000853e-07
95,4.145311118836772e-07
96,2.6215061911060093e-07
97,0.0
98,4.231894263582688e-07
99,9.000468294365357e-08
100,4.5397573422903806e-07
101,0.0
102,8.463817181548878e-07
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
