file,seed,alpha,lambda
chelyabinsk_0.3_sampled\alpha_0.50_lmbd_0.2_seirb_seed_9.csv,9,0.5,0.2
chelyabinsk_0.3_sampled\alpha_0.15_lmbd_0.6_seirb_seed_4.csv,4,0.15,0.6
chelyabinsk_0.3_sampled\alpha_0.75_lmbd_0.7_seirb_seed_2.csv,2,0.75,0.7
chelyabinsk_0.3_sampled\alpha_0.20_lmbd_0.9_seirb_seed_2.csv,2,0.2,0.9
chelyabinsk_0.3_sampled\alpha_0.70_lmbd_0.2_seirb_seed_2.csv,2,0.7,0.2
chelyabinsk_0.3_sampled\alpha_0.75_lmbd_0.3_seirb_seed_0.csv,0,0.75,0.3
chelyabinsk_0.3_sampled\alpha_0.60_lmbd_0.4_seirb_seed_7.csv,7,0.6,0.4
chelyabinsk_0.3_sampled\alpha_0.80_lmbd_0.3_seirb_seed_4.csv,4,0.8,0.3
chelyabinsk_0.3_sampled\alpha_0.95_lmbd_1.0_seirb_seed_3.csv,3,0.95,1.0
chelyabinsk_0.3_sampled\alpha_0.60_lmbd_0.6_seirb_seed_0.csv,0,0.6,0.6
chelyabinsk_0.3_sampled\alpha_0.15_lmbd_0.2_seirb_seed_0.csv,0,0.15,0.2
chelyabinsk_0.3_sampled\alpha_0.80_lmbd_1.0_seirb_seed_3.csv,3,0.8,1.0
chelyabinsk_0.3_sampled\alpha_0.30_lmbd_0.2_seirb_seed_0.csv,0,0.3,0.2
chelyabinsk_0.3_sampled\alpha_0.60_lmbd_0.6_seirb_seed_6.csv,6,0.6,0.6
chelyabinsk_0.3_sampled\alpha_0.90_lmbd_0.8_seirb_seed_6.csv,6,0.9,0.8
chelyabinsk_0.3_sampled\alpha_0.90_lmbd_0.2_seirb_seed_3.csv,3,0.9,0.2
chelyabinsk_0.3_sampled\alpha_0.65_lmbd_1.0_seirb_seed_6.csv,6,0.65,1.0
chelyabinsk_0.3_sampled\alpha_0.50_lmbd_0.8_seirb_seed_7.csv,7,0.5,0.8
chelyabinsk_0.3_sampled\alpha_0.35_lmbd_0.7_seirb_seed_3.csv,3,0.35,0.7
chelyabinsk_0.3_sampled\alpha_0.75_lmbd_0.1_seirb_seed_9.csv,9,0.75,0.1
chelyabinsk_0.3_sampled\alpha_0.95_lmbd_0.3_seirb_seed_2.csv,2,0.95,0.3
chelyabinsk_0.3_sampled\alpha_0.25_lmbd_1.0_seirb_seed_9.csv,9,0.25,1.0
