,median_beta
0,9.484528762106636e-06
1,8.802706246208188e-06
2,1.0064617144317773e-05
3,1.1712955812577705e-05
4,1.3319552786883653e-05
5,1.4380603645858754e-05
6,1.4865522896785774e-05
7,1.4911344618343012e-05
8,1.4525327312697193e-05
9,1.3859976159991617e-05
10,1.299807316882612e-05
11,1.2112852811880933e-05
12,1.1289066296368595e-05
13,1.0505043038717208e-05
14,9.740520818070584e-06
15,9.073437419458052e-06
16,8.482374595994161e-06
17,7.94147925985944e-06
18,7.47917613610181e-06
19,7.042396134210107e-06
20,6.67481332550696e-06
21,6.346400659622821e-06
22,6.046310312744121e-06
23,5.7875324046053e-06
24,5.555630923442924e-06
25,5.347435761744861e-06
26,5.150341502503388e-06
27,4.9763869654033905e-06
28,4.853107013318849e-06
29,4.706472858030269e-06
30,4.604396927726168e-06
31,4.438971989680477e-06
32,4.375545545165562e-06
33,4.262247581614467e-06
34,4.184635968505378e-06
35,4.071762745941771e-06
36,3.972808354467692e-06
37,3.904628292573486e-06
38,3.8125678228553966e-06
39,3.7274527913879223e-06
40,3.672835227948491e-06
41,3.545423575659802e-06
42,3.510301887321375e-06
43,3.425253182787301e-06
44,3.364054247751265e-06
45,3.2813809754616183e-06
46,3.22622536791718e-06
47,3.1409060277344595e-06
48,3.0583780890546775e-06
49,2.9660300225424186e-06
50,2.9290517908896254e-06
51,2.8811283009337314e-06
52,2.8136529189149734e-06
53,2.7641440215677567e-06
54,2.6715401521511155e-06
55,2.6263438788291634e-06
56,2.604873368354806e-06
57,2.5352113490790132e-06
58,2.4410097957525922e-06
59,2.425893832574373e-06
60,2.3455962767606153e-06
61,2.331800443356874e-06
62,2.2711766385743507e-06
63,2.1842091225765288e-06
64,2.100637875687877e-06
65,2.0867509879290883e-06
66,2.0603609162758578e-06
67,2.0538486765508413e-06
68,2.04220906399363e-06
69,1.984053618189473e-06
70,1.8896392068658928e-06
71,1.8188357000759562e-06
72,1.771527367032332e-06
73,1.6724460316028489e-06
74,1.698936619786422e-06
75,1.6724640282879447e-06
76,1.6133442793115128e-06
77,1.5947358766100427e-06
78,1.4102570105362178e-06
79,1.3312471200482333e-06
80,1.2528774423408361e-06
81,1.2523718940735478e-06
82,1.2181371398580308e-06
83,1.1517739442715033e-06
84,1.0134004535552425e-06
85,7.5018812701804e-07
86,7.3574357686631e-07
87,5.202993299150917e-07
88,7.355009964302178e-07
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,
