,median_beta
0,9.621588872596937e-06
1,8.866641448719002e-06
2,8.515667989134464e-06
3,8.152815672194126e-06
4,7.949301687773116e-06
5,7.689558977101504e-06
6,7.704728966712344e-06
7,7.5014592909068305e-06
8,7.495313818410142e-06
9,7.495923340474075e-06
10,7.4508527553450125e-06
11,7.390638512239721e-06
12,7.419724407993626e-06
13,7.403296423471015e-06
14,7.41379213830516e-06
15,7.345843517177574e-06
16,7.337528462191856e-06
17,7.370073383550476e-06
18,7.3272754050190665e-06
19,7.281169340867541e-06
20,7.3751614842238875e-06
21,7.352294337172852e-06
22,7.3197308688331816e-06
23,7.2503442171454996e-06
24,7.251884450780877e-06
25,7.2320424617653656e-06
26,7.243909444740429e-06
27,7.196502030758868e-06
28,7.23020291293016e-06
29,7.1898091572401044e-06
30,7.150970970921326e-06
31,7.111469683263802e-06
32,7.151986232072021e-06
33,7.079340546960665e-06
34,7.084128114167557e-06
35,7.030085848193789e-06
36,6.978662815552404e-06
37,6.989427116014164e-06
38,6.947123927642568e-06
39,6.916475656937044e-06
40,6.878738612304612e-06
41,6.840794383786984e-06
42,6.817220387585042e-06
43,6.766397863540378e-06
44,6.718920741031369e-06
45,6.658144777776155e-06
46,6.599068365175394e-06
47,6.540237184447381e-06
48,6.492027172231872e-06
49,6.4272079008919786e-06
50,6.355405985929815e-06
51,6.270289251731824e-06
52,6.223687539982815e-06
53,6.150124258193231e-06
54,6.062792507500078e-06
55,5.969353653499928e-06
56,5.909118204634371e-06
57,5.831869140537987e-06
58,5.752844354092945e-06
59,5.720392807850289e-06
60,5.611065326726815e-06
61,5.550706565380783e-06
62,5.463814445967446e-06
63,5.410082246579031e-06
64,5.3303555172070785e-06
65,5.270885577551141e-06
66,5.202375617202107e-06
67,5.111582670085868e-06
68,5.072825684850559e-06
69,5.019070505948439e-06
70,4.930660992729843e-06
71,4.860701385531888e-06
72,4.805909190054301e-06
73,4.77808528743234e-06
74,4.715834461580436e-06
75,4.643968181354428e-06
76,4.5898597629240895e-06
77,4.575703751368011e-06
78,4.515504348242244e-06
79,4.4790639430323255e-06
80,4.439274526755859e-06
81,4.34760775361495e-06
82,4.335183411745002e-06
83,4.261271574009157e-06
84,4.217866200931629e-06
85,4.150327370155955e-06
86,4.139984030809227e-06
87,4.101771110933669e-06
88,4.054170235543007e-06
89,4.0066962427385626e-06
90,3.941177750214668e-06
91,3.896043437526548e-06
92,3.884575962510594e-06
93,3.831822716488301e-06
94,3.73539536050475e-06
95,3.7455499634540267e-06
96,3.6470107381242993e-06
97,3.650965978440874e-06
98,3.6537658694452194e-06
99,3.619321845355132e-06
100,3.52505296627003e-06
101,3.538717134114005e-06
102,3.506364891555041e-06
103,3.3931824986865022e-06
104,3.3937915177410234e-06
105,3.3496137856100056e-06
106,3.2822675527785274e-06
107,3.3044593052771584e-06
108,3.288925963709392e-06
109,3.2496548112645352e-06
110,3.2137128241118073e-06
111,3.132081075721219e-06
112,3.0312613469943983e-06
113,3.0759210684883546e-06
114,3.0302571736624543e-06
115,2.9920659035871118e-06
116,2.977512224746612e-06
117,2.99287049410244e-06
118,2.964781572515807e-06
119,2.863654072964487e-06
120,2.8575117100825854e-06
121,2.8684211988905344e-06
122,2.7254538187683093e-06
123,2.7017004316402848e-06
124,2.746487623338035e-06
125,2.7993577951857316e-06
126,2.675177216577329e-06
127,2.6538732560065227e-06
128,2.5666855620252224e-06
129,2.6209274183388546e-06
130,2.231783686913802e-06
131,2.3873854800448945e-06
132,2.065804805865185e-06
133,2.1962189276083797e-06
134,2.068330786447473e-06
135,2.0810022488946093e-06
136,1.9496834283754513e-06
137,1.8852361287425025e-06
138,1.7809623444404628e-06
139,1.262422738072748e-06
140,1.0926603273871308e-06
141,1.0217648644338013e-06
142,0.0
143,1.168624231668555e-06
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,
