,median_beta
0,0.00018528859518415
1,0.00012796133557955
2,7.28180016303605e-05
3,4.708820800453483e-05
4,3.439284289468974e-05
5,2.7204745558790285e-05
6,2.2738441932957153e-05
7,1.9720833350725874e-05
8,1.7541679640747225e-05
9,1.5940481161884282e-05
10,1.4597162299939326e-05
11,1.353498720159877e-05
12,1.268153770663329e-05
13,1.1892489126266058e-05
14,1.1293824860060483e-05
15,1.0782127550141147e-05
16,1.0306875781641725e-05
17,9.876255313528364e-06
18,9.584367586887905e-06
19,9.220733163253503e-06
20,8.955671937978956e-06
21,8.665198219825136e-06
22,8.504293080428912e-06
23,8.289222185628414e-06
24,8.033742315078488e-06
25,7.826981494512305e-06
26,7.605383979023541e-06
27,7.458613620469805e-06
28,7.255580421931815e-06
29,7.132452494310437e-06
30,6.884140914315208e-06
31,6.775292205445648e-06
32,6.608597733146482e-06
33,6.4479504583801615e-06
34,6.320145095689868e-06
35,6.224710191905157e-06
36,6.052780067699492e-06
37,5.914798398042177e-06
38,5.698327876541504e-06
39,5.613357322790611e-06
40,5.546048853027653e-06
41,5.461212714861309e-06
42,5.290582621911834e-06
43,5.11857423077513e-06
44,5.066993584410809e-06
45,4.94642601266063e-06
46,4.878175873172188e-06
47,4.750831449262987e-06
48,4.69934072874071e-06
49,4.526151166093635e-06
50,4.517649800771882e-06
51,4.36348076612755e-06
52,4.258855456533471e-06
53,4.146950685528402e-06
54,3.958758148588702e-06
55,4.027105481514143e-06
56,3.875326218407079e-06
57,3.8863868755301415e-06
58,3.7496012608619585e-06
59,3.7193971604966825e-06
60,3.3707184481609496e-06
61,3.2898108235129685e-06
62,3.345570455065235e-06
63,3.3306620883676867e-06
64,3.3566140994564684e-06
65,2.9268442616755757e-06
66,2.9328368369343056e-06
67,2.519984020038536e-06
68,2.428833285533845e-06
69,2.414518700728466e-06
70,2.378188978410462e-06
71,2.450548723143394e-06
72,1.8639681639308112e-06
73,1.6212360453775904e-06
74,1.6288400881091814e-06
75,1.3473508032542712e-06
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
