,median_beta
0,8.835071196322457e-06
1,8.51932798635917e-06
2,8.25930516722234e-06
3,7.984631716847368e-06
4,7.822660882852827e-06
5,7.80597974727127e-06
6,7.610548833262234e-06
7,7.561788224649215e-06
8,7.618179971608577e-06
9,7.570502885705573e-06
10,7.5549954949325295e-06
11,7.641080483928396e-06
12,7.532889864512036e-06
13,7.504286124933178e-06
14,7.561144231396685e-06
15,7.525074938308103e-06
16,7.458599321082069e-06
17,7.502625619971812e-06
18,7.472527589697472e-06
19,7.477611475376072e-06
20,7.405593647962639e-06
21,7.403891700073641e-06
22,7.361627288194756e-06
23,7.38660848700276e-06
24,7.349483616132078e-06
25,7.3194622706153505e-06
26,7.329472487597648e-06
27,7.2891189291788e-06
28,7.295530152656998e-06
29,7.2211726241357965e-06
30,7.190369122576908e-06
31,7.1812652672309805e-06
32,7.147776929252243e-06
33,7.093138572691492e-06
34,7.05489117795345e-06
35,6.999388109435488e-06
36,6.95800997897194e-06
37,6.935686065397245e-06
38,6.8773026572022655e-06
39,6.876875553018e-06
40,6.817978595398571e-06
41,6.755446014505209e-06
42,6.693357221883133e-06
43,6.6385580742646025e-06
44,6.559977758966297e-06
45,6.502656548576447e-06
46,6.422175534046252e-06
47,6.354972113342646e-06
48,6.25954526319244e-06
49,6.162476711270462e-06
50,6.0999938521911865e-06
51,6.031128629864021e-06
52,5.949035467725129e-06
53,5.838216367603715e-06
54,5.765431974462769e-06
55,5.686695036100328e-06
56,5.633904851387812e-06
57,5.560110028252672e-06
58,5.493019362578899e-06
59,5.401053954826992e-06
60,5.325217936088782e-06
61,5.28383829033121e-06
62,5.1942547384505295e-06
63,5.112419023718927e-06
64,5.045387465431539e-06
65,4.97062593462738e-06
66,4.91969276877689e-06
67,4.837032151793798e-06
68,4.784041023435237e-06
69,4.740661430931146e-06
70,4.688970656027705e-06
71,4.6492687033085345e-06
72,4.58039386924648e-06
73,4.560079065302052e-06
74,4.47975644346975e-06
75,4.40969247225314e-06
76,4.408932210918538e-06
77,4.330687928528488e-06
78,4.280952105988908e-06
79,4.258244319564558e-06
80,4.214373462903599e-06
81,4.133115518935376e-06
82,4.113979916662853e-06
83,4.051358598666831e-06
84,4.019535442495653e-06
85,3.956715479633741e-06
86,3.925775482197163e-06
87,3.898970123442037e-06
88,3.845650545438865e-06
89,3.7993769364602063e-06
90,3.7467896940334675e-06
91,3.707706677014652e-06
92,3.6864171518363443e-06
93,3.6608503649791556e-06
94,3.613353453583303e-06
95,3.5517542451319054e-06
96,3.50147850633651e-06
97,3.4285131821437873e-06
98,3.4299265420470958e-06
99,3.426676255200487e-06
100,3.3622732955284852e-06
101,3.3110439426582044e-06
102,3.284137702420299e-06
103,3.24187979020887e-06
104,3.2585110745307436e-06
105,3.2338669952779995e-06
106,3.1530108618441162e-06
107,3.1435785722091393e-06
108,3.0778900361728155e-06
109,3.08229765850885e-06
110,3.0875616173435484e-06
111,2.9679203039338577e-06
112,2.9684476518939645e-06
113,2.924611961692604e-06
114,2.85547759336109e-06
115,2.8787845346561552e-06
116,2.812510792084871e-06
117,2.8228743127465347e-06
118,2.812796530672371e-06
119,2.7539204215823456e-06
120,2.798642447375388e-06
121,2.664669318073065e-06
122,2.739141489707018e-06
123,2.6679691034638475e-06
124,2.6074805350509772e-06
125,2.5637207223798275e-06
126,2.5905699703837114e-06
127,2.6996367195352823e-06
128,2.5947741249823074e-06
129,2.4951002708850435e-06
130,2.49461265625352e-06
131,2.5221020063700846e-06
132,2.35307463522059e-06
133,2.1459105945032775e-06
134,1.9965196715663954e-06
135,2.1181554335967312e-06
136,2.006952938231282e-06
137,1.9911892903006175e-06
138,1.9742047213050248e-06
139,1.8951224216931256e-06
140,1.9945157476466417e-06
141,1.2457216371456954e-06
142,1.5260753565226342e-06
143,1.4719523177312916e-06
144,1.3008581964812978e-06
145,9.746360486492066e-07
146,1.002003965892258e-06
147,0.0
148,7.93371387228551e-07
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
