,median_beta
0,9.782765069774133e-07
1,9.351158465961183e-07
2,9.474295068594662e-07
3,1.0008699598114872e-06
4,1.0536303524133164e-06
5,1.1638083836610211e-06
6,1.3123250148513465e-06
7,1.4355891313991701e-06
8,1.5992586289178175e-06
9,1.7898801713564818e-06
10,1.964942962096881e-06
11,2.182475596301745e-06
12,2.3477548734849906e-06
13,2.5259554021482065e-06
14,2.7574883900971554e-06
15,2.918625656350787e-06
16,3.074339048042015e-06
17,3.2352047009200697e-06
18,3.3072147096735167e-06
19,3.4520107757230514e-06
20,3.5799966717246993e-06
21,3.624835939740833e-06
22,3.6974803910735177e-06
23,3.714651906006624e-06
24,3.7732219775160164e-06
25,3.822085028501492e-06
26,3.837677682553597e-06
27,3.829736611488693e-06
28,3.868837298777424e-06
29,3.885663182329467e-06
30,3.828137884814696e-06
31,3.8003207758697838e-06
32,3.8761663823751e-06
33,3.7937297409041133e-06
34,3.838422282538504e-06
35,3.789006117583684e-06
36,3.7542300403110586e-06
37,3.7846931806032177e-06
38,3.768323529309899e-06
39,3.7370381009953295e-06
40,3.7348486240764367e-06
41,3.7491375639167444e-06
42,3.7398351634484365e-06
43,3.7351420597866876e-06
44,3.7167014531502454e-06
45,3.715756375185315e-06
46,3.7184666152346677e-06
47,3.6820369706690194e-06
48,3.7075475289910384e-06
49,3.692748137705498e-06
50,3.697136614675158e-06
51,3.678879045065589e-06
52,3.708299477425526e-06
53,3.6861915065412243e-06
54,3.707179159356388e-06
55,3.694891791971841e-06
56,3.6765441195378675e-06
57,3.70959095341789e-06
58,3.693503209259079e-06
59,3.698539216172534e-06
60,3.6763446841894636e-06
61,3.6916570625887544e-06
62,3.6862315251735014e-06
63,3.734346714234625e-06
64,3.702848846997839e-06
65,3.7034233710580274e-06
66,3.718626575055667e-06
67,3.7222499818509213e-06
68,3.7531595343739463e-06
69,3.709319507517593e-06
70,3.712290665897901e-06
71,3.728785746432426e-06
72,3.7534975197749934e-06
73,3.752658348408621e-06
74,3.7556457660545746e-06
75,3.7451373989419602e-06
76,3.769290799650277e-06
77,3.7650483087887476e-06
78,3.771111333229153e-06
79,3.810222287515054e-06
80,3.8072395564483562e-06
81,3.825963706221478e-06
82,3.7984820125328313e-06
83,3.835752901642059e-06
84,3.848971937279935e-06
85,3.829262684663554e-06
86,3.867556053449605e-06
87,3.86497110760969e-06
88,3.871575674179888e-06
89,3.88097092354293e-06
90,3.914416727247018e-06
91,3.918917407684185e-06
92,3.94204757688952e-06
93,3.929270044004882e-06
94,3.963467034264143e-06
95,3.995216597665154e-06
96,3.987118044255712e-06
97,4.000913225726623e-06
98,4.0374085275973325e-06
99,4.051489341708216e-06
100,4.047630938646712e-06
101,4.086209876215082e-06
102,4.151725299062446e-06
103,4.1383552227125415e-06
104,4.1830291460808655e-06
105,4.175220535332343e-06
106,4.212934119768752e-06
107,4.2511824602542305e-06
108,4.2719883023087215e-06
109,4.3052322696765506e-06
110,4.283532080114578e-06
111,4.340535356962487e-06
112,4.412124043050316e-06
113,4.3916348453244565e-06
114,4.427718808324489e-06
115,4.488710629189398e-06
116,4.497338108641234e-06
117,4.569532799126685e-06
118,4.6064334150289205e-06
119,4.624401729691288e-06
120,4.6571169659560405e-06
121,4.716911767169084e-06
122,4.782107871002623e-06
123,4.792474734075023e-06
124,4.820380508877577e-06
125,4.904431595158655e-06
126,4.964304224846803e-06
127,5.036416481698724e-06
128,5.0586116062906984e-06
129,5.1440393229787994e-06
130,5.1679237522348e-06
131,5.221717101459705e-06
132,5.346848427461782e-06
133,5.334663950631527e-06
134,5.407074037362415e-06
135,5.504115149565018e-06
136,5.4928491012493465e-06
137,5.57421242953913e-06
138,5.6812282104379325e-06
139,5.686675985806054e-06
140,5.824413451293012e-06
141,5.873909960681266e-06
142,5.962770249307241e-06
143,6.099967670142859e-06
144,6.116413170115771e-06
145,6.216933562304784e-06
146,6.309914429620489e-06
147,6.347453046847676e-06
148,6.459052986235615e-06
149,6.509635202009098e-06
150,6.562954755408391e-06
151,6.696874634299273e-06
152,6.742540348264935e-06
153,6.8248125913857565e-06
154,6.97136035336283e-06
155,7.041667779554649e-06
156,7.176989046655934e-06
157,7.3588087542118175e-06
158,7.309969190853933e-06
159,7.370404111547089e-06
160,7.488706675752255e-06
161,7.743141704304036e-06
162,7.6094637271696395e-06
163,7.843020715622125e-06
164,7.887424034454787e-06
165,7.87797339773983e-06
166,8.00107269821369e-06
167,8.124509296548338e-06
168,8.13954637116064e-06
169,8.22905120169512e-06
170,8.12911688428402e-06
171,8.294942346394844e-06
172,8.279991019404906e-06
173,8.316290206154219e-06
174,8.382427537039102e-06
175,8.448078045946116e-06
176,8.610040666263492e-06
177,8.589600139451027e-06
178,8.375906465061687e-06
179,8.591823658528232e-06
180,8.523220342706306e-06
181,8.569045639606612e-06
182,8.194611758790039e-06
183,8.585783184683503e-06
184,8.835824837484203e-06
185,8.446805408588172e-06
186,8.663430778750644e-06
187,8.840619732439232e-06
188,8.585540188199256e-06
189,8.801840718039896e-06
190,8.688364042743232e-06
191,8.497154644340189e-06
192,8.825119238367272e-06
193,8.294735800623019e-06
194,8.133251704205447e-06
195,8.237757337630574e-06
196,7.936242302088363e-06
197,8.005117884563787e-06
198,7.980150583868666e-06
199,8.165406157093205e-06
200,7.584262502805216e-06
201,7.993826413867341e-06
202,7.78680881320224e-06
203,7.632575053237193e-06
204,7.679900658654638e-06
205,7.906984787913829e-06
206,7.702089758102482e-06
207,7.696158811082739e-06
208,7.646489714745854e-06
209,7.705872870194923e-06
210,7.84794457406296e-06
211,7.648920473320112e-06
212,7.854599515039673e-06
213,7.657000170785239e-06
214,7.611333141386421e-06
215,7.638758520584634e-06
216,7.621077108341998e-06
217,7.552986276313908e-06
218,7.85771550249178e-06
219,7.593669056665037e-06
220,7.500907016081864e-06
221,7.742589078808136e-06
222,7.584533888401305e-06
223,7.835753441483623e-06
224,7.282161968227034e-06
225,7.323804069441525e-06
226,7.287716908863044e-06
227,7.329544328687926e-06
228,7.08888079403666e-06
229,7.252823847855576e-06
230,6.808059868254219e-06
231,6.567553849641916e-06
232,6.40182592672229e-06
233,5.432988013023252e-06
234,6.891701089583199e-06
235,5.257863755732196e-06
236,5.723786398366398e-06
237,5.461885484579497e-06
238,5.333335003608159e-06
239,5.272710104254341e-06
240,5.106015403188775e-06
241,5.196239228810129e-06
242,5.292797012871943e-06
243,5.225752508361204e-06
244,5.04562492777432e-06
245,5.217771627855227e-06
246,4.937307487684176e-06
247,4.9989481027000845e-06
248,4.998867760315266e-06
249,0.0
