,median_beta
0,4.800907258064516e-06
1,4.486434389269701e-06
2,4.19312113601583e-06
3,3.942821443602828e-06
4,3.7307189381332455e-06
5,3.4792783368763725e-06
6,3.260043898699967e-06
7,3.1078412729340935e-06
8,2.9500232294414507e-06
9,2.80015318161039e-06
10,2.678539787530456e-06
11,2.561568613859023e-06
12,2.4563217667145698e-06
13,2.37606256603142e-06
14,2.3093370379935295e-06
15,2.2298483620634924e-06
16,2.1642696995560492e-06
17,2.0991841561752565e-06
18,2.064388907222634e-06
19,2.018804618405635e-06
20,1.989685029954488e-06
21,1.9441153001525445e-06
22,1.9333732326334285e-06
23,1.9026043978207207e-06
24,1.879854518796261e-06
25,1.8801556362774444e-06
26,1.8634035494513139e-06
27,1.858516295531787e-06
28,1.835157183812383e-06
29,1.8338829235892668e-06
30,1.831678414922072e-06
31,1.833334819788539e-06
32,1.8262123501826331e-06
33,1.8336591370317762e-06
34,1.8314905317251591e-06
35,1.8302426894480597e-06
36,1.8378504295090154e-06
37,1.8438278719062382e-06
38,1.8541107179018821e-06
39,1.8494897200661933e-06
40,1.8644478030212942e-06
41,1.861602420250332e-06
42,1.864338774723956e-06
43,1.882256832917149e-06
44,1.8936488526610179e-06
45,1.907499383178604e-06
46,1.9052839406518532e-06
47,1.9162453530955276e-06
48,1.9274036147010122e-06
49,1.9410036476639746e-06
50,1.940817070455359e-06
51,1.94926177939732e-06
52,1.9499664305790296e-06
53,1.9674844781498054e-06
54,1.981391269114372e-06
55,1.9873159977567963e-06
56,1.9900809538249246e-06
57,2.000493609801349e-06
58,2.015617329056007e-06
59,2.044644046978497e-06
60,2.0365410966395877e-06
61,2.0541285828475133e-06
62,2.071135562466886e-06
63,2.0851724425355173e-06
64,2.088842281791114e-06
65,2.110176796392789e-06
66,2.117071547176359e-06
67,2.1324041668045477e-06
68,2.1736288828346474e-06
69,2.1579805055457923e-06
70,2.1870169625607637e-06
71,2.2069908161381527e-06
72,2.225660291526396e-06
73,2.2589472810340994e-06
74,2.2691743491042e-06
75,2.2805912872818698e-06
76,2.3051045831418725e-06
77,2.328783629754285e-06
78,2.3580803529894203e-06
79,2.385231949689663e-06
80,2.3929626188116714e-06
81,2.4113315084059114e-06
82,2.452599427937774e-06
83,2.485750978161334e-06
84,2.5075352233375737e-06
85,2.5447308884663147e-06
86,2.568430393460565e-06
87,2.603416911283647e-06
88,2.6339642870011412e-06
89,2.6543449026204946e-06
90,2.7068686292537515e-06
91,2.745957675813331e-06
92,2.8149974850223e-06
93,2.827491700822999e-06
94,2.85197071706733e-06
95,2.9141921414216697e-06
96,2.93025277036036e-06
97,2.998119087785428e-06
98,3.0461658455750687e-06
99,3.0831785725901196e-06
100,3.1560669530288186e-06
101,3.189126542743299e-06
102,3.222532615437078e-06
103,3.271067363124842e-06
104,3.3380928692971202e-06
105,3.3666606212418013e-06
106,3.4841655696615738e-06
107,3.460045236460653e-06
108,3.5473131666042026e-06
109,3.6214832268502287e-06
110,3.677647940783392e-06
111,3.7411458138930096e-06
112,3.800540240548068e-06
113,3.8810681118385576e-06
114,3.940431480289323e-06
115,3.995801291208392e-06
116,4.093203532668134e-06
117,4.150944917071634e-06
118,4.253088393675488e-06
119,4.21685939536037e-06
120,4.348829236111014e-06
121,4.418736630751991e-06
122,4.4352858296414105e-06
123,4.572041185484574e-06
124,4.568610328056592e-06
125,4.699941543703862e-06
126,4.746826704166153e-06
127,4.807507152666568e-06
128,4.870819030228169e-06
129,4.921706894237597e-06
130,4.943844987846515e-06
131,5.052408108081349e-06
132,5.101186482168714e-06
133,5.1560166325971206e-06
134,5.1071992420640946e-06
135,5.153781028597643e-06
136,5.312586045273434e-06
137,5.297546043257205e-06
138,5.3071219405233714e-06
139,5.282745778319601e-06
140,5.362911525174195e-06
141,5.407061490387e-06
142,5.404643584416496e-06
143,5.524604103174572e-06
144,5.427576254537542e-06
145,5.329157081141498e-06
146,5.45779555695348e-06
147,5.4958182911086366e-06
148,5.46005113350682e-06
149,5.645458380805287e-06
150,5.468458626026735e-06
151,5.32855719228247e-06
152,5.264882347078532e-06
153,5.297163109394493e-06
154,5.443314456816816e-06
155,5.1528038481070984e-06
156,5.304030516438816e-06
157,5.293699726447967e-06
