,0
0,2.9415657954729303e-06
1,1.6027798614574755e-06
2,1.7009030094076946e-06
3,1.8943905681647465e-06
4,2.2227186296051555e-06
5,2.451557229151957e-06
6,2.9081264937887435e-06
7,2.854280880810637e-06
8,3.193561779452624e-06
9,3.2487784592993038e-06
10,3.3345170869826043e-06
11,3.2099723140999617e-06
12,3.3469826473293947e-06
13,3.2484829584584e-06
14,3.4211793266448006e-06
15,3.515667572537011e-06
16,3.5636959582646565e-06
17,3.572067858176205e-06
18,3.6767044624230076e-06
19,3.784749917918236e-06
20,3.86335319740769e-06
21,3.912131058811674e-06
22,4.039870289638393e-06
23,4.171881518564873e-06
24,4.229703345526158e-06
25,4.373740050466355e-06
26,4.599358685138512e-06
27,4.612570919811563e-06
28,4.751512658029721e-06
29,4.89536587388616e-06
30,4.945483509191927e-06
31,4.962545164738588e-06
32,4.988403109022256e-06
33,5.0340941274313805e-06
34,5.063160225023484e-06
35,5.178948684716527e-06
36,5.215287049399199e-06
37,5.270866537047274e-06
38,5.285455653324248e-06
39,5.2844792910229905e-06
40,5.328708416594402e-06
41,5.365591689089145e-06
42,5.417385473461432e-06
43,5.383908575787873e-06
44,5.424281616784987e-06
45,5.436586764374336e-06
46,5.47058321522952e-06
47,5.461345087025438e-06
48,5.456802743465923e-06
49,5.436216994335254e-06
50,5.463170889616224e-06
51,5.477944250809833e-06
52,5.489764495561687e-06
53,5.514989742119079e-06
54,5.567009154586643e-06
55,5.5635871349492915e-06
56,5.573371289420884e-06
57,5.573048736311199e-06
58,5.5746471725849054e-06
59,5.613182074206267e-06
60,5.605285012816968e-06
61,5.653339785500031e-06
62,5.66470289924691e-06
63,5.679268964498889e-06
64,5.669415973530653e-06
65,5.6661679306317515e-06
66,5.709652738920419e-06
67,5.757118677244412e-06
68,5.789446110101964e-06
69,5.805419262765579e-06
70,5.829488639093811e-06
71,5.867634931723696e-06
72,5.910278773473391e-06
73,5.911926376063459e-06
74,5.971950063121615e-06
75,5.915075201927599e-06
76,6.017140451074199e-06
77,6.04376557106541e-06
78,6.06197145642012e-06
79,6.085497714134835e-06
80,6.125865916078088e-06
81,6.1974877096611225e-06
82,6.21172694687591e-06
83,6.291401532516343e-06
84,6.342517367135627e-06
85,6.349260172683119e-06
86,6.350626652978291e-06
87,6.434285577472771e-06
88,6.518037020060187e-06
89,6.539338480519311e-06
90,6.61679076825352e-06
91,6.654595539873408e-06
92,6.668377884875936e-06
93,6.754294525194001e-06
94,6.78603298690635e-06
95,6.837141010417117e-06
96,6.957972671028897e-06
97,7.063266420029642e-06
98,7.042076720987586e-06
99,7.169805380862223e-06
100,7.18316483014074e-06
101,7.252831327399708e-06
102,7.2897240058421934e-06
103,7.386023565996364e-06
104,7.457484233905614e-06
105,7.557699689618465e-06
106,7.558020336871709e-06
107,7.687403779518892e-06
108,7.75593753260276e-06
109,7.809231896831835e-06
110,7.939353921842354e-06
111,8.010101286517313e-06
112,8.097417761445052e-06
113,8.284753001464297e-06
114,8.221030629504868e-06
115,8.317706127880951e-06
116,8.49694560076756e-06
117,8.564955892247017e-06
118,8.670659932737455e-06
119,8.806196555381043e-06
120,8.778669718313785e-06
121,8.985987181794634e-06
122,9.03728142999866e-06
123,9.186944942037198e-06
124,9.269093873044684e-06
125,9.374781146555438e-06
126,9.397161532006114e-06
127,9.525823094572842e-06
128,9.487481429059128e-06
129,9.520202275234767e-06
130,9.729931871158493e-06
131,9.683518409578937e-06
132,9.850164919904089e-06
133,9.81406835595318e-06
134,1.001584898882804e-05
135,9.972985006635788e-06
136,1.0021044926276208e-05
137,1.0042879796253072e-05
138,1.0212656551978684e-05
139,1.0186092677190145e-05
140,1.0290176794084404e-05
141,1.0404356018905046e-05
142,1.0339996194536595e-05
143,1.0247980362728506e-05
144,1.0357229274232864e-05
145,1.0381418850602437e-05
146,1.0616680273171854e-05
147,1.0300796253624945e-05
148,1.0252516271864692e-05
149,9.310605206422096e-06
150,1.0961021118204793e-05
151,1.1051859436797243e-05
152,1.1252373180746321e-05
153,1.1188686000716077e-05
154,1.1225820491595949e-05
155,1.1191363161708068e-05
156,1.1567188842620131e-05
157,1.1446112412738665e-05
158,1.1421379528649484e-05
159,1.1388534760965202e-05
160,1.1552742363956495e-05
161,1.1680087371088419e-05
162,1.1649304001463464e-05
163,1.1580546006200557e-05
164,1.164296877038652e-05
165,1.1347306314098789e-05
166,1.169863081029128e-05
167,1.1822223846285296e-05
168,1.1601865758547134e-05
169,1.147320896583236e-05
170,1.1860000349833464e-05
171,1.1667320073857111e-05
172,1.1777249032454925e-05
173,1.1784427480189782e-05
174,1.1669453914596797e-05
175,1.1390174995305247e-05
176,1.144405444208052e-05
177,1.1727931868185564e-05
178,1.1535993692596e-05
179,1.1449200307164896e-05
180,1.1491930377039725e-05
181,1.1597039418813577e-05
182,1.1748128524600173e-05
183,1.1776035788777244e-05
184,1.1359739368998628e-05
185,1.1456940996753867e-05
186,1.1510393885678768e-05
187,1.129439424976022e-05
188,1.1463617025157102e-05
189,1.1101158487781991e-05
190,1.1142571093752408e-05
191,1.1191696734214233e-05
192,1.1217720239318999e-05
193,1.131516294498427e-05
194,1.11962879544477e-05
195,1.0960513653511858e-05
196,1.1076546328746406e-05
197,1.1101229362099925e-05
198,1.1064415181115256e-05
199,1.106470036519122e-05
200,1.0858194283070643e-05
201,1.1165978564282414e-05
202,1.0999093349382714e-05
203,1.086724421938869e-05
204,1.118954764608119e-05
205,1.0604369159113718e-05
