rmse_I,rmse_Beta,time_predict,roll_var_npeople,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
201.21266221421456,7.380716324588267e-05,0.0020051002502441406,10,3065,3583.384508304011,41,37
87.41944113827364,5.10420924977053e-05,0.001997232437133789,26,2997,3277.784967506983,41,40
221.57777444296195,8.603912980129879e-05,0.0019979476928710938,10,2991,3650.317435196093,40,36
305.5127480263821,0.00014240719762726166,0.0019974708557128906,10,3005,3781.162639967102,38,32
139.11412711054612,6.335062069324598e-05,0.002003192901611328,10,3101,3461.9678310964305,41,38
202.98862638233217,7.168910152841798e-05,0.0025196075439453125,10,2912,3543.438818107381,40,38
262.5236932467717,8.404897373116266e-05,0.0029964447021484375,16,2945,3659.3246665925126,39,37
270.7699860196602,9.480949735134534e-05,0.0030007362365722656,10,3065,3712.722804115465,40,34
300.4542611155029,9.472764929513596e-05,0.002523183822631836,11,3011,3732.6135749274663,39,35
282.84976636399426,9.964446858235968e-05,0.001999378204345703,10,3095,3763.8453996509584,36,32
341.9685222433263,9.63042919663061e-05,0.0033092498779296875,10,3041,3766.7383271419344,39,32
342.50046317317526,8.985724753079151e-05,0.003009319305419922,13,2994,3719.1949003554882,39,34
240.7826999040031,0.00010092642550260495,0.0020003318786621094,10,3023,3684.139074263372,40,36
182.34933578323756,7.671857094967471e-05,0.002012014389038086,17,3096,3577.1734540454863,39,36
185.50215643532027,0.00018227841360212506,0.0025246143341064453,10,2980,3558.7199132033725,40,38
185.72886923691485,7.943902155074034e-05,0.001992464065551758,16,3057,3623.246377702045,39,37
240.91767858650473,8.28644372037616e-05,0.002003192901611328,10,3016,3659.6563718966418,37,34
197.50850881865904,7.345366464453496e-05,0.001998424530029297,10,2915,3547.4472169540163,42,39
336.644461752958,9.135909390458931e-05,0.0010018348693847656,14,2937,3735.9340150346443,38,34
272.66315067561266,9.077253103488919e-05,0.0019969940185546875,16,3091,3702.9469159703813,42,37
316.0807631103921,9.847782616580332e-05,0.0021920204162597656,10,2912,3749.515565929718,41,34
128.27651838476393,5.901881759896137e-05,0.0019965171813964844,10,2983,3380.8286168482564,42,42
314.71620884006705,0.00010460997892104507,0.002271890640258789,10,3079,3795.066986289851,37,32
301.166144516244,9.457132181434042e-05,0.0049970149993896484,11,3027,3744.037214356102,40,34
118.7042725349769,6.27832277003251e-05,0.004517793655395508,10,3048,3417.7153746011863,43,42
344.48176646322275,0.00010316098314084038,0.0035161972045898438,10,2971,3792.5842306470104,38,33
