rmse_I,rmse_Beta,time_predict,roll_var_npeople,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
789.5936348678758,0.02690269448776146,0.0,10,29667,32406.86748151666,40,38
1289.3549648949217,0.0075360928904088355,0.0065119266510009766,10,29667,33940.34711780084,38,37
1030.8572153645864,0.00506863899614659,0.011000633239746094,12,29537,32722.28249945176,42,39
1830.928013089388,0.05307203468846099,0.011002063751220703,12,30026,35080.061121994746,41,36
1867.826942599714,0.009252105791334234,0.010998010635375977,10,29753,35128.58596876741,39,35
1276.0056409687445,0.0009437405949760996,0.0,10,29977,33731.617684698846,40,37
1591.4933947199406,0.0002199174516479647,0.0,12,30235,34497.90412632619,40,37
1209.3285274234065,0.28246465423748257,0.0,11,30091,33800.36319713776,40,38
2073.3601554602446,0.0009467017118296715,0.0,11,29761,35227.356491301725,39,36
1943.9319581400773,0.0007940623798847658,0.0,10,29902,35092.65415068314,39,35
928.2769982398605,0.0839668341162619,0.0,10,29745,32680.64499479995,39,37
842.3535895918116,9.18991965609411e-05,0.0,10,29572,32235.73723975441,39,38
2107.1820593332504,0.0013444487826357269,0.0,10,29860,35297.92913745726,38,34
1786.7804915149354,0.01139004383267281,0.0,10,30047,34950.388534846694,39,35
1539.8933098552247,0.011389810229129629,0.011001825332641602,10,29859,34304.44181057229,39,36
682.0552009292119,0.28177127119849255,0.011000871658325195,10,29726,32037.505443653245,39,38
1763.652692924115,0.007576616404371627,0.010999679565429688,12,30011,34782.622537288495,39,35
877.3661402066122,0.003409036333810012,0.010998010635375977,10,29687,28496.670351783803,40,41
372.51649182453457,3.006168891796228,0.0,10,30187,31339.299133754055,39,39
715.963477733222,0.0019348095272224035,0.0,10,30096,32277.975603783216,40,37
1182.6448348901718,0.0001878510312252162,0.0,10,29771,33158.4655029226,38,36
736.7704055430771,0.0004796737425413372,0.0,10,30012,32189.46511537044,39,37
1028.4535548269732,0.05280161283113827,0.0,10,29912,33191.03234185835,38,36
363.9281091425052,0.4835873199033142,0.010999917984008789,24,29802,30886.221558558496,38,37
1397.6247205357745,0.17209044843858406,0.01100015640258789,10,29771,33832.12294691989,39,35
1060.7478162999294,0.0075359217578018466,0.011001110076904297,10,29755,33123.347211232234,38,36
1604.3120549347043,0.17294890012416728,0.0,12,30025,34768.79256241476,38,35
1111.32033663268,0.00012152176608740497,0.0,10,29650,32749.062233425502,38,36
425.0333615043328,0.00047957607151991277,0.0,10,29544,30980.91836203284,40,38
1176.6244386602477,0.01409784360132743,0.0,11,29848,33295.99083774681,40,36
1144.3046579411932,3.013250698937415,0.0,11,29895,33535.44102907882,38,35
1009.3670426087521,0.04205230276375557,0.0,10,29891,32895.807272922284,38,35
986.4126455374754,0.00615514877192725,0.011001110076904297,10,30084,33018.47325271127,38,35
614.3174774482059,0.009251633158690778,0.010998249053955078,10,29739,31865.753643850796,39,36
313.8833870457772,0.002814825269445708,0.011001110076904297,10,29908,29850.2887829948,38,38
785.8164127904766,0.004140034471266973,0.010999917984008789,10,29997,32245.0346988982,37,36
997.0465492105764,0.03376087272753328,0.0,12,29841,32846.883469473236,38,36
416.63709932850065,0.005041058411681182,0.0,10,29967,31299.05121947926,37,37
540.5272510862903,0.009251593664729526,0.0,10,29708,31347.179856511935,39,37
737.6331724190361,0.003495819192269683,0.0,19,29977,32197.07685470777,38,36
804.0513716750404,6.188553099469183e-05,0.011004209518432617,11,29973,32218.10628461412,37,36
171.84791473273208,0.00012115309195065084,0.0110015869140625,10,29950,29895.06950104658,38,37
591.3577296848507,0.021609384146099826,0.0,10,30096,31951.226890288934,38,36
1284.740269831128,0.17209040425366628,0.0,10,30154,33936.974808588464,37,34
955.5734490793785,0.04205230407941936,0.0,10,29849,32895.10679201292,37,35
1472.6898848310454,0.03358734543722119,0.0,10,29768,33924.487309982185,37,34
837.4616436555252,0.026902598882723432,0.0,10,30013,32683.950570632205,37,35
1584.5049269580177,0.0006714523125437386,0.0,11,30003,34386.67475312943,37,34
304.318399983585,0.0019346202114761432,0.011002540588378906,10,30011,30935.71477314584,38,37
1370.599764339527,0.00029685387187057484,0.0,10,30084,33850.254022410074,38,34
334.3569245297504,0.006154840923365924,0.0,10,29993,30263.68084617951,37,36
1463.5996583899694,0.026902647946593215,0.0,10,29729,33627.49788170828,36,33
455.64628789943004,0.0007934531318473903,0.0,10,30344,31701.494358688637,36,35
342.218306458642,16.733291022417266,0.010510921478271484,10,29551,30106.332260673218,38,37
322.47137284087495,0.13508402221658006,0.0,10,30102,30886.813412865442,37,36
1043.095598124992,0.0019347868077667417,0.010999917984008789,10,29724,33022.62537890821,37,34
478.3153554713141,0.0006691252364701131,0.0,10,30146,31583.005583296836,37,36
804.7429474100629,0.13508414140622285,0.010999202728271484,10,29954,32511.92291731116,37,35
266.96225613115803,0.0016102083029811563,0.0,10,30002,30807.835932654303,37,36
499.7161254227454,0.00413975050361041,0.0,10,29831,29184.307957687626,38,37
1874.2786790513483,0.00282373629620226,0.0,11,32440,37186.79258129336,36,33
2066.777870385635,0.0004087587857615749,0.011001110076904297,10,32237,37306.35537998801,36,32
1225.9253228736707,732.7992936340393,0.011000633239746094,10,31913,36009.03302265545,36,33
1327.3491844980856,0.0005663960463308913,0.010999917984008789,10,31881,35826.99429805585,36,33
2115.027516383754,0.00040881639452857647,0.0,10,32118,37403.30184167232,37,32
2127.26584771781,8.189287172718787e-05,0.0,11,32197,37106.7232952508,37,33
665.9652998356164,0.005182678938411504,0.0,20,32337,34530.50852711819,36,35
1236.3537739680078,0.00012210510427734583,0.0,10,31937,35406.01817052888,37,35
1608.583144200359,0.00010655498657864728,0.010998010635375977,10,31950,36478.00391818468,37,33
1493.6765903832816,0.00021902622293216542,0.010999202728271484,10,32163,36525.72578779182,36,33
1319.29818242717,30.4139423396955,0.011000394821166992,10,31968,36213.490903857666,36,33
366.265934605289,0.0016670348685504269,0.0110015869140625,22,32170,33362.44509547746,35,34
1463.588191364532,0.00414064122151766,0.0,10,31911,36138.957774923525,36,33
1596.4897370114927,0.00040839659524862453,0.0,10,32177,36309.04958776948,36,33
1664.197635745656,8.151770816380368e-05,0.0,11,31908,36371.60291863319,35,33
1892.9886790848313,0.0009471669911714468,0.0,11,32474,37224.26972407743,36,32
500.99517254077557,7.309319467684997e-05,0.0,21,32218,33791.64516621448,35,34
1484.5667794246701,0.042052947164292566,0.010999679565429688,10,32536,36620.691297366946,36,33
1606.7290864655927,0.00041090712482309393,0.011001110076904297,12,32252,36632.71667321097,37,32
1817.2514565443846,0.00040848665454795214,0.0,10,32213,36744.46948885329,35,31
1654.4221519582295,0.0016111556058430727,0.0,10,32269,36746.53902359686,34,31
1796.6809831643968,0.00014093096421423905,0.0,10,31887,36517.10996207225,35,32
1019.0724735039136,0.0003477944848061923,0.0,10,32178,35290.40310389335,36,33
1652.275256314238,0.0005666447998411153,0.010999917984008789,10,32296,36644.99554736132,35,31
1273.5156380643687,0.04205270533961262,0.010999679565429688,10,32003,35665.00763470538,36,33
1488.5682235832978,0.13508470210910728,0.011000871658325195,10,32065,36409.08276136832,35,32
1184.7437241365508,0.0016109020147964067,0.011001348495483398,10,32337,35666.41477012735,35,33
1474.6913026310417,0.08396724999754536,0.0,10,31907,36202.959681420616,36,32
1308.9066262841618,0.0013559502637850757,0.0,13,32133,35898.11286618895,35,32
1109.775844327903,0.0019352032600917566,0.0,10,32200,35434.43872061921,36,33
901.7418259416293,0.014061071369108797,0.0,10,32252,35242.998888886184,36,33
1556.072542178784,0.02161003227612014,0.0,10,32285,36627.08916709881,35,31
1736.4005204941534,0.021610091732287742,0.0,10,31760,36792.579353294794,35,31
1853.6537477924398,0.0023314666784473755,0.0,10,32243,37124.62729689656,34,30
1279.5287902906432,0.002823185563873635,0.0,11,31751,35470.251550412024,35,33
1537.7244320713642,4.8989014615616756e-05,0.0,11,32528,36502.186505631864,34,31
