rmse_I,rmse_Beta,time_predict,roll_var_npeople,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
3387.7895110834334,1.0069654611538157e-05,0.0029981136322021484,10,29569,37816.41668556349,39,33
2464.556507578844,8.896271480113615e-06,0.002004384994506836,12,29954,36888.107628299294,41,35
2272.4183973822956,9.331805643507354e-06,0.0029997825622558594,10,29679,36690.34777485045,40,36
2557.8780373388677,9.291383773500107e-06,0.0030035972595214844,10,30037,37139.20355979904,40,35
2137.0744253725575,7.936262314139538e-06,0.002505064010620117,10,29759,36314.15874197713,41,36
2250.482134556828,9.25717969352854e-06,0.002001047134399414,10,30089,36816.950689476085,40,35
2747.5291961564812,9.279276774810414e-06,0.002009868621826172,10,29647,37272.47209751194,40,34
1821.1512835760855,7.865416294805302e-06,0.001997709274291992,10,29836,36179.716133995076,40,37
2611.586132172724,9.774402825848304e-06,0.0030112266540527344,10,30013,37464.74405201315,39,34
1902.139830209688,8.63421704381074e-06,0.0019986629486083984,10,30279,36595.5302991087,40,36
2117.398638502828,7.680467631585904e-06,0.0025119781494140625,10,29800,36098.98919066382,41,37
2838.8301804548205,9.992575622129665e-06,0.0019991397857666016,12,30028,37612.29664848984,40,34
2076.0381779225804,8.041493505024582e-06,0.002003192901611328,10,29711,36216.87395297302,40,36
2168.4609222111276,8.90079931869392e-06,0.0029964447021484375,11,29685,36745.74596178994,40,36
2787.2177886046325,9.933195249219307e-06,0.004012107849121094,12,30079,37554.662413675454,40,34
2840.187179121899,1.0151805986152138e-05,0.002509593963623047,10,30046,37706.5203842304,39,33
2569.9381544975054,9.88585765112027e-06,0.0029969215393066406,12,29948,37372.644417983094,41,35
395.87707081554436,3.959822619753342e-06,0.002501964569091797,30,29633,30658.99797427466,40,40
2542.9680826407143,9.055473932417884e-06,0.0019974708557128906,11,29787,37102.36086506965,39,35
2104.509434980447,7.954831347648085e-06,0.0015053749084472656,10,29879,36251.62772632405,40,36
2929.5054517386407,9.410519870169311e-06,0.0019974708557128906,10,29754,37385.18161648742,40,34
2942.638254817731,9.535852569025502e-06,0.002501964569091797,13,29563,37350.56990621752,41,34
2282.4741103274805,8.43994323283456e-06,0.001998424530029297,10,29440,36523.7541819296,40,36
2610.4437628270593,9.097767019909427e-06,0.002506256103515625,10,29691,37091.30978236752,40,34
2431.866260855817,8.853595151132847e-06,0.002995729446411133,11,29833,36836.01061142769,41,36
2539.2802694607913,9.940552756181211e-06,0.002502918243408203,12,29795,37438.09858877459,39,34
2362.7661665506907,9.720913870065963e-06,0.002997159957885742,12,29850,37288.60371415952,39,35
2399.834083556709,8.790640967406927e-06,0.0025098323822021484,11,30250,36925.41938273915,40,35
2776.640100892841,9.200710326741664e-06,0.0019986629486083984,11,29954,37248.422840138075,40,35
2528.7950494748166,1.1049573412733273e-05,0.002508878707885742,10,29996,37475.963836404444,40,34
2939.581389841053,9.528710184923252e-06,0.0029969215393066406,11,29817,37451.78587868572,39,34
1922.1942732961459,8.534173353157253e-06,0.003010988235473633,10,29989,36573.08597891281,39,36
2230.6264844619104,8.447264752680503e-06,0.0019965171813964844,10,29664,36472.49181049722,40,35
2441.004718516001,1.1102199130524273e-05,0.0030050277709960938,10,29820,36913.40246187148,40,35
2422.8977015308797,8.598837263996606e-06,0.001997709274291992,11,29967,36735.254420136305,40,36
2651.018029246876,9.441892744696185e-06,0.0030035972595214844,10,29795,37327.383511029846,39,34
902.7528396749541,5.582432151086912e-06,0.0019986629486083984,24,30233,33328.22393036277,39,38
2626.2686324609963,9.230493874855123e-06,0.002003192901611328,10,29485,37069.2709614662,39,35
2365.840543744915,8.798563609363296e-06,0.002998828887939453,10,29774,36839.828355537684,40,35
343.623495192159,4.115227770931923e-06,0.001996755599975586,31,30123,30999.921545612036,41,41
2624.3615327945367,9.296255123223517e-06,0.002008676528930664,10,30075,37240.37134377068,38,33
2177.4371072114527,8.245115551959665e-06,0.0029969215393066406,10,29865,36463.7015195261,39,35
2589.4960018758625,8.747333773649708e-06,0.0019998550415039062,10,29959,36905.8534692711,39,34
2302.2892673095907,8.542727560790285e-06,0.003010988235473633,12,29492,36565.54197329363,39,36
2730.511477222419,8.912170398288828e-06,0.002512693405151367,10,29632,37122.80935322095,38,33
2352.7147754487655,9.19865855185086e-06,0.0035135746002197266,11,30057,37066.52048986628,39,34
2625.0980736091697,8.826991067301376e-06,0.0020008087158203125,10,29828,36978.707538053444,38,34
1780.8474582087576,8.122581514494115e-06,0.002996683120727539,10,29783,35622.301099749275,39,37
2728.829307441388,9.123216362008788e-06,0.0025153160095214844,10,29561,37166.844302240424,38,34
2284.8315422500104,9.372670863716771e-06,0.0019989013671875,10,30006,36529.136330643625,39,35
2727.2356302806124,1.1723667635029492e-05,0.0029976367950439453,10,29945,37585.309368856186,37,33
2464.941102590538,8.539704265791646e-06,0.0029973983764648438,10,29807,36815.01335997307,39,34
664.7117807746346,4.7357738310711085e-06,0.002996206283569336,26,30013,32043.39779710867,39,39
2692.4259516711277,8.940999619871088e-06,0.0025026798248291016,11,29849,36992.90175945439,39,34
751.4281163499077,4.863609182492699e-06,0.0019974708557128906,25,29912,32267.029465425152,39,38
2669.567511794177,9.223105978623851e-06,0.0025098323822021484,10,29700,37116.1039725932,39,34
2510.8975741738877,9.338726130778703e-06,0.0029964447021484375,13,30105,37149.5978745579,39,35
2631.745522988939,9.046806201246095e-06,0.002501249313354492,12,29557,37067.40964146721,39,34
2488.7661154295038,8.316056487225604e-06,0.001998424530029297,10,29443,36551.123918510435,39,34
2837.3733594997425,9.372856726356847e-06,0.0015065670013427734,11,29910,37326.806510600734,39,34
1011.4967779461713,5.3893265529470345e-06,0.0019974708557128906,23,29870,33232.64326718029,39,38
2361.5515817267997,9.514952168486949e-06,0.0035009384155273438,10,29722,37202.27075653381,38,33
2924.5752674208725,9.293417037089333e-06,0.0035178661346435547,10,29798,37375.83315592048,38,33
2390.779621284272,1.4401576414165691e-05,0.0035135746002197266,10,29758,36783.105014631146,39,35
2277.26159543564,8.72805180865908e-06,0.003006458282470703,10,30102,36737.90997619306,39,35
2635.386323064753,8.882321051213732e-06,0.003512144088745117,10,29983,37112.89557138448,38,34
1683.8403615552486,6.974810218356763e-06,0.0029985904693603516,10,29861,35359.257854127725,40,37
1841.1612962835754,7.680077610367315e-06,0.002996206283569336,10,29793,35709.886437515066,40,37
2299.4595054596584,8.581808348936578e-06,0.0025119781494140625,10,29786,36623.0754519357,40,35
2356.618972824319,8.640374563656264e-06,0.002996683120727539,11,30010,36808.95233310824,38,34
2270.848135053735,1.8823396514142906e-05,0.002507925033569336,10,30093,36900.29653099386,38,34
2126.7875203825133,8.077568122041828e-06,0.0019969940185546875,10,29914,36293.0732192393,39,35
2561.8319749466286,9.089718594230236e-06,0.0025103092193603516,10,29905,37174.610016868675,38,34
2856.390914805486,9.044949416095587e-06,0.0029976367950439453,11,29821,37125.94900131425,39,34
2155.9407433965007,8.127298672251116e-06,0.002501964569091797,16,29716,36212.5731835691,39,35
