rmse_I,rmse_Beta,time_predict,7,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
15022.226518571417,2.7937441705737077e-06,0.0,28,10167.0,19728.016077250035,31,45
19232.53668961639,3.5130127409306945e-06,0.0,24,11492.0,25966.925421544038,27,39
15796.39215449178,2.8785484462880656e-06,0.0035753250122070312,24,13057.0,21438.098934214304,29,39
24595.746429824503,5.185080239628722e-06,0.0010085105895996094,22,10242.0,39530.09630838523,25,35
18062.944055579497,3.2350725229801584e-06,0.0,23,10445.0,24418.914639008737,26,38
11942.677504638938,2.2884358110829444e-06,0.0,26,13178.0,15669.669006500813,29,40
25533.073740038486,4.950314798904315e-06,0.0,27,11406.0,37919.52439113098,30,39
22716.322239710695,4.27061640214233e-06,0.0,23,15186.0,34470.35931346617,28,36
20152.967288794964,3.6959941862346774e-06,0.0020160675048828125,23,10430.0,29109.59279583041,28,38
19803.574393668856,3.5665020517058592e-06,0.0,23,11663.0,27900.662236793087,27,38
11116.805085993246,2.5269931891953032e-06,0.0,25,11779.0,15601.392591673459,27,41
25914.034984714333,6.347302645157052e-06,0.0,18,13293.0,45483.42591525806,22,29
27412.426168953833,7.109533370514244e-06,0.0,17,15650.0,48600.32785065369,22,27
25544.39012806168,5.482799600004941e-06,0.0,17,11572.0,41780.64610595709,20,29
29489.161046751182,6.515715293504695e-06,0.0,19,12504.0,46460.50829342532,24,30
20302.894390782207,3.6454702306234458e-06,0.0,26,14216.0,28816.411785809432,29,39
27115.07109235746,7.76546019373945e-06,0.0,19,13082.0,51013.87316155875,24,29
25304.683238055673,5.95518884337962e-06,0.0,18,14199.0,43483.73452492253,22,29
26535.11909231558,6.598582946195929e-06,0.0010416507720947266,21,14322.0,46161.930539674984,25,32
28371.66744201844,6.524607436010422e-06,0.0,16,14976.0,45931.204950423664,21,27
25761.756584935687,5.252699055008641e-06,0.0,15,13464.0,39649.75305243424,19,27
25968.5713621546,5.103420218570976e-06,0.0010020732879638672,16,12459.0,38669.94528243495,19,28
25785.4709752211,5.899305398185815e-06,0.0,16,12879.0,42978.43875318518,20,28
24220.7676600967,5.079019622520763e-06,0.0010006427764892578,16,16433.0,38905.51500595683,19,27
23385.38138494596,5.5250684298831026e-06,0.001001596450805664,15,14822.0,41513.56819334441,20,27
23881.023897421623,4.423055936673252e-06,0.0,18,14720.0,34786.16714208116,22,30
23755.541052475994,4.342267103406243e-06,0.0,16,15382.0,34919.399948666636,21,29
25049.647361259806,5.011582191713633e-06,0.0010008811950683594,16,13777.0,38963.299750386366,19,28
25336.85220481046,5.904428333368496e-06,0.0,18,13565.0,42783.90806467836,24,30
26931.805559845172,5.856056590172936e-06,0.0,15,15178.0,43534.676074543,20,26
27362.53429342096,6.398834908669189e-06,0.00099945068359375,15,16159.0,45779.943402272314,19,26
28761.670242145574,7.622495234447909e-06,0.0009989738464355469,15,16058.0,50350.16265315123,20,25
27412.44707172162,6.61699376945212e-06,0.0010001659393310547,15,14744.0,46532.129639304265,21,26
27703.363382439045,5.824546537157268e-06,0.0009996891021728516,17,15119.0,43229.5431197277,21,28
27051.88767056622,6.5101640157556054e-06,0.0,14,15514.0,46366.33460535377,20,25
26077.96311767112,7.290571120552489e-06,0.0,15,16133.0,49437.29101288237,20,25
26070.74689389981,6.0451535291162456e-06,0.0,14,15455.0,44168.555545506955,20,26
27729.85993100595,6.409715025569603e-06,0.0010082721710205078,15,14976.0,45809.48606314647,20,26
