rmse_I,rmse_Beta,time_predict,day,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
8170.75888661195,3.2815725638007427e-07,1.7245478630065918,29,33894.0,13224.511965507376,38,34
28449.300984188954,2.2191730900520094e-07,2.947883129119873,16,126006.0,49105.88223641257,28,25
89143.78128675786,5.761897403900947e-07,2.204664945602417,11,312285.0,48215.46091777429,20,19
9183.963048059839,8.067290589534206e-07,1.23140287399292,18,31833.0,12105.724378149278,25,22
87725.99223024215,6.368426723434384e-07,2.292417526245117,10,294723.0,38250.380829580376,19,17
2489.2885703014813,1.5486332006776893e-06,1.572509527206421,22,11617.0,9076.833333333334,24,23
2109.666155032841,6.102252340474692e-07,1.0805482864379883,16,13766.0,11400.471675771203,19,18
79710.97975335762,7.72099257527723e-07,1.805919885635376,8,249411.0,37584.40618845181,17,13
23769.315043021816,5.25383578327043e-07,1.9426302909851074,12,97746.0,32308.93636144097,20,17
39544.858054505334,6.252939870116324e-07,1.890134572982788,10,131282.0,26044.961851089094,18,14
16211.201952832078,7.781943362553583e-07,1.4747884273529053,12,84501.0,44219.84335554546,19,16
82528.5274857428,4.0229439749831345e-07,2.334455728530884,11,300377.0,45146.608981339064,23,20
81231.70637664323,6.999874005648218e-07,1.7557010650634766,9,247795.0,41004.15758915863,17,14
36946.983188296974,5.48597043259782e-07,2.8468844890594482,11,147767.0,33194.12688713515,20,19
19513.401257807604,4.1924628691292425e-07,2.208301305770874,27,80549.0,19976.609486115995,40,38
109911.55739907362,7.149568514384636e-07,2.0321156978607178,9,357678.0,49890.843839424575,17,16
41919.9484878285,4.1937863502268366e-07,2.0704054832458496,12,149057.0,46396.79401404415,22,18
6972.1506562084305,9.904055628978443e-07,1.5551276206970215,17,24677.0,10656.817422660748,23,20
32189.726552812015,5.505102200988482e-07,2.479304790496826,16,135349.0,35341.145951706254,25,22
58306.831077989926,8.499590304768018e-07,1.712895154953003,9,199070.0,44871.05942776875,17,14
11679.751002178731,3.248773763314756e-07,1.7151110172271729,19,43524.0,22217.55956453202,30,23
