rmse_I,rmse_Beta,time_predict,day,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
11517.66191573073,4.517585340786546e-07,0.008014678955078125,29,33894.0,10976.152436371016,38,31
40581.89091244259,2.6876292265025993e-07,0.0,16,126006.0,16844.61675433484,28,24
82988.29446081448,5.635989239698672e-07,0.0,11,312285.0,64915.990120733746,20,22
10568.38181399205,9.450194892242577e-07,0.0,18,31833.0,10547.770147941466,25,20
77179.41961192405,5.505202696484709e-07,0.0,10,294723.0,69625.49730949508,19,21
3089.6450217724805,1.5639967095430106e-06,0.008014678955078125,22,11617.0,9076.833333333334,24,23
2419.562303925471,8.328255632696304e-07,0.002036571502685547,16,13766.0,10995.333333333334,19,17
60907.65206689782,5.293677675752131e-07,0.0,8,249411.0,97344.48235759881,17,19
25734.7292477642,6.322511787562492e-07,0.0,12,97746.0,25877.851838860195,20,19
33179.59442327214,5.039910971914633e-07,0.0,10,131282.0,37106.66699276879,18,18
18027.916847836703,9.414795828658726e-07,0.008013010025024414,12,84501.0,39002.39700837479,19,16
83321.09432810378,4.128391760194441e-07,0.002012968063354492,11,300377.0,43214.09387933403,23,23
66720.42877200356,5.261545701850286e-07,0.0,9,247795.0,84183.83364397628,17,19
34661.60766409599,5.406368100990335e-07,0.0,11,147767.0,39235.74671659154,20,22
26449.392044107353,5.023369192407108e-07,0.0,27,80549.0,10788.0,40,28
90323.53610243335,5.56469557362652e-07,0.008017778396606445,9,357678.0,121541.56551586915,17,21
45498.55610364257,6.170156817990929e-07,0.002015352249145508,12,149057.0,34428.73057893626,22,20
8064.818655045015,1.238109298435434e-06,0.0,17,24677.0,9772.0467293216,23,19
38719.89951844961,6.381362305951191e-07,0.0,16,135349.0,18664.728064165894,25,21
49112.96135910763,7.003673613386507e-07,0.0,9,199070.0,75196.8213434713,17,18
15315.943720715568,5.156966879360778e-07,0.015623331069946289,19,43524.0,16339.654192902486,30,21
61113.96183248861,6.535565715927371e-07,0.0,9,258829.0,113198.67992118004,18,19
65932.36344086865,5.190143310545817e-07,0.0,8,254487.0,92668.0247928774,17,19
70357.49898099406,4.0307165662258446e-07,0.0,9,291980.0,102892.69563976426,19,21
10345.314361469473,6.079926783145673e-07,0.015623092651367188,21,39081.0,15428.0296318069,28,23
72127.20507918789,3.480288728822e-07,0.0,12,268585.0,41528.18828457739,23,24
19680.3093351567,6.132195584447718e-07,0.002011537551879883,15,75692.0,27660.023567649885,22,19
24120.95492540973,5.487968822940714e-07,0.0,29,67445.0,9302.179743041997,39,31
2610.0968068999105,5.954349917654456e-07,0.0,15,13464.0,9132.5,19,16
28744.47798967226,4.2052850631033297e-07,0.0,15,97909.0,16013.320499752936,24,21
66820.98266535804,4.688909806495471e-07,0.008027791976928711,9,243005.0,75245.24673152917,19,20
8485.537568205393,6.790383211840231e-07,0.0020151138305664062,19,34844.0,15542.864362501117,24,21
29577.984266548992,8.348457714237267e-07,0.0015113353729248047,11,129029.0,47578.993771095804,19,18
4353.265851998028,3.4644853157624673e-07,0.0,14,27553.0,16985.166666666668,19,15
19356.332651958193,7.568914987489739e-07,0.0,13,85025.0,29165.459808057443,20,17
19245.916988065626,7.918580266225645e-07,0.008232355117797852,12,67342.0,19485.738504208948,20,16
41345.26143595437,5.446647692811491e-07,0.002009868621826172,19,127866.0,18088.810494784055,27,22
31781.03628089608,8.073814810892749e-07,0.0,10,115059.0,28476.842088157846,18,17
29107.232319480492,5.187069215684759e-07,0.0,28,85967.0,9138.0,41,29
36410.55397239375,5.62606265153775e-07,0.0,20,120396.0,21101.692122962657,29,23
25358.792429930723,9.489056356442796e-07,0.0,9,103314.0,41196.23462959363,16,16
17482.887294095497,4.6664649919656264e-07,0.0,25,49631.0,11528.209869528764,35,27
44662.93560491193,6.873323501506098e-07,0.0,10,189499.0,62229.582304289834,18,19
4324.005685305577,5.516039913960219e-07,0.0,15,24345.0,14696.166666666668,20,16
78662.57668668522,5.200219229236348e-07,0.0,9,295718.0,68917.64448960953,19,21
36594.254842373506,7.111998855284432e-07,0.0,9,128560.0,36358.27544666945,18,18
