rmse_I,rmse_Beta,time_predict,day,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
43465.11979063079,9.695228988687573e-07,0.0020482540130615234,29,33894.0,68233.16297451097,38,52
73589.80939785556,8.76421254519256e-07,0.0,16,126006.0,258871.3620170854,28,33
46011.97113733229,2.4710411756062356e-06,0.0,11,312285.0,405210.2573753954,20,20
33340.15874813449,1.6164383635064222e-06,0.0,18,31833.0,49795.64219052205,25,37
45280.83688503467,3.159399258061996e-06,0.008011341094970703,10,294723.0,402409.36824000085,19,18
27908.61801151037,3.816206444787452e-06,0.002006053924560547,22,11617.0,51860.10989117249,24,36
28929.30175459376,6.299983491373812e-06,0.0,16,13766.0,45755.03189789801,19,26
53729.28863095567,4.197408554127766e-06,0.0,8,249411.0,364741.83540275565,17,15
67792.87286400275,2.487553030641682e-06,0.0,12,97746.0,210149.62862265896,20,22
52870.256585059484,4.1913742580882615e-06,0.008013010025024414,10,131282.0,249293.02692014037,18,18
54892.40430840963,5.733750116792965e-06,0.00022602081298828125,12,84501.0,180173.6811362445,19,19
54972.67510354703,1.2573827624236712e-06,0.0020101070404052734,11,300377.0,334049.4277028857,23,23
55222.87495949061,3.995824592302476e-06,0.0,9,247795.0,361555.007732327,17,16
67932.56252705622,1.6784298762804616e-06,0.0,11,147767.0,313287.7018828273,20,22
40441.101339826615,5.576267019198682e-07,0.0,27,80549.0,55853.559748369415,40,59
46823.50643692904,2.4320817199135554e-06,0.00022530555725097656,9,357678.0,442186.16683598096,17,17
52787.312920674805,2.728785571997288e-06,0.0,12,149057.0,275202.14490668825,22,21
37016.68518177565,6.059208069673304e-06,0.0,17,24677.0,69794.76006703908,23,27
58426.58839171764,1.0963490461714935e-06,0.010048151016235352,16,135349.0,174564.94361028934,25,32
57015.87229789574,4.271402892488692e-06,0.002019166946411133,9,199070.0,308838.3393108782,17,16
51040.063441443104,2.384251504896225e-06,0.0,19,43524.0,124494.90710984793,30,32
53051.12406271334,3.4168564856272333e-06,0.0,9,258829.0,381461.82867891184,18,16
54318.54243118935,4.537972667415117e-06,0.0,8,254487.0,367464.64633315086,17,15
46547.322068186324,2.6493771069651785e-06,0.008026599884033203,9,291980.0,419211.75412928395,19,17
42838.51985918992,3.860623588597185e-06,0.0,21,39081.0,103334.52220066317,28,32
70534.87866464112,1.4473851131790185e-06,0.0,12,268585.0,372632.67908984545,23,23
58766.280401549506,2.5335239741692184e-06,0.0,15,75692.0,183808.89918650678,22,25
47670.71156300213,6.278512898578491e-07,0.008011102676391602,29,67445.0,82460.93320989696,39,60
