rmse_I,rmse_Beta,time_predict,day,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
43060.576989537425,9.581134525051853e-07,0.0009999275207519531,29,33894.0,67515.1263868467,38,52
75216.64980538747,1.2356422813441919e-06,0.0009996891021728516,16,126006.0,305890.226238305,28,31
46843.38437875735,3.2765569564924927e-06,0.0010986328125,11,312285.0,424409.8841439069,20,19
35206.8506662801,1.7234462538135155e-06,0.0009987354278564453,18,31833.0,53143.21382293057,25,37
46289.45157144168,3.734570834136071e-06,0.0009992122650146484,10,294723.0,406172.09771916654,19,18
29112.02766938258,4.3194405114249935e-06,0.0010004043579101562,22,11617.0,56662.94750865018,24,35
30333.558832503484,7.575939420468256e-06,0.0,16,13766.0,50449.45956784221,19,26
53635.68173430579,5.296104015776428e-06,0.0,8,249411.0,366365.7368671894,17,15
68136.35680962903,3.4253601038011353e-06,0.0,12,97746.0,228322.10187319902,20,22
53502.339261484936,5.641878450351541e-06,0.0009989738464355469,10,131282.0,258975.29331667605,18,17
55044.61373786168,7.326492103007768e-06,0.0,12,84501.0,187379.59908983798,19,18
48073.42499037485,2.0259975482090475e-06,0.00099945068359375,11,300377.0,377259.31170959934,23,22
55038.07981889676,5.196462248361554e-06,0.0010001659393310547,9,247795.0,365015.21770715446,17,16
69183.11255102142,2.414155343303328e-06,0.002001047134399414,11,147767.0,337231.99519918597,20,21
47874.314834222336,6.031968992406415e-07,0.0009992122650146484,27,80549.0,73149.6103656792,40,56
46485.25177692419,3.4855929429644336e-06,0.001001596450805664,9,357678.0,450022.4386404954,17,17
53591.00865383279,3.5514498945905644e-06,0.0,12,149057.0,288421.8532650839,22,21
37201.12117499566,6.309337580447278e-06,0.0,17,24677.0,70938.35991693227,23,27
59421.16165794746,1.4470210165456047e-06,0.001001596450805664,16,135349.0,203450.05245847098,25,30
56683.6826351537,5.486271403097281e-06,0.0,9,199070.0,311704.44842467265,17,16
51213.047850015675,2.4165719793839443e-06,0.0,19,43524.0,124298.12483286386,30,32
53858.944899870876,4.3373493490722885e-06,0.0,9,258829.0,385078.6038119652,18,16
54871.58008880151,5.823595046006078e-06,0.0,8,254487.0,370584.3027360882,17,15
50469.161187054764,3.7282858180742746e-06,0.0,9,291980.0,427540.4786633582,19,17
42974.7008324452,3.970728587590849e-06,0.001001596450805664,21,39081.0,104094.23876147818,28,32
66995.35260782704,2.143300592204617e-06,0.0,12,268585.0,405201.54841671884,23,23
58898.558370964536,2.530753791869283e-06,0.0,15,75692.0,179075.89654993257,22,26
52390.986629893065,6.685652333473228e-07,0.0010001659393310547,29,67445.0,100417.18468193788,39,57
25761.756584935687,5.252699055008641e-06,0.0,15,13464.0,39649.75305243424,19,27
91363.5788848173,1.6573889663034097e-06,0.0,15,97909.0,240425.7666951844,24,29
52735.24481925329,4.113324553778624e-06,0.0,9,243005.0,382246.0869298031,19,17
44123.902191680936,1.5523364730294636e-06,0.0,19,34844.0,67176.55254394015,24,36
58163.27321738627,4.6956025002052375e-06,0.0,11,129029.0,250425.73924116333,19,18
34377.94120525365,6.083084916696572e-06,0.0009992122650146484,14,27553.0,69635.20966995048,19,23
50366.20009461643,3.088433902955407e-06,0.0009987354278564453,13,85025.0,169213.91626466025,20,23
