rmse_I,rmse_Inc,rmse_Beta,r2,r2_Inc,r2_full,r2_Inc_full,time_predict,fraq_people,actual_peak_I,predicted_peak_I,actual_peak_Inc,predicted_peak_inc,actual_peak_day,predicted_peak_day,actual_peak_day_Inc,predicted_peak_day_inc
0.5,0.14433756729740643,6.449944757502939e-06,0.5711094564408041,0.31182795698924726,0.9087591240875912,0.47916666666666674,0.0031862258911132812,4,10,5.0,1.0,1.0,1,4,4,4
0.30618621784789724,0.0,5.375791057465519e-06,0.7583216783216783,1.0,0.9553482833895615,1.0,0.0030066967010498047,4,10,4.0,0.0,0.0,1,4,1,4
1.0801234497346435,0.3679900360969936,6.698370676176706e-06,0.31270774737918683,-0.10736468500443674,0.6872469352992097,-0.1026293469041557,0.002999544143676758,4,10,4.0,2.0,0.0,1,4,16,4
0.3679900360969936,0.10206207261596575,5.382821111831723e-06,0.8419252691576948,-0.010526315789473939,0.9558108705258507,-0.010101010101010388,0.002997159957885742,4,10,5.0,1.0,0.0,1,4,8,4
0.2041241452319315,0.0,5.375791057465519e-06,0.717439293598234,1.0,0.9810704651933179,1.0,0.0020003318786621094,4,10,3.0,0.0,0.0,1,4,1,4
2.449489742783178,0.3679900360969936,5.367537301205261e-06,-1.5044612527741283,-0.9289026275115913,-0.23076923076923084,-0.7015706806282722,0.0019998550415039062,4,10,8.0,2.0,1.0,1,4,6,4
3.24037034920393,0.5400617248673217,5.375791057465519e-06,-6.32425068119891,0.0,-1.98083747338538,0.0,0.0020003318786621094,4,10,9.0,0.0,2.0,1,98,1,97
5.620831788979279,1.1273124382057236,5.375791057465519e-06,-71.66483653606186,0.0,-9.440260232005782,0.0,0.0029942989349365234,4,10,18.0,0.0,4.0,1,99,1,98
4.379164684427081,0.8720187306856813,5.375791057465519e-06,-196.25,0.0,-11.732554118542076,0.0,0.003999233245849609,4,10,15.0,0.0,3.0,1,99,1,96
15.407993055553991,3.6199677714955785,7.1867784704437694e-06,-229.23634641692095,-106.15882874889088,-98.18186169981284,-99.1592356687898,0.002999544143676758,4,10,53.0,2.0,13.0,1,99,8,99
3.3819373146171707,0.7144345083117603,5.375791057465519e-06,-376.80645161290323,0.0,-4.597471451876018,0.0,0.003512859344482422,4,10,12.0,0.0,3.0,1,99,1,98
52.91768371726034,13.400481956506887,5.566747294457992e-06,-1204.7275275649406,-2029.6061349693255,-618.9312794022691,-1840.7735042735048,0.0030012130737304688,4,10,192.0,2.0,50.0,1,99,8,99
131.7528462690655,34.601150029057315,5.306853662180419e-06,-3746.015247687084,-7301.289874255461,-2387.450789009761,-7277.974034198857,0.002998828887939453,4,10,506.0,2.0,136.0,1,99,7,99
