rmse_I,rmse_Beta,time_predict,roll_var_npeople,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
276.5261763858387,0.0001047027139779787,0.0,8,2988,3677.2039827721774,31,25
425.09473299091076,0.00033334115724107836,0.0,7,2865,3966.636638907682,31,22
206.59544437136321,9.028234153443006e-05,0.005334615707397461,9,2893,3432.520948037237,28,26
180.4638884456007,8.442474509605837e-05,0.002680540084838867,9,2923,3352.0579432496697,30,26
246.7190206250843,9.656310413135792e-05,0.0069997310638427734,9,2881,3499.5655247935965,31,26
218.82612703342738,9.282957110558294e-05,0.0,9,2892,3509.2293009203004,28,26
174.5612385996595,8.912369100280484e-05,0.0,9,2933,3440.029578183591,30,26
285.76593526846005,0.00010639624637921047,0.006991147994995117,8,2963,3702.7926618857823,29,25
218.5588392945552,9.896389087844657e-05,0.006991386413574219,9,2968,3577.1109717873105,29,25
193.12575917056793,9.33544411148442e-05,0.0,9,3002,3523.836861991195,28,25
178.67452378133515,8.80949420228985e-05,0.0,9,2942,3485.3424969494163,27,25
189.81043691861663,8.751569687996463e-05,0.0026748180389404297,9,2912,3398.180644437322,29,26
151.8793506716775,8.54876258404442e-05,0.006999969482421875,9,2951,3350.2957789835846,30,26
184.4574762802967,9.009751951347204e-05,0.007001161575317383,9,3008,3521.4698192349865,29,25
187.61560385655545,8.923704307577958e-05,0.006991386413574219,9,2982,3463.0006761323716,29,25
146.54019125493298,8.362987754686038e-05,0.007002115249633789,9,2963,3361.087028769135,28,26
194.08666732699825,9.033150653440821e-05,0.006999492645263672,9,3000,3524.551856111918,29,25
209.3362103941583,8.9513373487661e-05,0.0070116519927978516,9,2893,3524.5132752473696,30,26
167.44247254290207,8.502663336916501e-05,0.0010294914245605469,9,2990,3425.076475936564,26,25
169.8859147126751,8.680318707294808e-05,0.0,9,2981,3437.828808918592,29,25
176.64425704533798,9.086638642422035e-05,0.0,9,2902,3436.8525969001003,27,25
181.22429912025322,8.631807018593777e-05,0.0,9,2962,3380.9671667659104,27,25
150.67537613799925,8.263555092345201e-05,0.0,9,3010,3444.2558927211476,28,25
184.78822304732532,8.481763254906334e-05,0.0,9,2906,3364.4965460448343,28,26
178.01233173945212,8.623393854213894e-05,0.0,9,2911,3452.979836774158,25,25
155.83754088152338,8.7160140805357e-05,0.0,9,3013,3429.255884529855,27,25
263.8911298994304,0.00010424371599874866,0.00699925422668457,8,2979,3678.0970989256957,29,24
187.82559298374434,9.062219309518496e-05,0.006975650787353516,9,2991,3494.716933768603,30,25
178.95972915272807,9.196737162250849e-05,0.0,9,2988,3487.0750173177207,26,25
223.31296680383872,9.43364202028615e-05,0.0,8,3024,3589.481405894276,28,24
169.17793993401824,8.827308678621999e-05,0.0,9,3040,3461.2261294556483,28,25
209.2590605929608,8.958852712539297e-05,0.0026764869689941406,8,3032,3499.8909900297785,28,24
176.81003751208843,8.550808528773486e-05,0.002147674560546875,9,3033,3515.1647447301257,26,24
121.76400490582024,7.881183087789536e-05,0.007001399993896484,9,2895,3141.5555554026705,29,26
189.54339457513746,8.782530455149502e-05,0.006999015808105469,9,3010,3466.96601229219,27,24
158.28057382291317,8.428149970369844e-05,0.0,9,3015,3387.1806025830747,26,25
149.48614881258177,8.085409554263539e-05,0.0,9,2899,3261.554673681025,28,25
238.36531083719458,9.891633357918629e-05,0.0,8,2938,3514.0904382455965,29,24
166.89429427953306,8.71525136633252e-05,0.0,9,2986,3401.3367317753086,27,25
332.78042764681635,0.00016736179055420124,0.0069882869720458984,7,3038,3933.166975809172,28,22
162.88101294964116,8.173811809401824e-05,0.006990671157836914,9,3001,3331.7398978069705,28,24
129.7024315904983,8.296961027377564e-05,0.0,9,2980,3366.8612783800863,25,25
146.30297349792892,8.376770294032785e-05,0.0,9,3007,3359.7753656680247,26,25
128.5197509274666,8.026148178315108e-05,0.002673625946044922,10,2926,3301.50297863798,29,25
145.00390012850858,8.229463066017901e-05,0.0026862621307373047,9,2986,3346.2877614114286,28,25
322.0896542592152,0.00031296376507531493,0.006996631622314453,7,3019,3877.2592472061588,26,22
113.34996054976881,7.193528369322833e-05,0.007000446319580078,9,2947,3312.9924101271913,27,25
144.2491252029132,7.915541494378628e-05,0.006997585296630859,9,3056,3449.729270866133,28,24
141.42413451060798,7.853455135847209e-05,0.006997585296630859,9,2945,3368.100300366933,28,24
172.22043856451916,8.359646555288283e-05,0.0,9,2986,3439.0709844129137,26,24
307.9429060642091,0.00012967414895421876,0.0,7,2908,3848.540534368122,27,22
126.84844909692004,8.207302770914478e-05,0.0,9,3049,3397.1535921173577,28,24
156.3749367973545,8.52681965459156e-05,0.0,9,2958,3369.87748565277,28,24
146.31843585580432,8.221219435082888e-05,0.006996870040893555,9,3011,3300.7689737289866,27,24
140.1757772654436,8.604626769921759e-05,0.006952762603759766,9,3080,3428.601609813632,27,24
147.5898388729983,7.768047360555243e-05,0.006994724273681641,9,2964,3336.606786509493,27,24
162.4314027649801,7.503612205746723e-05,0.007021903991699219,9,2887,3289.842103243326,28,24
173.08202123868418,8.582937179678812e-05,0.0032155513763427734,9,3007,3473.1269212888583,26,24
126.81606491317325,7.825552824537697e-05,0.0070018768310546875,9,3089,3315.7590017815787,25,24
103.46320467176089,7.992993570718143e-05,0.0,10,2983,3288.8662177318633,26,24
195.47340827101146,0.00010565500421848082,0.0,9,3143,3710.03859218538,27,23
224.54016142014527,0.00011719448262357869,0.0,8,3175,3813.06803210468,25,23
230.28849289854116,0.00012191695631911238,0.0,8,3192,3863.843183213139,28,22
206.6463108427956,0.00010908557390134882,0.0,9,3178,3735.0071077560992,28,23
226.42906860012297,0.00012106030323743596,0.0,8,3196,3830.782518085121,26,23
265.1140187366014,0.00012670384595521613,0.0069959163665771484,8,3182,3876.5455350828847,26,22
197.09471618700326,0.00011918607785059138,0.0072667598724365234,9,3191,3758.0239131728713,24,23
273.48191583133035,0.00014235570329806384,0.0019183158874511719,8,3172,3913.792801623651,25,22
149.18027602263658,0.00010439236304055802,0.006996870040893555,9,3275,3678.5234949644514,25,24
156.25974339579278,0.0001094635012433238,0.0,9,3185,3598.393983199874,27,24
165.23257312015278,0.00010033051587127416,0.0,9,3211,3682.2586854788346,25,23
195.64429947546228,0.0001004341743136717,0.0,9,3147,3664.656125301549,27,24
182.7854628831729,0.0001049040423905039,0.0070037841796875,9,3193,3683.431879258984,26,23
160.42824144201177,9.836280671371505e-05,0.0,9,3224,3608.5012091566723,26,24
177.7580644734449,0.00010303931054238421,0.0,9,3229,3690.1817124242166,28,23
167.36763284635148,0.0001013514197323673,0.0026519298553466797,9,3216,3708.5333983104592,26,22
180.8075751356527,0.0001060198387463623,0.006989717483520508,9,3226,3707.7140489732806,26,23
151.65724112861264,9.658509079473708e-05,0.006998777389526367,9,3168,3576.638725345206,27,24
163.2386411927205,0.00010400199319082526,0.0,9,3247,3673.0638027250266,26,23
164.42390167278649,9.239557075547444e-05,0.0,9,3154,3596.9991851105297,25,24
163.48742158579964,9.699298784206305e-05,0.006992816925048828,9,3204,3618.4765867431047,25,24
166.35853100778652,9.936334885907344e-05,0.006995201110839844,9,3242,3654.9977159954624,25,23
161.68442724753996,9.134511399445373e-05,0.0,9,3094,3484.109291568183,26,24
150.83598338460683,9.833461808489714e-05,0.0026731491088867188,9,3238,3649.92998480591,26,23
136.77617767132804,9.287382435042378e-05,0.0019812583923339844,9,3217,3608.5184226794718,26,23
201.22823760071935,0.00011362703112463519,0.007001638412475586,8,3255,3791.1905630153447,27,22
153.08341053203742,9.015868929066907e-05,0.0,9,3232,3575.415029648505,26,23
203.08095245528725,0.00010444091172709508,0.0,9,3164,3705.984935487036,25,23
171.18423038822596,9.78400963915549e-05,0.006994009017944336,9,3137,3615.733891053408,26,23
218.78531075687158,0.00013604158895152556,0.00699305534362793,8,3244,3812.4121449570066,27,22
223.89023369822357,0.00010594337053496805,0.0,8,3221,3751.295100815272,25,22
146.75939923944833,8.952245025026779e-05,0.0,9,3220,3600.643759437533,25,23
134.8777431369907,9.24751048513795e-05,0.002675771713256836,9,3315,3599.11513995264,25,23
321.58969900157047,0.0002510774763511477,0.0070111751556396484,7,3245,3995.7332321584668,25,20
156.47373722873886,9.759106253733251e-05,0.0070002079010009766,9,3224,3661.168015130473,24,23
133.08595858403925,9.09337565736086e-05,0.0,9,3201,3562.7316107799284,26,23
176.4340190597912,9.45932778018706e-05,0.006991147994995117,9,3102,3598.3676574909214,25,23
189.4883648242543,0.00010386654359867586,0.006991147994995117,9,3197,3709.216254299136,26,23
170.0510764158794,0.0001013418918279232,0.0,9,3244,3685.7774676343392,25,23
194.00271877384532,0.00010356025589478891,0.0,9,3180,3712.6579634485206,26,22
302.3631224028549,0.00019718299883515078,0.0,7,3198,3977.917254390359,26,20
164.21352529365214,9.441220465948232e-05,0.0026733875274658203,9,3150,3595.260306533179,25,23
218.85800484474845,0.00014129776296636378,0.007002830505371094,8,3158,3815.4886636072724,25,21
131.48319944247854,9.116024610164557e-05,0.007007122039794922,9,3212,3564.3501186241588,25,23
127.73055437110719,8.372482186848105e-05,0.0,9,3207,3604.4571653551,27,23
