rmse_I,rmse_Beta,time_predict,roll_var_npeople,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
415.98791089950726,0.00018845899495885138,0.0,8,2988,4002.291942166758,31,22
501.09968680070955,0.0004041730680192828,0.0,7,2865,4089.7701794693676,31,21
375.5232824355782,0.0001397176649016377,0.0,9,2893,3905.9477708071163,28,24
362.8363549560977,0.00013631734259161833,0.0,9,2923,3879.760862665862,30,24
406.1109258445381,0.00015339318695306375,0.0,9,2881,3915.2160490653982,31,23
371.6654044398965,0.00014354682928762556,0.0,9,2892,3926.4299531903716,28,23
330.80729852499235,0.00014197441446247948,0.006515026092529297,9,2933,3893.1121780212643,30,24
423.6726548174848,0.00020094396757825664,0.0,8,2963,4019.7513903279314,29,22
347.477998484302,0.000152632072088326,0.0,9,2968,3924.9814333148893,29,23
337.5338795130713,0.00014220808953103442,0.0,9,3002,3920.778857504209,28,23
317.02649929426207,0.0001406026294594414,0.0,9,2942,3900.262094154704,27,23
358.73509661280116,0.0001290399121168547,0.0,9,2912,3867.960037055346,29,24
340.2524238517872,0.00013550763497374772,0.0,9,2951,3892.1671186092426,30,24
319.418431594511,0.00014612713818849335,0.0,9,3008,3918.576275539366,29,23
342.32034080868664,0.00013484374065847265,0.0,9,2982,3898.388629923445,29,23
320.7390788467071,0.0001359371897590729,0.0,9,2963,3879.7781395437783,28,23
321.55826017692476,0.00014754707505458195,0.0,9,3000,3904.707429396636,29,23
340.7682929081001,0.00014315925879090357,0.0,9,2893,3909.388307910779,30,23
324.499936245993,0.00013355773834253226,0.0,9,2990,3898.6285075951096,26,23
314.57739779188955,0.00013639279829775902,0.0,9,2981,3885.413817593936,29,23
323.9774478839877,0.0001363583388395497,0.015623331069946289,9,2902,3885.2640913720907,27,23
350.3190167079938,0.00013299143832491158,0.0,9,2962,3875.6541703400653,27,23
286.6299966963878,0.00013258361570962914,0.015641212463378906,9,3010,3880.0107499933306,28,23
357.57280995938845,0.00014063689076947972,0.0,9,2906,3873.8951184346506,28,23
309.7191270497742,0.00013014543517581302,0.0,9,2911,3872.6800749376807,25,23
305.2822589313951,0.00013115288281573698,0.0,9,3013,3874.518270850401,27,23
387.6670401371361,0.00019706566114208445,0.015627145767211914,8,2979,4000.9902693583504,29,21
327.8228270541837,0.00014119038969884572,0.0,9,2991,3907.504261008469,30,23
319.3321229828836,0.00014122736958205656,0.0,9,2988,3888.5614758906363,26,23
382.7624163568835,0.00018920002011813385,0.0,8,3024,3986.5059390127126,28,21
315.62515009127253,0.00013255989418173856,0.0,9,3040,3886.4847439539685,28,23
378.1940508637458,0.00016638235966763397,0.0156252384185791,8,3032,3945.544630149414,28,22
