rmse_I,rmse_Inc,rmse_Beta,r2,r2_Inc,time_predict,fraq_people,actual_peak_I,predicted_peak_I,actual_peak_Inc,predicted_peak_inc,actual_peak_day,predicted_peak_day,actual_peak_day_Inc,predicted_peak_day_inc
5370.930041594544,1344.6051227110897,0.00010060519357425281,-21824.06713359234,-19776.868952615405,0.003880739212036133,4,105,12324.339391493097,38.0,3877.981807200001,9,17,6,16
5163.524886550592,1307.2851452696261,0.00010259145030015856,-8842.840470369356,-8334.738333990044,0.0015060901641845703,4,171,14495.845958068408,55.0,4811.706327518027,10,16,8,14
5522.2247866094085,1410.9441809855643,9.892769916096594e-05,-7036.274921674238,-7035.887553027688,0.0,4,187,15393.139912628594,64.0,5229.888719165096,9,16,6,14
5328.757063619027,1340.6539021829146,8.338718070645903e-05,-6661.495884024239,-8309.988701445,0.0,4,186,15474.922097064862,56.0,5055.17847153569,11,17,5,15
6768.092798909172,1708.3690632446758,8.84809334956325e-05,-15632.330952689257,-13737.30807647992,0.001001119613647461,4,162,16769.933070483115,57.0,5446.685927392292,7,16,7,14
5483.332001668794,1421.9052740139014,0.00011464283849015017,-4588.127396234902,-5617.743248249109,0.0009996891021728516,4,273,18258.48867819262,78.0,6424.579317564618,9,14,8,13
6236.859273822975,1580.5947160524013,9.739367183359057e-05,-4825.595331132917,-5805.550669914141,0.0015091896057128906,4,267,20141.606526469375,74.0,6591.974481403939,10,15,6,13
6826.12745224978,1759.490189515741,8.921239152398439e-05,-9083.961363684366,-11744.96319316849,0.0,4,212,21470.45663792426,64.0,7261.265306629815,10,15,4,14
7259.312836484195,1852.8354068295876,7.226519188845468e-05,-12258.214279339492,-15263.688665362884,0.0,4,221,22446.31487260604,62.0,7557.774057214294,11,16,5,14
6653.615730454869,1692.906365335844,8.782015227435107e-05,-4711.481087168335,-5646.537781599076,0.0010004043579101562,4,316,23523.595004499086,90.0,7813.8473130474995,9,15,6,13
6595.489326904676,1726.0310113610817,0.00010392690611122076,-1966.3350832652498,-2737.784759103306,0.0015063285827636719,4,482,24199.52342750511,130.0,8920.920662411034,12,14,8,12
6283.754360104705,1644.0530092794995,9.994085767215008e-05,-1875.1282809463062,-2648.885928945873,0.0005071163177490234,4,456,25158.725253652643,127.0,9267.58667770753,14,14,9,12
7004.577719663151,1774.3380758332949,9.61834323656159e-05,-4644.524541377592,-5836.992452509308,0.001001119613647461,4,319,27716.095934403154,94.0,8977.592417282944,14,14,4,13
6286.94860894417,1638.6431230900373,9.532660983815949e-05,-3361.335338842834,-4939.256018123984,0.0009996891021728516,4,396,29484.87545270734,103.0,11598.683314999995,13,13,6,12
6716.650766072253,1767.2408150023691,9.277788886587428e-05,-2116.6560976419682,-3254.708658938425,0.0010209083557128906,4,454,30829.544567473116,104.0,12318.270476563455,19,13,5,12
6693.527745549612,1714.97098760059,9.033883197988179e-05,-1024.702725817565,-1429.3226077979252,0.0019979476928710938,4,701,31884.968253837626,182.0,12204.613214605131,18,13,10,12
6943.9186401707275,1759.6129125095886,8.14137451400959e-05,-3522.7441746078466,-4908.517932398083,0.0010056495666503906,4,392,32631.28676344268,96.0,10629.738127103737,12,14,5,13
7421.818427950168,1852.7893768998056,9.759307335659192e-05,-1679.2649532554217,-2136.224658934848,0.0015075206756591797,4,614,35276.30862302275,148.0,12647.833626073938,17,13,10,12
7322.897139241481,1934.1065780341658,0.00010019901469901206,-2649.736662962445,-3595.670606872909,0.0015072822570800781,4,534,34752.440174593605,141.0,13298.86277283986,16,13,5,11
7918.72643424426,2155.7363211119946,0.0001149002591540313,-257.89427208824543,-428.4816299512567,0.0009999275207519531,4,1594,38286.39472557501,330.0,17080.629112111397,44,12,41,10
8454.008558424994,2100.5201337822027,0.0001040544151691213,-109.27969333294016,-154.34693855336621,0.0009996891021728516,4,2421,40833.07785623631,520.0,15560.58179197237,40,12,40,11
8612.58182780644,2152.182800008031,8.414605544935429e-05,-93.51625489755155,-138.27266977067964,0.0009999275207519531,4,2659,40842.42968681161,579.0,14611.27488846019,62,13,50,12
8513.227939056975,2326.660540165128,0.00010696131263340908,-39.58004492218897,-69.7467044597355,0.0010001659393310547,4,3792,41226.39674693085,817.0,18446.270849356864,45,12,41,10
5137.896745364317,1259.5305202314546,1.5671949410036526e-05,-7.432428560073159,-12.628386699017131,0.0019829273223876953,36,4982,23929.16358329159,1042.0,6234.048576514886,43,47,39,44
6986.00181424356,1894.3240296011597,3.041466337789989e-05,-5.560599466571501,-10.120581090420055,0.0009987354278564453,20,7599,36461.03534863208,1648.0,11474.291013347045,39,28,33,26
7088.725440773864,1939.778957574173,2.9655228020839054e-05,-3.822307366967215,-7.242131116279591,0.0010063648223876953,20,9234,37382.2198918173,1962.0,11760.25747817924,38,28,37,26
8043.170521913064,2213.406244161427,3.8488371079619284e-05,-3.54666428775165,-6.454948854987599,0.0010077953338623047,15,11046,40919.24722783976,2436.0,13412.63866306212,35,22,29,21
9215.852953772404,2560.7272821086403,4.8274590509218684e-05,-2.8965742252241444,-5.312801310693366,0.0009996891021728516,12,13534,44191.47739526236,3085.0,14693.356054482603,30,19,27,18
10595.123619536464,3261.699810151682,9.732232496090889e-05,-1.5144434181032835,-3.576092083475448,0.0009999275207519531,7,19896,49893.31625860662,4850.0,23128.10760591876,23,13,19,11
3047.9795084033167,762.6676727994748,0.00013592980409741736,-3914.702493159264,-3669.4070171146886,0.001001119613647461,4,154,8773.318233119327,53.0,2738.1000690008646,10,16,5,14
