rmse_I,rmse_Inc,rmse_Beta,r2,r2_Inc,time_predict,fraq_people,actual_peak_I,predicted_peak_I,actual_peak_Inc,predicted_peak_inc,actual_peak_day,predicted_peak_day,actual_peak_day_Inc,predicted_peak_day_inc
13.966742068110953,4.029052045345021,2.9336548603433797e-06,0.8524134356928679,0.8224193150458041,2.5459907054901123,4,105,109.38672888016139,38.0,37.5,9,7,6,5
53.57296519499854,11.342813719737073,3.310009767506512e-06,0.04799392383545242,0.37245478804909615,2.860229253768921,4,171,190.22288048371558,55.0,60.29999999999973,10,10,8,5
66.9128435774516,14.424527538523506,3.1921927576337564e-06,-0.033226005563401495,0.26453139279898774,2.890207290649414,4,187,207.83420827401568,64.0,59.09999999999732,9,12,6,5
29.27451120562631,7.441666004241982,2.7840785253959994e-06,0.7989220652922888,0.7439294188802597,3.0975754261016846,4,186,164.01465550187208,56.0,56.0,11,10,5,4
75.26981795065855,16.46706357813506,2.92916715843743e-06,-0.9335733139933016,-0.27644521369068675,2.323835611343384,4,162,184.42950215174662,57.0,51.60000000000042,7,11,7,5
51.873017180672846,11.714004388098875,2.9638617056014912e-06,0.5893006187168608,0.6186632843124936,3.7987616062164307,4,273,235.76858157807277,78.0,71.40000000000003,9,9,8,5
140.14612832603407,28.649511808877172,3.1247698246050085e-06,-1.4370879791918703,-0.9077067684251598,3.678307294845581,4,267,308.48746643392684,74.0,68.0,10,17,6,4
36.61144946075261,8.966743826942109,2.651060226927021e-06,0.7386586409518795,0.6949405652286957,3.489910364151001,4,212,184.5216776690015,64.0,62.0,10,7,4,4
48.33163055298893,11.346500887452738,2.2502536032754613e-06,0.45658139245135165,0.42754919391466506,3.3221118450164795,4,221,180.30172715104345,62.0,62.0,11,8,5,4
809.3588089135768,165.97235660248325,3.585810825392073e-06,-68.72947341415387,-53.283118584625406,4.250626564025879,4,316,1376.5472808013399,90.0,285.3919759494129,9,32,6,27
916.1961649785162,188.2598298440916,3.2359253990674515e-06,-36.963061817489404,-31.581872311836726,4.413786172866821,4,482,1682.3413426497123,130.0,349.4036904934494,12,31,8,26
662.9625133530058,135.8199042525847,2.404644673654229e-06,-19.883441762393335,-17.085161283766453,5.215465307235718,4,456,1282.3845674411746,127.0,263.3471425658755,14,31,9,26
403.9185225808385,82.35815165345628,2.79199386748458e-06,-14.447506273603999,-11.577779220875717,5.069822549819946,4,319,590.5785588420297,94.0,118.91760609374813,14,39,4,35
158.5501993691145,32.64569439071757,2.3999121550515947e-06,-1.138428773512362,-0.960796476658603,6.991889953613281,4,396,345.055850303489,103.0,107.09999999999883,13,9,6,5
524.0194121752664,106.03108786394814,2.276967048210632e-06,-11.88975459677928,-10.719808157567938,6.778294324874878,4,454,791.4374143089425,104.0,158.85539286256028,19,71,5,67
1167.0814143515952,238.0966883431608,1.811184359804249e-06,-30.18269736656209,-26.569390071562832,7.062549591064453,4,701,2640.7300166251407,182.0,539.4829027255598,18,38,10,34
832.6224645938191,168.13452272508226,1.5032922702076107e-06,-49.66305471618197,-43.82480004319853,7.173421621322632,4,392,1439.3630981237525,96.0,289.94272755565066,12,59,5,55
1037.3874117159378,210.09529553267737,1.2867320638164153e-06,-31.827594926811123,-26.48088583355501,7.031156301498413,4,614,2235.1255235028957,148.0,452.26979351936006,17,51,10,47
826.257877506217,165.63360564859497,9.94379872478098e-07,-32.74674915350485,-25.377690841627494,7.176917314529419,4,534,1577.5889892392072,141.0,317.67321479433053,16,72,5,68
645.2738753137464,130.97753846380957,8.313131317735619e-07,-0.6476318026818508,-0.5171183838710363,6.751461982727051,12,1594,2545.2460550554147,330.0,514.3723419895819,44,59,41,55
784.3648603345006,159.3310399285017,7.788469603228989e-07,0.07279145482619143,0.14157740109787975,6.827254295349121,10,2421,3977.646848324709,520.0,810.603843047802,40,46,40,42
467.0555580795492,96.86766206645032,8.25450357515094e-07,0.730770290474595,0.7361713327945687,6.5624048709869385,16,2659,3457.634643678764,579.0,701.6718417173497,62,59,50,55
529.1895833681056,108.41509354497008,9.152969631526481e-07,0.8464942587315649,0.851389912430216,6.854809761047363,9,3792,4954.503844398655,817.0,1013.9184215244013,45,44,41,40
284.30216538939123,65.59104485871725,1.2357801645460069e-06,0.9730411548721164,0.9665399958937428,6.949239730834961,9,4982,5184.01201797945,1042.0,1061.2777686964855,43,45,39,41
542.704760613571,132.15081721127572,1.6424100426717144e-06,0.9565902133724649,0.9415560230667527,6.544727087020874,7,7599,6637.145804198108,1648.0,1368.3270187026,39,41,33,37
752.1801342864284,174.6461019757705,1.808268510441504e-06,0.9405724574967376,0.9273168442108219,6.232581615447998,8,9234,7450.925894024609,1962.0,1542.3076021530496,38,40,37,36
920.8667978716652,233.4819678225027,2.022206918316443e-06,0.9366880870272656,0.9115178665116362,5.983884334564209,7,11046,8940.310565746415,2436.0,1866.1083653039768,35,36,29,33
578.7531246346973,166.41690965557322,1.6643935266050046e-06,0.9838702938048384,0.9717264242784202,4.950287103652954,6,13534,12224.996886392943,3085.0,2613.4238385228455,30,30,27,27
