rmse_I,rmse_Inc,rmse_Beta,r2,r2_Inc,r2_full,r2_Inc_full,time_predict,fraq_people,actual_peak_I,predicted_peak_I,actual_peak_Inc,predicted_peak_inc,actual_peak_day,predicted_peak_day,actual_peak_day_Inc,predicted_peak_day_inc
8.966372361960735,2.3518609652783473,3.3789152303434786e-06,0.9079927087380775,0.8779798308626579,0.9100828698546821,0.9042019444659934,0.957585334777832,4,105,109.0,38.0,37.0,9,7,6,5
40.54241606022019,8.273955120335941,3.4607614030566994e-06,0.2782512708078587,0.49612456962956397,0.2869381119635589,0.5498741126931117,0.43310999870300293,4,171,190.0,55.0,60.0,10,10,8,5
50.6770822627612,10.620342116272276,3.4030854300841328e-06,0.23373906770029973,0.40547824236864305,0.24102475695577485,0.4654030139460297,0.42391109466552734,4,187,207.0,64.0,59.0,9,11,6,5
23.447636696832937,5.674320811045729,3.1368320220784286e-06,0.8482185840750114,0.8014495701606946,0.8498270193912639,0.8294506833283766,0.4240682125091553,4,186,164.0,56.0,56.0,11,10,5,4
53.77412249400263,11.146281143652054,3.354373341105299e-06,-0.2943871463069865,0.0036720813914231654,-0.26729850429020363,0.18957668002989703,0.409043550491333,4,162,184.0,57.0,51.0,7,11,7,5
45.89026766828307,10.028604921257326,3.124949108725816e-06,0.6330877014617959,0.6652246950965142,0.6367424954069939,0.7125290299529565,0.464080810546875,4,273,235.0,78.0,71.0,9,9,8,5
122.20120873652054,24.489581117963887,3.2688687738254466e-06,-1.1473571474043314,-0.7015276869203839,-1.1203088284937306,-0.446647659445949,0.42406487464904785,4,267,308.0,74.0,68.0,10,17,6,4
32.946452768090225,7.5249584716462055,2.981444517554732e-06,0.7588073340346565,0.7327289907735328,0.7635718450721162,0.7909716358199864,0.4240684509277344,4,212,184.0,64.0,62.0,10,7,4,4
46.34505996687601,10.012492197250394,2.7580703411728995e-06,0.45947728980619007,0.45429802676343845,0.46391642363578556,0.5204637510158505,0.4400794506072998,4,221,180.0,62.0,62.0,11,8,5,4
763.2976974942345,155.9800668354774,3.5931391402377885e-06,-63.867128828272456,-50.66548937488019,-63.3735469744918,-47.41502627147383,0.4360804557800293,4,316,1376.0,90.0,285.0,9,31,6,27
