rmse_I,rmse_Inc,rmse_Beta,r2,r2_Inc,time_predict,fraq_people,actual_peak_I,predicted_peak_I,actual_peak_Inc,predicted_peak_inc,actual_peak_day,predicted_peak_day,actual_peak_day_Inc,predicted_peak_day_inc
53.46972228887846,12.217011738660576,4.069162195955999e-06,-1.163079363769361,-0.6327509843697505,0.015626907348632812,4,105,128.98832041427227,38.0,37.499999999999886,9,11,6,5
84.10081164813951,17.686851806068162,3.3399944501596223e-06,-1.3461119154035934,-0.5258241859695241,0.0,4,171,216.87869532267354,55.0,60.3000000000016,10,15,8,5
94.85006132157811,20.359609912430738,3.1088993829709883e-06,-1.0761158678189244,-0.4652099226048074,0.0,4,187,246.41333757297906,64.0,59.10000000000119,9,17,6,5
66.2311169419764,15.370608648066812,2.407855929543514e-06,-0.029222494305431557,-0.09244974820086571,0.0,4,186,222.61718265822736,56.0,56.0,11,17,5,4
131.43767528501456,28.100949881772827,3.2374629283791456e-06,-4.8960159634009965,-2.7171651378651327,0.0,4,162,254.5854225049007,57.0,53.370788343482445,7,19,7,16
147.99827910009287,31.51937286633388,2.6086409534168466e-06,-2.3431384379751874,-1.7609147234399907,0.0,4,273,383.18934941465903,78.0,80.71179498078101,9,19,8,16
202.93273479912082,41.77546729395087,2.7322776211434494e-06,-4.109909574778984,-3.0562041193750478,0.0,4,267,467.19266579827615,74.0,98.83201975899135,10,21,6,17
223.77388048590484,46.92133220777831,2.902582742754592e-06,-8.763220215129325,-7.353252413170967,0.00599980354309082,4,212,458.8708048790205,64.0,96.98580472746221,10,23,4,19
260.60504982905604,54.861840356472975,2.581425326680387e-06,-14.799278876543097,-12.3830472869201,0.0,4,221,501.26785466309747,62.0,105.64385602240435,11,25,5,21
328.1506465166929,68.75509294347066,2.590293364344106e-06,-10.462536147436918,-8.31543234607186,0.0,4,316,728.9943331654697,90.0,153.7878745233014,9,25,6,21
