rmse_I,rmse_Inc,rmse_Beta,r2,r2_Inc,r2_full,r2_Inc_full,time_predict,fraq_people,actual_peak_I,predicted_peak_I,actual_peak_Inc,predicted_peak_inc,actual_peak_day,predicted_peak_day,actual_peak_day_Inc,predicted_peak_day_inc
33.823223037828114,7.4309319738509245,3.1895538287931593e-06,-0.30923824343620643,-0.21813355291346648,-0.27949583029405844,0.04364314051644347,0.009999990463256836,4,105,128.0,38.0,37.0,9,10,6,5
63.39262575410487,13.076696830622021,2.990382664075639e-06,-0.7645918015740638,-0.25861519552055356,-0.7433534840475717,-0.1243558378012597,0.009981155395507812,4,171,216.0,55.0,60.0,10,14,8,5
70.91933504576402,14.909099570396597,2.8354644473332648e-06,-0.5006616659451877,-0.17163832527664624,-0.4863932175422827,-0.05354313681249301,0.0,4,187,246.0,64.0,59.0,9,17,6,5
52.09066615047268,11.86029791643813,2.4350740332977858e-06,0.25089918464758876,0.13257036410547418,0.2588374437519957,0.25490198242199835,0.0,4,186,222.0,56.0,56.0,11,17,5,4
89.12000336624769,18.67875352729227,2.820029525437048e-06,-2.5552317503679602,-1.7979380653874126,-2.4808286628163034,-1.275871441190461,0.0,4,162,254.0,57.0,53.0,7,18,7,15
130.49864303253628,27.52896202184165,2.6129949573116997e-06,-1.967106117244834,-1.5226212074203325,-1.9375509305823266,-1.1661704281545884,0.0,4,273,383.0,78.0,80.0,9,19,8,16
174.27911043304454,35.59289489022587,2.69969536466285e-06,-3.3676109661063283,-2.5942057182437384,-3.3125961147428837,-2.0558123325488045,0.0,4,267,467.0,74.0,98.0,10,21,6,17
186.77540545621454,38.835121561116125,2.803602054200244e-06,-6.751507092506374,-6.118573546696986,-6.59838410698201,-4.567322052876947,0.0,4,212,458.0,64.0,96.0,10,23,4,18
216.18575635318808,45.151365796987065,2.5714009325947857e-06,-10.761459079708498,-10.09718757087775,-10.664866115339958,-8.75166659275643,0.009999275207519531,4,221,501.0,62.0,105.0,11,24,5,19
308.4199653070469,64.30250772714855,2.5969082433874676e-06,-9.59062861516783,-7.78047809352465,-9.510043237041788,-7.228066407918007,0.009999990463256836,4,316,728.0,90.0,153.0,9,24,6,20
384.00341795353853,80.29386132617279,2.366637948359261e-06,-5.848791925721201,-5.184110378799517,-5.7801167234347055,-4.652415214274082,0.010001420974731445,4,482,969.0,130.0,204.0,12,24,8,20
443.12111540375355,92.50230852975149,1.8054473231305404e-06,-8.052138967535653,-6.977637056187786,-7.938631910890793,-6.430711441087142,0.0,4,456,1116.0,127.0,235.0,14,25,9,21
521.1213470328512,107.20788800270249,2.6463356423087133e-06,-24.13892889820354,-19.482396155532918,-23.828697496025384,-16.752866513408385,0.0,4,319,1136.0,94.0,237.0,14,28,4,23
815.2621191473737,166.82691254710673,2.1472812326523385e-06,-47.37808553616322,-40.08247423340908,-46.67013856278349,-34.822637121829274,0.0,4,396,1702.0,103.0,354.0,13,29,6,24
829.4298053984637,170.91414755172647,1.6114401439627412e-06,-34.888607048777196,-30.223979835871862,-33.50113312656339,-28.413298505671804,0.0,4,454,1897.0,104.0,394.0,19,30,5,26
982.9706887796807,203.44573396035284,1.393115568838974e-06,-21.53995981073942,-17.443496801087196,-20.63362807162043,-16.93539170205299,0.010004997253417969,4,701,2365.0,182.0,493.0,18,30,10,25
1008.598764995278,206.87896521879648,1.7348357506659733e-06,-89.63237609756791,-71.53252872956593,-83.95733749448702,-66.04509406917727,0.0,4,392,2183.0,96.0,454.0,12,31,5,27
1203.3725524541433,247.64208884328744,1.3819058393207728e-06,-78.15665060210908,-57.68955436057484,-62.70475670971527,-52.43953548976926,0.009999513626098633,4,614,2886.0,148.0,602.0,17,32,10,28
1390.5211777723248,284.4998718511721,1.6256413891051245e-06,-200.62541587049947,-133.19729797266092,-145.99696545332841,-113.60672682362107,0.010001420974731445,4,534,3175.0,141.0,663.0,16,31,5,28
2041.4181370842834,426.8625608241291,1.4366941970715368e-06,-43.16543720639553,-46.25433411239675,-28.633066895610824,-35.38976188126907,0.009999752044677734,4,1594,5773.0,330.0,1220.0,44,29,41,25
1678.3504116145314,348.57872138155534,1.0362418069751947e-06,-6.994369145982707,-6.791408578774732,-5.377352905336844,-5.669704032485364,0.0,4,2421,5706.0,520.0,1203.0,40,30,40,26
1784.6491923017625,372.76451737882275,1.2271970829166731e-06,-5.992396102218933,-6.99496615850129,-4.613088197943968,-5.606691717518706,0.0,4,2659,5187.0,579.0,1088.0,62,33,50,29
1978.977008456642,414.45322916665356,1.0569634367880792e-06,-2.1468488802060617,-2.095317839234675,-1.7658743046066085,-1.8395926758243037,0.010000228881835938,4,3792,7295.0,817.0,1550.0,45,30,41,26
987.3403888620484,195.29242288113127,6.894625114323129e-07,0.6519707277815809,0.7002039929187144,0.732867905400597,0.7552134575671235,0.0,31,4982,4308.0,1042.0,922.0,43,36,39,31
1009.1824551824617,202.4752524337265,6.995810394324078e-07,0.8620944276653876,0.8828653402379247,0.8793325337619997,0.8914550154810299,0.0,21,7599,6506.0,1648.0,1369.0,39,34,33,29
1247.9115109816507,255.74044892271124,7.936110730999551e-07,0.8571286875436036,0.8721068329735132,0.8728757375718692,0.880114089543764,0.0,21,9234,7143.0,1962.0,1505.0,38,34,37,29
1042.174140803271,225.05415680225926,1.1135834595667021e-06,0.9293088342615388,0.9320405245968058,0.9351196826449265,0.9350636441219358,0.0,17,11046,9042.0,2436.0,1927.0,35,31,29,28
823.8942978037221,183.3359161199324,9.819911716425456e-07,0.9701157583794309,0.9692663080756068,0.9717763250180546,0.9701829768953306,0.0,14,13534,11757.0,3085.0,2544.0,30,28,27,24
823.1037281246801,264.25944627402623,3.3837776453499743e-06,0.9843061197822107,0.968360718607938,0.9847290744339463,0.9687777423345725,0.0,9,19896,17821.0,4850.0,4038.0,23,22,19,19
16.104476603313337,4.251225313561569,2.9269093380528655e-06,0.8347166027107852,0.734133571702209,0.8376284175442176,0.7977560833454758,0.0,4,131,131.0,40.0,40.0,8,9,5,4
14.49964080014858,5.0373604199024715,3.907924328634187e-06,0.9292835992030697,0.8433061585766655,0.9298428564104034,0.8594613492748933,0.0,4,179,158.0,63.0,44.0,10,10,9,5
42.94012303972436,9.25394060207146,2.665171599180413e-06,0.43043125200541954,0.4789576988513139,0.44074456263024286,0.5828732982082985,0.0,4,199,208.0,65.0,65.0,8,11,5,4
12.183492931011205,3.360307525609325,3.647722084101376e-06,0.9190174064625886,0.8963017437497944,0.9201096331299801,0.9102012684485032,0.009999513626098633,4,154,147.0,53.0,53.0,10,8,5,4
61.33556947916383,13.372079120316332,2.872680481264255e-06,-0.3971059645312076,-0.17599842432926915,-0.37253734272419736,0.018566956820033398,0.01000070571899414,4,191,235.0,63.0,63.0,8,13,5,4
48.37042398684,10.186285714953545,4.436197444433462e-06,0.11154929354619247,0.2006473357586135,0.12431962655269702,0.3260487144790257,0.009998559951782227,4,181,190.0,54.0,49.0,8,13,6,4
56.26009168732901,12.736921396737387,2.6147557984889937e-06,0.5945270445186377,0.5573995137357944,0.5972407413975902,0.5948107469073554,0.0,4,268,281.0,77.0,69.0,11,16,6,5
86.14534713687868,17.694749692116776,2.4836079381493684e-06,-0.949566325495099,-0.35711285805324366,-0.9237083666994519,-0.16699505954749694,0.0,4,203,288.0,76.0,76.0,9,17,5,4
106.75936727051167,21.89106552911484,4.123407526532804e-06,-3.7468966195423308,-2.8964311299480894,-3.549997804356157,-1.6584802080323606,0.0,4,182,287.0,60.0,59.0,7,18,4,13
136.2536314500767,27.854719827466702,3.7126532479161533e-06,-5.56709522786901,-4.130560751485773,-5.374047046446608,-2.689972005059003,0.0,4,173,346.0,65.0,73.0,11,20,4,17
168.51999757694435,35.34929867291099,2.6660540068067277e-06,-3.008303391609327,-2.2971507690827697,-2.9649404421167667,-1.843560890424094,0.0,4,277,462.0,93.0,97.0,9,20,6,16
108.21795137591545,22.956934319140554,2.316113513331369e-06,-1.0764982897368278,-0.8822238265804963,-1.060937136236901,-0.7554567001341737,0.010016679763793945,4,228,361.0,67.0,76.0,12,21,8,17
225.33345660746136,46.586948279534255,2.6231111271842938e-06,-7.4412891486656125,-6.47253653725455,-7.301789565926013,-5.151702610870774,0.008016824722290039,4,252,554.0,78.0,117.0,12,23,5,19
298.48211490249577,62.13225142119563,2.8099384479645276e-06,-14.171604757074203,-11.902444340402353,-13.847332689533927,-8.90884981140833,0.0083160400390625,4,266,699.0,84.0,148.0,9,23,4,19
278.0490252035901,57.211504524876815,3.3034520751781553e-06,-15.074588194764292,-13.281998060723593,-14.702133578004506,-9.857458773528675,0.0,4,240,629.0,82.0,132.0,7,23,6,18
371.3756521367549,75.64169925819135,2.7969598126057624e-06,-11.238315429060858,-8.278615111062622,-11.086041375052444,-6.977029732763402,0.0,4,352,864.0,104.0,182.0,10,24,5,19
358.9964310407556,74.9057741432528,2.4147652027414426e-06,-11.867361105942653,-9.246516449965283,-11.725990886162446,-8.117376035142199,0.0,4,336,847.0,97.0,178.0,10,24,9,19
716.5287561105508,146.79818913506165,1.631088419392134e-06,-39.735851707613804,-29.836768713651516,-38.598089095855514,-27.121627139803678,0.010003089904785156,4,366,1585.0,104.0,330.0,15,29,9,25
660.130676772915,135.14244028678286,1.7296990832108922e-06,-38.86846145846351,-33.445861666229064,-37.89712324179804,-29.50248815421476,0.010003089904785156,4,323,1447.0,88.0,300.0,15,30,4,26
978.791431647553,200.05236293697374,1.8801244095557785e-06,-70.98555356151658,-58.94861200031792,-67.95158361620852,-48.92517093344599,0.0,4,403,2134.0,124.0,444.0,14,30,4,25
1291.0815637157348,268.7419960048423,1.3669326689430563e-06,-41.156422145423434,-39.41254238047599,-29.097611966929055,-33.00878505314687,0.0,4,998,3598.0,218.0,753.0,40,30,23,26
1241.403057867723,257.8135227252442,1.337302828775036e-06,-75.58169088935783,-94.73077683429301,-43.05796566700497,-61.594245839057244,0.009998559951782227,4,883,3258.0,194.0,681.0,52,32,44,28
1575.1098209066777,327.9887733088843,1.391782340574418e-06,-47.76939257641545,-64.78964977196866,-27.393334874129124,-40.3934550580296,0.010000228881835938,4,1370,4333.0,288.0,908.0,47,31,51,27
874.6821439478324,176.64504122175435,7.011144187850788e-07,0.6886962123713478,0.7135820315900703,0.7601058872645688,0.776207121842499,0.0,32,4549,4186.0,972.0,924.0,44,35,38,32
1112.5136152504592,231.20388252388335,8.858146498326435e-07,0.5671802409383828,0.6123728471730574,0.6720528153435041,0.6826447649033863,0.010000944137573242,32,4971,4360.0,1106.0,956.0,45,36,38,32
1119.6970544871324,224.7664082366512,7.931371269625194e-07,0.8750870836424439,0.8924577835223639,0.8882906937059825,0.8988914863792073,0.009998559951782227,19,8900,7244.0,1872.0,1533.0,37,32,34,28
1196.5667706339525,250.7407075826029,7.679213946177221e-07,0.8986822610533848,0.9066931017115505,0.9072712305640442,0.9110253986958937,0.010002613067626953,18,10364,8353.0,2296.0,1778.0,35,31,32,28
