rmse_I,rmse_Beta,time_predict,roll_var_npeople,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
2101.82047309458,6.125365181064092e-05,0.022998571395874023,7,29390,35387.09981184859,29,25
1732.591836587267,0.00013022618303457474,0.002999544143676758,9,29515,34820.7499939445,29,25
1785.9626446805737,0.00010797696742972659,0.0039980411529541016,9,29432,34988.48357617952,29,25
1796.2416650026132,3.364026468899197e-05,0.003002643585205078,9,29809,34928.01429277493,28,25
1785.4630166406962,0.0001780248118149429,0.002998828887939453,9,29203,34732.44917143691,29,26
1906.312877022374,0.0005726014429997633,0.003998279571533203,7,29566,35390.97545288238,30,25
1692.308504980245,7.90910331446977e-05,0.002999544143676758,9,29962,35024.7413240079,28,25
1901.7426246035893,2.2275383933746526e-05,0.0029981136322021484,9,29220,34746.922735368345,30,26
1780.9575050502224,6.565992550967144e-05,0.003998279571533203,9,29481,34820.840325920195,28,26
1710.104160906954,6.571172447802176e-05,0.0029997825622558594,9,29831,34923.95099983033,28,25
1792.7902865678411,4.550254810979811e-05,0.0029985904693603516,9,29668,35022.66480715914,28,25
1799.657168838668,2.105146628093781e-05,0.00299835205078125,9,29787,34987.94524159523,28,25
1814.2422889757506,0.0001570956422165003,0.0039980411529541016,9,29421,34988.028065871134,29,25
1704.0867567635519,0.00016722739296956408,0.003000497817993164,9,29728,35091.91098552433,28,25
1791.1937647945529,4.284483910428466e-05,0.002998828887939453,9,29682,35003.52829339378,28,25
1793.2470764835914,8.418049973516908e-05,0.0029985904693603516,9,29672,35122.24624510096,28,25
1745.0270358450773,8.958205988811421e-05,0.0029997825622558594,9,29809,35075.59391427265,28,25
1819.7980867105457,4.031298367778734e-05,0.002999544143676758,9,29859,35079.719550366404,29,25
1769.594801487092,0.00010798090625157263,0.0029993057250976562,9,29589,35127.223992549436,29,25
1823.5097537760319,4.551665683024186e-05,0.002999544143676758,9,29656,35024.22256865894,28,25
1787.474362121294,3.170952949438405e-05,0.0029985904693603516,9,30142,35149.7497802079,28,25
1874.8932460181684,1.8767219526726318e-05,0.0029997825622558594,9,29801,35256.63100759069,27,24
1824.868891128302,3.7928147591880015e-05,0.0030045509338378906,9,29687,35261.5507109144,27,24
