rmse_I,rmse_Beta,time_predict,roll_var_npeople,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
365.7722038953097,0.00038921077298655505,0.0029993057250976562,8,2483,3467.1448083045225,23,18
334.5978188512012,0.00036109063736934534,0.0030014514923095703,8,2543,3440.782675496588,23,19
379.043516769625,0.00039233474880668017,0.0019981861114501953,8,2553,3463.3634747116957,25,18
258.18629026317024,0.00044126948688918104,0.00299835205078125,8,2977,3652.790017283664,21,17
234.9080355949232,0.0004500883598766355,0.0034041404724121094,8,3043,3672.8584037172523,22,17
228.07041050035195,0.0004512085973584687,0.0025031566619873047,8,2984,3678.231110604537,21,17
474.03546482059664,0.00033109993827536843,0.0029990673065185547,8,1863,3059.843719050549,30,20
386.95510843978656,0.00038928347529816295,0.002524852752685547,8,1978,3081.4936760963815,24,19
422.37525809100276,0.0003751165223219255,0.0029990673065185547,8,1944,3079.164880402435,26,19
370.79385432770147,0.0003936141526805046,0.004026174545288086,8,2278,3273.2243699753953,23,19
351.72467404774306,0.00039416065326526963,0.0029997825622558594,8,2267,3265.082136762729,24,18
354.8782751832383,0.0003688336267442732,0.003000020980834961,8,2192,3269.6555374594404,24,19
396.6967500763888,0.0003100691159420151,0.003530263900756836,9,1359,2654.2640882955884,30,21
417.59530108267836,0.00032258635034339436,0.0019998550415039062,8,1321,2673.349714636154,28,20
416.0631549136026,0.00033242233722284207,0.0030264854431152344,8,1399,2698.1160175844525,31,20
451.95095837935804,0.0003510076847730035,0.004044532775878906,8,1551,2877.7779611292804,30,20
435.3106496626687,0.0003418037015576667,0.0040225982666015625,8,1582,2870.4934395989562,33,20
395.6465375934931,0.0003321336683965685,0.0029985904693603516,8,1653,2874.094664859817,28,20
448.21638060841286,0.00031261359008089186,0.004014730453491211,8,2235,3426.705768675871,28,20
461.28254087680926,0.00026492532088472293,0.003000497817993164,9,2290,3404.8490901244563,30,21
470.44973651813183,0.00031354665634247933,0.0030012130737304688,8,2170,3440.8268146696496,29,20
333.54467684332536,0.00034107567212743784,0.0029985904693603516,8,2746,3644.0531288940642,25,19
369.04905470681257,0.0003363212351701952,0.0030286312103271484,8,2676,3638.954870353659,25,19
380.19614515399303,0.0003374581317801646,0.0019989013671875,8,2772,3642.7611374751,25,19
504.80886740657024,0.0002894437044723048,0.002007722854614258,8,1646,3053.608496866831,32,21
475.83994152043715,0.00024438461890115786,0.0029990673065185547,9,1478,2989.432724529338,32,22
466.9788510649783,0.00028910904380788095,0.002009153366088867,8,1507,3050.6123893666336,34,21
459.34360573600435,0.00027470914982966987,0.0019991397857666016,9,1839,3204.786704096735,29,21
513.238310970152,0.00028609770669088465,0.0030045509338378906,8,1836,3242.0632868271196,30,21
440.73525136079604,0.0002689682881282926,0.0029952526092529297,9,1903,3210.658796913166,33,21
444.122774393546,0.0002573019368628041,0.0030012130737304688,9,1118,2628.965955293357,28,23
447.0979643381426,0.0002461706138937641,0.002997875213623047,9,1043,2618.757192159248,32,23
432.1291949951895,0.00025816826193739563,0.003023386001586914,9,1126,2627.1026221441066,31,22
495.3898136217706,0.0002384870900175829,0.003998756408691406,9,1267,2810.8930525579362,31,23
486.1864269814595,0.00025928607990744824,0.002529144287109375,8,1258,2826.6731083865807,35,22
491.6039547268814,0.00025063238879602227,0.0025539398193359375,9,1296,2821.4180892518484,32,22
263.5055667302117,0.0004743027950089003,0.0035681724548339844,8,2795,3477.5489209530615,21,17
230.99248258758757,0.0004937036161017577,0.002998828887939453,8,2785,3467.6922963860143,20,17
300.31051753634256,0.00046185831297949404,0.0025031566619873047,8,2748,3470.652633526515,21,17
204.25763604465422,0.0005640059445359382,0.0019991397857666016,8,3197,3656.976337370901,18,16
169.82331498523286,0.0005307118380806046,0.0030236244201660156,8,3191,3648.5953174479937,20,16
152.6186878301277,0.0005181298378445102,0.0030019283294677734,8,3248,3663.2050823178856,19,16
338.81719460877974,0.0005279018970662935,0.0030591487884521484,7,2118,3115.230078871916,25,17
349.8984595928055,0.00043098315178468765,0.002999544143676758,8,2059,3066.3780398634794,26,18
330.3727159778962,0.00044366264321779516,0.0029976367950439453,8,2137,3082.3229349887138,24,18
336.44645473312056,0.0004915521414029006,0.002508401870727539,8,2347,3273.800219608047,22,17
290.9188555929168,0.0004436280228521705,0.002027273178100586,8,2484,3276.9273680247757,24,18
305.0187055696106,0.0004539459004474755,0.002551555633544922,8,2465,3273.8358940019225,23,18
380.5407026478509,0.00043875352655405975,0.0030002593994140625,8,1564,2730.7078951669037,25,19
328.70752529292054,0.00042963130681945876,0.005022525787353516,8,1542,2702.6284807873,24,19
420.81957325578065,0.0003783153914728166,0.0030014514923095703,8,1518,2690.9618057261605,29,19
373.20366536477695,0.0004176993426772569,0.003005504608154297,8,1763,2899.106036818247,26,18
348.9642913972366,0.00040043064069959826,0.002999544143676758,8,1808,2882.312155161669,24,19
333.95949708744234,0.0003995982673171756,0.003001689910888672,8,1823,2880.963710818677,25,19
199.79813544926378,0.0005438006666654137,0.002000570297241211,8,2929,3461.917662027612,19,17
252.77984030384772,0.0005223567894075362,0.0020279884338378906,8,2864,3476.0422632411883,22,17
216.24802137969067,0.0005322337798667505,0.002505064010620117,8,2905,3466.2814868971655,20,17
179.5759737799133,0.0006377711752968865,0.002504110336303711,8,3393,3961.7675851642252,17,16
171.98059778161874,0.0006077920451028046,0.0028433799743652344,8,3224,3769.8656918603338,18,16
172.63041039857916,0.0006243767469035483,0.00299835205078125,8,3257,3816.7184665283603,19,16
300.96306624462534,0.000477620643888446,0.003509044647216797,8,2211,3079.118641939565,22,18
307.04370108340305,0.0004891447095159426,0.0030002593994140625,8,2202,3076.26608585165,22,18
308.2501716882876,0.0004747974014960997,0.0025043487548828125,8,2221,3087.5841399459528,23,17
298.0269395962175,0.0004567124397131689,0.0029952526092529297,8,2449,3262.7928452133624,22,17
293.4147968395571,0.0004791011365545894,0.002023935317993164,8,2587,3264.3554057611054,23,17
221.65921629265023,0.0005294399022918977,0.0010001659393310547,8,2625,3270.1709237842524,20,17
352.25721172596513,0.0004285190243967808,0.003000974655151367,8,1614,2708.2004660551656,28,19
298.7710351584063,0.00044982567871018506,0.002996683120727539,8,1767,2701.4004405652095,23,18
355.61956943182406,0.0004407774088441341,0.0009999275207519531,8,1726,2717.3423050837746,25,19
340.7768309976522,0.00044909515314831044,0.003508329391479492,8,1867,2882.725839904013,24,18
323.57290870247687,0.00045510541799991536,0.002511262893676758,8,1963,2896.0318465152827,23,18
334.8636359295694,0.0004706754954224854,0.003532886505126953,8,1929,2885.890100700079,24,18
167.68584515457067,0.0006062182623294885,0.0029997825622558594,8,2998,3511.7370944011363,19,16
183.9540555642454,0.0005945264279414135,0.002999544143676758,8,3032,3536.236883669561,19,16
177.06263236839257,0.0005749792365583975,0.002997875213623047,8,2990,3477.8222171397483,17,16
190.0424133751354,0.0007212964911632513,0.003026723861694336,8,3424,4096.743883644073,16,16
189.04143556973165,0.0006747503288963521,0.0025281906127929688,8,3350,3944.231905038373,17,16
230.4521913006652,0.0006915073967871058,0.002999544143676758,8,3313,4041.5977932558303,16,16
215.9254695789741,0.0005600108652146404,0.004553318023681641,8,2415,3081.9674289701316,19,17
270.68478945614856,0.0005362633473912834,0.002999544143676758,8,2365,3096.1714823493194,22,17
253.13650085905937,0.0005116181592916021,0.003002643585205078,8,2327,3083.2211110369435,22,17
235.34609646594123,0.000541047702480623,0.0019996166229248047,8,2645,3265.7309851717246,22,17
235.48797482214928,0.0005626430573867165,0.0035552978515625,8,2691,3280.319898626401,21,17
274.9433426797625,0.0005521709326826007,0.003000497817993164,8,2557,3277.860017549465,23,17
299.480497779958,0.0004865892550404233,0.003999471664428711,8,1748,2720.0264533322725,22,18
