rmse_I,rmse_Beta,time_predict,roll_var_npeople,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
44.37435227802361,2.005598524407568e-05,5.8612611293792725,8,2483,2593.244425069553,23,23
41.97724969130066,2.17806431632207e-05,5.641790390014648,8,2543,2459.167606548711,23,25
60.855926166753946,1.8361647058955518e-05,5.449691295623779,8,2553,2618.3152614957094,25,23
29.493552683026035,4.259213589700239e-05,5.500972270965576,8,2977,3036.0849937866597,21,21
22.32902752526963,2.4016670504346017e-05,6.197016954421997,8,3043,3058.8095888305447,22,21
24.37405919461751,3.2117463291356414e-05,7.3261802196502686,8,2984,3055.1137113389304,21,21
41.1378710974523,1.5805433415874014e-05,5.450191259384155,8,1863,1787.0773291498417,30,28
18.1314332626888,2.848652822616826e-05,7.683788776397705,8,1978,1923.4244367183283,24,26
25.341286055795674,1.908742962672791e-05,5.623492240905762,8,1944,1872.896951068938,26,27
25.788177771614528,0.0001539303256603465,5.7125244140625,8,2278,2268.6257212547644,23,24
25.40543769254606,2.9092374317969106e-05,6.119367599487305,8,2267,2319.0202245331575,24,24
25.7916053881524,0.00012973406862505635,6.685994863510132,8,2192,2210.7009738892275,24,25
17.086434399561455,8.12723211540002e-05,7.184893608093262,9,1359,1321.3883599349465,30,27
25.591472584865027,4.5873935477931195e-05,6.776240825653076,8,1321,1249.0395589392228,28,27
22.416933296015188,2.8885708150123887e-05,6.333374738693237,8,1399,1351.5615413269759,31,27
26.081981387765317,3.2839957545600416e-05,7.059027194976807,8,1551,1478.6925183249093,30,29
17.055395595561247,2.230937071433783e-05,7.228646993637085,8,1582,1537.0713859538594,33,28
17.99780166330336,4.9468476173258546e-05,7.720647573471069,8,1653,1595.217550294236,28,27
33.88484509169477,2.0747459557837964e-05,5.74739670753479,8,2235,2290.1635759483756,28,27
29.800455994741412,3.221028480381683e-05,5.518939971923828,9,2290,2211.563344185203,30,28
32.484279645966915,2.3252501405938616e-05,6.456847906112671,8,2170,2202.8719512191683,29,28
28.402474924734843,3.8760667188710477e-05,6.164077520370483,8,2746,2739.9728367974867,25,24
30.151238005845972,6.790730710957918e-05,5.941946506500244,8,2676,2679.828316942212,25,25
21.948940498568824,2.001194179029749e-05,5.153835296630859,8,2772,2734.891661721276,25,24
26.51188690592116,2.566528352432708e-05,6.087087631225586,8,1646,1577.196264012989,32,31
24.94821414390502,4.66956271385991e-05,8.592427730560303,9,1478,1488.3830970120084,32,32
34.19731216038544,0.00010324241462276854,9.61599063873291,8,1507,1556.9224459577774,34,31
42.06616092392,2.7043344079600676e-05,7.295395135879517,9,1839,1922.2107574899146,29,29
32.41934575459517,2.360605089404059e-05,7.1062541007995605,8,1836,1839.9624032824674,30,31
26.470764244367885,2.9993134242233773e-05,7.641598224639893,9,1903,1932.1285957075706,33,29
13.729909377525468,5.742602412936475e-05,8.279656171798706,9,1118,1106.6725405577242,28,29
40.16236872012163,9.985087575460813e-05,9.556276559829712,9,1043,1006.5755117913114,32,29
18.013578190081635,9.958448521545119e-05,8.362920045852661,9,1126,1106.8739067410743,31,29
