rmse_I,rmse_Beta,time_predict,roll_var_npeople,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
157.64569551107422,0.001853154526897659,0.003000497817993164,8,2483,2925.418193569062,23,22
109.48492958662546,0.011084246363182016,0.003000974655151367,8,2543,2850.289954352791,23,22
175.98859646807816,0.0008988977472108426,0.0029997825622558594,8,2553,2948.3614475250224,25,21
93.65566410851588,0.0011964011253942032,0.002000093460083008,8,2977,3237.916648904461,21,20
79.092437765718,0.007996022236265412,0.003000020980834961,8,3043,3256.732325893671,22,20
80.12080532068758,0.0643776841794562,0.002999544143676758,8,2984,3258.1308118236097,21,20
215.7830852506282,0.003416289013693647,0.0030019283294677734,8,1863,2363.6144160666076,30,24
168.08025894126328,0.1312773811301,0.0029997825622558594,8,1978,2427.240590987279,24,23
178.61824529184784,0.010873982686006008,0.0030231475830078125,8,1944,2396.4619760228884,26,24
159.47552780635263,0.013897904460779712,0.0029997825622558594,8,2278,2688.7457481761926,23,22
154.21982551370826,0.013785291060774403,0.0029997825622558594,8,2267,2707.7249473640973,24,22
150.0262188261185,0.20417718066916835,0.0019998550415039062,8,2192,2651.8224582729813,24,23
187.85783273548316,2.010340640424595,0.0029997825622558594,9,1359,1904.6050539051384,30,25
202.18587088177543,0.884917684999991,0.003000020980834961,8,1321,1923.0807150930962,28,25
198.1014307011881,0.10520777008201575,0.0029997825622558594,8,1399,1976.5237537902328,31,25
219.03551204522685,0.47177227730992644,0.0029997825622558594,8,1551,2123.056953232654,30,25
205.6526275428961,0.07030675938888374,0.0029997825622558594,8,1582,2151.979513655599,33,24
183.99524012239272,1.2130464645077434,0.002000093460083008,8,1653,2172.593888225453,28,24
209.16735527285445,0.021138597219718617,0.0029997825622558594,8,2235,2770.306075038411,28,24
189.15313635196824,0.007183554706806704,0.003000020980834961,9,2290,2681.6497207346474,30,25
215.48866635090693,0.06005624182702349,0.002000093460083008,8,2170,2728.2187954366386,29,24
121.3725989767333,0.054324610376921156,0.002999544143676758,8,2746,3082.887091750377,25,22
136.6226126994758,0.016365730469736123,0.003009319305419922,8,2676,3041.21341239733,25,23
146.11211250144453,0.0021726990282756988,0.0020003318786621094,8,2772,3077.2159120281954,25,22
