rmse_I,rmse_Beta,time_predict,roll_var_npeople,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
329.76686989051365,0.0002519943681056483,0.001001119613647461,8,2483,3408.614677843689,23,19
286.61617414522703,0.00022232157867490177,0.00250244140625,8,2543,3361.864872724668,23,20
339.19122216237,0.0002438760169603224,0.0010001659393310547,8,2553,3397.2229823876064,25,19
230.06603638822298,0.0002875773087442201,0.002000093460083008,8,2977,3607.683274009434,21,18
206.58699966830605,0.00028592544403252106,0.0015053749084472656,8,3043,3624.699615046926,22,18
203.68547339714587,0.00029657106486514367,0.002000093460083008,8,2984,3633.9196474914825,21,18
422.7263857008722,0.00020342579693133922,0.002001047134399414,8,1863,2964.4366526563676,30,21
353.23536287749005,0.000255226726791201,0.0020046234130859375,8,1978,3015.6087195847845,24,20
390.6496398182687,0.0002609653416539342,0.0025026798248291016,8,1944,3022.413003091621,26,20
333.6161015429325,0.00027583295708088275,0.0029997825622558594,8,2278,3205.6207887564583,23,19
320.43519263693673,0.0002608846199251796,0.003999948501586914,8,2267,3208.7260434686777,24,19
323.732262885467,0.0002666290423994714,0.0035071372985839844,8,2192,3208.416824037619,24,20
335.7956814213612,0.00016198048227496174,0.004505157470703125,9,1359,2453.5109188395763,30,24
392.48025207285707,0.00022770483250110032,0.004000186920166016,8,1321,2601.640820142489,28,22
384.83519463442406,0.00022062990082913412,0.0029997825622558594,8,1399,2613.6856250225756,31,21
417.36004597915655,0.00022731714745515236,0.003528594970703125,8,1551,2793.487112337869,30,21
396.4333557884757,0.00021674827226284379,0.002999544143676758,8,1582,2778.863312650592,33,21
354.5770425508698,0.00020387963335831186,0.003998994827270508,8,1653,2769.715244698047,28,21
403.29396907508374,0.000206110959025275,0.0030264854431152344,8,2235,3345.443614234413,28,21
353.245717588886,0.00012616537921342368,0.002506256103515625,9,2290,3188.380722076203,30,23
432.6546074072079,0.00022194349165480278,0.0030269622802734375,8,2170,3373.452542108898,29,21
293.8759354516973,0.00022769351295499104,0.004004240036010742,8,2746,3578.3300771096106,25,19
332.338849562799,0.000239644945331373,0.0019974708557128906,8,2676,3580.1610976737315,25,20
340.757195799509,0.00023481003330065155,0.0030012130737304688,8,2772,3582.472189250433,25,19
471.2460832054036,0.0002099448328655563,0.0035059452056884766,8,1646,2981.586678822968,32,22
391.4503273664811,0.00011643971261674296,0.0050013065338134766,9,1478,2726.1919677789856,32,26
439.19057998459164,0.00021478093219092894,0.006190776824951172,8,1507,2976.625198303307,34,22
377.92990150398066,0.00013276920765094356,0.003999233245849609,9,1839,2994.5799431454743,29,24
471.73601989429994,0.00019861788392089598,0.0030012130737304688,8,1836,3159.787522574126,30,22
