rmse_I,rmse_Beta,time_predict,roll_var_npeople,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
854.8135834985923,0.003546034446972404,0.00599980354309082,9,14620,17181.101035861902,28,26
887.5042704361492,0.0047839346546594075,0.003000020980834961,8,14769,17373.487671348532,28,25
844.3952183395768,0.0011085101853295601,0.006000995635986328,9,14999,17365.155452453175,29,25
860.7966798077656,0.0008083521478774736,0.0060007572174072266,9,14856,17279.06454730328,29,25
898.8815493552761,0.0034399533728852287,0.003000020980834961,9,14658,17203.433792401178,29,26
875.2981411114954,0.0015802362162124404,0.006000041961669922,9,14922,17353.024346079736,29,25
894.9704079498605,0.0017577489405494501,0.006000041961669922,9,14448,17145.110978696106,28,26
880.0448138879323,0.00787941378456396,0.003000020980834961,9,14594,17282.02906660863,29,25
779.3162515947868,0.1605682040404213,0.0029997825622558594,9,14866,17189.160509161473,29,26
910.7991038400786,0.000552176705690163,0.003000020980834961,9,14798,17264.593792523025,29,26
840.5259312527542,0.015879677788956912,0.003000020980834961,9,14729,17280.242741845246,28,25
857.6972264834163,0.0009829591293833526,0.0059931278228759766,9,14771,17347.108156713748,29,25
850.2776279948846,0.0226797571283144,0.003000020980834961,9,14689,17285.11981110408,29,25
894.3284710536736,0.0006121478380287284,0.0030002593994140625,9,14830,17343.758027835516,28,25
835.2773051559849,0.007952614238147115,0.00599980354309082,9,14861,17344.65422906461,27,25
823.9489087772204,0.002627148467166014,0.003000020980834961,9,14925,17237.73791583616,28,25
933.6093734497501,0.00841282659626631,0.006000041961669922,8,14775,17446.423947130657,27,25
819.9922633340904,0.00377764089908014,0.006000041961669922,9,14938,17389.209655701405,28,25
903.7919749257348,0.0009407387437463969,0.003000020980834961,9,14788,17306.8442069312,28,25
875.7040760857636,0.004246196725616566,0.0060002803802490234,9,14726,17344.925883863885,28,25
811.2834909259518,0.002061984979443292,0.003000020980834961,9,15039,17400.1610339266,28,25
860.4172077649621,0.0032304732154431453,0.003000020980834961,9,14622,17379.694463246797,26,25
747.4032406176269,0.16297348102811315,0.00599980354309082,9,14867,17440.39894488824,28,25
821.474877121113,0.008575191258122247,0.003000020980834961,9,14794,17384.95926405145,27,25
781.4561360144993,0.014329402638829102,0.006000518798828125,9,14980,17359.056948543108,28,25
899.7196958079622,0.07283144760139144,0.0029997825622558594,7,15120,17772.289529086687,27,24
901.5522847424204,0.0007175494961321759,0.00599980354309082,9,14696,17277.77267997277,29,25
944.428231472399,0.0003944906991250213,0.0029997825622558594,9,14725,17450.159077066746,27,25
772.0935139421055,0.020041992123160674,0.0030002593994140625,9,14904,17369.298037922556,29,25
856.5007442067167,0.003475329004260103,0.005999565124511719,9,14761,17307.06213349431,28,25
853.5978205638537,0.001964137543258868,0.0029997825622558594,9,14914,17443.452805519955,27,24
840.2476316693504,0.0013265128335886649,0.00599980354309082,9,15116,17536.1026866084,28,24
934.406888436639,0.0020906070133525773,0.003000020980834961,9,14619,17368.343643720218,27,25
758.3842156008636,0.1326541865945119,0.002015829086303711,9,14901,17466.347733481838,27,24
837.0194163216808,0.0007959704364308528,0.005999565124511719,9,14827,17405.780993752567,26,25
857.6476109182541,0.005389664251589859,0.0029997825622558594,9,14926,17526.79395951432,28,24
838.1559192742142,0.005023028031591484,0.006000518798828125,9,14778,17399.970102342948,27,25
791.4879087884384,0.004463270415638878,0.006000041961669922,9,15017,17416.114938336894,27,25
