rmse_I,rmse_Beta,time_predict,roll_var_npeople,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
1617.94905475009,2.8408057903971196e-05,0.008028030395507812,9,14620,19500.214256244846,28,23
1944.2107274525733,4.5417179536147555e-05,0.0,8,14769,20142.34355243379,28,21
1598.5515226864377,2.9932014239021414e-05,0.010063886642456055,9,14999,19598.38192957805,29,23
1652.9122376449995,2.9366717214219133e-05,0.0,9,14856,19585.902173496273,29,23
1674.1949415590166,2.8958066716095687e-05,0.0020208358764648438,9,14658,19543.304843667403,29,23
1612.048238765998,2.870468419983101e-05,0.0,9,14922,19579.530414323006,29,23
1668.656274779156,2.7856278272350643e-05,0.008048295974731445,9,14448,19462.82784770016,28,23
1621.7048666069081,2.900657485846753e-05,0.0,9,14594,19578.789348865503,29,23
1478.4137412348698,2.808967101430582e-05,0.008038997650146484,9,14866,19470.589539399934,29,23
1731.8947498237312,2.969969704670429e-05,0.0,9,14798,19620.119867196758,29,23
1510.4101063070557,2.7797436052828955e-05,0.0,9,14729,19442.002056082478,28,23
1555.4733934874348,2.7153387194630862e-05,0.002027750015258789,9,14771,19454.18372990732,29,23
1519.4269522842458,2.7759205761648513e-05,0.0,9,14689,19434.14865191627,29,23
1625.1983994278814,2.8050274665937517e-05,0.0020294189453125,9,14830,19498.351504457918,28,23
1480.4969299587822,2.724828871317996e-05,0.0,9,14861,19414.36776726595,27,23
1541.8215734117925,2.7387496893275777e-05,0.0,9,14925,19444.10924288319,28,23
1910.1343227977138,4.497086852902419e-05,0.0,8,14775,20084.328478470754,27,21
1515.3754870751363,2.8686931902723693e-05,0.0,9,14938,19527.269697462114,28,23
1618.2617325962285,2.80374151238351e-05,0.0,9,14788,19454.060497504186,28,23
1540.8062457997764,2.7185415937976283e-05,0.0,9,14726,19417.813650665514,28,23
1449.2667510300353,2.6677580697756454e-05,0.0,9,15039,19390.423649846955,28,23
1497.2258372820922,2.6661726269434855e-05,0.0,9,14622,19391.586620147977,26,23
1322.2600490037191,2.833138160426677e-05,0.015625715255737305,9,14867,19439.44085652613,28,23
1431.6059739567927,2.66883721142471e-05,0.005540609359741211,9,14794,19368.732475633704,27,23
1398.8985718703277,2.6474400833488215e-05,0.0,9,14980,19378.140712576675,28,23
1917.8982334714128,0.00010784459202842073,0.008022785186767578,7,15120,20407.26176547022,27,20
1555.4148799479776,2.5510904568273138e-05,0.0,9,14696,19275.040500057046,29,23
1585.3028927318192,2.6690267037269616e-05,0.0,9,14725,19401.270768320534,27,23
1384.9152759657889,2.7464704330595186e-05,0.0020246505737304688,9,14904,19379.35070292633,29,23
1488.6037391571474,2.573324898447818e-05,0.0,9,14761,19293.388755840886,28,23
1440.981055604529,2.6131399806080848e-05,0.002027750015258789,9,14914,19330.5024229571,27,23
1454.870759897345,2.7506869571553656e-05,0.0,9,15116,19438.629387479083,28,22
1534.032366618524,2.54123506130579e-05,0.008041143417358398,9,14619,19275.81712881527,27,23
1318.9252347610375,2.7448314869830257e-05,0.0,9,14901,19389.371069825385,27,23
1442.5008522669311,2.5883431771666292e-05,0.008008718490600586,9,14827,19306.255229881466,26,23
1419.118588046769,2.6650819792310456e-05,0.0,9,14926,19348.333967576196,28,22
1436.7066290036314,2.675196462268732e-05,0.0,9,14778,19339.90962306169,27,23
1397.8137667917301,2.6619487633998793e-05,0.0020279884338378906,9,15017,19354.831966110716,27,23
1491.6020041524932,2.6143739241882444e-05,0.0,9,14853,19321.14441498067,28,23
1476.436133096565,2.6238232661173115e-05,0.008028268814086914,9,14845,19365.854937793745,28,23
1415.2355577620574,2.4624981440115016e-05,0.0,9,14805,19171.536099572888,27,23
1304.4882437467493,2.615643758745613e-05,0.008045673370361328,9,15225,19309.58010837014,28,22
1396.5746910378034,2.659038691514694e-05,0.0,9,15197,19382.7121522504,27,22
1480.916638698694,2.4820976611440707e-05,0.008028030395507812,9,14722,19177.472644269226,28,23
1422.4813074128285,2.6756351348269556e-05,0.0,9,14987,19350.413518200767,27,22
1351.892519367867,2.600886491006827e-05,0.008378267288208008,9,14878,19279.78705556145,26,22
1467.40684115776,2.523943842410751e-05,0.0,9,14962,19264.137700398514,28,23
1414.5335548622882,2.567256030654541e-05,0.008313417434692383,9,15116,19289.087859586412,27,23
1343.1177463558927,2.5880767230285295e-05,0.0,9,14778,19265.77839730581,27,23
1436.3793314003597,2.6273887943740746e-05,0.008046865463256836,9,14892,19310.105408946187,26,23
1385.0399759741326,2.5111418847517546e-05,0.0,9,14926,19246.105275877264,27,22
1612.0047929815673,3.981785078096282e-05,0.0,8,14864,19920.70377339454,27,21
1490.1887777360214,2.4162189204147043e-05,0.0020503997802734375,9,14767,19200.714792516294,27,23
1388.8223630636735,2.408593495740077e-05,0.0025467872619628906,9,14971,19206.56652972855,28,23
1387.9919762132956,2.509108485443294e-05,0.0,9,14884,19267.439076701867,26,22
1352.7837094907736,2.5653897924420327e-05,0.0,9,14840,19243.5265165801,27,23
1358.1699601200557,2.5684021574249606e-05,0.0020389556884765625,9,15069,19271.559865586907,27,22
1364.960327501425,2.4536029576975255e-05,0.0,9,14671,19134.61260031714,26,23
1301.7872380173133,2.5497392784074444e-05,0.002037525177001953,9,14797,19199.62750035171,27,22
1454.9972027218755,3.746434047787083e-05,0.0,8,14708,19831.29728409755,27,21
1667.3859273470223,4.778996918959794e-05,0.0020258426666259766,8,15829,20207.49308101005,27,20
1701.7364540173116,4.798935612919298e-05,0.0,8,15774,20190.554434198406,26,20
1315.1559304270877,3.227078065804058e-05,0.0020220279693603516,9,15864,19712.069184097472,27,22
1697.605986395848,4.693201510849296e-05,0.0,8,15818,20209.46953015538,26,20
1405.0583556297508,3.097728447088502e-05,0.008046150207519531,9,15677,19693.285995866536,27,22
1208.5086457672692,3.1326385841155864e-05,0.0,9,15891,19677.49865025863,26,22
1203.0690473855566,3.3086456662277506e-05,0.008039236068725586,9,15953,19745.708369067375,26,22
1268.3956615935897,3.330007238479911e-05,0.002028226852416992,9,15861,19725.842728982967,25,22
1298.0651380465895,3.2329787837442225e-05,0.0,9,15654,19706.05685907122,27,22
1666.286555481437,4.875351773883858e-05,0.002025127410888672,8,15945,20230.330548251146,27,20
1214.4396223373335,3.0262210579766836e-05,0.0,9,15937,19595.119958251053,26,22
1159.2376994436381,3.084334172299926e-05,0.00830388069152832,9,16179,19636.28930827148,25,21
1200.0654415611473,3.172001591276727e-05,0.0,9,15892,19630.907773623007,27,22
1209.9703504981355,3.16492966996369e-05,0.008039712905883789,9,16044,19654.309791426153,26,21
1192.7793050970258,3.062017288832425e-05,0.0020384788513183594,9,16013,19613.28646077607,25,21
1227.0737910654052,3.0985463021529974e-05,0.0,9,16165,19632.632838404726,26,21
1348.2689585163503,4.6464151467318886e-05,0.0020279884338378906,8,16140,20178.254900539865,24,20
1236.181939791382,3.047780389108287e-05,0.0,9,16007,19618.46430764192,25,22
1163.1916530945805,3.0532555425461387e-05,0.0020301342010498047,9,15913,19584.61883027321,26,21
1292.2237256540154,3.093339710574683e-05,0.0,9,15800,19644.093436455034,25,21
1148.2163192932273,3.0557559641096424e-05,0.002025127410888672,9,16131,19619.835089506672,25,21
1216.6588773796198,3.061993493238513e-05,0.0,9,16060,19553.385130059767,25,21
