rmse_I,rmse_Beta,time_predict,roll_var_npeople,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
2891.294898837546,2.171009026963123e-06,0.0,18,16518,10441.595832039857,82,73
2459.0033231082557,3.998126231758052e-06,0.0,17,16567,11414.740033342523,82,73
3304.5872182781764,1.3969655290525926e-06,0.00702977180480957,16,16601,9647.928080971233,81,72
3569.284150011024,2.339989939969876e-06,0.006997346878051758,19,16670,9109.603032057916,84,73
2771.6740229750053,1.6360586191022297e-06,0.0,19,16664,10823.645107469527,84,74
3360.3320235578008,1.32119537837029e-06,0.0,19,16750,9373.955543744485,82,74
3340.1152344380325,1.729090097772592e-06,0.0,19,16614,9383.33803753454,82,74
3281.1768653537215,1.4629448388610264e-06,0.0,18,16594,9658.939770417679,82,73
2933.859604838908,1.4555149453273465e-06,0.0,18,16480,10364.048924008324,81,73
3219.1414823734663,1.7979146427108054e-06,0.006989002227783203,19,16378,9595.898625157446,82,74
3246.4515641395315,1.916496015660458e-06,0.006995677947998047,17,16670,9749.733830306384,83,72
3022.895223910153,2.6068701801686762e-06,0.0,16,16591,10099.533350295475,80,72
2330.530542198235,1.5530029038211794e-06,0.007024526596069336,15,16532,11994.54700451521,81,71
2549.336845303274,2.2190107347572416e-06,0.0,16,16497,11492.639440720184,80,71
2748.989054695606,1.7110870004867679e-06,0.007019758224487305,16,16619,10962.660467323147,78,71
3340.0229512613478,1.8111156352845624e-06,0.0,16,16880,9567.222931481978,79,71
3424.4535866527353,1.2333360779916386e-06,0.0,16,16487,9362.322959222916,80,71
2565.6138937446217,1.5367036622937277e-06,0.006992340087890625,16,16605,11314.179636592293,76,72
2805.2909534892315,1.53387295693841e-06,0.007027864456176758,15,16632,10886.587874976487,79,71
2536.072270181833,1.4344151086652713e-06,0.0,15,16710,11528.063813578337,81,72
2017.8592014600206,1.2487357762858766e-06,0.006997108459472656,14,16407,12858.576827799823,78,70
2454.0442954443483,1.981249064654714e-06,0.006494760513305664,13,16641,11554.12795236821,76,70
2166.0792212751535,1.9661111290738407e-06,0.0,13,16806,12785.943328432111,78,69
2328.217146889306,1.456655313624419e-06,0.007001638412475586,13,16799,12009.773710458983,76,70
2503.431861499258,1.3361263963450156e-06,0.006991386413574219,13,16450,11481.126452632427,76,70
2844.100009033529,1.3506809633132816e-06,0.007025003433227539,13,16289,10592.100726801054,76,70
2006.4708591206609,1.896818389044511e-06,0.0,13,16448,12718.865567656434,76,69
2106.7199260547636,1.335335857201213e-06,0.0,14,16284,12439.42252238561,77,70
2565.3883388197237,1.3422040351839634e-06,0.0,13,16342,11259.829067698696,78,70
2641.4238650883617,1.516750621491477e-06,0.0,14,16288,11044.654323821194,80,70
2248.5852403941703,1.6790709955806498e-06,0.007032871246337891,11,16340,12065.891514861974,74,68
1670.3482500679381,2.0279433269501515e-06,0.007001161575317383,11,16411,13753.033128723886,75,68
2228.3876924035385,1.946990439304009e-06,0.0,11,16667,12177.523258496289,77,68
2117.686006124064,1.7448531348603022e-06,0.0,12,16785,12376.315595894068,77,69
2564.3064280066274,1.843704864773947e-06,0.0,12,16755,11485.416962901987,77,69
2191.666327113035,1.6310258140139123e-06,0.007037639617919922,12,16655,12190.954315649004,77,69
2012.2099937485827,1.9341069796682445e-06,0.0,11,16449,12883.666160979184,78,68
2255.383853609424,1.658612893707404e-06,0.007002592086791992,12,16518,12068.200057965392,77,69
2056.2495728707395,2.069049982659339e-06,0.0,12,16540,12716.791347015007,76,68
2471.7955863618668,1.6732526819230195e-06,0.006995677947998047,11,16684,11400.589873570661,77,68
1720.2020038852595,2.5437344605752526e-06,0.007001399993896484,9,16971,13705.456062702086,72,66
2665.446445452637,2.6267895798204513e-06,0.009680986404418945,9,16740,11062.282999318648,74,67
1952.1413670639643,1.4796855608302222e-06,0.0026595592498779297,10,16524,12927.388720867104,76,67
2000.5025513026656,1.3313066051719144e-06,0.002664327621459961,10,16461,12934.990605982488,77,67
1491.4689701404259,1.0494356071292589e-06,0.002701282501220703,9,16631,14622.67741649608,73,66
1766.8735320766593,1.5377667653758945e-06,0.0026807785034179688,8,16345,13939.592322851084,73,66
1653.6545968656167,1.9622729090358466e-06,0.0,9,16871,13954.559791761172,72,66
1699.3110739934182,1.085571355255972e-06,0.0031194686889648438,9,16623,13640.064353504353,71,66
1770.306920693843,1.3927579100096134e-06,0.0026705265045166016,10,16658,13465.84256095795,72,67
2133.4109782985065,1.5869586311729635e-06,0.0026807785034179688,10,16450,12529.554699808059,75,67
1669.4169418972253,2.2489145989475033e-06,0.009665966033935547,7,16705,14101.956724987052,73,65
1432.9479852510808,1.397364745061443e-06,0.0,7,16550,14416.865386455911,71,65
1486.1185173620302,1.5473245163886911e-06,0.006997585296630859,7,16777,15068.591486622634,74,65
1694.6632109413613,1.7967568393584408e-06,0.0,7,16598,13750.696834895642,74,66
1558.8219214468943,1.4387205034298923e-06,0.0,7,16383,14573.973902981877,73,65
1607.7442385525876,1.3365534113709739e-06,0.007024288177490234,7,16804,14309.368491527523,73,65
1496.802340044845,1.1716586327989596e-06,0.0,7,16853,14305.302977794898,73,65
1402.5617000391292,1.473623590595754e-06,0.00699925422668457,7,16551,15390.904564019442,74,64
1422.5388501557024,1.6093912079158247e-06,0.0070018768310546875,7,16570,15213.513408561235,73,65
1575.1501454638142,1.441610402265354e-06,0.0,7,16394,14462.230183775177,73,65
737.2865952678667,1.3676984485840239e-05,0.0,15,19899,17984.988859719986,72,68
778.1800637392007,2.5664800430157286e-06,0.0070400238037109375,14,19875,17967.699491251864,70,67
1193.8411733196938,3.459780869274193e-06,0.006997823715209961,15,20174,16646.37914568847,70,69
522.2167540191383,1.1750289126860196e-06,0.0,14,20100,19088.67776024808,70,67
699.336421892293,1.3468497453925745e-06,0.0,15,19795,17933.016615015655,69,68
1248.5734639581508,1.2092569790365835e-06,0.0,15,19861,16330.501925499695,71,69
1047.6667148840277,2.2184098575443676e-06,0.007000446319580078,14,19902,17036.07581793344,70,68
582.6808823728626,2.875178493642847e-06,0.0069806575775146484,14,19839,18659.130517429123,69,67
901.4130036296843,1.1679462311252054e-06,0.0,15,19916,17504.036629536906,71,68
880.8419128646829,1.931408819503178e-06,0.0,15,20100,17576.868589402337,70,68
916.8093179582382,1.0629159310504053e-06,0.0,13,20178,17604.685895949973,68,67
595.8512768806967,8.795336254707269e-07,0.0,12,19803,19324.658191296956,68,64
791.11845072326,8.034684930135893e-07,0.006998777389526367,12,19818,20006.290670530783,68,63
1030.1739627425509,1.1567697920872833e-06,0.006037235260009766,13,19837,17141.579563006446,67,67
600.8680180661727,1.813902639320353e-06,0.00699925422668457,12,19820,19516.18737033133,67,65
1701.5134520769004,1.8208295606017346e-06,0.006992816925048828,13,20158,15371.14407466792,69,69
589.7660149057357,2.5145525032763833e-06,0.0,13,20370,19406.273775444224,67,65
538.3929126660443,1.5049090576940297e-06,0.0,13,19994,18685.026998151065,69,65
646.1280260577846,9.857878466297983e-07,0.0,13,19798,18126.21974183667,68,67
791.3324020596441,1.242345357330857e-05,0.0069921016693115234,12,19873,17687.04718410359,69,66
743.9994016735268,2.083958562024608e-06,0.007029056549072266,11,20058,18172.708948397933,65,64
548.400502057741,8.983985170468613e-07,0.0,11,19672,19045.792756854884,68,64
845.5954564311129,2.5681320169807453e-06,0.0,11,19900,17630.555278997857,68,65
570.0177697552512,2.119947882871735e-06,0.0,11,19730,19411.992023601786,65,63
446.0045741595421,9.293813619727149e-07,0.0,10,20184,19552.83402572459,65,63
748.7459794463426,3.156330568696686e-06,0.0,11,19667,17754.065359680786,66,65
497.1168812588409,4.1722549475638495e-06,0.0,10,20202,19478.289423621958,66,63
611.1578034663645,3.819002020759307e-06,0.0,10,20169,18589.98279618978,68,64
1116.898976520748,6.3130689475262724e-06,0.0,11,19965,16834.581375252725,67,66
644.522995278165,2.1160926212654756e-06,0.0,11,19602,18820.888514113452,68,64
468.29055171559816,1.1310624648320276e-06,0.007018327713012695,10,19978,19098.435524496086,64,63
473.08201394481597,1.5034105663536696e-06,0.007001161575317383,9,19624,18672.43897257127,63,63
430.02702249815803,2.9297047845318415e-06,0.0,9,19802,19413.462489922786,65,62
683.5394699791779,1.944926142553216e-06,0.006977558135986328,9,20117,18337.29388869349,64,63
368.98698815089665,9.999712372107769e-07,0.0,9,19957,19420.835195211654,65,62
455.397245485405,3.2923727935439462e-06,0.0,9,20043,19211.514607610472,64,62
837.1082825802347,6.785234732122126e-07,0.0,8,19971,20740.360204356253,65,60
689.3069644392134,8.421813152155799e-07,0.0,9,20133,18348.24981502147,65,63
560.1031008777032,2.1017811740683094e-06,0.0,10,19725,18975.954060084416,65,63
445.7374411599746,1.7409284678214817e-06,0.007004976272583008,9,19731,18971.844848212404,65,62
472.1177130788597,7.308523479755728e-07,0.0,8,19844,19201.739734233073,64,61
588.358649469968,1.6677699887443807e-06,0.0,7,19887,20499.97104536208,63,60
665.6501151339495,1.0244522162811489e-06,0.0,8,19905,19991.226169286936,64,61
972.7716621180268,9.478215856429853e-07,0.0,7,19994,21557.40607140592,62,58
629.6698205921983,3.377009000917226e-06,0.0,8,20304,21062.11686472112,61,59
383.19053083994675,6.3340968681115484e-06,0.0,7,19874,19779.90242417728,64,61
712.2131894730911,1.4034278157180823e-06,0.0,7,20236,20910.629308056377,62,59
492.50910459818857,1.7693185261552677e-06,0.0,8,20226,19429.89467986971,63,61
512.811725766265,2.1409422429847506e-06,0.0,8,20098,18885.323645342298,65,62
455.7922880377402,1.0055255744834228e-06,0.0,7,20002,20029.25904036913,64,60
665.2924813899932,4.115902509461099e-06,0.0069942474365234375,7,20041,21066.178908413367,62,58
746.9742621238828,2.9182846850048792e-06,0.007050514221191406,7,19845,20828.686164428298,63,58
1064.3396052811327,3.418585726369247e-06,0.0,7,19882,21539.163639276736,63,57
407.86020574185414,1.709840803186532e-06,0.007000446319580078,7,19881,19016.758574054926,64,61
676.0735889384634,9.70637751426101e-07,0.00699615478515625,7,19927,20940.365450150948,61,58
705.1791575491052,1.5252078627515526e-06,0.0,7,20093,20788.581226088347,62,58
713.9224803331799,1.3126916288699743e-06,0.007020711898803711,7,19747,20981.417810514555,60,58
558.8712927305681,1.0595549858711175e-06,0.0070002079010009766,7,20327,20611.383304547497,62,59
791.877120229747,2.8032401240487006e-06,0.0,7,20099,21234.65391072206,62,58
689.2577727197756,7.062290597672468e-07,0.0,7,20239,20998.14616586448,61,58
74.38782883651449,2.0892294211503858e-06,0.007025003433227539,12,22393,22305.77099041902,61,61
113.59059091881534,1.0185485254047551e-06,0.0,13,22631,22404.346755851762,64,62
468.95735744968846,1.585729949029411e-06,0.0,12,22718,23468.48299087738,63,60
173.8962814761043,1.4160502013455392e-06,0.0,13,22545,22498.166619150677,62,62
385.28686125795406,6.841829124617628e-06,0.006999015808105469,12,22686,23534.156540841035,61,59
439.0303742369407,8.445378910966742e-07,0.006989479064941406,12,22608,23112.84485072669,63,60
151.71212932290567,2.2331008670580566e-06,0.007019996643066406,13,22769,22245.762937131985,63,62
98.53992802596466,9.303776840564884e-07,0.0,13,22475,22553.16395125934,64,61
