rmse_I,rmse_Beta,time_predict,roll_var_npeople,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
3422.6518389281177,2.4177888582493796e-06,0.010063886642456055,7,16518,20810.719909962332,82,66
3148.949422574548,3.9873646351973645e-06,0.0,7,16567,20774.442475204512,82,66
3565.2411856637705,2.5099216594842888e-06,0.0,7,16601,21037.635871905502,81,64
3402.8094777841393,2.778381489161427e-06,0.0020177364349365234,7,16670,20722.20168358952,84,66
3439.8718824694784,2.537231356516189e-06,0.01004648208618164,7,16664,20622.804061488776,84,66
3286.753663030428,2.6129694011283163e-06,0.008025169372558594,7,16750,20736.9222926558,82,66
3347.9330292903574,2.566161124471714e-06,0.0,7,16614,20643.894724147565,82,66
3440.330836432668,2.417919546567427e-06,0.0020170211791992188,7,16594,20749.033485658158,82,66
3541.125993915706,2.5154981938673456e-06,0.010045289993286133,7,16480,20858.144564053917,81,65
3540.5738025657506,2.5166034503320244e-06,0.00803232192993164,7,16378,20716.075992381742,82,66
3695.6881192825526,2.5103413846345015e-06,0.0,7,16670,21044.728781913895,83,64
3331.290622985412,2.9999641510745738e-06,0.0020198822021484375,7,16591,21003.32429604052,80,64
3388.4902842863553,2.5695677463042665e-06,0.010075807571411133,7,16532,21155.299595334815,81,64
3518.2897724886143,2.473900691504764e-06,0.008039474487304688,7,16497,21117.41397175084,80,64
3417.291621412259,2.7063164643738463e-06,0.0,7,16619,21132.29971088974,78,64
3403.5763110156254,2.5789860544530002e-06,0.0020155906677246094,7,16880,21187.173956273662,79,63
3508.2722109207625,2.6745890852268196e-06,0.010034561157226562,7,16487,21148.98218574339,80,64
3313.0124990661375,2.48828076575006e-06,0.0,7,16605,21124.95602910662,76,64
3494.2825968746647,2.5542809239816e-06,0.0,7,16632,21189.171883000265,79,63
3425.690335584571,2.624329919821798e-06,0.0,7,16710,21090.866734296786,81,64
3377.246648584412,2.6283333624319855e-06,0.0020225048065185547,7,16407,21368.459967646417,78,62
3346.2921651417832,2.3943207766437917e-06,0.00806570053100586,7,16641,21470.447015799287,76,62
3402.3512572145487,2.5504228548071346e-06,0.0,7,16806,21465.357948610028,78,62
3397.979348927922,2.560400534822582e-06,0.0020189285278320312,7,16799,21482.14787504405,76,62
3450.463840712331,2.612321199822803e-06,0.0020160675048828125,7,16450,21421.96177278927,76,62
3385.7849993976693,2.650378391456173e-06,0.002016305923461914,7,16289,21379.93434237573,76,62
3347.9759642440376,2.494152150874813e-06,0.008026599884033203,7,16448,21489.96563272586,76,62
3465.0853764024537,2.6166724465852422e-06,0.0,7,16284,21468.859159295636,77,62
3521.8168507833725,2.568398062698443e-06,0.0,7,16342,21517.72242738104,78,62
3548.759255482425,2.4419941523762686e-06,0.002017498016357422,7,16288,21433.42524307577,80,62
3447.6771948880573,2.6397526149815913e-06,0.008046150207519531,7,16340,21810.84549371003,74,60
3300.8065753007872,2.7092691475565185e-06,0.0,7,16411,21738.259100162017,75,60
3446.0363640235187,2.539517539522435e-06,0.002015352249145508,7,16667,21890.116541440697,77,60
3228.0836203196573,2.6826953773978728e-06,0.010047197341918945,7,16785,21668.06265573807,77,61
3424.982814988288,2.7796293467764658e-06,0.0,7,16755,21585.66821153291,77,61
3313.867652169798,2.465876144382113e-06,0.0,7,16655,21677.765539971304,77,61
3488.999356307861,2.6886788382468456e-06,0.010053634643554688,7,16449,21730.41197853235,78,60
3352.6372661489004,2.4287444330307624e-06,0.010039806365966797,7,16518,21666.14273292175,77,61
3416.0399763835094,2.6758615105281784e-06,0.0,7,16540,21745.711095429207,76,60
3316.0709577380985,2.5741957351414085e-06,0.0,7,16684,21719.927156157497,77,60
3270.112618295768,2.804357928379892e-06,0.0020198822021484375,7,16971,22095.46946414794,72,58
3236.3017190084506,3.053460813876013e-06,0.01003718376159668,7,16740,21968.492348941792,74,59
3380.157083090564,2.7366649180855156e-06,0.008022308349609375,7,16524,21857.006799059367,76,60
3446.052578354838,2.6462417426156403e-06,0.0,7,16461,21865.26834893684,77,59
3231.914850593123,2.673067555377578e-06,0.002024412155151367,7,16631,21968.69424237899,73,59
3513.816165457131,2.4724219348533e-06,0.0020189285278320312,7,16345,22046.651969641716,73,59
3179.19674766871,2.610863448645071e-06,0.008034706115722656,7,16871,22010.33023162302,72,59
3289.6070560955286,2.40967038738451e-06,0.0,7,16623,22066.08745625179,71,58
3293.288125762389,2.6744903045925834e-06,0.0020160675048828125,7,16658,21884.97656028934,72,59
3471.385872927842,2.57596160419568e-06,0.010040044784545898,7,16450,21920.019285891023,75,59
3378.49419193691,2.964601499232335e-06,0.0,7,16705,22162.9455546277,73,58
3234.6401552635352,2.6118907696023664e-06,0.0,7,16550,22119.198322436245,71,58
3365.0999735283613,2.661185804188893e-06,0.002017498016357422,7,16777,22204.586218142074,74,58
3364.503925151953,2.452973649531832e-06,0.008037805557250977,7,16598,22060.309746785053,74,58
3454.837883306544,2.6156319923590014e-06,0.0,7,16383,22245.546039758163,73,57
3381.097518953072,2.6474228766856395e-06,0.002016305923461914,7,16804,22188.460447000773,73,58
3139.366504365264,2.6302980456924397e-06,0.008021354675292969,7,16853,22097.200073864322,73,58
3373.165067486831,2.615520482182698e-06,0.0,7,16551,22186.833223691796,74,58
3348.4656775229414,2.6321327191981803e-06,0.0,7,16570,22192.920388765942,73,58
3429.9584187726714,2.697694814648866e-06,0.01006770133972168,7,16394,22124.12871566619,73,58
1155.9914527694564,1.3043788079785226e-05,0.0,7,19899,21000.51210780364,72,65
1353.0769728890002,3.351830232802387e-06,0.0,7,19875,21171.759451039128,70,64
1349.7826952445007,3.9246650062550046e-06,0.010033845901489258,7,20174,21205.204323289156,70,63
1160.2538009759746,2.1084547614161057e-06,0.008022785186767578,7,20100,21160.958460206977,70,64
1232.2704048100084,2.814739932356736e-06,0.0,7,19795,21175.615789449515,69,64
1464.1313237099841,2.7907605621213336e-06,0.002055644989013672,7,19861,21082.039840375637,71,64
1405.2270452380917,2.8766726219555675e-06,0.00805044174194336,7,19902,21135.179688932785,70,64
1240.6873947212976,3.6247554393444555e-06,0.0,7,19839,21165.028574060656,69,64
1577.9788928275245,2.770235718012071e-06,0.0020160675048828125,7,19916,21190.07862047588,71,64
1284.4517379369693,3.0373983868995445e-06,0.010032892227172852,7,20100,21155.145480737217,70,64
1578.0035395255516,1.8997510786478879e-06,0.0,7,20178,21511.85105936256,68,62
1457.3994916487657,2.7680507509149193e-06,0.002016305923461914,7,19803,21656.80252430543,68,61
1513.6427786951788,2.7763539597818395e-06,0.010067224502563477,7,19818,21656.753424445553,68,61
