rmse_I,rmse_Beta,time_predict,roll_var_npeople,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
2018.5662077878885,1.635009167880618e-06,0.0033507347106933594,7,16581,20667.03192355862,82,75
1548.4874674183432,1.8115153153377261e-06,0.0037050247192382812,7,16679,20129.298385296883,82,76
1517.7141491776674,1.5146503100358664e-06,0.003531217575073242,7,16543,19998.571880707816,82,77
1521.2852232592745,1.6972744254929934e-06,0.0035648345947265625,7,16634,19986.318873655684,83,78
2160.8952594331554,1.6812726735853736e-06,0.003911733627319336,7,16588,20874.5126235668,82,74
1871.2053700050003,1.568648331445992e-06,0.0040590763092041016,7,16412,20481.028470785655,81,75
2134.1447581877974,1.788211845201172e-06,0.00392603874206543,7,16689,21218.364765307942,81,73
1408.7271020450048,1.4552129364171931e-06,0.003920555114746094,7,16452,19948.82208632782,81,77
665.7571663231926,1.5779679810378096e-06,0.003966808319091797,7,16857,18487.12804496243,85,82
1361.9087859892113,1.4855315797740538e-06,0.004134178161621094,7,16727,19747.111740530847,81,78
1322.7308253013866,1.603461481896773e-06,0.0038661956787109375,7,16388,19515.964280763277,83,76
2037.9650052315897,2.1356471206498096e-06,0.004015922546386719,7,16392,20883.74420888032,81,72
1480.0541249336436,1.758774391256094e-06,0.0035004615783691406,7,16533,20127.39286715924,76,74
1767.7688766812566,1.6205201898195116e-06,0.00359344482421875,7,16759,20421.1788055121,80,74
1070.7408221590686,1.5098012352793653e-06,0.0040128231048583984,7,16670,19295.14728152852,80,77
907.1195310096358,1.707307748499622e-06,0.003497600555419922,7,16649,19118.34621101518,80,78
855.502932912481,1.4464999609029726e-06,0.0036644935607910156,7,16564,18982.628292372883,78,78
1328.8986678664494,1.943460934321768e-06,0.003519296646118164,7,16423,19687.995134472123,82,76
1563.8183654602162,1.6431071538362775e-06,0.004304409027099609,7,16608,20185.39930407949,80,74
1647.4506049008817,1.6745235370417144e-06,0.0027687549591064453,7,16576,20106.93888706861,80,74
1006.0673857701788,1.4043770978192876e-06,0.004113197326660156,7,16226,19000.298647741318,80,76
1682.0152331515203,1.8333864517540696e-06,0.0037691593170166016,7,16328,20079.577049735468,80,73
1273.5145665658922,1.8810740277346721e-06,0.0035245418548583984,7,16530,19778.230693697562,78,73
1232.271743741905,1.789599480968538e-06,0.004157304763793945,7,16351,19522.182608550123,78,74
1394.870120107845,1.789231770400007e-06,0.003529787063598633,7,16464,19891.47682544565,76,73
1483.9378533388308,1.8028888590809866e-06,0.004185199737548828,7,16644,19913.061832648407,80,73
1667.2284636804995,1.6164109237746741e-06,0.003590822219848633,7,16552,20463.745631123656,75,71
1697.9897651315293,1.8853594069591214e-06,0.004273176193237305,7,16506,20299.766243049773,77,72
1474.238118566284,1.6527405002830463e-06,0.0043828487396240234,7,16703,20346.614582884835,77,71
1694.299094183246,1.942234090177066e-06,0.004012107849121094,7,16562,20569.42356496206,76,71
1659.8508325908506,1.6514674119037565e-06,0.003549814224243164,7,16692,20624.19824160147,76,69
1708.810327708872,1.7152590139690707e-06,0.0037260055541992188,7,16592,20569.692242259945,76,70
1206.5770883810924,1.5584949764257232e-06,0.0037887096405029297,7,16945,19878.793098737697,75,72
1300.8030946160227,1.552367729925176e-06,0.0035021305084228516,7,16470,19536.241797833234,80,72
1361.8044309587685,1.8031824955179864e-06,0.0034999847412109375,7,16372,19798.413815135795,75,72
1364.7386142257762,1.7430804008229962e-06,0.003498554229736328,7,16499,20004.99248785558,76,71
1295.132919360493,1.7687628632413036e-06,0.0035071372985839844,7,16425,19656.254251573606,77,72
1102.5922879403151,2.1708568228718236e-06,0.003499746322631836,7,16803,19602.33797510605,77,72
1634.8822338235555,2.7133080859521285e-06,0.0035517215728759766,7,16596,20234.779020012767,77,70
1294.8177583564143,1.8888201841810984e-06,0.0034995079040527344,7,16793,20033.1749659462,75,71
603.0697004991853,1.4369003846195212e-06,0.003499269485473633,7,16635,18377.50392676987,76,75
1905.9384887218714,1.7635997943855442e-06,0.002999544143676758,7,16610,20685.537330475905,73,67
754.080202470488,1.4821034686288193e-06,0.0040514469146728516,7,16986,19094.077005904655,73,72
1422.8794735696945,1.5650432637668288e-06,0.0035524368286132812,7,16753,20044.410901256735,75,69
1464.3431032713343,4.346963259655595e-06,0.0034983158111572266,7,16949,20169.27696950899,75,69
1339.619868402004,1.603389942493504e-06,0.004053592681884766,7,16543,20204.064281191106,75,69
1177.8051052480955,1.7445478456335993e-06,0.0034995079040527344,7,16787,19836.60710613842,75,70
871.9149283972546,2.411631289083902e-06,0.0034999847412109375,7,16915,19307.469601395733,73,71
1595.16754490788,1.7020647892804795e-06,0.0045430660247802734,7,16409,20134.902844085496,76,69
1285.054917246029,1.7936199153810717e-06,0.004553079605102539,7,16569,19843.287453364635,73,70
1548.4503623684902,2.217345627059248e-06,0.003500223159790039,7,17000,20567.71428919561,72,66
1356.2669132734611,1.817304577821608e-06,0.003000020980834961,7,16645,19953.47666002534,74,68
1292.851266692066,1.7992190168986594e-06,0.003499746322631836,7,16766,19920.265346106495,74,68
1390.0745968977983,2.3387604717013723e-06,0.0034999847412109375,7,16600,19991.010012149443,73,68
1889.7111489721904,2.1494652246968718e-06,0.003551959991455078,7,16761,21180.11910933843,71,65
1389.952866199218,1.900374402389984e-06,0.00449824333190918,7,16988,20191.627717587653,72,68
902.5467510339867,1.541952011027875e-06,0.003551006317138672,7,16780,19310.11374434232,74,70
1005.892586637336,1.75028712670364e-06,0.003498554229736328,7,16589,19391.485863228525,73,70
1316.3783648281296,1.5773237311998802e-06,0.0044405460357666016,7,16822,19987.015531954294,71,68
1753.5322960169449,1.740513372583974e-06,0.004015207290649414,7,16896,20799.707393666416,73,66
1658.614365960694,2.61136439643376e-06,0.0035207271575927734,7,20161,23991.335005793317,70,65
1914.8758274854845,2.9596139536830293e-06,0.004019498825073242,7,20132,24236.187682566106,72,64
1092.2772853737506,2.399579972464803e-06,0.0038971900939941406,7,20296,23260.108731900913,69,67
