rmse_I,rmse_Beta,time_predict,roll_var_npeople,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
1406.6870473768256,2.7963871283086282e-06,0.018277645111083984,20,8265,10207.841869958263,86,71
1454.9176378445356,2.6222361053301405e-06,0.0,17,8396,10551.623959412895,81,68
1495.1465938816202,5.9833549594689775e-06,0.0,19,8180,10323.227352859385,82,70
1479.042182854725,4.032983016323679e-06,0.0,19,8285,10293.964568966616,83,70
1475.9614052245572,3.75687258665392e-06,0.0,19,8221,10332.233689787014,85,70
1523.3991420520483,3.6040575959674886e-06,0.015623807907104492,18,8149,10441.019112029475,84,69
1419.702263357553,2.408485886257553e-06,0.015624761581420898,20,8336,10169.15129020223,84,71
1480.1651864045987,1.8230205958479658e-06,0.0,19,8162,10286.219654032619,84,70
1527.4673831878424,2.3284022874667735e-06,0.0,18,8149,10474.925314808797,82,68
1553.6488322276289,3.7076304062577037e-06,0.0,17,8183,10587.167626977347,79,67
1676.045434668325,2.9932221609595404e-06,0.0,15,8352,10717.727553959738,82,66
1558.632047686821,3.498940424330905e-06,0.0,16,8283,10673.238002466609,82,66
1520.7621030772154,2.904698310096183e-06,0.0,15,8261,10751.962821937404,79,65
1550.8981843894273,4.196952516284849e-06,0.0,15,8437,10772.928780915936,78,65
1663.158706257231,2.3885002573810815e-06,0.0,15,8120,10713.880984305935,80,66
1676.7289777314627,2.4386068652746158e-06,0.0,15,8186,10725.327958386219,81,66
1584.0510091652545,1.937437482329802e-06,0.0,17,8300,10567.245522447593,85,67
1513.43627881876,2.9172707790824485e-06,0.0,17,8348,10566.12291213671,81,67
1536.9178368391795,2.8565934392606718e-06,0.0,14,8391,10843.032185174694,78,65
1675.963240756757,3.644565220896318e-06,0.0,17,8074,10480.29391320809,82,68
1625.4340857686511,3.504666574654063e-06,0.0020170211791992188,13,8395,10978.459323146477,78,63
1583.132089376785,2.9534283064887252e-06,0.0,14,8300,10889.860113970111,78,64
1479.7385497922928,1.4836120333738953e-05,0.01005864143371582,14,8259,10815.166519618657,78,65
1788.9839431227206,3.4453127400940333e-06,0.0,12,8174,11049.46334033209,76,62
1678.2046194732116,5.559666621619423e-06,0.010033845901489258,13,8208,10965.853427057857,81,63
1679.0127825128882,4.220929385457771e-06,0.0,13,8263,10951.355066736529,81,63
1566.441851533669,6.142530939159739e-06,0.01005864143371582,14,8234,10846.314552169419,79,64
1640.9780226347586,4.097451942957377e-06,0.0,12,8371,11067.184141190373,76,62
1666.5629197602464,8.229769562768211e-06,0.00801396369934082,14,8154,10891.499365377982,80,64
1541.335404103723,3.2795806440488844e-06,0.0,13,8259,10969.981901369618,76,63
1601.2864032979398,3.7805566088770548e-06,0.008407354354858398,12,8347,11106.70041487753,76,62
1817.3800910087098,2.615314633815269e-06,0.0020134449005126953,9,8346,11311.23696343157,75,59
1785.7120946019008,3.2839900047968488e-06,0.0,11,8021,11173.717141199433,79,61
1589.8005435043942,2.91821244250001e-06,0.0020198822021484375,12,8332,11093.927910247803,77,62
1715.8867945326294,2.495105796416568e-06,0.0,11,8334,11176.245665680375,76,61
1601.7591719285538,2.5325725953739357e-06,0.0020134449005126953,12,8255,11114.110871470026,77,61
1527.646323654623,6.370828005094364e-06,0.0,12,8518,11124.835073763628,73,61
1553.4164480843208,7.104615744718709e-06,0.0020220279693603516,11,8485,11173.3933056869,74,61
1805.8904123695502,2.8068626344158847e-06,0.0,11,8315,11194.599850735865,79,61
1714.2566617752345,3.7708767832412667e-06,0.0020198822021484375,12,8335,11133.515863220195,77,61
1725.013967707001,5.43881009331574e-06,0.0,9,8216,11328.789138551754,74,59
1797.5964591686402,1.0502788097030214e-05,0.0020177364349365234,8,8285,11405.388855390624,76,58
1686.2198218282833,1.7818220512270818e-06,0.0,8,8265,11433.31089843951,70,58
1723.1954273281335,5.894147228511517e-06,0.0,9,8382,11361.823700554196,73,59
1713.4606938514924,1.0751725942991295e-05,0.010040044784545898,9,8549,11336.250092396904,75,59
1630.1053026515874,3.6727566484532847e-06,0.004529476165771484,11,8137,11186.630855712869,77,61
1740.2243058181637,6.284195687731324e-06,0.002018451690673828,10,8382,11286.441569233179,75,60
1850.8304836542964,5.603323349714102e-06,0.0,9,8121,11322.664240520302,76,59
1658.9939931764004,3.4283286577776605e-06,0.002022981643676758,10,8230,11268.932712395897,73,60
1725.459919045759,2.752816056134333e-06,0.0,9,8439,11339.846430540289,72,59
1852.2503490581153,6.097233672117429e-06,0.0020241737365722656,7,8200,11412.531314752485,73,58
1892.007542379147,5.610024057055729e-06,0.0,7,8226,11443.000414619544,72,58
1861.7744707534098,1.9198227288268076e-06,0.0,7,8208,11434.101315703938,76,58
1744.1047294776529,3.8658570931922695e-06,0.0075304508209228516,7,8330,11567.180267628952,73,56
1901.9850435904316,2.334628827966359e-06,0.0,7,8158,11435.332446704115,70,58
1807.3922914988686,3.7575542118059708e-06,0.008037090301513672,7,8270,11477.199887774284,74,57
1760.1447033765928,3.7552961339750888e-06,0.0,7,8359,11470.041040958182,71,57
1726.5049700856418,3.981845638754594e-06,0.008025407791137695,7,8447,11512.181752992887,72,57
1865.8987941469234,2.518817537938293e-06,0.0020270347595214844,7,8225,11428.323818833505,73,58
1855.3253642627612,3.0276483102238904e-06,0.008031606674194336,7,8260,11454.494523663883,75,58
714.486011424058,2.108884594448729e-06,0.0,16,9908,10800.416759920721,72,65
537.6458442528294,1.421095302554663e-06,0.008025407791137695,16,10008,10771.622986753147,71,65
620.857569761328,4.351180409288388e-06,0.0,14,10043,10958.298824791933,69,64
619.7084703492784,4.8042769437066735e-06,0.008061885833740234,15,9914,10895.430960873371,72,64
686.6703464868789,2.6586202380382907e-06,0.0,14,10040,10975.65204967248,70,64
530.4863515726439,4.110832346394257e-06,0.008025646209716797,16,10111,10734.139621988656,72,66
703.7964015084459,3.7536868164110784e-06,0.0,16,9854,10748.12205301716,73,66
660.7662359705333,8.362694935013074e-06,0.008042573928833008,15,10125,10832.042909736228,71,65
651.0494723699304,4.50332579356874e-06,0.002016782760620117,15,9940,10811.747215620338,70,65
781.817388729613,1.7939911907797583e-06,0.008025407791137695,15,9920,10858.794789003805,72,65
904.1873153069552,3.1612566670971015e-06,0.0020198822021484375,12,9735,11161.484253467876,68,61
603.1001793444578,6.6416493484644705e-06,0.0,12,10348,11141.917774162068,66,62
796.9436365200847,2.1041707620757812e-06,0.002016782760620117,12,10054,11132.330475598987,67,61
723.425584968936,8.823368458474389e-06,0.0,14,9849,11016.786823872446,68,63
932.8575143512148,8.975896341900725e-06,0.00202178955078125,12,9999,11135.945025630022,68,62
673.6573134856978,6.813388859208108e-06,0.0,13,9997,11129.560812737107,70,62
788.4794209360682,5.818127610637161e-06,0.0020294189453125,13,9722,11065.898746481718,68,62
612.8321747265773,2.226588927439999e-06,0.0,13,10072,11090.576766972437,69,62
752.5183226891506,4.084273397025411e-06,0.01006627082824707,13,9884,11052.91533025011,69,62
789.7594558440752,5.6074157642674726e-06,0.0,13,10104,11062.241799709407,69,62
750.6941541229916,6.764747272495114e-06,0.010040521621704102,11,10027,11228.711354160037,66,60
760.357529907307,2.2339509897722163e-06,0.0,11,10097,11211.368975374075,67,61
801.1158391726283,1.3249171550391385e-05,0.01006317138671875,10,9988,11313.9654856177,67,60
780.5104295215194,2.5616016247492457e-06,0.0,11,9875,11270.88140394133,66,60
