rmse_I,rmse_Beta,time_predict,roll_var_npeople,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
624.9330820164961,1.133557271547535e-05,0.0,20,8265,8624.38873652225,86,76
706.2238357310987,1.0440947870184549e-05,0.010052204132080078,17,8396,8978.725756129856,81,73
714.9278568750884,1.0121093396582187e-05,0.0,19,8180,8731.887003930142,82,75
700.2621616688505,1.0602276900627577e-05,0.002031087875366211,19,8285,8714.057810526045,83,76
696.3875727167542,1.0268150355960378e-05,0.01007080078125,19,8221,8742.234769870352,85,75
771.1663829336663,1.0201555834691446e-05,0.00804591178894043,18,8149,8877.753732080213,84,74
607.7009528846343,1.2392969258132791e-05,0.0,20,8336,8545.708908937684,84,77
705.752843114912,1.0993712782152247e-05,0.002028226852416992,19,8162,8708.201927353079,84,76
782.1824058822405,1.0352138398637706e-05,0.008031606674194336,18,8149,8912.475712153018,82,73
804.4385169902121,1.0168246826685177e-05,0.0,17,8183,9006.809805672725,79,72
925.3850216474184,1.039757902767107e-05,0.002031564712524414,15,8352,9111.499201145016,82,71
813.2631357849773,1.0624023769068914e-05,0.010074853897094727,16,8283,9082.86581593774,82,71
781.5944074108259,1.0428901499377909e-05,0.008040428161621094,15,8261,9163.430582626941,79,70
820.5079242889486,9.747336181203786e-06,0.0,15,8437,9184.178583336423,78,70
911.8736682742853,1.063955366060682e-05,0.010051965713500977,15,8120,9108.137872346417,80,71
938.4063477082448,1.0432100490915376e-05,0.003558635711669922,15,8186,9137.574229548552,81,71
812.9903560977331,1.1247154462640513e-05,0.008023738861083984,17,8300,8954.462124058762,85,73
740.6988523611585,1.1022982625063422e-05,0.0,17,8348,8952.00879933561,81,73
815.7539731950151,9.993379026802148e-06,0.0020303726196289062,14,8391,9268.797724312788,78,69
884.764096203367,1.1336322003220176e-05,0.01006627082824707,17,8074,8850.150983034466,82,74
914.5636945578865,1.026332928906853e-05,0.0,13,8395,9394.339717710684,78,68
863.9010209522446,1.0142649007748784e-05,0.0,14,8300,9306.469987159053,78,69
745.3650237264513,1.5809495268341198e-05,0.010046958923339844,14,8259,9220.996128974017,78,69
1126.8859690707225,9.249291795281508e-06,0.008020162582397461,12,8174,9525.723960897243,76,66
965.4468144941884,9.78294145843428e-06,0.0,13,8208,9377.732012072494,81,68
950.9041310054373,1.0718456774259031e-05,0.010066032409667969,13,8263,9345.523987378083,81,68
837.740144182243,1.0792446685264631e-05,0.008038043975830078,14,8234,9253.578061460568,79,69
954.2680127073958,9.816237521554763e-06,0.0,12,8371,9507.99564179215,76,67
955.6713714951699,1.1397103385185191e-05,0.002023935317993164,14,8154,9312.13693575424,80,69
842.6459913294132,1.0121347767367809e-05,0.008024930953979492,13,8259,9402.528611124146,76,68
918.313902499344,1.0166719089253362e-05,0.0,12,8347,9546.713207689996,76,66
1208.674404535026,9.024789169106986e-06,0.010069847106933594,9,8346,9842.769097210083,75,63
1133.8323699085818,9.491409398771277e-06,0.008046627044677734,11,8021,9645.248799609966,79,65
