rmse_I,rmse_Beta,time_predict,roll_var_npeople,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
781.5052949912113,7.365039855279818e-06,0.020328998565673828,20,8265,8871.462412818504,86,75
847.0581879271413,7.508641315197969e-06,0.010054588317871094,17,8396,9192.992625283381,81,72
872.7679535487927,7.1642357900462535e-06,0.0,19,8180,8977.629805651613,82,74
850.6704424396099,7.298956898252147e-06,0.010048627853393555,19,8285,8944.302228861246,83,75
853.656028918746,6.670619140233008e-06,0.0,19,8221,8986.30804560911,85,74
908.3611947965215,7.3249167172347725e-06,0.0020263195037841797,18,8149,9089.177168009839,84,73
789.7711499208403,7.407568541728741e-06,0.008034467697143555,20,8336,8831.978647579026,84,76
854.5429635050377,7.498917439514385e-06,0.0,19,8162,8939.925096879684,84,74
915.9658241506221,7.480040795744478e-06,0.008034706115722656,18,8149,9121.457637563411,82,72
948.5755729537696,7.232441237610208e-06,0.0,17,8183,9228.941079456074,79,71
1088.754649303626,7.2572014847861936e-06,0.010062456130981445,15,8352,9356.8153927032,82,70
964.9626522111614,7.6080621157669874e-06,0.0,16,8283,9316.388242981973,82,70
935.5290329941115,7.4536423497493085e-06,0.0,15,8261,9397.53534428795,79,69
973.2495509575876,7.077871747157233e-06,0.01005411148071289,15,8437,9417.243526059514,78,69
1074.7204375692788,7.364694339823781e-06,0.0,15,8120,9353.183179025405,80,70
1089.4389097194821,7.504129125613786e-06,0.010094642639160156,15,8186,9364.564097502094,81,70
979.9020669468385,7.519487209961459e-06,0.00804901123046875,17,8300,9210.481269743568,85,71
908.8174385568524,7.33755746979904e-06,0.0,17,8348,9209.22187160761,81,71
960.514826217232,7.36386485018375e-06,0.008026838302612305,14,8391,9487.537023137107,78,68
1063.5482753579545,7.536163331844653e-06,0.0,17,8074,9121.239514203244,82,72
1072.496767139958,7.518941050906603e-06,0.008546829223632812,13,8395,9632.583647599775,78,66
1016.1755292381321,7.294831192794327e-06,0.008028984069824219,14,8300,9536.463674592762,78,68
905.4759687162892,1.4806103990773734e-05,0.0,14,8259,9464.190117291066,78,68
1249.6915159123107,7.272632983332636e-06,0.010071277618408203,12,8174,9713.158866779042,76,65
1125.2368864001091,7.346285942932594e-06,0.0,13,8208,9619.668130730284,81,67
1123.4518477359097,7.705090844408657e-06,0.0020203590393066406,13,8263,9606.337374954346,81,67
996.5047129806148,8.326138547009394e-06,0.006520271301269531,14,8234,9495.435963565138,79,68
1101.774774528147,7.474176329342622e-06,0.0,12,8371,9730.851532724899,76,65
1103.481265361864,9.551972219620708e-06,0.010074377059936523,14,8154,9542.230312476198,80,67
987.8425407558174,7.600611543035679e-06,0.0,13,8259,9623.662445297108,76,67
1069.7948599510946,7.595516167836967e-06,0.0020284652709960938,12,8347,9779.008652916,76,65
1325.738666964438,7.312224657054532e-06,0.008026838302612305,9,8346,10018.446614512062,75,62
1268.943893490639,7.313070411009419e-06,0.0,11,8021,9854.584593017129,79,64
1056.0174336182538,7.477744662262975e-06,0.010070562362670898,12,8332,9763.729062875105,77,65
1195.976163063654,7.42229126800696e-06,0.0,11,8334,9853.538912126458,76,64
1072.9489842932728,7.427379221515285e-06,0.0020270347595214844,12,8255,9789.875687036192,77,64
1000.3746292839296,7.075505642873981e-06,0.00802159309387207,12,8518,9800.367047720127,73,64
1032.3804269578002,9.035234994566264e-06,0.0,11,8485,9851.879879978553,74,64
1292.734376657704,7.338345970634211e-06,0.008039236068725586,11,8315,9876.997266767698,79,64
1191.6143737720538,7.546023755081656e-06,0.0,12,8335,9810.018674755434,77,64
1238.4732543907776,8.006243510714213e-06,0.010057449340820312,9,8216,10037.894178424416,74,62
1329.242576895167,1.0671046556748992e-05,0.0,8,8285,10131.915332275601,76,61
1221.9980500210174,7.431722033255812e-06,0.002020120620727539,8,8265,10162.930160586042,70,60
1244.053870860421,7.557380000863697e-06,0.008032083511352539,9,8382,10079.22400945751,73,61
1230.5413134304956,1.0409774547910342e-05,0.0,9,8549,10046.300074316636,75,62
1117.1369224494072,7.258174887732537e-06,0.010062456130981445,11,8137,9871.234327589278,77,63
1244.9572745514079,7.872419630638968e-06,0.0,10,8382,9986.094506098849,75,62
1365.2100675073768,8.429887412979999e-06,0.0020253658294677734,9,8121,10031.68022861785,76,62
1161.8063394724286,7.326617415757384e-06,0.008043050765991211,10,8230,9964.310980722306,73,63
1243.777145150596,7.50948780662589e-06,0.0,9,8439,10050.25069827715,72,62
1394.2742709219867,8.135195320104806e-06,0.010036468505859375,7,8200,10146.326246606985,73,60
1437.8928854665282,7.285246338047681e-06,0.0,7,8226,10185.475755582454,72,60
1404.8663493858091,7.432520342196755e-06,0.010074138641357422,7,8208,10170.378114545096,76,60
1314.11081214786,7.427809208650161e-06,0.0,7,8330,10339.062551179768,73,58
1441.3368090838799,5.368500698151245e-06,0.00201416015625,7,8158,10176.49276339909,70,60
1358.8308756104143,7.236693587521825e-06,0.00802755355834961,7,8270,10226.105036424993,74,60
1311.4545965842144,7.09567067744142e-06,0.0,7,8359,10219.412422176858,71,60
1284.27771471804,7.592983546785182e-06,0.010059118270874023,7,8447,10268.5894893887,72,59
1402.1661330982138,5.684044312026825e-06,0.0,7,8225,10166.039511993162,73,60
1404.6477695448405,7.458768247552618e-06,0.002019166946411133,7,8260,10201.12947616147,75,60
248.29213624020312,3.9036950340272355e-06,0.008026838302612305,16,9908,9447.477348076933,72,69
184.7668470560841,6.2182969074791735e-06,0.004441738128662109,16,10008,9420.640002132062,71,69
192.4386248372266,8.281908643001558e-06,0.010076284408569336,14,10043,9613.486894678355,69,67
172.66466993736793,8.116747237469805e-06,0.0,15,9914,9545.195984269993,72,68
259.8360803844328,6.9981124795406095e-06,0.002017498016357422,14,10040,9630.939905551279,70,67
221.51800177045249,8.157577502197244e-06,0.008024930953979492,16,10111,9376.106045085355,72,70
258.0193637795241,6.449478884612614e-06,0.0,16,9854,9394.564840118124,73,69
239.48174832657588,8.856094187629644e-06,0.01007699966430664,15,10125,9475.350392774344,71,68
227.74268640125723,8.164972022883707e-06,0.0,15,9940,9454.792592478669,70,69
287.1803327665769,4.459965649803567e-06,0.0020194053649902344,15,9920,9506.869086719005,72,68
415.97769514608717,7.78783938808298e-06,0.00803065299987793,12,9735,9836.520915717469,68,64
207.38496654380756,9.414992476779901e-06,0.0,12,10348,9814.090863387355,66,65
311.2455384405578,3.417337699875072e-06,0.010066986083984375,12,10054,9806.964184663666,67,64
216.58528610890545,9.459427975980974e-06,0.0,14,9849,9674.499190270075,68,66
449.72563215830337,9.285124509769668e-06,0.0020189285278320312,12,9999,9808.833933855902,68,65
228.08304410713237,8.87024984897996e-06,0.008040189743041992,13,9997,9798.594496442965,70,65
284.27407989812446,8.560835045218908e-06,0.0,13,9722,9729.962597531847,68,65
156.76306620644195,7.698768652804822e-06,0.0100860595703125,13,10072,9756.93431527867,69,65
267.8502954917032,8.16865440244872e-06,0.0,13,9884,9716.748100079378,69,66
328.22307229213976,8.557976729378164e-06,0.002024412155151367,13,10104,9725.063801662543,69,66
277.97847508969784,7.3816372928317965e-06,0.008025884628295898,11,10027,9918.328183018491,66,63
291.1724515508674,4.873028075035965e-06,0.0,11,10097,9895.332299695701,67,63
334.326421661477,1.3295869707203787e-05,0.0020263195037841797,10,9988,10016.742956685346,67,62
275.13412439580964,3.905125591115861e-06,0.0,11,9875,9962.69268249413,66,63
269.7552032626805,4.339631361635155e-06,0.002023935317993164,11,10039,9934.123335195764,63,63
351.1348720611764,5.342571785394515e-06,0.008016109466552734,11,10049,9963.272623765908,65,63
251.19008134623147,3.3786337427720976e-06,0.0,11,9916,9931.380002864093,66,63
320.2988015388202,6.736292548461586e-06,0.01006007194519043,11,9945,9916.855337824349,65,63
312.97989309652064,1.3163337088145226e-05,0.0,10,9961,10013.893224328924,67,62
243.5348647785544,4.082729785697247e-06,0.0020263195037841797,12,9996,9872.048950571208,68,64
302.54314693498435,6.321308529979053e-06,0.009030342102050781,10,10121,10094.884763521586,63,61
309.849771980061,3.0884416186031996e-06,0.0,9,9996,10126.528221942988,65,61
362.32001123456274,4.567669760574319e-06,0.0020215511322021484,9,10143,10133.006973828642,65,61
449.039660519483,8.025851827072204e-06,0.0,9,9906,10102.370297969159,68,61
275.7916871971124,1.4237152142888519e-05,0.0020275115966796875,12,9833,9859.970180468004,69,64
417.82931468685996,1.1676672284610243e-05,0.008020877838134766,9,10028,10104.597066050579,66,61
276.8293271094903,3.980242317604437e-06,0.0,9,10105,10118.753836157499,65,61
383.9459132375408,8.510683865468363e-06,0.010080099105834961,9,9973,10082.420888370823,67,61
370.1284260496403,2.277909411612214e-05,0.0,9,10008,10105.875006266879,65,61
486.74543787651805,5.7285691693166395e-06,0.002028942108154297,9,9922,10131.929258014816,66,61
331.0314567900768,4.370589765319578e-06,0.008025407791137695,7,10092,10291.268773308091,64,59
528.7951795090673,8.557046586211984e-06,0.0,7,9933,10331.959531424196,66,58
380.1674153541355,4.3173395567711e-06,0.010058879852294922,7,10188,10322.079364049408,63,59
351.36227537726086,1.0433287207538339e-05,0.0,7,10118,10316.563036731643,63,59
438.1856510985312,4.873073783040082e-06,0.002026081085205078,8,10015,10242.31833964189,64,59
395.16010248964307,5.4520285278549285e-06,0.00802755355834961,9,10141,10149.61054724083,65,60
371.9588106322651,8.110675710769781e-06,0.0,8,10075,10243.935097931542,63,59
430.0432693859785,6.739894192249043e-06,0.008031129837036133,7,10064,10336.66119124747,61,58
456.52727363277086,4.185712184981186e-06,0.0,7,9966,10274.159312176069,64,59
462.4869088951241,7.741886414634274e-06,0.002026081085205078,8,9982,10253.637613260837,63,59
546.287110481395,4.038643794313468e-06,0.008025407791137695,7,10145,10399.078206219396,63,58
521.0878573162975,5.094797302641292e-06,0.0,7,9945,10405.59523108749,63,58
424.8248018842721,7.693533085769874e-06,0.002020597457885742,7,10011,10355.123845279064,60,58
595.2895192407697,5.032947180739349e-06,0.010084152221679688,7,10050,10507.521828291861,61,56
440.51066866105987,8.367934143316878e-06,0.0,7,10023,10484.749432622131,62,57
470.3792425829965,3.09993476753806e-06,0.0020258426666259766,7,9993,10395.170908676158,64,58
531.8068523913383,8.545612587265336e-06,0.008026599884033203,7,9919,10440.831454785304,63,57
410.51857590573456,7.199810870551216e-06,0.0,7,10046,10426.181884812326,61,57
429.2934323497515,3.4619724385806655e-06,0.008052587509155273,7,9986,10473.209820690063,61,57
493.2549657655373,5.306087378667452e-06,0.0,7,9938,10361.318740079416,63,58
645.067587860577,3.2217988187182293e-06,0.0020143985748291016,13,11289,9794.893727239592,61,65
665.3616986757689,3.2689710655670114e-06,0.0,13,11271,9859.153707641899,62,64
662.5716749957776,6.618633998763572e-06,0.0,15,11281,9694.76406782365,64,66
542.7905694445599,4.483495068217528e-06,0.008062601089477539,12,11459,9844.042025390068,63,64
549.8812319908051,9.675715830019581e-06,0.0051877498626708984,12,11289,9888.694795067124,61,64
466.8575759380611,7.720660826541673e-06,0.010051727294921875,11,11096,9927.906652277692,61,64
598.3930619720346,3.3952078885945396e-06,0.0,14,11064,9744.803368931254,63,66
570.0610788308205,2.7872316099083716e-06,0.0020258426666259766,11,11367,9947.015658204591,63,63
641.5317203425066,5.757436353836859e-06,0.0,13,11376,9858.046216812307,62,64
437.4146910709704,1.3278250181171045e-05,0.0,13,11135,9802.825787600428,63,65
485.39025533755853,3.910119729431257e-06,0.0020287036895751953,10,11181,10018.79503928034,60,62
440.04740966110774,3.45694410305146e-06,0.008034467697143555,11,11116,10010.717395950991,61,62
486.60674679195006,7.684876811454563e-06,0.0,11,11380,9981.654004648166,61,63
504.36999634975916,3.3793068089807673e-06,0.008030176162719727,9,11334,10158.25562657018,59,61
475.75206482864957,6.9153109096222035e-06,0.010039329528808594,10,11214,10048.808573921642,60,62
491.05525755102843,3.014514939324931e-06,0.00803065299987793,10,11318,10042.1777555117,62,62
517.6306536167867,4.619465027045262e-06,0.0,11,11189,9984.428771666237,61,63
572.4805435047933,3.3818034555766866e-06,0.008045434951782227,12,11414,9916.49669291204,63,63
482.39300565572603,3.4005737945188154e-06,0.0,11,11268,9982.177482614554,61,63
593.3799086493759,3.1291568166127645e-06,0.002019166946411133,10,11366,10020.408115663362,61,62
425.91338838505885,8.468203840569735e-06,0.0,10,11178,10107.800703829736,59,61
485.17977239003466,1.424171228541273e-05,0.0020263195037841797,10,11466,10146.907610399416,60,61
544.7406121545409,3.650674055759205e-06,0.008027076721191406,10,11511,10078.905784179557,59,61
363.28470249458394,7.199055059137611e-06,0.0,10,11132,10144.306170606187,60,61
424.60546221537777,5.718500504092456e-06,0.010043621063232422,9,11373,10224.135241964648,59,60
485.586537577411,4.705437705970155e-06,0.0020294189453125,10,11225,10082.804570416673,60,61
459.7419739147761,9.871746390986141e-06,0.0020248889923095703,10,11247,10146.268815373272,60,61
448.4939470270222,5.705035666783049e-06,0.0,10,11320,10086.174053665969,60,61
438.69118550267234,6.302724651348142e-06,0.0020334720611572266,9,11124,10178.268205452685,59,60
523.5053252903106,3.974798434881161e-06,0.010045766830444336,9,11446,10213.689194700606,58,60
356.0698097090357,4.181559118893624e-06,0.0,8,11205,10353.965228488987,59,58
338.7446235970645,6.671807537039474e-06,0.010106563568115234,7,11299,10347.195139282772,58,58
356.03564259028093,3.826012988971385e-06,0.0,8,11314,10311.76483502423,59,59
365.9782096421047,3.485974134060261e-06,0.0010271072387695312,8,11375,10328.023074160634,58,59
403.37447619706086,3.438350880847394e-06,0.00802922248840332,7,11392,10387.970103149,57,58
328.2811442482469,5.979977090097233e-06,0.0,7,11286,10365.879283356668,57,58
350.602888997804,8.816186643989469e-06,0.010063648223876953,8,11334,10316.595251715598,59,59
398.73533715518136,7.876568119444086e-06,0.0,8,11245,10233.67840090852,59,59
336.87468856545877,3.7717859657661712e-06,0.002021312713623047,8,11218,10340.82111996108,57,59
420.6351212532984,4.055575226767111e-06,0.00802159309387207,8,11300,10319.249818872802,57,59
419.47675189603524,2.765735697359049e-06,0.004066944122314453,7,11409,10463.84202237322,55,57
301.6698458602044,6.856890865084597e-06,0.010057210922241211,7,11222,10385.109796312925,57,58
