rmse_I,rmse_Beta,time_predict,roll_var_npeople,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
1420.9144450896708,6.866855182735262e-06,0.0,20,8265,4832.268661170839,86,79
1379.0819532798787,6.938051451192532e-06,0.0020172595977783203,17,8396,4959.874020487274,81,76
2018.9193562693624,6.735769992635053e-06,0.00801396369934082,19,8180,3619.5441292128776,82,76
1899.9828379958626,6.747529844129621e-06,0.0,19,8285,3871.6910482717453,83,77
1577.5836686690102,6.162915985846301e-06,0.008052587509155273,19,8221,4495.956376334306,85,78
1162.257189439194,6.870816093334389e-06,0.0,18,8149,5392.584629138249,84,78
1871.2392830588553,6.832530855285157e-06,0.010034561157226562,20,8336,3970.8753086242814,84,79
1678.183565511977,6.8815769982430376e-06,0.0,19,8162,4235.008514613031,84,78
1489.0946058533243,6.875650435624163e-06,0.010061025619506836,18,8149,4609.48824655337,82,76
1388.9571612776297,6.742667760196578e-06,0.008365869522094727,17,8183,4891.211294804249,79,76
1968.1989693949652,6.655607563487168e-06,0.0020165443420410156,15,8352,3779.824821074658,82,73
1809.5072634844946,6.989445580689565e-06,0.008021831512451172,16,8283,4031.085318950157,82,74
1436.9945747841844,6.878237170311584e-06,0.0,15,8261,4791.412849169809,79,74
1876.6398615355386,6.501471258641263e-06,0.008045196533203125,15,8437,4010.0710652324833,78,72
1287.7391109000878,6.8041604694678515e-06,0.0,15,8120,5065.549879530256,80,75
1940.9748293016978,6.82513777119288e-06,0.012044906616210938,15,8186,3749.258860696485,81,73
1853.2772604937388,6.8421730269283774e-06,0.0,17,8300,3952.8457904720954,85,74
1840.1731941814369,6.725103554280262e-06,0.002017974853515625,17,8348,3952.494161664545,81,74
1929.5883615634973,6.76625485193888e-06,0.0,14,8391,3778.9214303568733,78,71
2109.8072374807452,6.924433442827207e-06,0.002016305923461914,17,8074,3411.9980008638686,82,74
1979.5475226074673,6.90467345722901e-06,0.008015632629394531,13,8395,3700.659457489669,78,69
1310.3679554179726,6.7151817237820735e-06,0.0,14,8300,5104.708633703774,78,73
1731.8585944197832,1.4631927934589556e-05,0.008462905883789062,14,8259,4131.814592115236,78,72
1841.2261942904079,6.667849795583695e-06,0.0,12,8174,3932.2386092675356,76,69
2070.4714994527876,6.918018621568442e-06,0.010034799575805664,13,8208,3501.2054051445543,81,69
2084.7072617150934,7.145711933853014e-06,0.0,13,8263,3464.7478968387386,81,69
