rmse_I,rmse_Beta,time_predict,roll_var_npeople,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
561.1348333389132,8.196593803953636e-06,0.0,85,729,1605.8826865042947,228,177
549.939174914915,9.013928595491611e-06,0.004021167755126953,86,680,1652.3314711686216,191,169
603.7343277143174,9.938612007696187e-06,0.0,90,753,1775.9966485613004,213,166
446.6324826819833,7.98646639391539e-06,0.002022266387939453,100,687,1437.7055983266591,236,185
366.115441185643,8.480236772425142e-06,0.004000663757324219,55,813,1471.8901042018945,192,164
236.16790780703772,9.720478822771014e-06,0.0,142,647,299.25208921924434,250,199
328.4115625591239,7.355544097098445e-06,0.0,84,745,1287.3906903625634,211,190
386.59868236864327,7.858508559166365e-06,0.004000186920166016,77,787,1465.7942330059445,202,178
354.56908851963726,7.503794848167495e-06,0.004000186920166016,95,719,1284.3998853471492,229,192
608.5487317682924,8.47225549134929e-06,0.004002571105957031,105,760,1633.1420037949601,218,183
367.6205168779115,8.610816735690168e-06,0.0,59,836,1435.3975782950708,184,159
486.7575537012041,8.072921888946824e-06,0.0039942264556884766,90,760,1558.6123410692567,229,179
443.37026095515006,7.448052913910748e-06,0.0039997100830078125,97,784,1474.5288696733237,210,177
385.76128100052506,7.711969508150981e-06,0.0039958953857421875,69,733,1505.2647803504342,182,173
503.8290438240317,8.13396777690843e-06,0.0039942264556884766,98,742,1547.9725159414968,218,182
457.5593132754121,7.671017350121343e-06,0.003999948501586914,83,731,1542.1375057572002,213,173
341.76459894560486,7.984426758021948e-06,0.0040435791015625,72,804,1454.268622757565,203,175
353.4759891520546,9.179568493849597e-06,0.0,67,833,1507.855142269827,183,164
443.7944097421262,7.779475225401128e-06,0.0,73,819,1526.791189740885,190,169
458.3184616546731,8.222078526950415e-06,0.0039997100830078125,82,739,1569.8738245417856,208,171
379.2397580355628,8.01928471919928e-06,0.004023313522338867,68,753,1505.3943234887645,186,169
334.04574244115526,7.798508958004738e-06,0.0,54,779,1377.9850427533177,178,165
306.869807015876,7.80638992976439e-06,0.0020728111267089844,61,727,1346.469964364549,196,174
464.41933849573536,8.95026243802075e-06,0.004000186920166016,77,721,1576.4469124740535,187,165
247.5878725881801,8.569918823112464e-06,0.0039975643157958984,53,743,1269.2910393586383,188,184
265.53517191475845,7.76054477204479e-06,0.0,58,835,1375.3164944612304,196,175
373.47063866806036,8.577379506475815e-06,0.004000186920166016,66,860,1464.928291961777,192,168
370.5511993989129,8.916125429868564e-06,0.003999471664428711,53,765,1404.6369791902257,189,157
345.88785002504494,8.199925721693172e-06,0.003998994827270508,71,791,1483.0266768942824,196,175
438.9360079708814,8.548252298168438e-06,0.0,67,779,1490.0513486873238,198,165
370.90686388666205,8.056352711464997e-06,0.004000425338745117,63,818,1453.416203684402,199,172
441.5840251911243,7.740764736489859e-06,0.004000425338745117,61,721,1443.7495421510555,208,171
329.0774687253356,8.381900156484175e-06,0.00400233268737793,60,757,1458.830917385969,179,165
263.84719932662165,8.630154049446143e-06,0.004000425338745117,57,828,1380.5829761550362,189,175
386.20014956848803,8.674581662931413e-06,0.0,66,814,1534.3820413896651,193,164
310.1690729309377,8.407866886130453e-06,0.0,72,832,1429.071729753656,190,171
416.3405904296117,8.061414256118388e-06,0.0,82,795,1505.853683109156,198,177
324.0564151337496,9.100885082988028e-06,0.003999948501586914,52,782,1400.1055780250895,176,165
410.05321594960697,8.95775430448713e-06,0.003999233245849609,48,768,1400.0214579184362,180,148
529.2261280848093,1.0314470782296695e-05,0.004000425338745117,80,761,1739.832117456077,186,163
390.57802552127373,8.930362562579117e-06,0.003998756408691406,71,775,1528.747506785882,196,172
285.33471201979796,7.716011561024433e-06,0.003999471664428711,47,828,1337.942668682649,174,158
341.03562710155296,7.596456706097024e-06,0.003999233245849609,73,742,1412.8746448598815,189,177
385.8840720515819,8.691444373184742e-06,0.004000186920166016,49,755,1354.1357081992107,182,153
339.730575985545,7.915736303803758e-06,0.0,59,816,1439.4050472417855,195,167
420.30797234910716,8.51867945563724e-06,0.0,98,751,1515.901328654003,194,178
464.06363970502514,9.11052592548964e-06,0.0,54,759,1451.9060336590771,183,153
420.1978591156659,9.449180671232234e-06,0.003999948501586914,54,760,1475.111404660476,166,148
343.6637921712202,8.38840741565594e-06,0.004000186920166016,43,656,1313.9381004292654,186,158
354.0402604313514,8.286232264156325e-06,0.004000663757324219,76,774,1459.5036775327364,191,173
432.32816501934184,7.902081488245198e-06,0.003999471664428711,7,712,1518.1218757851675,224,169
