rmse_I,rmse_Beta,time_predict,roll_var_npeople,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
735.792180455941,1.882519694750169e-05,0.0,85,729,1822.8160084246117,228,163
658.2864088353319,1.8766469877955192e-05,0.0020246505737304688,86,680,1769.6046920538554,191,160
660.7029250128683,2.036797249861565e-05,0.010038137435913086,90,753,1821.7838171071862,213,162
704.3551488263133,2.2170101691926455e-05,0.00801992416381836,100,687,1898.737317195183,236,172
513.9881242294725,1.6617210291403787e-05,0.0,55,813,1561.6640836152785,192,142
1067.9105942671747,2.2517551182315855e-05,0.002018451690673828,142,647,2372.253064349292,250,200
701.3781844504537,2.2242258062108275e-05,0.010064363479614258,84,745,1797.5571192580244,211,163
631.8315497077946,1.8648660543473443e-05,0.008037805557250977,77,787,1718.9159619287284,202,157
731.1947629837227,1.9192505041375344e-05,0.0,95,719,1898.6226671071217,229,169
813.1510540016867,2.2741690790352117e-05,0.0020160675048828125,105,760,2003.198871445311,218,176
505.0023828913368,1.6649922174304467e-05,0.010033130645751953,59,836,1533.8573159043829,184,141
695.154242097968,1.9828925188493993e-05,0.008023262023925781,90,760,1849.9853918447964,229,166
654.2691966881998,1.950478820251881e-05,0.0,97,784,1788.070610786785,210,165
567.0265131802926,1.7678272534942428e-05,0.002034425735473633,69,733,1655.0029153004305,182,152
723.9204049406903,2.1035943582888603e-05,0.010058879852294922,98,742,1902.0246206667982,218,171
636.0496313086384,1.9579433379525968e-05,0.008278846740722656,83,731,1736.6685381496009,213,157
569.0355496587986,1.808581832631094e-05,0.0,72,804,1661.566959061369,203,152
496.118220626572,1.7423687040702405e-05,0.002015829086303711,67,833,1605.7198698503025,183,147
607.7805806164923,1.84983300822696e-05,0.0020172595977783203,73,819,1651.565241819121,190,152
598.6963489489113,1.7336421904838934e-05,0.008022308349609375,82,739,1731.9401075349504,208,158
538.5969108079962,1.764000476764462e-05,0.0,68,753,1630.8267348079635,186,149
531.9116811226281,1.7282994051266138e-05,0.0,54,779,1508.6339172132132,178,138
535.1885412293857,1.7801155951888794e-05,0.0020198822021484375,61,727,1537.2914821901481,196,143
564.29853184959,1.8176123588221488e-05,0.010060310363769531,77,721,1659.4224553180045,187,154
522.5816041780549,1.6092223867810633e-05,0.008030176162719727,53,743,1522.9907296612494,188,140
523.857862618414,1.763246787413286e-05,0.0,58,835,1546.5578769462907,196,143
561.0936450004323,1.8655968740112078e-05,0.0,66,860,1585.0678465190103,192,148
505.2073270204026,1.68632200644206e-05,0.0020186901092529297,53,765,1507.932883925409,189,138
550.7469204657275,1.7459984092038144e-05,0.010038137435913086,71,791,1663.1061316725743,196,153
572.1590632119661,1.79229934394212e-05,0.008023738861083984,67,779,1583.4787936146095,198,148
569.4639198049884,1.6705638514531955e-05,0.0,63,818,1585.2315931461326,199,148
630.1336702643382,1.7158361225811887e-05,0.0,61,721,1576.1181524389997,208,146
467.6075476160764,1.6358088597213416e-05,0.01025390625,60,757,1553.4537748364867,179,145
501.99770801982635,1.7289319117910045e-05,0.008250236511230469,57,828,1544.001248006212,189,143
508.3149366984702,1.675794049333286e-05,0.0,66,814,1605.745974248511,193,149
508.2338948287071,1.6178307446116048e-05,0.0,72,832,1598.434278307405,190,150
631.9368972362347,1.7347785232069805e-05,0.0020165443420410156,82,795,1737.3895121467935,198,160
500.4445645565898,1.5731611585019914e-05,0.010032892227172852,52,782,1511.9348982175327,176,139
485.82018286423266,1.624131364487375e-05,0.008021116256713867,48,768,1484.9271093576276,180,135
562.3901946909257,1.8156550355184813e-05,0.0,80,761,1735.010118541481,186,159
551.8377535682756,1.7066299657895928e-05,0.0020296573638916016,71,775,1660.9964416265277,196,154
457.22222347036205,1.5525931701050625e-05,0.010510683059692383,47,828,1462.9117175309298,174,134
574.3853415802668,1.7883493113292303e-05,0.008043289184570312,73,742,1644.735394497123,189,153
492.8147394506637,1.6443463509120335e-05,0.0,49,755,1465.3024699308671,182,134
525.652157941734,1.6910965120728747e-05,0.0,59,816,1547.542935963082,195,144
607.1249398478177,1.8029336665338795e-05,0.002015829086303711,98,751,1810.0806367828704,194,168
547.3836614036662,1.7439126224346168e-05,0.010036230087280273,54,759,1519.9152552890312,183,139
471.7832876734986,1.6062189016737002e-05,0.0,54,760,1525.4138879116113,166,139
475.790632527532,1.6721872556977838e-05,0.0,43,656,1445.2214498557244,186,132
547.1217562967308,1.659868103686061e-05,0.002017974853515625,76,774,1648.5556300135545,191,154
576.1929519189698,1.6115812406880095e-05,0.010260581970214844,7,712,1598.6214755592246,224,147
545.6109993760513,1.5356414477383072e-05,0.010270118713378906,7,816,1499.9494152996542,194,138
445.2759773034044,1.4805291049547347e-05,0.00803995132446289,7,768,1508.074267302642,181,138
405.33664934008857,1.4357412544141057e-05,0.0,7,821,1502.5491547332326,177,138
379.914546198896,1.42446797321684e-05,0.0,7,794,1504.9404589172416,163,138
520.5078623866946,1.627069614685823e-05,0.0,7,668,1519.0375435138556,207,139
428.79388060668,1.5513206944537057e-05,0.0020160675048828125,7,794,1472.5103462911472,175,134
414.10383521707354,1.6151408000702967e-05,0.0020160675048828125,7,746,1447.4778918987718,161,131
413.13625798984935,1.4083991587048569e-05,0.010041236877441406,7,766,1486.099550380169,162,137
393.56689779238013,1.4294591626826779e-05,0.008018016815185547,7,748,1547.367953991086,156,143
320.1215088121602,1.3583348403083273e-05,0.0,47,1061,1488.4538939888246,156,133
344.2103857600035,1.2399926744336786e-05,0.0,57,1131,1547.7518981144106,163,140
314.0957618686798,1.1967935378888061e-05,0.002025127410888672,63,1087,1569.3856106454257,160,143
263.7737774682602,1.3892518887435853e-05,0.01005411148071289,45,1114,1478.6404472744646,149,130
341.42532918384296,1.262918016500065e-05,0.010072469711303711,53,1117,1507.4088859346912,155,135
313.0438217157696,1.1792804611553672e-05,0.008044242858886719,52,1008,1508.3546909994682,149,136
336.32913590336506,1.3286146300318558e-05,0.0,56,1086,1519.976661557652,162,137
389.3354237496429,1.2167688620455233e-05,0.0020143985748291016,75,1104,1702.8113034247438,178,156
347.0764074177164,1.166219949051932e-05,0.010033845901489258,59,1090,1550.6204417197896,164,142
338.20946215039106,1.10997688278818e-05,0.008022069931030273,56,1097,1523.4837843353512,160,138
328.98142645413117,1.1922546850427908e-05,0.0,65,1075,1585.162050707128,160,146
315.17836028849695,9.964300685983773e-06,0.0,41,1060,1444.8318724028277,157,127
334.48102951062117,1.481234888304957e-05,0.0020186901092529297,54,1123,1527.1463217459577,163,139
360.15971350477867,1.0225099740741361e-05,0.010061502456665039,50,1037,1510.9356342369608,163,136
445.14941298122017,1.343885199800909e-05,0.008826971054077148,63,1054,1611.0664943485087,175,147
415.1699099693596,1.2377540093688484e-05,0.0,60,1075,1586.6815149933184,172,144
337.9823340543497,1.2785354631843396e-05,0.0,45,1220,1464.8185055817542,156,130
