rmse_I,rmse_Beta,time_predict,roll_var_npeople,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
4262.6636927501395,1.5260133305979794e-06,0.005883455276489258,7,7312,305.0,211,7
4132.201007896039,1.4728054160026907e-06,0.003968477249145508,7,7396,300.0,218,7
4193.942917960138,1.5121791703163852e-06,0.003998517990112305,7,7119,326.0,211,7
4133.032397231883,1.5200005614145007e-06,0.003995418548583984,7,7266,304.0,220,7
4193.178648362532,1.514610590239615e-06,0.003998756408691406,7,7486,321.0,221,7
4218.0340898451495,1.5246398280004005e-06,0.004016399383544922,7,7413,294.0,217,7
4335.7017025545665,1.5582647501250121e-06,0.003996133804321289,7,7515,315.0,217,7
3798.4564881264905,1.462462632651568e-06,0.003998994827270508,7,7176,295.0,230,7
4280.620525057488,1.5282176586332416e-06,0.0040171146392822266,7,7426,307.0,214,7
3989.764131609884,1.4856213410224881e-06,0.003993511199951172,7,7337,306.0,223,7
4293.1188647560475,1.532199634047146e-06,0.004015445709228516,7,7508,384.0,214,7
4325.651901726874,1.5169504943758256e-06,0.003994464874267578,7,7478,386.0,212,7
4345.812823875108,1.5315299559245538e-06,0.003999948501586914,7,7558,392.0,212,7
4060.85142417457,1.493625317269937e-06,0.0,7,7138,354.0,224,7
4452.046642403453,1.5472658696437236e-06,0.003995656967163086,7,7638,384.0,206,7
4253.301315183194,1.5368272264133548e-06,0.0,7,7321,380.0,211,7
4303.888096589729,1.5379787390522513e-06,0.0039997100830078125,7,7413,347.0,212,7
4474.029824327613,1.52388743426065e-06,0.004000186920166016,7,7384,382.0,196,7
4385.802813206263,1.5737743594739593e-06,0.004017353057861328,7,7364,372.0,200,7
4196.06997575347,1.5075885721876119e-06,0.003999233245849609,7,7336,379.0,220,7
4348.153560349326,1.5520618127543988e-06,0.0040340423583984375,7,7404,437.0,205,7
4415.243280163137,1.5806419964829621e-06,0.0039942264556884766,7,7405,427.0,207,7
10371.708429926175,1.0698810639803747e-05,0.003999948501586914,7,7356,30728.161804351927,216,84
4405.752197000496,1.5703414696803436e-06,0.00403594970703125,7,7392,441.0,204,7
4377.875281837078,1.5833119386857893e-06,0.003994941711425781,7,7396,440.0,202,7
4478.080019553202,1.6030477163580326e-06,0.003999233245849609,7,7504,427.0,213,7
4351.216010958762,1.555217232633334e-06,0.004000425338745117,7,7375,415.0,216,7
