rmse_I,rmse_Beta,time_predict,roll_var_npeople,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
6580.132872282769,2.235393483617157e-06,0.02244734764099121,88,7312,17886.839365515356,211,165
7145.709343878448,2.336829102819605e-06,0.003000020980834961,96,7396,18879.641572635774,218,171
6597.595884535545,2.2265901690828384e-06,0.003000020980834961,87,7119,17714.37583282313,211,165
6765.453517371438,2.27138380661029e-06,0.003000974655151367,90,7266,18008.80578387343,220,167
6988.369783629604,2.276919585658153e-06,0.0030012130737304688,93,7486,18338.270002707828,221,168
6685.159528416034,2.2525093922267556e-06,0.003003358840942383,89,7413,17923.937172258768,217,166
6453.349729913045,2.2033304704817694e-06,0.0030019283294677734,86,7515,17592.98886273976,217,164
7724.014803772252,2.442225001637932e-06,0.0029997825622558594,106,7176,19945.209526510607,230,178
6721.047517426164,2.252926994543098e-06,0.002998828887939453,90,7426,18156.78500208063,214,167
7404.231994251835,2.38026534712943e-06,0.0030031204223632812,100,7337,19233.618379062067,223,174
6629.594762661624,2.232098362532826e-06,0.002997159957885742,89,7508,17836.522311245124,214,166
6404.8152053749,2.2269933759981295e-06,0.003002643585205078,85,7478,17535.716408195112,212,164
6503.072392620542,2.203908075145668e-06,0.003002643585205078,86,7558,17450.440523540576,212,164
6904.259899142644,2.2996973852079304e-06,0.0029964447021484375,91,7138,18137.566094503054,224,168
6252.6940953807725,2.165139368786239e-06,0.00299835205078125,83,7638,17143.423085914572,206,161
6419.998513233559,2.1890273716438204e-06,0.003000497817993164,84,7321,17355.66911575034,211,162
6507.530528702156,2.210828127131234e-06,0.003011465072631836,86,7413,17590.31318597204,212,164
5935.803678517266,2.080945189539137e-06,0.0029807090759277344,77,7384,16513.662467146107,196,156
6094.721156290454,2.1102646994627242e-06,0.003000497817993164,77,7364,16625.851335662457,200,157
6662.325376179475,2.230209095912835e-06,0.003002166748046875,86,7336,17565.552610333165,220,164
6150.841893502867,2.14151408864964e-06,0.003027200698852539,79,7404,16773.075525515498,205,159
6058.3377909855535,2.096866778052932e-06,0.002980470657348633,77,7405,16634.389099927557,207,157
6219.1783959580425,2.132065780457487e-06,0.0029985904693603516,79,7356,16805.784433858506,216,159
5972.737782167535,2.1144915440658997e-06,0.0049953460693359375,77,7392,16519.384548590195,204,157
5991.300245665707,2.102005190500967e-06,0.003000974655151367,77,7396,16467.17352062705,202,157
5996.560077530655,2.0771442274535493e-06,0.0029981136322021484,77,7504,16593.980540362903,213,157
6247.421454933626,2.137805586843553e-06,0.0051157474517822266,79,7375,16818.52429416501,216,159
5849.953363021266,2.048406524765168e-06,0.003002166748046875,73,7397,16083.524398284613,197,153
6331.5179585043,2.176078004697968e-06,0.0030031204223632812,81,7518,17035.690927082338,205,160
6300.1088126473505,2.16643087207034e-06,0.0022649765014648438,83,7664,17233.884338660177,211,161
6346.941657880764,2.155669152899005e-06,0.002981424331665039,79,6992,16818.432435190163,216,159
6072.834646165165,2.108485219621308e-06,0.0029990673065185547,78,7404,16511.689834262434,208,158
5711.650180151811,2.051577483537e-06,0.0022020339965820312,72,7423,16049.43844682296,199,153
5757.2043968369135,2.0457288845329704e-06,0.002989530563354492,72,7461,15979.176694697875,206,153
5706.413632741058,2.013581972641015e-06,0.0029969215393066406,71,7565,15958.438558747102,195,152
6099.423648938454,2.1146365897448627e-06,0.0030014514923095703,77,7341,16477.575392292147,207,157
6150.404041939275,2.1446062392893867e-06,0.0026159286499023438,79,7282,16687.105615116805,208,159
5956.344423339559,2.0900619384382276e-06,0.0059697628021240234,73,7253,16200.675400690077,207,154
5850.529711551562,2.025114728856952e-06,0.0029993057250976562,69,7485,15782.413386568474,207,150
5684.265918067545,2.0501787121937013e-06,0.0029990673065185547,73,7366,16107.319740062892,195,153
5865.932391906042,2.041102226352146e-06,0.0024993419647216797,73,7432,16126.152114510964,197,154
5950.583856720235,2.066805505786631e-06,0.002989530563354492,72,7184,16061.893439707053,207,153
5930.400295311551,2.0633106052034205e-06,0.0030002593994140625,73,7272,16082.459757327684,200,154
