rmse_I,rmse_Beta,time_predict,roll_var_npeople,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
1436.1071362805217,4.0624850585558004e-07,0.0020236968994140625,88,7312,5122.328216073441,211,205
1204.354587205568,3.329788216493506e-07,0.0,96,7396,5516.043679661809,218,212
1237.0273046396765,3.85470537995822e-07,0.002017974853515625,87,7119,5347.517459492072,211,203
1057.7557097341194,3.4968257456906327e-07,0.0,90,7266,5651.023253848246,220,203
1084.3493288823202,3.503551536008838e-07,0.008047819137573242,93,7486,5913.986729790598,221,204
938.1900570394151,3.423705583057647e-07,0.0,89,7413,6162.3495671374085,217,199
1095.811647758534,3.781976608726564e-07,0.0,86,7515,5893.7897725096045,217,198
954.3756653822459,3.022918116167989e-07,0.002023935317993164,106,7176,5519.133980658699,230,220
1070.8219138452184,3.582994104258307e-07,0.0,90,7426,5904.417612083162,214,203
828.7060007072484,2.984359117310167e-07,0.008020162582397461,100,7337,6146.181065364169,223,210
1401.01773868314,4.047856851685029e-07,0.0,89,7508,5294.711062788868,214,204
938.5550981218802,3.2784742916783725e-07,0.008072853088378906,85,7478,6263.794434664994,212,196
1148.4395221545585,3.669947090740316e-07,0.0,86,7558,5978.245791635864,212,197
974.2302104007932,3.253165661290244e-07,0.008019447326660156,91,7138,5770.9442491822765,224,204
1484.6154351144523,4.295626362412454e-07,0.0020246505737304688,83,7638,5330.9950530924,206,197
1169.396359261827,3.960631808000169e-07,0.0,84,7321,5534.534118646745,211,198
967.655236667358,3.3952148130918406e-07,0.0020294189453125,86,7413,6362.4219676219145,212,196
1128.9570527085468,4.30686405909637e-07,0.0,77,7384,6101.192429293571,196,186
1241.2920200766885,3.4142867485496474e-07,0.008040189743041992,77,7364,7410.438895665595,200,181
1231.5739944807856,3.6856951515186285e-07,0.0,86,7336,5449.184224993011,220,201
1022.8474683834974,3.738499334858815e-07,0.0,79,7404,6249.8016451615185,205,189
