rmse_I,rmse_Beta,time_predict,roll_var_npeople,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
2147.674127943806,2.4893134940637143e-06,0.0,7,3674,142.0,222,7
2075.3373456210124,2.1848227571024077e-06,0.002031564712524414,7,3562,155.0,224,7
2201.2702640240527,2.526752701589214e-06,0.0,7,3840,153.0,209,7
2208.2755396898465,2.4712055340126866e-06,0.0020301342010498047,7,3822,156.0,209,7
2044.2276156868159,2.3822602914037544e-06,0.0,7,3733,156.0,226,7
2190.092348926926,2.125593222534746e-06,0.010069608688354492,7,3713,154.0,204,7
1957.8510098189242,2.2918977674992803e-06,0.0,7,3710,166.0,235,7
2147.1239892991193,2.5118194703595608e-06,0.010057926177978516,7,3643,156.0,208,7
2011.3860297181445,2.3845946797648816e-06,0.0,7,3742,157.0,229,7
2118.0672965185963,2.3348384478207757e-06,0.008027791976928711,7,3600,153.0,220,7
2154.2360579982173,2.2296000191228058e-06,0.0,7,3550,194.0,204,7
2149.0205394489444,2.51802531682664e-06,0.0,7,3690,176.0,211,7
2266.2663214166773,2.5884220140568906e-06,0.002014636993408203,7,3726,190.0,206,7
2279.7352388751146,2.4802485317157953e-06,0.0,7,3810,180.0,200,7
2110.7973791474014,2.243239088201098e-06,0.0,7,3682,202.0,210,7
2256.7834432104746,2.4542674761872215e-06,0.0,7,3789,186.0,203,7
2162.488271017481,2.532405993145549e-06,0.002022981643676758,7,3664,180.0,210,7
2206.6970248197285,2.317300340308992e-06,0.0,7,3829,190.0,220,7
2074.6049653699283,2.378693180995011e-06,0.008017778396606445,7,3671,190.0,217,7
2144.742317608744,2.4620130961441116e-06,0.0,7,3653,188.0,205,7
2287.3047157924834,2.60671979389769e-06,0.00802469253540039,7,3861,234.0,207,7
2255.614500343942,2.5305639613835183e-06,0.0,7,3765,230.0,202,7
2163.0245568822056,2.37837167334896e-06,0.0,7,3536,225.0,198,7
2271.0756222686427,2.64640562528247e-06,0.002016782760620117,7,3836,230.0,207,7
2233.678379297274,2.4192414451843457e-06,0.0,7,3687,219.0,209,7
2219.555237245699,2.3828699809265948e-06,0.010034799575805664,7,3705,229.0,199,7
2266.382121075972,2.56526888292459e-06,0.0,7,3792,221.0,193,7
2248.5165129704646,2.3260839443675173e-06,0.008034467697143555,7,3680,231.0,196,7
2281.6951259003367,2.5335096496876143e-06,0.0,7,3880,227.0,201,7
2160.2131600886128,2.477360769640556e-06,0.0,7,3625,224.0,202,7
2295.8767514462897,2.7143177038735836e-06,0.0020329952239990234,7,3706,246.0,189,7
