rmse_I,rmse_Beta,time_predict,roll_var_npeople,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
2144.642926189746,2.181383474748525e-06,0.008027791976928711,7,3674,142.0,222,7
2060.4622754853167,1.8357956323627513e-06,0.012421369552612305,7,3562,155.0,224,7
2196.5793877468486,2.1087477266623128e-06,0.008025169372558594,7,3840,153.0,209,7
2206.3940278726095,2.254656072399296e-06,0.015636444091796875,7,3822,156.0,209,7
2044.5696936164227,2.4998609137024368e-06,0.015622377395629883,7,3733,156.0,226,7
2194.6444635794705,2.3884610632899076e-06,0.0,7,3713,154.0,204,7
1955.3288958611313,1.961125888456372e-06,0.006510257720947266,7,3710,166.0,235,7
2144.8949341987673,2.202879579452778e-06,0.0,7,3643,156.0,208,7
2011.2887111744985,2.355219622519905e-06,0.0,7,3742,157.0,229,7
2119.2622485659117,2.577957572900335e-06,0.015624761581420898,7,3600,153.0,220,7
2155.7318716619725,2.2846360716560742e-06,0.0,7,3550,194.0,204,7
2148.7801549655724,2.4737309952195412e-06,0.015624761581420898,7,3690,176.0,211,7
2264.500500414642,2.432560862772136e-06,0.015622138977050781,7,3726,190.0,206,7
2280.279939480421,2.551660330335369e-06,0.0,7,3810,180.0,200,7
2108.0850079996235,2.109745454880548e-06,0.015635967254638672,7,3682,202.0,210,7
2250.2280957241205,2.141752696157012e-06,0.015627384185791016,7,3789,186.0,203,7
2162.165691883528,2.4706890886813196e-06,0.0,7,3664,180.0,210,7
2206.099562939376,2.2660012010351176e-06,0.015623331069946289,7,3829,190.0,220,7
2074.6944972496003,2.397651675907205e-06,0.0,7,3671,190.0,217,7
2144.0433548284623,2.3623274424064615e-06,0.01562356948852539,7,3653,188.0,205,7
2250.6779303773096,1.9637841627224353e-06,0.015624761581420898,7,3861,234.0,207,7
2256.243655344735,2.6102708510742645e-06,0.0065076351165771484,7,3765,230.0,202,7
2159.6291733050593,2.2404824195527985e-06,0.015622854232788086,7,3536,225.0,198,7
2263.816892719026,2.1943243919734505e-06,0.0,7,3836,230.0,207,7
2234.269285908442,2.46798792537352e-06,0.015625476837158203,7,3687,219.0,209,7
2220.022945984076,2.4035243934899487e-06,0.0,7,3705,229.0,199,7
2265.2354415597324,2.476566879213649e-06,0.015627622604370117,7,3792,221.0,193,7
2210.5786212495755,1.919434429258521e-06,0.0156252384185791,7,3680,231.0,196,7
2218.506319986722,1.8178249717387945e-06,0.015622377395629883,7,3880,227.0,201,7
2158.8287065331424,2.334649549909704e-06,0.015635967254638672,7,3625,224.0,202,7
1454.3476782442299,1.3676120399775145e-06,0.01562356948852539,7,3706,1287.683990952476,189,219
2291.8768189994908,2.3480320428901946e-06,0.0,7,3743,254.0,193,7
2297.44756938182,2.267051875388716e-06,0.006510496139526367,7,3812,232.0,192,7
2288.185636198686,2.465034145554455e-06,0.015624284744262695,7,3774,245.0,202,7
2200.6148907900492,1.9324809861304604e-06,0.0,7,3701,243.0,194,7
2304.6081265298844,2.5696065761338063e-06,0.0,7,3805,248.0,200,7
2110.983724201516,2.3918693193905717e-06,0.0,7,3578,243.0,208,7
2198.5466712663356,2.347349365354641e-06,0.015624761581420898,7,3680,241.0,210,7
2313.2087791471795,2.449405988931538e-06,0.0,7,3782,247.0,196,7
2127.385852175369,2.2901399121064257e-06,0.022131919860839844,7,3483,254.0,199,7
2198.0983943348833,2.6934302298668927e-06,0.0,7,3739,269.0,206,7
2213.714491896006,2.333510786225442e-06,0.015624761581420898,7,3605,261.0,196,7
2317.770964183788,2.4093007448912075e-06,0.015622138977050781,7,3780,262.0,199,7
2327.8173566908376,3.0244367574080124e-06,0.0,7,3838,276.0,192,7
2194.4694923106877,2.5109288656847274e-06,0.015622615814208984,7,3739,285.0,201,7
2234.536582364048,2.6134869889597513e-06,0.015623807907104492,7,3593,279.0,190,7
2272.847138420903,2.7526104493402504e-06,0.015624046325683594,7,3706,284.0,191,7
2223.2365121332537,2.6630869227319578e-06,0.015634536743164062,7,3797,281.0,194,7
2290.9656955764494,2.3758675399475466e-06,0.0,7,3801,278.0,196,7
2322.3334245145193,2.4658139138400917e-06,0.0,7,3839,276.0,194,7
2268.9589309573535,2.3404189920859564e-06,0.015623331069946289,7,3651,300.0,184,7
2288.7783892561733,2.5580430806701575e-06,0.01563429832458496,7,3701,325.0,179,7
2330.158264341594,2.6889563132552464e-06,0.015625953674316406,7,3769,311.0,187,7
2248.204359454865,2.7925257705523587e-06,0.015626907348632812,7,3632,303.0,188,7
2291.7574654013665,2.27665139827084e-06,0.006508827209472656,7,3739,316.0,177,7
2352.645150684863,2.756308309195562e-06,0.015620946884155273,7,3836,307.0,184,7
2281.2467102448286,2.57154992545099e-06,0.0,7,3784,301.0,191,7
2205.906320193729,1.998229006891287e-06,0.015626192092895508,7,3674,304.0,181,7
2266.924391305229,2.2398688647292984e-06,0.006506919860839844,7,3829,301.0,186,7
2220.22946492125,2.0209492710473454e-06,0.0156252384185791,7,3672,312.0,198,7
2857.004988431055,3.5759993622671467e-06,0.0,7,5289,155.0,165,7
2930.798924145309,4.3633119809711614e-06,0.015625,7,5390,159.0,170,7
2292.2792705476654,3.052851533835931e-06,0.0,7,5361,1329.030299656797,162,235
2838.8886036924,3.5872020889967063e-06,0.015622377395629883,7,5356,163.0,165,7
2905.412581870911,4.282537080215997e-06,0.015622377395629883,7,5253,155.0,174,7
2863.780961427408,3.430241271346999e-06,0.0,7,5472,168.0,170,7
2794.4356873046195,3.1975645964918843e-06,0.01563572883605957,7,5271,199.579589787573,169,249
2961.4390554413394,4.116872499317827e-06,0.0,7,5470,155.0,176,7
2955.777591069008,3.944671614636104e-06,0.015627622604370117,7,5367,158.0,163,7
2879.8517846738478,3.807875840230816e-06,0.015622377395629883,7,5273,150.0,186,7
2928.7069422225745,4.0895977485524235e-06,0.015634775161743164,7,5269,203.0,160,7
2954.3404259721738,4.394590799258208e-06,0.015623092651367188,7,5302,207.0,156,7
2401.6439044473855,3.5912815733324268e-06,0.0,7,5471,1226.3720862153327,161,238
2940.015061526339,3.778640274706315e-06,0.022133588790893555,7,5396,184.0,174,7
2938.1620081740434,3.7404754500910036e-06,0.0,7,5390,201.0,167,7
2999.932566175629,4.349306204015847e-06,0.01562356948852539,7,5488,196.0,163,7
2916.3864873241364,4.3712986504805234e-06,0.015625,7,5311,197.0,160,7
2974.3865851151036,4.67795484080216e-06,0.0,7,5380,190.0,161,7
2928.209443139693,3.871543166165212e-06,0.0,7,5331,178.0,168,7
2903.572883621846,4.15412817208062e-06,0.015625953674316406,7,5234,197.0,172,7
2723.513240774818,3.9036625590083465e-06,0.015625953674316406,7,5279,310.35363954700057,148,235
2889.3486297352065,4.2649811233611995e-06,0.008018255233764648,7,5165,214.0,162,7
2919.946442465481,4.638198242672225e-06,0.010071992874145508,7,5239,228.0,157,7
2908.535603048184,3.9146476095950745e-06,0.012041568756103516,7,5514,219.0,157,7
2768.768841672752,3.73191855469322e-06,0.012370824813842773,7,5566,330.4505435349637,158,249
2870.6182950957864,4.34628911589686e-06,0.018300771713256836,7,5141,224.0,159,7
2789.6725313289635,3.613523771188638e-06,0.010331869125366211,7,5236,229.0,160,7
2885.281679239895,3.864114205844143e-06,0.008028268814086914,7,5144,205.0,164,7
3004.253114131823,4.399912343872281e-06,0.002035856246948242,7,5532,232.0,157,7
2901.560144790251,4.027727351627061e-06,0.010047674179077148,7,5307,221.0,158,7
2952.2880831704606,4.472111449021973e-06,0.010030269622802734,7,5400,279.0,155,7
2843.0276801297737,3.93878243614384e-06,0.012493133544921875,7,5252,256.0,157,7
2880.8589691396314,4.3317938031441365e-06,0.01004481315612793,7,5219,247.0,157,7
2883.7768516565447,4.424028107430591e-06,0.012069463729858398,7,5178,255.0,148,7
2938.916764144364,4.341167806708621e-06,0.008019208908081055,7,5326,251.0,154,7
2933.5089214865448,4.72071721839118e-06,0.00803065299987793,7,5211,256.0,156,7
2934.4513863980583,4.397654555496819e-06,0.012279748916625977,7,5429,266.0,153,7
2938.9715040308315,4.380773350871701e-06,0.010083198547363281,7,5379,252.0,156,7
2919.2571108076595,3.953372036905561e-06,0.010008811950683594,7,5330,235.0,161,7
2944.717089119837,4.409640760056572e-06,0.015622138977050781,7,5339,244.0,159,7
2853.886475638957,3.8580699601136e-06,0.0,7,5344,267.0,152,7
2919.392369409226,4.552359613809365e-06,0.0,7,5295,281.0,151,7
2923.3044129397654,4.511127723401761e-06,0.015631914138793945,7,5419,271.0,155,7
2916.6186992593966,4.1667958590398495e-06,0.0,7,5553,284.0,150,7
2891.1296712754,4.1408822457916864e-06,0.0156252384185791,7,5156,289.0,154,7
2945.564155906941,4.3538804213897605e-06,0.015625953674316406,7,5382,291.0,157,7
2911.3347174329856,4.394311427001041e-06,0.01563549041748047,7,5436,281.0,149,7
2933.3866880350506,4.243760893506197e-06,0.015625476837158203,7,5331,292.0,163,7
3008.0964822962933,4.81617862782128e-06,0.0,7,5558,269.0,156,7
2792.5744559468726,3.912557794270773e-06,0.006510019302368164,7,5417,288.0,153,7
2928.573302155163,4.476299907491244e-06,0.0,7,5338,313.0,153,7
2937.5641913423738,4.945065091042553e-06,0.0,7,5379,305.0,144,7
2873.528577532939,4.685734528009033e-06,0.015624046325683594,7,5373,314.0,148,7
2957.10159428779,4.455727206477392e-06,0.006507396697998047,7,5281,291.0,155,7
2912.401918416613,4.379597346287134e-06,0.01562190055847168,7,5372,324.0,156,7
2998.7360181031686,4.743224915579012e-06,0.0,7,5543,322.0,155,7
2977.2548069179356,4.818028721184444e-06,0.015622615814208984,7,5433,302.0,148,7
2914.0043437745912,4.5584895925547846e-06,0.0,7,5325,316.0,147,7
2887.459835353381,4.442150151036349e-06,0.015626192092895508,7,5331,303.0,146,7
2947.931320263316,4.913486290370674e-06,0.015622138977050781,7,5366,319.0,155,7
3241.3156062796475,6.272626485673595e-06,0.0,7,6798,248.8100587410731,142,249
3249.846346559403,7.638416247461995e-06,0.015634536743164062,7,6670,166.0,142,7
3307.7848175216395,6.351551540612576e-06,0.0,7,6713,167.0,143,7
3362.955646932525,6.8218621794965985e-06,0.0156252384185791,7,6845,174.0,144,7
3190.387277755224,6.166423753572888e-06,0.015625,7,6653,235.100664005117,143,249
3369.5752522510165,7.075803264600889e-06,0.015634775161743164,7,6700,180.0,140,7
3390.554220554342,6.757876440649116e-06,0.015625953674316406,7,6851,156.0,143,7
3347.504166252069,7.059846090941267e-06,0.0,7,6751,156.0,142,7
3377.8308395457334,7.651704314273461e-06,0.022133350372314453,7,6757,149.0,141,7
3067.388434062805,6.405146766942595e-06,0.0,7,6715,799.9490475912712,136,249
3257.9121098656196,6.6655037505482025e-06,0.015625953674316406,7,6484,178.0,138,7
3315.8861969654663,6.648556136209448e-06,0.01562356948852539,7,6703,189.0,134,7
2425.9037176710804,6.669527331759849e-06,0.006505489349365234,7,6703,2224.6848291692163,138,184
3327.3671224336395,8.010747208855895e-06,0.0,7,6741,208.0,136,7
3346.4714513740514,7.088653655169059e-06,0.0,7,6650,180.0,141,7
3261.184256880645,6.397823319417142e-06,0.015624046325683594,7,6417,189.0,138,7
3005.299045708603,5.713608214521365e-06,0.006505489349365234,7,6446,611.3833120689956,145,249
3315.9742932154863,7.0298304993873e-06,0.015625953674316406,7,6752,179.0,134,7
3325.224096282561,8.14648477813115e-06,0.0,7,6606,190.0,133,7
3284.2860424032206,7.794869628209489e-06,0.022130727767944336,7,6842,192.0,136,7
3196.0850129436994,7.112189942592902e-06,0.0,7,6593,234.0,134,7
3369.6210440134255,7.694049418702369e-06,0.015625476837158203,7,6725,210.0,143,7
3241.482267146485,7.223559859508625e-06,0.015625715255737305,7,6567,226.0,132,7
3229.2208995749907,7.438694433198969e-06,0.006505012512207031,7,6432,231.0,133,7
3297.300468787035,7.708596700149804e-06,0.015624284744262695,7,6662,235.0,142,7
3253.3721526087793,6.761002758597138e-06,0.0,7,6642,225.0,132,7
3365.908265657543,8.20557075414881e-06,0.015624761581420898,7,6748,230.0,132,7
3326.3233501187565,7.905243602830399e-06,0.0,7,6630,230.0,139,7
3221.5473882994634,7.746860628136966e-06,0.01562809944152832,7,6588,226.0,129,7
3317.3751658268575,7.989349497127335e-06,0.0156252384185791,7,6786,228.0,132,7
3275.3721650067414,8.517906617313412e-06,0.0,7,6617,253.0,125,7
3290.7826452063396,7.046297679261433e-06,0.015633583068847656,7,6615,267.0,138,7
3389.688725248288,8.8960367452375e-06,0.0,7,6915,260.0,130,7
3147.2049276379616,6.98239654498898e-06,0.015625,7,6527,246.0,130,7
2619.7127508092476,6.946584113500315e-06,0.015626192092895508,7,6683,1693.1333534484484,132,194
3289.683659418883,7.976451396764996e-06,0.015636444091796875,7,6604,250.0,132,7
2664.754544718942,8.278512304245424e-06,0.0156252384185791,7,6474,1565.7080666822242,131,200
3333.547417332611,6.954382337808377e-06,0.0,7,6678,239.0,127,7
3231.9575693052907,7.711039829606428e-06,0.022133350372314453,7,6528,246.0,132,7
3263.465230024054,7.170880561077777e-06,0.0,7,6485,257.0,136,7
3341.328275703603,7.2382299259721385e-06,0.0156252384185791,7,6804,281.0,132,7
3109.9888619340304,7.027679039672641e-06,0.015623331069946289,7,6642,322.26636796900664,130,198
3266.9304830640463,8.254303568620514e-06,0.006507396697998047,7,6629,285.0,131,7
3312.2249396195534,7.471664652193518e-06,0.0,7,6645,279.0,132,7
3401.906149966113,9.260689367406283e-06,0.0,7,6907,289.0,122,7
3312.6156382201243,8.493560814001452e-06,0.015625715255737305,7,6676,292.0,129,7
3215.788657754682,7.299110446906864e-06,0.0065076351165771484,7,6594,300.0,131,7
2946.115580476244,7.17161598834181e-06,0.0156252384185791,7,6716,810.9603665898123,130,220
3207.457500763691,7.1435205862733725e-06,0.0,7,6651,297.0,130,7
3032.3831667127924,6.411958255057786e-06,0.015625,7,6548,527.0197123667298,134,226
3305.919767891362,7.409928971365182e-06,0.0,7,6684,329.0,126,7
3307.0479106980415,7.373163448179109e-06,0.0,7,6782,316.0,126,7
3343.9295477031774,8.091806100014566e-06,0.0,7,6843,330.0,128,7
3350.312889588875,7.683275172393612e-06,0.01563429832458496,7,6682,314.0,132,7
3102.387657725396,9.060962499609812e-06,0.0,7,6805,446.49317020301885,129,211
3358.2203616639736,8.06812278217389e-06,0.0,7,6884,319.0,129,7
3116.9992240025535,7.688397339227021e-06,0.0065076351165771484,7,6560,306.0,126,7
3229.241803923961,8.006861687784032e-06,0.0,7,6528,314.0,125,7
3301.5989829331475,9.08468366039602e-06,0.0,7,6740,321.0,124,7
3250.507463487469,8.200914387633593e-06,0.01562666893005371,7,6597,328.0,129,7
3572.7617938309286,1.2256442530825816e-05,0.0,7,7673,164.0,122,7
3556.054526428569,9.54730989719896e-06,0.0,7,7814,155.0,123,7
3303.828723397246,1.047164802462749e-05,0.0156252384185791,7,7693,1173.3065843849802,127,245
3535.5260837096203,1.0793505798437745e-05,0.015624523162841797,7,7645,166.0,128,7
3515.325391884371,1.3813871472440272e-05,0.015633583068847656,7,7640,176.0,122,7
3558.661630435085,1.0529598709247364e-05,0.015623807907104492,7,7716,172.0,120,7
3591.9830013161477,8.67354196011446e-06,0.015623807907104492,7,7755,153.0,130,7
3332.3810926918886,1.287466683923614e-05,0.006510496139526367,7,7675,842.4960872799918,120,249
3604.4176394868605,1.0843329738001348e-05,0.015627145767211914,7,7850,182.0,120,7
3630.9094215421696,1.3608357774039235e-05,0.015625,7,7728,166.0,125,7
3196.8830863358908,1.091012495383321e-05,0.015624284744262695,7,7616,1273.110054049872,117,220
3352.4608796525345,8.61596703604938e-06,0.0,7,7871,848.0302872729909,119,246
3492.2573974085826,1.2928116117489432e-05,0.0,7,7729,192.0,120,7
3335.681924241067,1.0519028293790452e-05,0.0,7,7780,955.0190971675556,123,247
3398.352691446069,1.140730841114999e-05,0.0,7,8038,818.0751317098335,120,249
3155.369794255668,9.118425384402434e-06,0.0,7,7915,1736.9468984724626,119,204
3420.317484260264,9.931464166302428e-06,0.015624046325683594,7,7661,448.0907792607523,120,249
3544.644448203014,1.5365526575603264e-05,0.0,7,7863,201.0,122,7
3293.765013983142,1.0659435486306407e-05,0.015636205673217773,7,7617,1047.875615462168,116,240
3353.6846562070373,1.305199995490474e-05,0.0,7,7707,662.6148734745798,124,249
2722.352955921871,1.2031948658608795e-05,0.0,7,7754,2704.8053371993105,117,165
3503.5378024583765,1.2536565030652978e-05,0.015625,7,7776,211.0,118,7
3528.3181973613964,1.5287797368470758e-05,0.01563429832458496,7,7786,212.0,118,7
3343.2630482720006,1.133330659469764e-05,0.015622854232788086,7,7716,652.0069164819262,120,238
3034.628619773544,2.1752874772677514e-05,0.0,7,7735,1778.8102047241375,120,194
3447.0968047755814,1.0846831865621264e-05,0.02213311195373535,7,7844,408.6003723378929,116,239
3220.163473662551,1.4080759049112795e-05,0.0,7,7760,1187.5708238527902,117,219
3448.894431436163,1.0486204667637932e-05,0.015624761581420898,7,7738,306.9907443824026,118,238
3497.001112418363,9.851579658466788e-06,0.015624761581420898,7,7841,247.85555166699132,115,207
3566.9821831300305,9.511297816252651e-06,0.015631675720214844,7,7698,231.0,120,7
3265.948085223337,1.0555624791998718e-05,0.0,7,7711,828.5095497060698,117,221
3407.439828547039,1.6037083128055088e-05,0.0,7,7573,297.9143406855519,115,188
3316.0130876182043,1.2355050195115382e-05,0.015624284744262695,7,7693,714.5048279514803,117,234
3581.5754245046805,9.985737078448037e-06,0.0,7,7673,251.0,119,7
3611.5874751388255,1.1045078958165256e-05,0.015626907348632812,7,7739,267.0,112,7
3499.7325245375037,1.4501143973863726e-05,0.0,7,7603,267.0,116,7
3557.2820577675625,1.394996042578811e-05,0.02213263511657715,7,7820,263.0,114,7
3440.155090880972,1.275484806794529e-05,0.015624523162841797,7,7917,517.7450592943583,107,226
3367.694552829498,1.3180816020201017e-05,0.0,7,7684,531.2455104571612,121,247
3055.2080240652103,1.3438378332283417e-05,0.01562356948852539,7,7679,1616.7976548601855,118,196
3133.504363613709,1.4725600636949342e-05,0.0,7,7544,1186.8709960187025,111,200
3450.997414987121,1.5121185839210623e-05,0.015625715255737305,7,7612,284.0,111,7
3447.501161312273,1.9100979185864973e-05,0.015627145767211914,7,7763,309.0,109,7
3377.3686558028885,1.3067522616836599e-05,0.0,7,7723,451.8254452574573,111,225
3504.812706472029,1.1031870728970454e-05,0.0,7,7582,277.0,114,7
3430.46647013479,1.780398499697733e-05,0.0,7,7650,282.0,117,7
