rmse_I,rmse_Beta,time_predict,roll_var_npeople,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
578.8266802593963,7.557407112739832e-07,0.01037454605102539,81,3674,3208.2774306171405,222,191
486.3421360233504,7.433815312187637e-07,0.0023419857025146484,84,3562,2932.4947785481727,224,197
482.04214327430714,6.572385778004648e-07,0.0,89,3840,3830.4481517404847,209,191
803.6138724086414,9.008525830342605e-07,0.008016586303710938,79,3822,2506.0538968666315,209,199
569.0038637001743,6.769235711251636e-07,0.008018732070922852,91,3733,2821.866167772424,226,208
1533.2269672816858,1.2063300654107073e-06,0.0,80,3713,1387.372059776465,204,211
806.9680749383479,7.045975897236127e-07,0.01003885269165039,101,3710,2317.768535097292,235,220
424.07452755377295,6.470144138112293e-07,0.012265443801879883,84,3643,3393.8057911118094,208,192
442.08061208833436,5.704814432481982e-07,0.0020296573638916016,98,3742,3399.455326465164,229,205
1111.9251803569855,1.0153202641708032e-06,0.008029699325561523,82,3600,1874.9675985287977,220,207
1248.9358845574304,7.10361352551485e-07,0.014009475708007812,70,3550,4648.807209254176,204,166
641.2525492881356,6.546143056151215e-07,0.0,82,3690,3643.465421614257,211,185
1186.7944281327818,1.1824002318660721e-06,0.0,72,3726,1892.0568311759812,206,196
619.2817747958413,8.817674664570443e-07,0.013997793197631836,78,3810,2954.181870350729,200,190
577.9157932479569,7.585158905624105e-07,0.0,80,3682,2863.8081834656605,210,194
1310.7002241111174,7.357331106151803e-07,0.0,73,3789,4953.207647581382,203,166
431.2713629523719,6.863568843172839e-07,0.01399993896484375,80,3664,3435.742670344268,210,188
1208.0080186656444,1.057878316898638e-06,0.013999700546264648,80,3829,1884.8635838190187,220,205
1124.5403346854173,9.60926299011159e-07,0.0,93,3671,1910.328398202761,217,215
782.5830671842642,6.263655108337037e-07,0.013999700546264648,82,3653,4068.7000967503327,205,182
626.3839310037993,8.852897641713496e-07,0.0,71,3861,3451.9571863748965,207,178
599.7360741841632,9.217252350671748e-07,0.0,77,3765,2965.1758521854726,202,187
1061.8605247485316,1.1438086187187245e-06,0.016025543212890625,67,3536,1884.3435489120568,198,192
512.8047128315169,7.44271487526087e-07,0.0,80,3836,3590.1813426394497,207,185
550.276268625594,8.698437497448653e-07,0.0,75,3687,2976.255444185039,209,187
875.9119237924016,1.0825654617868106e-06,0.01399993896484375,71,3705,2306.352070433177,199,191
688.957216432514,7.742987035446093e-07,0.016000986099243164,72,3792,3888.173969126329,193,174
1400.22017602279,1.3070261320990263e-06,0.014000177383422852,68,3680,1531.021449660602,196,198
1190.527507446853,1.2039361490959506e-06,0.013998985290527344,75,3880,1960.062172896105,201,200
674.6881177211061,6.461469765962609e-07,0.014000177383422852,82,3625,3878.543405989914,202,183
653.825143766015,8.860072814321953e-07,0.014011859893798828,64,3706,4037.0734055969388,189,164
547.1469992809008,9.605295339857067e-07,0.0,68,3743,3259.769159813461,193,175
726.0144641285228,9.040771692436934e-07,0.0,64,3812,3607.3269875842693,192,170
761.4071110299362,1.0274758016528404e-06,0.0,68,3774,2597.591642009701,202,185
662.373746197806,9.881116114566865e-07,0.014009237289428711,65,3701,2797.3504343759296,194,180
679.7361174027205,9.89098718812371e-07,0.0,65,3805,2986.7538772137245,200,178
774.909360278591,9.216654821734673e-07,0.0,84,3578,2410.7557053839164,208,200
988.8931119835011,1.0272984849700616e-06,0.014063835144042969,73,3680,2108.513149563588,210,195
646.9107994859771,1.0786508986278644e-06,0.0,62,3782,3052.773698999629,196,174
720.0125065266715,9.363010873495941e-07,0.014000415802001953,79,3483,2469.3485883654603,199,195
715.0446665994051,9.072352432876721e-07,0.0,71,3739,2661.003477810836,206,189
589.772258840953,9.467219931348632e-07,0.01403951644897461,69,3605,2811.5233588411843,196,184
1269.7331502084135,7.897690029790938e-07,0.014018058776855469,68,3780,4952.664430909832,199,160
852.8433490816452,1.2181175671118176e-06,0.0,64,3838,2457.4780715163397,192,181
773.1849037906039,1.0221296102100173e-06,0.014000177383422852,73,3739,2437.8671541852054,201,192
563.6143905799156,9.821350861469796e-07,0.013999700546264648,66,3593,3118.9452194526057,190,177
856.8613837438851,1.2349839536036418e-06,0.0,60,3706,2328.1125684110207,191,182
1133.150860178486,1.1475811545242277e-06,0.014002084732055664,75,3797,1941.8294129842343,194,198
680.1324756151063,9.696026577567007e-07,0.01399993896484375,64,3801,2786.86889526743,196,178
667.7509707956119,1.043235134848616e-06,0.0,66,3839,2845.970827623558,194,179
2268.9589309573535,2.3404189920859564e-06,0.016017675399780273,7,3651,300.0,184,7
2288.7783892561733,2.5580430806701575e-06,0.01399993896484375,7,3701,325.0,179,7
2330.158264341594,2.6889563132552464e-06,0.013999223709106445,7,3769,311.0,187,7
2248.204359454865,2.7925257705523587e-06,0.01399993896484375,7,3632,303.0,188,7
2291.7574654013665,2.27665139827084e-06,0.0,7,3739,316.0,177,7
2352.645150684863,2.756308309195562e-06,0.0,7,3836,307.0,184,7
2281.2467102448286,2.57154992545099e-06,0.0,7,3784,301.0,191,7
