rmse_I,rmse_Beta,time_predict,roll_var_npeople,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
2890.3503235224707,2.915459725309951e-06,0.02000880241394043,7,3674,7529.164311833474,222,143
2868.993507711183,2.964150964395125e-06,0.0020215511322021484,7,3562,7339.957372128744,224,140
2845.39656056035,2.9148509010909217e-06,0.008038043975830078,7,3840,7445.385714833321,209,142
2820.3596408288468,2.924701906574738e-06,0.0,7,3822,7428.701487498449,209,142
3036.7540292212175,3.039211321629317e-06,0.0,7,3733,7391.940152997545,226,141
2853.9325621281364,2.9180897566815847e-06,0.0020143985748291016,7,3713,7322.577717287046,204,140
3132.7799441113343,3.094363428205735e-06,0.0,7,3710,7389.97690756882,235,141
2811.534488861868,2.95156630456887e-06,0.010046720504760742,7,3643,7436.779284995635,208,142
3091.3646496500623,3.066945830693414e-06,0.0,7,3742,7403.403422625089,229,141
2840.9045790283335,2.955672912516104e-06,0.010058164596557617,7,3600,7398.423729499254,220,141
2675.0436385787784,2.8733717594945445e-06,0.0,7,3550,7034.688625883434,204,136
2834.062084593117,2.9094532931434786e-06,0.010030508041381836,7,3690,7259.6363910045875,211,140
2610.246038964811,2.811450371122806e-06,0.0,7,3726,7111.732621335252,206,137
2704.946500246298,2.8535383850222953e-06,0.010051727294921875,7,3810,7173.777917732711,200,138
2857.471548879496,2.9427641560740514e-06,0.0,7,3682,7056.4459536280665,210,136
2689.399998143285,2.8502868296104092e-06,0.008021116256713867,7,3789,7164.823704070972,203,138
2745.670017522788,2.9147649910038483e-06,0.0,7,3664,7226.852174891392,210,139
2875.858269218168,2.9153220802854987e-06,0.010040760040283203,7,3829,7126.530152426241,220,138
2991.2804351084264,3.0094439167698826e-06,0.0,7,3671,7144.2932687707325,217,138
2796.079980532321,2.944662780556548e-06,0.010030031204223633,7,3653,7164.6113396753735,205,138
2661.0646877431036,2.762346805523265e-06,0.0,7,3861,6909.244668517387,207,134
2705.5552208066747,2.8343106469760424e-06,0.010056018829345703,7,3765,6888.934586489903,202,134
2655.5708614576315,2.8701605311243823e-06,0.0,7,3536,6906.67002602561,198,134
2757.155751773917,2.8364548532527655e-06,0.010030746459960938,7,3836,6952.824425097534,207,135
2649.3177820292035,2.8633020376857044e-06,0.0,7,3687,6931.768157730198,209,134
2654.7458102509577,2.7852607623926858e-06,0.01050877571105957,7,3705,6848.090766357474,199,133
2638.224740860076,2.791201153872046e-06,0.0,7,3792,6928.506687175603,193,134
2586.174178093963,2.774871785838512e-06,0.010036468505859375,7,3680,6845.9422877868055,196,133
2669.419478799794,2.7968555506059036e-06,0.0,7,3880,6935.563759039664,201,135
2808.05705599778,2.9044643553199056e-06,0.0,7,3625,6946.147747548277,202,135
2368.4160986873358,2.6964655949580763e-06,0.0020399093627929688,7,3706,6825.279209280861,189,133
2498.533467701988,2.7358268365712946e-06,0.0,7,3743,6766.40311413333,193,131
2581.014242041758,2.7232247515933658e-06,0.0020389556884765625,7,3812,6909.9787011186645,192,134
2559.7452269766704,2.7827984869442157e-06,0.0,7,3774,6826.4615867471075,202,133
2577.1915077436524,2.7636938615440026e-06,0.010095596313476562,7,3701,6807.05256990274,194,132
2603.858793995154,2.769983348738804e-06,0.0,7,3805,6819.314240339094,200,132
2854.3681427859133,2.9108208618881817e-06,0.010611295700073242,7,3578,6826.979747169913,208,133
2704.1531974344516,2.8453904595322384e-06,0.0,7,3680,6820.652470651984,210,133
2511.2586841541574,2.6906575066439265e-06,0.008341073989868164,7,3782,6783.468471090072,196,132
2757.281363199863,2.929185690266389e-06,0.0,7,3483,6826.273651638271,199,133
2768.2078153362318,2.8700354787178572e-06,0.00803995132446289,7,3739,6694.96076645803,206,130
2580.222891951916,2.827247263610362e-06,0.0020399093627929688,7,3605,6743.1006040892735,196,131
2544.287371613024,2.7523318941589933e-06,0.0,7,3780,6731.879344898362,199,131
2454.6327595490734,2.71264378826285e-06,0.002295255661010742,7,3838,6684.563845141886,192,130
2671.4890830009745,2.861028992453118e-06,0.0,7,3739,6701.112395317715,201,130
2583.348099529014,2.767620120962437e-06,0.01036834716796875,7,3593,6661.580817307532,190,129
2441.558407443544,2.6841576246792223e-06,0.0,7,3706,6677.77520453501,191,130
2722.932543236193,2.8332252803329306e-06,0.008039474487304688,7,3797,6695.0407897463465,194,130
2515.606119926166,2.7512020034218535e-06,0.0,7,3801,6694.534710499054,196,130
2499.0214461016644,2.7449315617281724e-06,0.008043289184570312,7,3839,6720.905886376106,194,131
2380.244666987148,2.6951379224639402e-06,0.0,7,3651,6595.739426752578,184,128
2402.5578864838476,2.672597202000919e-06,0.00803995132446289,7,3701,6522.585954029742,179,126
2276.4267530037087,2.634005656580446e-06,0.0,7,3769,6579.116058954683,187,128
2494.0521272501096,2.7613931456498885e-06,0.0,7,3632,6599.51274546907,188,128
2197.0658546926416,2.554106470123435e-06,0.0020384788513183594,7,3739,6527.118401231575,177,126
2372.5913271399254,2.6842983277463583e-06,0.0,7,3836,6565.197527125936,184,127
2523.4330607205275,2.701344201865832e-06,0.002040386199951172,7,3784,6600.5254439319615,191,128
2365.767928508136,2.6721506092912327e-06,0.0,7,3674,6570.457228318726,181,128
2457.0644070185604,2.725789597039964e-06,0.010078907012939453,7,3829,6598.4937464117165,186,128
2454.3620342456097,2.7191629945219192e-06,0.0,7,3672,6563.236128280481,198,127
1782.685982572488,1.9399634427793967e-06,0.010349512100219727,7,5289,7321.172370899941,165,140
1918.7041422162313,2.084739433972714e-06,0.0,7,5390,7304.138397033821,170,140
1668.025860985942,1.8805769756112074e-06,0.002039670944213867,7,5361,7195.2861868669015,162,138
1705.275007949929,2.078272629986217e-06,0.0,7,5356,7227.70645739692,165,139
2222.252332977652,2.0990622436444996e-06,0.010074138641357422,7,5253,7334.455967116101,174,140
1836.0417768460243,1.9483602341339886e-06,0.0,7,5472,7224.788705714564,170,139
1976.8209882057656,1.959774828303982e-06,0.01045989990234375,7,5271,7330.65416238844,169,140
1950.1230865326258,1.9774157197954654e-06,0.0,7,5470,7339.957372128744,176,140
1739.6187433525934,1.9068994064111583e-06,0.008046150207519531,7,5367,7322.647405484958,163,140
2340.3476906596693,2.1558173616948617e-06,0.0,7,5273,7439.301962890661,186,142
1400.4703318892637,1.8777618080031317e-06,0.00803995132446289,7,5269,7116.699053941799,160,137
1394.7193379480182,2.0575636714544654e-06,0.0010290145874023438,7,5302,7012.003856102397,156,136
1281.0414177621467,1.979878183045249e-06,0.008037090301513672,7,5471,7131.845074377199,161,138
2025.083012106994,1.969279840847757e-06,0.002027273178100586,7,5396,7166.5865461144995,174,138
1762.7049743486702,1.8998420774434593e-06,0.0,7,5390,6986.602620840238,167,135
1624.387265113734,1.9450571732831718e-06,0.002040863037109375,7,5488,7022.941859206968,163,136
1570.1297162166884,2.0077582750243615e-06,0.0,7,5311,7064.303520626613,160,136
1497.6609373872186,2.0078588528537894e-06,0.002039194107055664,7,5380,7110.826748009787,161,137
1963.9378152339862,2.043354763820973e-06,0.0,7,5331,7217.377009595865,168,139
1866.8390020292745,2.0366554434855284e-06,0.010081291198730469,7,5234,7045.97974699385,172,136
1234.7917279850062,1.8221501046483027e-06,0.0,7,5279,6783.512858771958,148,131
1606.1782395035736,1.9008779901240002e-06,0.008040189743041992,7,5165,6916.515643724234,162,134
1540.2026452870978,1.8758925740423337e-06,0.0,7,5239,6814.2319138107605,157,132
1459.7584317492938,1.8574387361075797e-06,0.008063316345214844,7,5514,6927.626151108302,157,134
1500.011737154834,1.9935970120868353e-06,0.0,7,5566,6857.466122390101,158,133
1558.1644019188725,1.922994861855438e-06,0.0,7,5141,6918.6269519782145,159,134
