rmse_I,rmse_Beta,time_predict,roll_var_npeople,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
3480.576309732966,3.4258730509389186e-06,0.015880346298217773,81,3674,9358.083371170334,222,162
3499.8528270957067,3.497336875179625e-06,0.0020742416381835938,84,3562,9567.771908370847,224,163
3484.202751879558,3.4914212005642675e-06,0.0,89,3840,9829.137838476356,209,166
3353.5704548292774,3.3998714001969545e-06,0.007998943328857422,79,3822,9282.168852789473,209,161
3873.820351044764,3.653937793388639e-06,0.0,91,3733,10143.879058656472,226,168
3395.1897223539286,3.419724919320992e-06,0.0,80,3713,9331.748621361812,204,162
4121.455029811417,3.818599092235434e-06,0.004041194915771484,101,3710,10641.581095805435,235,172
3407.821419087548,3.490981506029932e-06,0.0,84,3643,9551.58248090581,208,164
4003.6286184954174,3.7523815227004153e-06,0.0,98,3742,10466.33052750324,229,170
3435.393079198856,3.4840640724451843e-06,0.008022546768188477,82,3600,9430.273460143419,220,162
3084.446288710425,3.2775357421176484e-06,0.008043766021728516,70,3550,8587.515784884585,204,156
3411.1765730229204,3.4278338324452254e-06,0.0,82,3690,9310.62920928178,211,162
2982.087925237588,3.2283470103253286e-06,0.0,72,3726,8663.745143153727,206,156
3127.949642046115,3.321706870566754e-06,0.0,78,3810,9084.010329812809,200,160
3441.3380629980275,3.4364237438277452e-06,0.0,80,3682,9258.5571037581,210,161
3084.9040772248236,3.2691772069793184e-06,0.007994651794433594,73,3789,8821.904154968679,203,158
3279.708920407192,3.4013392636296366e-06,0.0,80,3664,9323.692742351343,210,162
3401.634952803274,3.400906239880906e-06,0.00799703598022461,80,3829,9260.586498294693,220,161
3779.235447309997,3.618848218920474e-06,0.007990598678588867,93,3671,10073.678193899299,217,168
3383.990311299367,3.461504566930256e-06,0.0,82,3653,9355.603956699197,205,162
3012.2704168787977,3.151028328986587e-06,0.002119302749633789,71,3861,8604.81649125898,207,156
3105.007500910997,3.2752964007572986e-06,0.008013486862182617,77,3765,8954.01167971265,202,159
3008.3054349056088,3.2487071895809334e-06,0.0,67,3536,8338.553349668653,198,154
3181.576357832605,3.3143278050764982e-06,0.007990598678588867,80,3836,9202.33634454872,207,162
3032.8292645630786,3.294508042289307e-06,0.0,75,3687,8854.054370611557,209,159
3001.8335849005084,3.187959909590066e-06,0.0020775794982910156,71,3705,8619.954330346429,199,156
2971.8242941395024,3.1986689374962963e-06,0.0,72,3792,8646.672867947935,193,156
2863.438180485473,3.1484034772640375e-06,0.0,68,3680,8431.298014320642,196,155
3028.1529070860533,3.2194473890562878e-06,0.0,75,3880,8915.887000032428,201,159
3343.9753642848864,3.412685908497596e-06,0.0,82,3625,9294.860834623476,202,162
2569.3988258982017,3.0248649526876713e-06,0.0,64,3706,8097.625243009765,189,152
2772.866368860326,3.098341193820166e-06,0.0,68,3743,8334.417058972398,193,154
2848.5602925234357,3.066377967118408e-06,0.0,64,3812,8170.601101186748,192,152
2833.268907659192,3.1465790780778603e-06,0.0,68,3774,8431.580868121535,202,155
2854.346119113778,3.1136234875500186e-06,0.0021054744720458984,65,3701,8185.625005893471,194,153
2877.787839742412,3.1194138357660444e-06,0.0,65,3805,8221.392562047362,200,153
3428.1973161616993,3.43123355905326e-06,0.004269123077392578,84,3578,9362.50763334539,208,163
3090.2205256578864,3.2672038855629663e-06,0.006974458694458008,73,3680,8689.238430397834,210,158
2725.870052036953,3.0052834857980007e-06,0.0,62,3782,8017.189618714943,196,151
3244.965924099402,3.4045005503404287e-06,0.0,79,3483,9088.16553286282,199,160
3160.8018829013026,3.2646687292076453e-06,0.002117156982421875,71,3739,8655.77378421348,206,157
2877.426316462701,3.2019997361032943e-06,0.0,69,3605,8465.083900922958,196,155
2791.501604838342,3.1107711708833158e-06,0.008528947830200195,68,3780,8359.90347618909,199,154
2664.008280239059,3.0473750182862857e-06,0.0,64,3838,8101.52053352667,192,151
3007.3907109317415,3.2713557440959067e-06,0.0,73,3739,8696.473899364313,201,158
2824.4992786043053,3.1262545273430703e-06,0.0,66,3593,8260.537369587608,190,153
2631.1491757651393,2.9747390296949174e-06,0.0,60,3706,7936.151885841864,191,150
3086.9745332138314,3.2698923301592944e-06,0.007988929748535156,75,3797,8800.41113753272,194,158
2734.2121530570753,3.090380872425706e-06,0.007982969284057617,64,3801,8116.680084803193,196,152
2708.9476932592033,3.086171827857657e-06,0.00798487663269043,66,3839,8239.384821541493,194,153
2380.244666987148,2.6951379224639402e-06,0.0,7,3651,6595.739426752578,184,128
2402.5578864838476,2.672597202000919e-06,0.007995367050170898,7,3701,6522.585954029742,179,126
2276.4267530037087,2.634005656580446e-06,0.0,7,3769,6579.116058954683,187,128
2494.0521272501096,2.7613931456498885e-06,0.008038997650146484,7,3632,6599.51274546907,188,128
2197.0658546926416,2.554106470123435e-06,0.008022546768188477,7,3739,6527.118401231575,177,126
2372.5913271399254,2.6842983277463583e-06,0.009136676788330078,7,3836,6565.197527125936,184,127
2523.4330607205275,2.701344201865832e-06,0.0,7,3784,6600.5254439319615,191,128
2365.767928508136,2.6721506092912327e-06,0.0,7,3674,6570.457228318726,181,128
2457.0644070185604,2.725789597039964e-06,0.0,7,3829,6598.4937464117165,186,128
2454.3620342456097,2.7191629945219192e-06,0.0,7,3672,6563.236128280481,198,127
1837.2724828588182,2.1585997370311756e-06,0.0,59,5289,7857.18783889955,165,147
1899.2525423292552,2.347211068326728e-06,0.0,65,5390,8228.587285762998,170,151
