rmse_I,rmse_Beta,time_predict,roll_var_npeople,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
2932.3828999505126,2.6149066206111957e-06,0.0,81,3674,9113.560405306327,222,176
2933.8187265501124,2.616040383672622e-06,0.0020210742950439453,84,3562,9265.992191452278,224,178
2904.447780350039,2.6237709563032453e-06,0.0,89,3840,9436.143355065302,209,179
2647.1389787068942,2.3669210809569803e-06,0.01006460189819336,79,3822,9112.312063426323,209,181
3060.846107543817,2.4031109370568707e-06,0.0,91,3733,9587.972709022964,226,187
2606.1015193200255,2.291496089386448e-06,0.00802302360534668,80,3713,9141.806750728727,204,184
3368.6024003056896,2.621804376963419e-06,0.0,101,3710,9837.374612755393,235,186
2793.715012783121,2.543095483824361e-06,0.0,84,3643,9250.220647451095,208,180
3356.571463853178,2.7210979511333822e-06,0.0020172595977783203,98,3742,9834.816302991152,229,183
2822.205199190792,2.560817078026109e-06,0.0,82,3600,9166.08095053417,220,179
2523.9969914361263,2.485542350739815e-06,0.010055780410766602,70,3550,8508.667315058252,204,174
2981.555475296094,2.778880192525454e-06,0.0,82,3690,9054.062551225818,211,173
2377.308745271639,2.404198449088468e-06,0.010041236877441406,72,3726,8552.70657789044,206,175
2650.842339469858,2.6755992463440486e-06,0.0,78,3810,8869.260460395237,200,172
2861.55325012833,2.5787467143610933e-06,0.008055686950683594,80,3682,9035.716110862948,210,177
2376.67023174329,2.289617655257374e-06,0.0,73,3789,8785.079476213408,203,179
2618.4123043443037,2.367613450708818e-06,0.00201416015625,80,3664,9126.730605721632,210,181
2694.741813378083,2.3888580345094727e-06,0.0,80,3829,9053.951219972763,220,181
3116.508826425509,2.5847153188395705e-06,0.0,93,3671,9543.466322832212,217,182
2780.4639112836453,2.5357106987126425e-06,0.008043050765991211,82,3653,9081.833188296127,205,179
2509.003034826339,2.488777843026604e-06,0.0,71,3861,8456.235164676491,207,171
2573.5295437939303,2.5577549626872683e-06,0.008022785186767578,77,3765,8737.32921119289,202,173
2377.7700780897985,2.365107203897337e-06,0.0,67,3536,8351.545768089465,198,176
2605.1598160130466,2.504447052606301e-06,0.010054826736450195,80,3836,8979.8346445772,207,177
2437.6267899498334,2.4439136939789156e-06,0.0,75,3687,8709.651611225496,209,176
2364.773197840893,2.341526442488174e-06,0.010037899017333984,71,3705,8542.390395342363,199,176
2516.806076080446,2.6223790564311977e-06,0.0,72,3792,8464.983625365223,193,169
2234.5469239580907,2.263769698071996e-06,0.008028745651245117,68,3680,8443.3614892057,196,177
2303.221127706094,2.2134109936546673e-06,0.0,75,3880,8843.70151967467,201,181
2923.976662960361,2.7957325904520933e-06,0.008028507232666016,82,3625,9050.216573847003,202,173
1961.5745481751783,2.180362498601073e-06,0.0,64,3706,8140.1098688392185,189,175
2201.4983251276876,2.340779359556526e-06,0.0,68,3743,8222.073410064591,193,173
2191.0297044847603,2.281176352833231e-06,0.0020160675048828125,64,3812,8156.225528755391,192,173
2293.2118365482293,2.4481013154359248e-06,0.0,68,3774,8324.808262748726,202,171
2209.80239294883,2.2740280917253237e-06,0.0020170211791992188,65,3701,8209.184582481728,194,175
2160.672347250942,2.213563755701945e-06,0.0,65,3805,8300.347855416232,200,177
2634.2988718934066,2.2531711597418374e-06,0.00850820541381836,84,3578,9018.490875883024,208,184
2375.8092481307667,2.220555619908723e-06,0.002029895782470703,73,3680,8678.70560836617,210,181
2107.612655424702,2.2872474085597506e-06,0.0,62,3782,7964.716336631215,196,171
2686.2492744833316,2.57991689216507e-06,0.008031606674194336,79,3483,8861.612487039933,199,176
2480.1952485223705,2.3023735230800594e-06,0.0,71,3739,8662.811870338752,206,179
2301.0087292304397,2.399256489279036e-06,0.008032083511352539,69,3605,8410.11347995032,196,175
2168.895460124844,2.310376118174529e-06,0.002042531967163086,68,3780,8299.868834438728,199,174
