rmse_I,rmse_Beta,time_predict,roll_var_npeople,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
2376.886403465916,3.6230548031419552e-06,0.010072469711303711,7,3674,9055.805645875724,222,181
2444.746466750735,3.8636768957336225e-06,0.0,7,3562,8110.2775443421515,224,167
2263.143295667799,3.579240838244958e-06,0.010350227355957031,7,3840,9142.662161945083,209,183
2271.475736966349,3.606113088914057e-06,0.0,7,3822,8952.365657121316,209,180
2541.2025463978202,3.702571536470588e-06,0.002285003662109375,7,3733,9104.43957443291,226,183
2455.182358751537,3.8798680769082215e-06,0.008046388626098633,7,3713,7957.447583545772,204,163
2639.9653505772917,3.787591142181609e-06,0.0,7,3710,9129.769445544198,235,183
2287.8058041228637,3.632007603657928e-06,0.010050058364868164,7,3643,9121.379185181819,208,182
2569.9686645542597,3.7287336749377345e-06,0.008027791976928711,7,3742,9168.438689991382,229,183
2318.0644773841414,3.6814751328019596e-06,0.0,7,3600,8801.516218571101,220,179
2245.846236322828,3.760565673960045e-06,0.01008152961730957,7,3550,7714.193546837931,204,163
2290.935643066121,3.577794186149866e-06,0.0,7,3690,8956.839298637806,211,182
2019.8498277744757,3.509728049063476e-06,0.0020258426666259766,7,3726,8415.149232775972,206,176
2057.023720115468,3.548967036285074e-06,0.00803232192993164,7,3810,8508.059482296887,200,177
2363.4569177729654,3.7587988955784445e-06,0.0,7,3682,7981.73093418318,210,169
2093.5843720210632,3.5857085188870515e-06,0.010066986083984375,7,3789,8306.724352937224,203,174
2200.074657480134,3.5648786994663025e-06,0.0,7,3664,8928.61481903267,210,182
2273.2676484281997,3.6357187839035227e-06,0.002039670944213867,7,3829,8352.615851967957,220,175
2418.3506615355486,3.656603197743115e-06,0.00803995132446289,7,3671,8780.34930182167,217,181
2253.2375129222332,3.5805971984778035e-06,0.0020406246185302734,7,3653,8925.461031207042,205,182
2034.690814432083,3.4925777117084757e-06,0.008042335510253906,7,3861,7937.894122195159,207,171
2001.747704880247,3.4829681177465293e-06,0.0,7,3765,8189.285245362613,202,176
2126.4862079743857,3.619996144688553e-06,0.010046958923339844,7,3536,7829.140278299897,198,169
2044.879384677099,3.4655844346439813e-06,0.0,7,3836,8598.336878927048,207,180
2020.635419893705,3.5839663535736147e-06,0.01007533073425293,7,3687,8007.57531106143,209,172
2054.157290264501,3.5955296105023055e-06,0.0,7,3705,7650.138629885671,199,166
1959.166372361054,3.4940911568617127e-06,0.01005244255065918,7,3792,8108.352952166482,193,174
2054.7844695252506,3.646142850326515e-06,0.0,7,3680,7493.325963542707,196,161
1996.586630497379,3.5287713961063153e-06,0.002032041549682617,7,3880,7972.699947634852,201,171
2167.352347408959,3.5374070766571303e-06,0.0,7,3625,8564.523083053551,202,180
1793.5978882609566,3.478773784279864e-06,0.0020380020141601562,7,3706,7583.131244953049,189,165
1839.7620579010775,3.397273352213077e-06,0.00803995132446289,7,3743,7898.527432463747,193,173
1913.6024954799439,3.337506560096633e-06,0.002040863037109375,7,3812,8438.63792185125,192,179
1880.0979688190735,3.4820770113497626e-06,0.008008956909179688,7,3774,7914.350281238967,202,172
1974.1448625337032,3.5203553636642654e-06,0.0022084712982177734,7,3701,7706.771414564838,194,168
1914.5971633337826,3.3853784554282024e-06,0.00803995132446289,7,3805,8218.587249263195,200,177
2225.80108807146,3.578758052092044e-06,0.0,7,3578,8153.294219585985,208,176
2076.957350274612,3.564033093634019e-06,0.008304119110107422,7,3680,7960.005855243683,210,173
1826.6757699806674,3.367459043272868e-06,0.0,7,3782,7788.287419771076,196,171
2123.8748974707087,3.5709859880875817e-06,0.010075807571411133,7,3483,8169.665278493206,199,176
2079.0509592342923,3.503204020520437e-06,0.0,7,3739,7987.203038239153,206,176
1911.9580070958793,3.4677589457853085e-06,0.01034092903137207,7,3605,7951.347684575339,196,174
1825.5106237827029,3.4200357994552093e-06,0.0,7,3780,7787.170458701975,199,172
1772.751358053519,3.244588986366102e-06,0.01007986068725586,7,3838,8264.085958853464,192,180
1959.6342683070723,3.403354508241767e-06,0.0,7,3739,8367.093815906484,201,181
1893.4455841104634,3.4492417584555373e-06,0.01006937026977539,7,3593,7607.727938982321,190,170
1787.396262277269,3.2511590830975196e-06,0.0,7,3706,8077.569027713839,191,177
1951.204403797311,3.4290618120825005e-06,0.0020287036895751953,7,3797,8284.426398348065,194,180
1788.1885956897584,3.418115340892829e-06,0.008029460906982422,7,3801,7949.29732838365,196,175
1799.1956981285741,3.2840892415241587e-06,0.0020248889923095703,7,3839,8402.859997530928,194,181
1696.3548017826413,3.3223702746489353e-06,0.008072853088378906,7,3651,7650.209867188388,184,172
1674.4169413947352,3.3510547291153324e-06,0.0,7,3701,7348.747786019515,179,167
1661.1398757110398,3.1660243724536943e-06,0.00803995132446289,7,3769,7862.648132144451,187,176
1786.029526093689,3.3258559837976373e-06,0.0,7,3632,8052.896135632023,188,178
1558.7031481859347,3.319328491559685e-06,0.010085105895996094,7,3739,7224.01995778246,177,164
1617.5995604154582,3.2482929707208115e-06,0.0,7,3836,7762.177701510587,184,174
1773.2204706320754,3.330516725598829e-06,0.010079145431518555,7,3784,7716.598899434933,191,173
1717.4506461292635,3.427747061980708e-06,0.0,7,3674,7260.525867126835,181,163
1744.977172447808,3.4370164356305994e-06,0.0020318031311035156,7,3829,7484.354900166884,186,168
1741.8197826420976,3.4223676517248037e-06,0.0,7,3672,7434.856635547959,198,168
1164.3242288912872,2.2734300790522247e-06,0.0020275115966796875,7,5289,7868.694495170199,165,159
1156.4377859769,1.998407998230481e-06,0.008021831512451172,7,5390,8407.514318725975,170,174
1169.7487161943395,2.227917293058137e-06,3.0279159545898438e-05,7,5361,7682.787624418942,162,152
1091.1287782695579,2.2556734864454733e-06,0.008306026458740234,7,5356,7759.8047904561845,165,157
1256.977975533569,2.24982517698094e-06,0.0,7,5253,8295.266111066216,174,171
1130.6416712319074,2.1809055229025814e-06,0.00830221176147461,7,5472,7767.7454742608525,170,158
1149.5576505110394,2.138819515099271e-06,0.0,7,5271,8193.314835553574,169,169
1081.8728768297492,2.156849013880609e-06,0.010083913803100586,7,5470,8229.764559329067,176,170
1176.1222538289119,2.003566848757314e-06,0.0,7,5367,8369.137244998103,163,173
1354.9138064222216,2.2984267342111654e-06,0.0020399093627929688,7,5273,8878.362321255532,186,179
1592.3538959072473,1.7887957793529486e-06,0.0,7,5269,8461.893520484227,160,177
1145.7810787217506,1.7175656265504318e-06,0.0020411014556884766,7,5302,7874.224097032868,156,168
867.6908090683112,1.8411058213463523e-06,0.0,7,5471,7666.919190835995,161,156
1155.8577086692815,2.0157266151270356e-06,0.0020399093627929688,7,5396,8428.477938571581,174,176
982.4533703581711,2.056243804644225e-06,0.010076284408569336,7,5390,7543.564287144701,167,157
870.136329702609,1.9863346240774008e-06,0.0,7,5488,7607.237396284869,163,159
1218.2640105925418,1.984142906620436e-06,0.010086297988891602,7,5311,8128.777288370525,160,172
1593.9863818292263,1.6653699878924268e-06,0.0,7,5380,8568.811000921169,161,179
1372.8858010535023,1.9828387055103174e-06,0.010079145431518555,7,5331,8768.241643315108,168,180
1020.2497045888402,2.026233965653291e-06,0.008040189743041992,7,5234,7829.715953077144,172,166
827.3252267820242,1.7185697871378202e-06,0.0,7,5279,7289.590747019569,148,152
1037.5127365115336,1.867309293977524e-06,0.00803995132446289,7,5165,7706.159682275718,162,166
1032.4025387030458,1.845216643937074e-06,0.0,7,5239,7645.353992737583,157,167
1084.0375035032812,1.669407994595554e-06,0.010047435760498047,7,5514,7826.644210211668,157,169
867.4021932712203,1.997791489452299e-06,0.0,7,5566,7363.839110329652,158,151
1166.27740042764,1.7984111339549761e-06,0.010064125061035156,7,5141,7876.369451455037,159,170
918.0600218664875,1.927672378902716e-06,0.0,7,5236,7470.433851023444,160,159
1236.5325637471801,1.955145539833513e-06,0.002025127410888672,7,5144,8044.66216493347,164,172
768.5611589291152,1.7335609667907913e-06,0.008039712905883789,7,5532,7428.916054472806,157,159
1128.939886229779,1.7419206940200244e-06,0.0020303726196289062,7,5307,7778.688413805843,158,168
789.3221669919133,1.6788242404354088e-06,0.00804901123046875,7,5400,7252.712068181261,155,160
