rmse_I,rmse_Beta,time_predict,roll_var_npeople,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
1771.862326005917,7.751848449496384e-06,0.0,10,29667,35787.12708945001,40,37
1927.2364680971568,7.89607588725987e-06,0.0,10,29667,36249.66044554323,38,36
1756.3166107647826,7.029653028881703e-06,0.015623807907104492,12,29537,35357.78532968714,42,38
2032.976525698002,8.178740737903516e-06,0.015642166137695312,12,30026,36284.99130929862,41,36
2279.7126047299485,8.610430639272428e-06,0.0,10,29753,36745.19810155954,39,34
2128.8979815183793,8.023703864511944e-06,0.0,10,29977,36399.486061728945,40,36
1901.9115125739188,7.482487284204387e-06,0.015624284744262695,12,30235,35952.99021541141,40,37
1687.0981926235763,7.661017820207092e-06,0.0,11,30091,35859.26773572056,40,37
2149.424619546409,7.911407856570145e-06,0.015636444091796875,11,29761,36251.99971553735,39,36
2644.7682666462792,9.008789704386466e-06,0.0,10,29902,37146.57736283899,39,34
1854.128824842902,7.699271394586206e-06,0.0,10,29745,35858.38174647591,39,36
1814.9784084445237,7.3357003521508705e-06,0.0,10,29572,35445.02893499696,39,37
2482.7661308020824,8.626783517652131e-06,0.0,10,29860,36807.263435177665,38,34
2196.3863585138733,8.435306256694876e-06,0.0,10,30047,36626.03298334361,39,34
1928.7857114150524,1.81714771205381e-05,0.0,10,29859,36077.52692147378,39,35
1654.9987339451131,7.3220158958139225e-06,0.0156252384185791,10,29726,35523.21258062371,39,37
1955.7732513792341,7.671593294191389e-06,0.0,12,30011,35971.74473873637,39,36
1327.216369326012,6.311442846101316e-06,0.0,10,29687,34463.90935627987,40,39
1318.965046413457,7.180041638587069e-06,0.0,10,30187,35099.41032261087,39,38
1762.373435156284,7.37643575186397e-06,0.0,10,30096,35724.03156381983,40,36
1865.457857504933,7.130305723785961e-06,0.0,10,29771,35602.49472927784,38,35
1731.049816455116,7.137239058622257e-06,0.0156252384185791,10,30012,35485.61803441032,39,36
1673.1667229047791,7.439636522252497e-06,0.0,10,29912,35668.78807418311,38,35
1214.1076903712924,7.124983620551546e-06,0.008512258529663086,24,29802,34265.17432065377,38,37
2011.8587328546575,8.040792485523797e-06,0.0,10,29771,36130.87698460824,39,34
1910.7497867798368,7.631854671950583e-06,0.0,10,29755,36002.08954287553,38,35
1811.2495440880411,7.750895482878149e-06,0.0,12,30025,35972.004464996426,38,35
2208.170716674541,7.501941423793844e-06,0.015627622604370117,10,29650,36020.22645309155,38,35
1637.3104762281587,6.7171457523723485e-06,0.0,10,29544,35123.463867556995,40,37
1643.2948473908673,7.083902426334714e-06,0.0,11,29848,35360.22554427701,40,36
1627.2195167897632,7.467467484031687e-06,0.0,11,29895,35608.13568605851,38,35
1824.1529998498188,1.0454258788718086e-05,0.0,10,29891,35770.62104096491,38,34
1814.1133977919092,8.553877681330738e-06,0.0,10,30084,35859.70881334178,38,34
1585.2656564752879,6.963870158905794e-06,0.0,10,29739,35283.61675817046,39,35
1408.4726447974701,7.646082892869227e-06,0.0,10,29908,34838.75487750567,38,36
1671.1642059420162,7.4920702921983015e-06,0.0,10,29997,35380.42211549324,37,35
1644.894961705151,7.058883133415812e-06,0.015626907348632812,12,29841,35265.42495975165,38,35
1367.635963361535,6.575638312486791e-06,0.0,10,29967,34821.70780670433,37,37
1669.2254428998506,7.033209463059039e-06,0.0,10,29708,35236.830154666306,39,36
1634.1730246875256,7.173904010110837e-06,0.0,19,29977,35194.276508817915,38,35
1729.0597411718786,6.735111642324263e-06,0.0,11,29973,35238.95725745367,37,35
1473.141893433995,6.396446747002588e-06,0.0,10,29950,34730.82385425068,38,36
