rmse_I,rmse_Beta,time_predict,7,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
21781.246326486023,4.0902493643106326e-06,0.0,28,10167.0,30310.123259792843,31,43
25237.885584080534,4.980630494453633e-06,0.015507221221923828,24,11492.0,36144.600198522254,27,37
24595.748430656713,5.060128467001411e-06,0.0,24,13057.0,37023.941493779486,29,36
24250.5476953143,5.009961473193151e-06,0.0,22,10242.0,38595.96614559798,25,35
24166.9734238911,4.8124089819233245e-06,0.0,23,10445.0,35693.29693719002,26,36
20985.307039166622,4.132503723877289e-06,0.0,26,13178.0,30677.91964475276,29,39
21788.818189128582,3.9476226166348885e-06,0.015625,27,11406.0,31516.60174482663,30,41
23344.74164715507,4.4084925784325986e-06,0.0,23,15186.0,35377.0631218188,28,36
24056.06503563383,4.59655766075648e-06,0.0,23,10430.0,35401.78719995586,28,37
24100.2492189153,4.90854173060548e-06,0.0065081119537353516,23,11663.0,36986.31139054844,27,36
25768.466096469107,5.558548792303261e-06,0.0,25,11779.0,36660.74720960534,27,37
26097.060216729387,6.523940715109478e-06,0.0,18,13293.0,46269.7693142155,22,29
27378.484756186645,7.067466347922413e-06,0.0,17,15650.0,48418.19108680409,22,27
26288.218739642096,5.960765465340388e-06,0.0,17,11572.0,43943.193865535,20,29
28933.52523248393,6.227237596058804e-06,0.0,19,12504.0,45219.26324741081,24,31
22957.844095030476,4.519471240353607e-06,0.0,26,14216.0,34799.049369255285,29,38
26106.18463878013,6.4800486573983405e-06,0.0,19,13082.0,46277.86471935326,24,30
26132.677080001264,6.7114500139004425e-06,0.0,18,14199.0,46614.69548155726,22,28
25760.71736019568,5.9287444541631015e-06,0.0,21,14322.0,43329.36088927327,25,32
30003.939980821873,8.338010434520044e-06,0.0,16,14976.0,52177.715295217655,21,26
29702.23044480332,8.692615745296511e-06,0.0,15,13464.0,53122.09573327784,19,25
29478.20517613457,7.3107603090780256e-06,0.0,16,12459.0,48537.14988740289,19,26
28032.78716230589,8.41910935491887e-06,0.0,16,12879.0,52452.62461151972,20,26
27341.93857552823,7.946220128696124e-06,0.0,16,16433.0,50992.44129577591,19,25
25690.210096143925,8.578236199911797e-06,0.0,15,14822.0,53077.66236285797,20,25
28742.11635948623,7.187833124323862e-06,0.0,18,14720.0,48191.42730710267,22,28
29969.22265396705,7.487116970340497e-06,0.0,16,15382.0,49861.10493390229,21,26
28714.961259938846,8.035998444185438e-06,0.0,16,13777.0,51380.92128317435,19,26
26525.35714560574,7.056799148906069e-06,0.0,18,13565.0,47608.98555428705,24,29
29697.81202143899,9.227922452793363e-06,0.0,15,15178.0,55247.12099483353,20,24
29471.41385560334,9.701045166745761e-06,0.0,15,16159.0,56255.13829099833,19,24
30089.772384344775,1.026577849814366e-05,0.0,15,16058.0,57218.518325283716,20,24
28596.42365503375,8.117310000342144e-06,0.0,15,14744.0,51820.06071393138,21,25
30279.990308420318,8.014022301906967e-06,0.0,17,15119.0,51407.318450241204,21,27
28703.220262997034,8.98142649151283e-06,0.0,14,15514.0,54460.6520124614,20,23
26739.798893723233,8.500476987271007e-06,0.0,15,16133.0,53241.74898683275,20,24
27959.705899437315,8.609943986938146e-06,0.0,14,15455.0,53444.76737116401,20,24
29389.857638423175,8.399563711284432e-06,0.0,15,14976.0,52630.20657255167,20,24
28874.85999621823,7.974498209516775e-06,0.0,16,16014.0,51655.927532413916,20,25
28787.57275409558,8.308714008263917e-06,0.0,15,17000.0,52870.4480733113,20,25
29680.382668997972,7.603082598427983e-06,0.015625,16,15094.0,50750.20228819538,19,25
28741.629665917728,7.1033571751336345e-06,0.0,18,16509.0,49143.165098328514,22,28
27098.21255664178,6.996296472982888e-06,0.0,16,15990.0,48269.19339526224,21,27
30238.334810658063,9.25031048375909e-06,0.0,15,15671.0,55329.956058667514,18,24
31002.159901881238,7.854042230665994e-06,0.0,16,15240.0,51641.4854120736,21,26
29776.38184259236,7.01419159445872e-06,0.0,16,13766.0,48530.21555861485,19,26
30128.8992689406,6.696153631206823e-06,0.0,15,17483.0,47598.3538191195,20,25
30974.91128027166,7.63235127209586e-06,0.0,17,15831.0,50980.854940169425,20,26
28885.70185531576,7.503698364437178e-06,0.0,16,15290.0,50175.69524550079,19,26
30167.33025860625,9.76160463334729e-06,0.0,14,16362.0,56703.51433809311,18,23
30571.137004161672,9.838600560246705e-06,0.0,13,17353.0,57117.19731576512,18,22
30231.699466382517,9.6956176097559e-06,0.0,14,17567.0,56391.72798019498,18,23
27887.83170936013,8.526053951330068e-06,0.0,15,17068.0,53792.07258893426,19,24
