rmse_I,rmse_Beta,time_predict,day,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
7967.906440654557,3.0722114934729114e-07,0.0,29,33894.0,17865.60312249942,38,40
25318.055877805305,2.0957542941505198e-07,0.0,16,126006.0,78038.821269704,28,31
45490.66138692096,1.1211884435914567e-06,0.0,11,312285.0,399226.5973047498,20,20
9729.273761509583,8.47604940487981e-07,0.0,18,31833.0,10970.018819773431,25,21
60177.59966537638,1.3582759968181497e-05,0.006000995635986328,10,294723.0,451504.70580445917,19,17
3281.9539204678476,1.5430376950840197e-06,0.0,22,11617.0,12427.889390912436,24,30
6789.871634362562,9.022352521205084e-07,0.0,16,13766.0,15153.215661790873,19,22
48083.95846892585,4.611998638994998e-07,0.005998134613037109,8,249411.0,255393.63526085357,17,17
22480.615780565804,5.303635710887742e-07,0.0,12,97746.0,34101.9676445615,20,19
21153.7303379687,2.956094889977172e-07,0.0021164417266845703,10,131282.0,69341.25190810845,18,18
53263.433120641996,1.834856022016377e-06,0.005999326705932617,12,84501.0,154286.9466176225,19,20
65508.118799495496,3.1101579251746807e-07,0.0,11,300377.0,90507.476257542,23,23
56368.22278361638,7.698476593856597e-07,0.0,9,247795.0,294265.94270965183,17,17
37589.67245628666,4.95715784082828e-07,0.0,11,147767.0,159865.23776988132,20,24
27699.829432601415,5.594202913151877e-07,0.0,27,80549.0,10788.0,40,28
61282.345444759696,3.799647415289942e-07,0.0,9,357678.0,327017.60734344495,17,19
41512.99121205968,4.50622532479942e-07,0.0,12,149057.0,175562.57183944967,22,23
30790.853292412823,2.836643638473065e-06,0.0,17,24677.0,52698.0818237666,23,28
31334.60236970029,5.817011876876319e-07,0.0059888362884521484,16,135349.0,34422.936482992176,25,26
36867.85199877845,3.635005572537723e-07,0.0,9,199070.0,141815.19545591844,17,18
38682.718279572015,8.634368155767225e-07,0.0,19,43524.0,88736.86834256415,30,32
42994.998117825846,4.234549327356475e-07,0.0059909820556640625,9,258829.0,230875.4057383694,18,18
52746.20836593895,8.327081507042729e-07,0.0,8,254487.0,307605.5372394182,17,16
45052.772226871384,9.927323668696364e-07,0.0020122528076171875,9,291980.0,406326.86905127816,19,17
37979.98618271949,1.7059072596251304e-06,0.0,21,39081.0,82214.78085326767,28,33
59053.54394565054,2.5754933002335824e-07,0.0,12,268585.0,217628.9432329532,23,25
52333.84869090325,9.113868668648062e-07,0.0,15,75692.0,150506.28054430158,22,26
16054.674921619317,4.727612211317973e-07,0.0020966529846191406,29,67445.0,26749.95284012408,39,47
2455.4932610415394,5.634064918384273e-07,0.0,15,13464.0,9132.5,19,16
22142.541540284452,3.2582467655262823e-07,0.0,15,97909.0,33622.04872391333,24,25
40355.924832261,2.807928155503841e-07,0.0059986114501953125,9,243005.0,188710.0684461216,19,19
8243.511075650385,6.592822767625957e-07,0.0,19,34844.0,15719.691083825763,24,21
21494.385248489605,5.715961896452302e-07,0.0022802352905273438,11,129029.0,85552.50246651757,19,19
3935.0112371854807,3.3065228175240304e-07,0.006000995635986328,14,27553.0,17939.432910808384,19,17
15595.462152342461,6.235088281999561e-07,0.0,13,85025.0,38021.9587133754,20,19
16911.00735381046,5.073103110349453e-07,0.0,12,67342.0,59175.86112234573,20,22
63707.45183621561,2.868306534740934e-06,0.0,19,127866.0,268740.1973634683,27,29
22261.070906801717,3.7083085810000937e-07,0.0,10,115059.0,83411.55569195838,18,20
26005.513743141608,4.310917411675059e-07,0.0059986114501953125,28,85967.0,11078.247124481722,41,35
59502.76473481413,1.6317373334575344e-06,0.0,20,120396.0,240900.3813959913,29,32
18453.868006845223,4.94044993330141e-07,0.0,9,103314.0,69595.16579691519,16,16
18823.246522042107,5.403060927627504e-07,0.0,25,49631.0,11198.97222222334,35,27
35866.18236822374,4.448327913839868e-07,0.0,10,189499.0,174380.24536815516,18,20
4375.333045102496,5.916654040254038e-07,0.0,15,24345.0,14696.166666666668,20,16
75856.99312478036,4.78935936946165e-07,0.0,9,295718.0,70842.25897407452,19,18
26677.145309327745,3.827487610712778e-07,0.0,9,128560.0,58471.075507552334,18,17
15164.313276458992,5.781014853977495e-07,0.0062258243560791016,10,80709.0,37738.605031627114,18,17
35016.943813750426,4.184112724366163e-07,0.0,10,123887.0,122036.11646932187,18,18
56556.12559308752,1.8373392058504588e-06,0.0,12,164814.0,264166.43533015286,20,19
13814.227290310393,5.912370359904029e-07,0.002094745635986328,30,56192.0,16823.79700439954,41,41
49353.933999373294,6.928195692359094e-07,0.00599980354309082,9,260476.0,316845.65797760256,19,18
39894.59089775095,4.6751735010498557e-07,0.0,13,213123.0,254317.37690111744,24,26
62048.29119974719,4.887775080064203e-07,0.0,12,254109.0,248193.26761100587,22,24
4827.937279478919,8.1810191545799e-07,0.002119779586791992,19,30154.0,15203.429114786652,26,24
36784.69400883255,3.528632700408592e-07,0.0062334537506103516,15,141413.0,45879.782467403194,27,28
22724.042011105514,7.100399683054526e-07,0.0,15,113723.0,48450.98953075407,23,25
64467.30378689398,3.3682681182741096e-07,0.0059986114501953125,19,229622.0,221437.28012641048,31,35
60864.105563153214,1.1715952566327146e-06,0.0,14,106508.0,223582.90266698838,23,25
22372.743494073617,3.814300676881545e-07,0.0,12,111506.0,43766.630971783416,20,21
5679.6796355086735,7.177242208768956e-07,0.002106904983520508,11,38980.0,25991.23149706653,16,15
52900.6832117369,7.664948690453378e-07,0.0,8,346746.0,385511.95553869713,17,17
5806.485116269194,8.508174057624111e-07,0.006000518798828125,14,17567.0,14744.192219981938,18,20
55538.56638021171,1.3189644377417898e-06,0.0,11,168398.0,249719.24895468733,20,19
62872.6097571228,1.5233456799353614e-06,0.0,11,166810.0,307710.05010249297,20,20
42231.61910496174,4.6046868127583535e-07,0.0,9,173019.0,141493.4501826944,17,18
50663.635995099794,3.8446069154546646e-07,0.0,9,217347.0,196575.8423221822,17,18
47653.47391090913,8.427597998321417e-07,0.002015352249145508,11,104662.0,134074.2003946364,18,20
19706.872121186385,3.434596412509656e-07,0.0,33,60577.0,8706.876125349538,45,38
38687.00563464421,2.7714654984028754e-07,0.005999565124511719,10,227076.0,221857.92336567314,19,19
11798.436153021232,6.561973034260768e-07,0.0,11,77752.0,44341.640862226006,17,17
