rmse_I,rmse_Beta,time_predict,day,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
27345.665492134576,7.099727816697213e-07,0.0009992122650146484,29,33894.0,41084.58067935988,38,56
75802.38653021354,5.814909783667076e-07,0.0019998550415039062,16,126006.0,175727.19495522915,28,39
70292.21769054054,1.495764251695488e-06,0.0019986629486083984,11,312285.0,336710.66840611957,20,23
34293.95856362829,1.6902125047505866e-06,0.0010077953338623047,18,31833.0,51788.59091219396,25,37
57104.74808455983,2.2234684623112466e-06,0.0019989013671875,10,294723.0,361132.4236201688,19,20
3104.4197412237063,1.5501176770051568e-06,0.0010004043579101562,22,11617.0,9076.833333333334,24,23
19238.520466133377,3.3021304253146412e-06,0.0010025501251220703,16,13766.0,27376.195574519075,19,30
57591.457480201694,2.898471158730703e-06,0.001001119613647461,8,249411.0,328058.62521565444,17,17
68782.33190009913,2.3936769149189604e-06,0.001999378204345703,12,97746.0,201023.4015654212,20,23
57766.296117477905,2.3004234622795393e-06,0.00099945068359375,10,131282.0,199196.08713939774,18,21
55067.59707832111,5.340920033948153e-06,0.0010023117065429688,12,84501.0,174906.11722150008,19,19
56294.700432890946,1.6559288428846153e-06,0.0019998550415039062,11,300377.0,352361.24907536607,23,23
69770.20130744416,2.240149792016873e-06,0.001001119613647461,9,247795.0,303425.7919821819,17,19
69251.97389365015,2.312264493264579e-06,0.0020003318786621094,11,147767.0,333386.46028502425,20,22
43124.204216486716,5.695441791596421e-07,0.0009975433349609375,27,80549.0,61634.30497600166,40,58
48806.1334308546,2.991298410224356e-06,0.0009989738464355469,9,357678.0,446039.0981038697,17,17
53316.74462357092,3.2569697347667664e-06,0.0010013580322265625,12,149057.0,283606.2605950709,22,21
18895.916840646383,2.1015076980875873e-06,0.0009987354278564453,17,24677.0,27551.82827459435,23,35
57009.438933259305,1.8546082107485337e-06,0.0019986629486083984,16,135349.0,230567.6470807161,25,29
58444.835795405575,4.043557202585248e-06,0.0010004043579101562,9,199070.0,294710.1701865412,17,16
50006.724348712334,2.069501521485651e-06,0.0009989738464355469,19,43524.0,112980.4704901283,30,33
53642.42648343503,3.961947472841191e-06,0.00099945068359375,9,258829.0,382884.0458335729,18,16
62671.68073471815,2.704520285775746e-06,0.0010013580322265625,8,254487.0,324061.54612749873,17,17
44105.278360192635,2.42395606590617e-06,0.0009992122650146484,9,291980.0,396477.1706773521,19,18
31950.542426032633,1.5605703103608032e-06,0.001001119613647461,21,39081.0,52411.12489088271,28,38
84020.52406956514,1.323399434711313e-06,0.0010018348693847656,12,268585.0,346311.55212054064,23,25
59999.29874262393,3.53251123620901e-06,0.00099945068359375,15,75692.0,204740.81951682296,22,24
46832.36538516467,6.145291655516496e-07,0.0009975433349609375,29,67445.0,80079.96149831892,39,60
5153.826895116276,1.2719964021923662e-06,0.0009984970092773438,15,13464.0,9164.916666666666,19,17
75805.2184907924,7.729357578162589e-07,0.0009992122650146484,15,97909.0,129836.3649776052,24,37
55759.018699747045,2.4668032621733347e-06,0.0010025501251220703,9,243005.0,340892.4670323648,19,19
56219.56908698237,2.829432736710216e-06,0.0009989738464355469,19,34844.0,108282.9184599795,24,31
58018.64133200207,5.2052398418100826e-06,0.0009999275207519531,11,129029.0,257740.3154888513,19,18
7967.564991600565,8.772516630080403e-07,0.0010027885437011719,14,27553.0,17255.055555555555,19,16
50102.11127622557,4.054685681358847e-06,0.0009996891021728516,13,85025.0,185774.3117680116,20,22
51111.31402041737,3.3889426099448565e-06,0.0009989738464355469,12,67342.0,147948.17206046745,20,23
64456.13188188291,9.367458347961861e-07,0.002002716064453125,19,127866.0,138893.30470425743,27,38
54859.511110431726,3.9065671714962415e-06,0.0010001659393310547,10,115059.0,212180.22573124128,18,19
39445.32708647403,5.592190091934509e-07,0.002001047134399414,28,85967.0,53140.37078410703,41,61
60292.38676152946,2.682652924474193e-06,0.0010020732879638672,20,120396.0,265693.2434645608,29,30
57972.757669999606,5.4427219628606925e-06,0.0009999275207519531,9,103314.0,201233.07708248938,16,17
73247.33683174379,1.4053453783375818e-06,0.0010020732879638672,25,49631.0,147919.76727695228,35,42
54896.16681067584,4.074620555335225e-06,0.0010004043579101562,10,189499.0,324522.3367258248,18,18
11581.523688865911,1.2544938650034482e-06,0.0009996891021728516,15,24345.0,16836.387557508722,20,25
89354.85571484259,1.3459672812765862e-06,0.0010008811950683594,9,295718.0,290289.8787336978,19,23
60289.05400758035,3.3585207570610253e-06,0.0009996891021728516,9,128560.0,229053.47524964198,18,19
52745.51403214408,4.754433671571061e-06,0.0009996891021728516,10,80709.0,168511.9384724432,18,19
60435.15064620386,3.7120727386583144e-06,0.0009984970092773438,10,123887.0,208955.89268136673,18,18
57480.74099135765,4.69173594226731e-06,0.00099945068359375,12,164814.0,278459.76069458155,20,19
30111.563924111575,8.184781606731622e-07,0.0009987354278564453,30,56192.0,42001.97070785177,41,57
51580.416418077286,2.941332551991629e-06,0.0009992122650146484,9,260476.0,357184.92082915007,19,18
63323.45499592576,8.309549345855354e-07,0.0019986629486083984,13,213123.0,230281.98179553036,24,30
82494.72207448461,1.0886613017472139e-06,0.0009996891021728516,12,254109.0,241334.93037896542,22,27
29561.222278287027,2.504823857832268e-06,0.0010001659393310547,19,30154.0,57194.9544894716,26,34
65268.17735012747,6.275158482623895e-07,0.00099945068359375,15,141413.0,193709.5359684577,27,37
62971.56127161427,4.608089957886878e-06,0.0009989738464355469,15,113723.0,248508.47271289735,23,23
64183.40293711506,1.3216441345934607e-06,0.0010008811950683594,19,229622.0,345479.82117630925,31,32
63058.60064028151,3.895172629981565e-06,0.0009992122650146484,14,106508.0,267038.294452591,23,23
67286.68454017596,2.1051059580501242e-06,0.0019969940185546875,12,111506.0,215572.17225386255,20,24
37218.31408289168,4.108609109001952e-06,0.001001119613647461,11,38980.0,81777.78649941475,16,21
59554.99927042377,2.731002651394666e-06,0.0009992122650146484,8,346746.0,409358.32200788683,17,17
6994.320716596384,1.4078136236449443e-06,0.0,14,17567.0,11134.228971204235,18,17
59116.03705311555,3.23215070998481e-06,0.0009996891021728516,11,168398.0,255154.25602560668,20,20
68651.67211583706,2.2794954647525697e-06,0.0010018348693847656,11,166810.0,277497.39604657074,20,22
62931.659917191326,4.058407785510283e-06,0.0009989738464355469,9,173019.0,271529.88295588153,17,17
59907.05478643037,3.587931117586346e-06,0.0020012855529785156,9,217347.0,319397.2788565698,17,17
58162.08207327504,4.872770709964179e-06,0.0009992122650146484,11,104662.0,196225.60675437158,18,18
