rmse_I,rmse_Beta,time_predict,day,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
46762.853134757366,1.0541665230501255e-06,0.0,29,33894.0,75240.57722782705,38,51
71397.82958216826,6.615703084493474e-07,0.01001596450805664,16,126006.0,191601.97172733198,28,36
49671.02589439573,9.676804973490745e-07,0.0,11,312285.0,325216.90015549376,20,21
31691.775783188914,1.5829948335511842e-06,0.0,18,31833.0,47552.88751337799,25,38
47168.84809484604,1.2245311626271776e-06,0.0,10,294723.0,342631.10231554613,19,19
28092.407857625647,3.915408665218506e-06,0.0,22,11617.0,52432.01714407016,24,36
28435.328270258487,6.005426506523387e-06,0.008013248443603516,16,13766.0,44453.090572580135,19,27
51753.61068192214,2.5485401720111574e-06,0.0,8,249411.0,358451.694040703,17,15
59140.126308753475,1.1815882240563085e-06,0.002009868621826172,12,97746.0,145770.90422942466,20,24
51397.09754716282,2.268786974866507e-06,0.0,10,131282.0,220664.94453450528,18,19
54532.4184217982,4.414935814702426e-06,0.0,12,84501.0,172154.46847358238,19,19
82792.40792314804,4.357779347600691e-07,0.0,11,300377.0,67865.29075287368,23,19
53223.25059666848,2.182905763618677e-06,0.0,9,247795.0,340143.9644123308,17,16
21246.290771317486,4.200160143403396e-07,0.008011341094970703,11,147767.0,110598.51307837121,20,21
51003.37626996575,6.354980889616633e-07,0.00201416015625,27,80549.0,78679.4227009068,40,56
50887.99768203845,6.004028517608953e-07,0.0,9,357678.0,370493.3035392553,17,18
51083.601094279686,1.397009223854137e-06,0.0,12,149057.0,220688.28042898237,22,23
36800.40229822317,5.8830978214426485e-06,0.0,17,24677.0,68794.04391143336,23,28
56608.00282229532,8.99990640952327e-07,0.0,16,135349.0,136161.33927224943,25,34
56000.604999248906,2.4440915416408983e-06,0.008063077926635742,9,199070.0,293544.35691297665,17,16
50982.69183467737,2.4154002479966214e-06,0.0020110607147216797,19,43524.0,123498.97800416859,30,32
50411.569314878754,1.6025640856366636e-06,0.0,9,258829.0,357649.39561492234,18,16
52983.15909819731,2.8907684389004663e-06,0.0,8,254487.0,362779.8292588788,17,15
40068.991155801516,8.450813921416866e-07,0.0,9,291980.0,357520.65981069824,19,18
