rmse_I,rmse_Beta,time_predict,day,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
11270.195990811166,4.3701570236727704e-07,0.01804518699645996,29,33894.0,11107.738514152583,38,31
31889.745247780367,2.866260486786537e-07,0.022111177444458008,16,126006.0,41593.80259355279,28,30
67441.54787205491,4.686499921781463e-07,0.020072221755981445,11,312285.0,106678.00381024089,20,21
10140.69250993641,8.981964146624901e-07,0.010029077529907227,18,31833.0,10760.343159249343,25,20
63507.13140485941,4.249066830124135e-07,0.020117998123168945,10,294723.0,106905.34416002667,19,20
2974.114935705002,1.5647136357755176e-06,0.020094871520996094,22,11617.0,9076.833333333334,24,23
2384.8215043025034,7.55048118513584e-07,0.010022163391113281,16,13766.0,11088.705435809088,19,18
45839.36078690204,3.202811763287679e-07,0.0100555419921875,8,249411.0,126040.6834056788,17,16
22430.571074454027,5.295559957710985e-07,0.010044574737548828,12,97746.0,35144.944057669556,20,20
28135.879127105458,3.813079859717666e-07,0.015624761581420898,10,131282.0,51019.46760388825,18,18
15166.753674919779,6.785308591494931e-07,0.0,12,84501.0,49045.780960958284,19,17
67360.96667319126,3.041265330980735e-07,0.0156252384185791,11,300377.0,86943.61237862059,23,23
52758.898802296775,3.4324950200772706e-07,0.01568770408630371,9,247795.0,114470.91786392192,17,17
26337.66017959852,4.7610268184975824e-07,0.022123336791992188,11,147767.0,68943.19501569666,20,22
25480.001547182466,4.857413991656733e-07,0.02006697654724121,27,80549.0,11036.038737243429,40,29
73425.95443084557,3.6085931444466537e-07,0.02008342742919922,9,357678.0,148023.53518942714,17,18
38682.845659714156,4.672760540959312e-07,0.02009129524230957,12,149057.0,50336.22345893819,22,20
7771.988877439345,1.177310709497499e-06,0.010026693344116211,17,24677.0,9931.772256012622,23,19
35211.28028408561,5.898002932328256e-07,0.02008509635925293,16,135349.0,25052.758909453227,25,24
37042.73487190097,3.848991062432492e-07,0.01808023452758789,9,199070.0,105140.41603764743,17,16
14357.49536027862,4.5615414226798556e-07,0.018349409103393555,19,43524.0,17210.243281580435,30,22
44209.80783983336,3.705141141055622e-07,0.01806926727294922,9,258829.0,144444.15867331874,18,16
51182.98796205469,3.078191851278787e-07,0.020085573196411133,8,254487.0,121575.53421051336,17,17
55788.449889142525,2.813801742486747e-07,0.020277738571166992,9,291980.0,135759.24972452805,19,18
9935.963368774272,5.705797624543084e-07,0.010029315948486328,21,39081.0,15699.856295538546,28,23
56287.918995715285,2.382457896743092e-07,0.020294904708862305,12,268585.0,92206.10930513192,23,24
16657.10885470848,4.769407476802977e-07,0.020099639892578125,15,75692.0,33544.82790782248,22,20
23053.096051173958,6.039816444869069e-07,0.020099401473999023,29,67445.0,9590.863091548292,39,31
2470.137134589078,5.286657033309297e-07,0.0020143985748291016,15,13464.0,9132.5,19,16
25310.629629636318,3.6570514665292977e-07,0.020075559616088867,15,97909.0,24698.7413333213,24,25
53192.203706466185,3.137227978610311e-07,0.020296335220336914,9,243005.0,107970.43414267796,19,18
8014.173858962049,6.191643510573205e-07,0.010258913040161133,19,34844.0,16027.06102722868,24,22
23161.49652210799,5.428941908024007e-07,0.020075082778930664,11,129029.0,66740.5372341991,19,18
4313.023269721397,3.2856725077427156e-07,0.012069940567016602,14,27553.0,17235.764937123375,19,16
16721.81463047058,6.159412666284569e-07,0.018054485321044922,13,85025.0,35798.34719866198,20,18
16924.972386975634,6.620679779135137e-07,0.012057304382324219,12,67342.0,23666.735355630866,20,18
38526.62377236226,4.992686281064772e-07,0.0203094482421875,19,127866.0,21462.090285783,27,25
27811.457477034448,6.359168953601604e-07,0.010040760040283203,10,115059.0,39171.02089084971,18,18
28514.466405576823,4.965442222200003e-07,0.020289897918701172,28,85967.0,9244.484703672115,41,30
33401.47464191581,4.954622394275439e-07,0.02011561393737793,20,120396.0,24815.92563185884,29,25
21447.456799554497,6.082195989242458e-07,0.01827859878540039,9,103314.0,56048.17141798662,16,16
16734.096957772108,4.320236913870984e-07,0.01207113265991211,25,49631.0,11807.92665258898,35,28
34242.80734445434,4.7307020804183083e-07,0.02029109001159668,10,189499.0,90210.80625878963,18,18
4130.322416256443,5.109486787432438e-07,0.010027408599853516,15,24345.0,14696.166666666668,20,16
64539.5950825994,4.2348224226765644e-07,0.020400285720825195,9,295718.0,104970.87348655224,19,20
30911.11419323518,5.320411528404516e-07,0.01257467269897461,9,128560.0,51601.24910967359,18,18
17971.683415388306,7.209698667879635e-07,0.02007460594177246,10,80709.0,31711.10216031371,18,17
26500.205125074302,5.039650577734293e-07,0.012046575546264648,10,123887.0,58906.07506303401,18,17
28409.732284903435,4.1319401741631857e-07,0.01002645492553711,12,164814.0,91562.86284609925,20,18
18736.160755290013,7.191511225541859e-07,0.020290136337280273,30,56192.0,11090.666666666666,41,31
52302.2850770524,3.198587843120783e-07,0.018283605575561523,9,260476.0,115695.18855962082,19,18
50340.910387530916,3.261728397759794e-07,0.02231884002685547,13,213123.0,65078.960883248146,24,24
54659.41746158715,3.374910572887497e-07,0.02007269859313965,12,254109.0,68086.63182657337,22,22
6516.087674315378,9.445956488376964e-07,0.020095109939575195,19,30154.0,12650.484590604336,26,21
36606.87831243317,3.6025167981532444e-07,0.02010345458984375,15,141413.0,44489.75540874735,27,29
28387.492717279292,7.90351937812553e-07,0.020299434661865234,15,113723.0,29176.70271203336,23,21
61096.53373738848,3.271116706872148e-07,0.020092248916625977,19,229622.0,50665.013263056295,31,31
28065.221045538787,6.483168847974017e-07,0.020087242126464844,14,106508.0,31509.03890238314,23,22
26203.914728790856,4.4556117884940433e-07,0.02008986473083496,12,111506.0,33711.09620725144,20,21
6886.359928889429,7.332310442144165e-07,0.010030984878540039,11,38980.0,25290.48724274181,16,15
73145.60961719707,3.583344525187468e-07,0.020298242568969727,8,346746.0,139068.87469614076,17,17
3562.902860694531,5.331312905129167e-07,0.010071516036987305,14,17567.0,10745.23523480874,18,16
40526.100589385474,5.45915811032543e-07,0.010042667388916016,11,168398.0,56844.827545562686,20,19
41130.098677576614,5.27303289076885e-07,0.0200960636138916,11,166810.0,52925.85676544302,20,21
38215.098247976566,5.203130726005571e-07,0.010027885437011719,9,173019.0,82259.08768094722,17,17
45561.770765607514,3.9685480704992045e-07,0.015108823776245117,9,217347.0,106907.6014530861,17,17
20434.758690317954,5.172198603116273e-07,0.010070562362670898,11,104662.0,55748.65211315499,18,17
20648.325029365897,4.3627053483272186e-07,0.020078420639038086,33,60577.0,8340.5,45,34
38271.833168623816,2.139798218945836e-07,0.0200958251953125,10,227076.0,122123.20548920814,19,18
13083.660341632429,5.903618809732685e-07,0.010057926177978516,11,77752.0,44727.06382415095,17,16
55991.975187225085,5.279047595045081e-07,0.030170917510986328,18,245134.0,48343.90572883447,29,32
41703.30867800158,4.31990788651975e-07,0.020082950592041016,18,128979.0,23785.701330319793,27,27
47275.88131966251,2.1462480274644006e-07,0.01807713508605957,9,279936.0,140761.56419726525,17,16
48959.192673930076,2.1599130451851637e-05,0.012084007263183594,30,147914.0,118497.80927770452,46,75
56847.47446075101,4.216492516869245e-07,0.020123720169067383,9,286737.0,125831.30000683191,18,17
51648.32145119725,6.323451584879003e-07,0.0180513858795166,12,192862.0,51307.42665464432,21,20
49960.69051171732,3.7814398095759204e-07,0.012099266052246094,9,292147.0,144058.41575648944,17,16
67866.03577446571,2.685559813987075e-07,0.02008056640625,10,334409.0,137734.20339093954,20,19
39657.57537821091,6.288712796884007e-07,0.018085241317749023,9,175525.0,78065.05199991487,17,17
8728.479917147126,8.005628755191836e-07,0.010017633438110352,11,38729.0,22421.40076144734,17,15
