rmse_I,rmse_Beta,time_predict,day,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
11494.333798535059,4.52765685241537e-07,0.0,29,33894.0,10980.035090425847,38,31
40690.33107250754,2.968164392757265e-07,0.0,16,126006.0,16617.294465647876,28,24
83347.68137636232,5.661188125151529e-07,0.008042335510253906,11,312285.0,63925.945058689336,20,22
10551.732863376626,9.431971485137976e-07,0.0020227432250976562,18,31833.0,10554.230844475718,25,20
77544.45900656158,5.542108387760456e-07,0.0,10,294723.0,68440.442461018,19,21
3078.5361869528874,1.5629853508989248e-06,0.0,22,11617.0,9076.833333333334,24,23
2416.800256282881,8.285259351636971e-07,0.002015829086303711,16,13766.0,10995.333333333334,19,17
60865.58254077335,5.285162094176153e-07,0.0,8,249411.0,97668.26116038884,17,19
25658.682435526633,6.301627132630058e-07,0.0,12,97746.0,26065.970070395568,20,19
32977.85874929025,4.994299163920825e-07,0.010020017623901367,10,131282.0,37655.344366938356,18,18
18017.977494913717,9.407543751476609e-07,0.0,12,84501.0,39049.68977761512,19,16
83551.54497612604,4.152833302729426e-07,0.0,11,300377.0,42644.99255248142,23,23
66625.83890706114,5.246237120045798e-07,0.008022308349609375,9,247795.0,84674.56904645536,17,19
34920.1006370461,5.408384928349488e-07,0.002012968063354492,11,147767.0,38477.655706509526,20,22
26431.796888678688,5.056371813123549e-07,0.0,27,80549.0,10788.0,40,28
90512.33180347594,5.585576018373548e-07,0.008026123046875,9,357678.0,120868.28341788187,17,21
45619.41620967374,6.196144757973778e-07,0.0,12,149057.0,34162.11000701513,22,20
8054.572646377163,1.2361297428835727e-06,0.0,17,24677.0,9775.921237781855,23,19
38752.031775898366,6.369761626662981e-07,0.008016824722290039,16,135349.0,18606.45572413579,25,21
49006.427073038496,6.971226072301122e-07,0.0020325183868408203,9,199070.0,75868.29503405256,17,18
15295.888290032202,5.152859779171499e-07,0.0,19,43524.0,16343.260025960019,30,21
61086.45490095962,6.531780460462736e-07,0.008019208908081055,9,258829.0,113424.78404490315,18,19
65766.64704884168,5.156290996751777e-07,0.002035856246948242,8,254487.0,93581.20391598248,17,19
70906.17045121262,4.0798191556269695e-07,0.0,9,291980.0,101169.71377847185,19,21
10332.238238281436,6.073196551577599e-07,0.0,21,39081.0,15431.489733647664,28,23
72360.14621374985,3.5110922824061647e-07,0.002032756805419922,12,268585.0,40919.42647797687,23,23
19679.585326809294,6.1360060442389e-07,0.0,15,75692.0,27651.92531677216,22,19
24093.363097308542,6.888111722397664e-07,0.0,29,67445.0,9303.828867281927,39,31
2596.3556111182857,5.89397826503855e-07,0.010040998458862305,15,13464.0,9132.5,19,16
28762.693825908893,4.21181740255044e-07,0.0,15,97909.0,15975.736738484766,24,21
66785.34727532405,4.6854966874451524e-07,0.0,9,243005.0,75402.54888326128,19,20
8475.13945615329,6.779917711819712e-07,0.008243560791015625,19,34844.0,15548.009187127522,24,21
29467.485350254134,8.316972443117967e-07,0.002020120620727539,11,129029.0,47990.780670018365,19,18
4347.1956746004325,3.439849092194697e-07,0.0,14,27553.0,16985.166666666668,19,15
19321.86487580379,7.557957884069755e-07,0.00802755355834961,13,85025.0,29217.257977825564,20,17
