rmse_I,rmse_Beta,time_predict,day,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
8963.579534610055,1.8891225003031412e-06,0.0,28,10167.0,11349.252840269246,31,42
4481.097662726993,1.0674303504833728e-06,0.0,24,11492.0,9569.0,27,24
10025.761523511272,2.000125110251706e-06,0.0,24,13057.0,13427.658286866135,29,37
14565.138899599428,2.7840008589990985e-06,0.0,22,10242.0,19788.194756958208,25,39
11222.000542568523,2.1508057875990943e-06,0.0,23,10445.0,14581.052664961291,26,38
15686.0401360038,2.893077188684968e-06,0.0,26,13178.0,21103.05126012447,29,41
11126.960112553921,2.1804979544380686e-06,0.00802469253540039,27,11406.0,16013.061306012736,30,42
19087.200414529736,3.5687558498986205e-06,0.0,23,15186.0,29338.21593402105,28,37
7798.670614672103,1.7997146577686615e-06,0.0,23,10430.0,11178.049848795397,28,38
9030.674860189873,1.8031676787819544e-06,0.0,23,11663.0,12001.269004985383,27,37
3549.4614135199304,8.635539964920746e-07,0.0,25,11779.0,9574.833333333334,27,26
15257.668322827994,2.7300638493153054e-06,0.0,18,13293.0,21637.624507404165,22,34
21735.24432562787,3.9430389302802355e-06,0.0,17,15650.0,32177.7144626726,22,31
18365.01280618162,3.2643417087111226e-06,0.0,17,11572.0,26945.321082277864,20,32
10977.978535206074,2.3857195083393217e-06,0.0,19,12504.0,17862.795988910097,24,36
9235.675082941007,1.7235616139640868e-06,0.0,26,14216.0,12764.170708516642,29,33
18499.005563803123,3.2718599823850458e-06,0.0,19,13082.0,26810.948999429063,24,34
11217.097038616517,2.0128419504262705e-06,0.0,18,14199.0,14949.62492622155,22,31
5822.359928756855,1.2343579503447747e-06,0.0,21,14322.0,10641.166666666666,25,23
8283.00925568542,1.6821625687262193e-06,0.0,16,14976.0,11470.649523159447,21,26
5153.826895116276,1.2719964021923662e-06,0.0,15,13464.0,9164.916666666666,19,17
13098.068171516721,2.3951924190238695e-06,0.008051872253417969,16,12459.0,17807.188990758612,19,32
8258.886326781625,1.6447881102024735e-06,0.0,16,12879.0,11245.989735210951,20,27
15639.863590889257,2.6423730843524153e-06,0.0,16,16433.0,21162.919730775062,19,29
18323.88169529715,3.367274937210721e-06,0.0,15,14822.0,27236.74816250646,20,30
18325.01334787106,3.1334671127980807e-06,0.002019643783569336,18,14720.0,25149.869303489595,22,32
19729.07895514888,3.4647218911626303e-06,0.0,16,15382.0,28463.823685703897,21,30
18414.15434268977,3.1549624491845256e-06,0.0,16,13777.0,25938.040600191183,19,30
