rmse_I,rmse_Beta,time_predict,roll_var_npeople,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
2297.4814874075805,4.1448477199138095e-05,0.0035152435302734375,7,29390,35859.3948704082,29,24
1861.239860947958,9.600063649563696e-05,0.003000020980834961,9,29515,35207.74119558375,29,25
1914.2967010899795,7.823056192274786e-05,0.003470182418823242,9,29432,35367.77395284811,29,25
1934.1815841484452,2.8068222524559204e-05,0.003998756408691406,9,29809,35311.068229154545,28,25
1911.0301865073923,0.00013022819010858935,0.003999948501586914,9,29203,35094.229707102924,29,25
2087.9711291630047,0.0002174209270122604,0.004517078399658203,7,29566,35864.27737334204,30,25
1827.520448222813,5.65700236500981e-05,0.002997875213623047,9,29962,35416.69874881624,28,25
2039.6433915330504,2.0275031555133166e-05,0.0029993057250976562,9,29220,35114.41227943895,30,25
1910.0165325827963,5.391787255412611e-05,0.0019996166229248047,9,29481,35200.83735982949,28,25
1842.255838140978,5.166218834241314e-05,0.003002166748046875,9,29831,35307.57112092493,28,25
1914.232110119225,4.044707386814828e-05,0.0029990673065185547,9,29668,35360.798464163585,28,25
1926.3545915837674,1.983336869988973e-05,0.0032715797424316406,9,29787,35331.01876874428,28,25
1926.7604728425542,0.00013026270025990068,0.0040013790130615234,9,29421,35322.173414725105,29,25
1820.4574535669497,0.00012601087406637177,0.002508878707885742,9,29728,35437.2462365792,28,25
1911.592437462291,3.8796477849982645e-05,0.0020034313201904297,9,29682,35338.59516810759,28,25
1911.4627802839068,6.981008905218068e-05,0.002999544143676758,9,29672,35454.443201497124,28,25
1860.087149846016,7.69589627420324e-05,0.003913402557373047,9,29809,35403.44087960356,28,25
1939.1335289702517,3.7176331810244406e-05,0.002998828887939453,9,29859,35410.38727729606,29,25
1884.2106949475228,9.096852739387082e-05,0.003007650375366211,9,29589,35456.764090426135,29,25
1941.062227169236,4.191882310562052e-05,0.003998994827270508,9,29656,35354.23731776044,28,25
1898.7541711964018,3.1053528625252725e-05,0.003996849060058594,9,30142,35445.42234409502,28,25
1985.7299952923015,1.8694300205127488e-05,0.004448890686035156,9,29801,35579.69894542443,27,24
1933.0872396986506,3.5961536683191645e-05,0.0032100677490234375,9,29687,35589.29862725658,27,24
1928.810357147598,3.579797712091629e-05,0.003996610641479492,9,29872,35651.05908381724,27,24
1920.505733082036,3.2874153505731574e-05,0.003012418746948242,9,29906,35488.78772338232,28,24
2014.5224854456358,2.5110572876240103e-05,0.003286600112915039,9,29681,35402.7854620665,28,25
1875.0125006028309,8.113090979195972e-05,0.0030007362365722656,9,29765,35507.39732704773,28,24
1901.9649771545212,4.834810300917606e-05,0.003511190414428711,9,29924,35526.96571034836,28,24
2023.4268745224058,1.7493273796273275e-05,0.003000020980834961,9,29612,35627.07373240702,27,24
