rmse_I,rmse_Beta,time_predict,roll_var_npeople,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
2208.6898318084013,8.595424666282284e-05,0.003998517990112305,7,29390,35646.13555421707,29,25
1815.2711509807361,0.00019706774600892403,0.0030477046966552734,9,29515,35072.22082117132,29,25
1866.1873920119888,0.00016030956490252477,0.0019991397857666016,9,29432,35228.488896810086,29,25
1882.0495450610326,4.4716547558864166e-05,0.0029997825622558594,9,29809,35169.2535193746,28,25
1867.8416626288285,0.00027838819360918074,0.002994060516357422,9,29203,34961.62749113426,29,25
2004.5868352112134,0.0010270731924371494,0.0025081634521484375,7,29566,35653.96208149383,30,25
1773.6074944557893,0.00011386454247915104,0.003201007843017578,9,29962,35263.577302300895,28,25
1992.280694586815,2.854893392611159e-05,0.0025136470794677734,9,29220,34982.92263440368,30,25
1865.3414441334885,9.285952871350272e-05,0.001998424530029297,9,29481,35069.99053115871,28,25
1793.5147052557584,9.291779855385124e-05,0.001999378204345703,9,29831,35168.94448994393,28,25
1875.1288967093976,6.215861331711668e-05,0.0029985904693603516,9,29668,35254.46427315551,28,25
1885.9102137354737,2.6835188824809805e-05,0.0019910335540771484,9,29787,35224.007349462794,28,25
1892.9276301997436,0.00024241914985907427,0.0019989013671875,9,29421,35224.066931801135,29,25
1780.9796779696928,0.00025977083737275495,0.003000497817993164,9,29728,35322.69367416022,28,25
1873.7444894207295,5.8161028872171826e-05,0.0021774768829345703,9,29682,35235.73318165718,28,25
1872.3396919035847,0.00012191541331564254,0.0029959678649902344,9,29672,35347.12128051733,28,25
1824.2856082072483,0.0001305375215959244,0.002996683120727539,9,29809,35303.88216367053,28,25
1902.7445325906892,5.4458125937940516e-05,0.0025162696838378906,9,29859,35311.962239902656,29,25
1848.5012383010337,0.0001603134836053611,0.0029964447021484375,9,29589,35356.56241060502,29,25
1905.6571781586674,6.217182944261232e-05,0.0035102367401123047,9,29656,35257.181870062595,28,25
1868.5363794595148,4.191922709796408e-05,0.0029981136322021484,9,30142,35367.34077786253,28,25
1955.5092706633877,2.368868598095885e-05,0.002086639404296875,9,29801,35493.28461300353,27,24
1901.6175849650817,5.0966511966974694e-05,0.0029973983764648438,9,29687,35495.71787448807,27,24
1897.5086028474414,5.086821951904832e-05,0.002515554428100586,9,29872,35559.004958338526,27,24
1891.3668619673517,4.4688853444198514e-05,0.002000093460083008,9,29906,35402.959394251026,28,24
1986.5862693642573,3.237986756871549e-05,0.002010822296142578,9,29681,35331.1188534124,28,25
1844.5333460518834,0.00013053972364065862,0.0019986629486083984,9,29765,35412.649331911314,28,24
1871.1898673956919,7.102101070938498e-05,0.0025069713592529297,9,29924,35434.393258458505,28,24
1992.3467912321958,2.2262295562488595e-05,0.0020089149475097656,9,29612,35538.453547409445,27,24
1859.2038414523006,0.00016031602811878584,0.0019991397857666016,9,29488,35410.61600172346,27,24
1833.1601621536922,0.00024241534382411808,0.0035140514373779297,9,29564,35396.693231014,28,24
1894.1371662083804,8.6868350686073e-05,0.001999378204345703,9,29596,35492.07873496741,27,24
2131.7410242126452,0.00015935698157291503,0.0029985904693603516,7,29856,36135.84406764537,28,24
1886.3198723670555,4.475563265844834e-05,0.0021505355834960938,9,30072,35678.03477076066,28,24
1912.8471569376977,9.94237650988004e-05,0.0019991397857666016,9,29605,35412.370049472294,28,24
1916.6771008809699,7.593776178347562e-05,0.0035161972045898438,9,29700,35460.90495938581,28,24
1819.2122367805607,9.942949052862701e-05,0.0030074119567871094,9,29901,35567.994000330866,27,24
1871.819190783076,8.673695095449723e-05,0.0019996166229248047,9,29849,35456.24597128209,27,24
1897.256749806118,5.818498636230359e-05,0.003082275390625,9,29760,35534.001948062054,27,24
1829.82196882631,8.68648127748773e-05,0.0019989013671875,9,29940,35471.46786121298,28,24
1894.7490611401543,0.00011387945899648813,0.0025064945220947266,9,29666,35575.81274821475,27,24
1901.5667026082297,5.100370305069482e-05,0.0029964447021484375,9,29892,35626.95862293077,27,24
1994.9848345099524,1.7440800881991936e-05,0.003038167953491211,9,29975,35672.2316261756,27,24
1809.394037907928,0.00018394844371061585,0.0029964447021484375,9,29720,35576.7918236713,28,24
1899.275217398733,5.4454911327663314e-05,0.0019979476928710938,9,30010,35674.87530792717,27,24
2141.4799600818355,2.8281964033795618e-05,0.0020003318786621094,8,29829,36065.77274178498,27,23
1848.4991611260205,5.445617897526622e-05,0.0025055408477783203,9,30037,35744.392134507936,27,24
2055.0471391769643,8.656765741173436e-05,0.002996206283569336,8,29886,35975.90280936133,26,24
1836.1299343736032,0.00010641379108048238,0.0025086402893066406,9,29855,35686.82287877242,28,24
1901.010276573617,9.943341404991928e-05,0.002995729446411133,9,29722,35626.15653904088,27,24
1843.370834845611,0.00011390110245286609,0.002995729446411133,9,29902,35767.10624524906,26,24
1916.2410751617947,8.12167560953753e-05,0.0029997825622558594,9,29542,35675.36479410583,26,24
1872.2188922572273,7.593015360117917e-05,0.0025196075439453125,9,29877,35728.81832949407,26,24
1772.2268388426473,0.00021114169524119396,0.0019991397857666016,9,30030,35735.448224411746,27,24
1915.0140073986659,0.00013053815394132546,0.0025169849395751953,9,29483,35605.57413773693,26,24
1760.082643853887,0.00031973205095173787,0.0022802352905273438,9,29752,35661.77321381595,27,24
1860.2045077391601,4.473296110737405e-05,0.0031304359436035156,9,29896,35739.65108851536,26,24
1828.5227907413293,9.936630011081684e-05,0.0029959678649902344,9,29807,35710.95872846203,27,24
1841.4946928417119,0.00010641136119769813,0.0019996166229248047,9,29883,35772.549096923,27,24
2026.3232023124929,3.454441654860346e-05,0.003086090087890625,9,29676,35685.61911473595,27,24
1404.0803449967977,1.6450283111780527e-05,0.0019991397857666016,9,31905,35899.04269432121,26,24
1531.5474673980266,2.519850105030893e-05,0.0020110607147216797,8,31710,36100.828938559105,26,24
1332.2270764346429,5.100652739880201e-05,0.0035207271575927734,9,32020,35984.41779967171,27,24
1378.0279107853835,6.20006512837207e-05,0.003001689910888672,8,31967,36140.469801060026,27,24
1457.278844105515,3.260088426884414e-05,0.0020775794982910156,8,31910,36205.29860488284,26,23
1417.0250726441118,7.083321012727938e-05,0.0019998550415039062,8,31859,36185.05808855885,27,23
1411.4592767256481,0.0001965573802550183,0.0019996166229248047,8,31852,36036.061040148634,27,24
1360.8085062280115,7.594590283721954e-05,0.0020101070404052734,9,31610,35858.398498996845,27,24
1451.8295612168952,4.181131486525899e-05,0.001998424530029297,8,31961,36188.98956833912,26,23
1300.0821816769135,0.00015989319686990756,0.004580020904541016,8,31949,36173.85615393083,27,23
1355.8383520540172,4.194108182383602e-05,0.0029973983764648438,9,31935,36020.93984597608,26,23
1604.654954095466,9.350601873629558e-05,0.0025064945220947266,7,31700,36542.522053272856,26,23
1379.4025691391203,8.122056578123736e-05,0.0030608177185058594,9,31689,35994.682087906134,26,23
1340.4531348766247,7.594865808766081e-05,0.0029976367950439453,9,31771,35946.91574168552,26,23
1405.4586822017227,8.663575045412591e-05,0.001999378204345703,8,31960,36358.484682518654,26,23
1363.723775877057,9.944031450148133e-05,0.0030088424682617188,9,31844,36121.97408411444,26,23
1329.114148406416,0.0001305466226299962,0.0025148391723632812,9,31749,35971.12552581161,26,23
1416.0460460578272,0.002161507861845537,0.0029990673065185547,7,31859,36545.1062654765,25,23
1423.1269494289797,0.0007859856643102916,0.0029964447021484375,7,31882,36490.66080336405,25,23
1351.1396980063298,4.1940646448340525e-05,0.002505064010620117,9,31961,36109.78216116452,26,23
1360.220401437129,7.595058494919153e-05,0.0020012855529785156,9,31801,36207.883220951786,26,23
1379.4120340015113,5.1006550465124525e-05,0.0025043487548828125,9,31944,36152.06523587754,25,23
1332.7314361190654,0.00013977827835560022,0.003008127212524414,9,31876,36110.68071066159,26,23
1432.7380324418377,2.3703184579405305e-05,0.0019991397857666016,9,31605,36198.06073950362,25,23
1309.2758797797383,0.00017172071809350186,0.0020003318786621094,9,32051,36192.11361574733,26,23
1283.20794435174,6.644983145802698e-05,0.0020051002502441406,9,32192,36212.106646992856,25,23
1401.4117290779047,3.931251020794692e-05,0.0019991397857666016,9,31888,36201.04550474968,26,23
1337.265350325181,0.00011390127686344153,0.00299835205078125,9,31969,36214.73370188596,25,23
1414.500288993826,2.5212467854152956e-05,0.0025167465209960938,9,31706,36098.350791458564,25,23
1445.2898496435928,3.243680737752533e-05,0.0019981861114501953,9,31883,36245.46027166301,26,23
1264.1423480837445,0.00012193168636786568,0.002000093460083008,9,32250,36307.331857031364,25,23
1212.076208148021,0.0006846640952821911,0.0029973983764648438,9,32096,36325.97715108042,26,23
1366.69914123909,3.6871590422565e-05,0.003008604049682617,9,32018,36185.512185845044,25,23
1303.72279751323,6.217895298087718e-05,0.0025174617767333984,9,32518,36353.82191359539,25,23
1314.1776283719519,0.00016031903157608178,0.0020012855529785156,9,32075,36299.30125206026,25,23
1365.4876838534767,2.520956999299864e-05,0.002102375030517578,9,32130,36345.61962889326,25,23
1435.9466949453818,0.00013977951720780158,0.002002239227294922,9,31645,36176.87353851364,26,23
1264.358011667442,8.121919580177491e-05,0.002510547637939453,9,32164,36321.760725470725,25,23
1380.490189779255,2.858098633236953e-05,0.001998424530029297,9,31982,36174.4187152429,26,23
1381.500271822082,4.196960871981839e-05,0.0025081634521484375,9,32063,36257.92428096807,25,23
1438.9110978415092,7.103503444095389e-05,0.002998828887939453,9,31785,36335.53391178117,25,22
1413.262756015779,3.2436356010457794e-05,0.0025179386138916016,9,32238,36438.511961234806,24,22
1339.6570579705124,1.5596083952457285e-05,0.0029959678649902344,9,32194,36384.48663333065,25,22
1433.0662272856046,1.9717855084702295e-05,0.0021598339080810547,9,31935,36341.83283701405,25,22
1268.5404512416221,0.0001839525020493723,0.0029964447021484375,9,32212,36358.660349964375,24,22
1375.449617470779,5.819391635109987e-05,0.003000020980834961,9,31864,36185.48579729806,25,23
1303.042164017839,0.00017172975441446611,0.002126455307006836,9,32066,36316.91162480009,25,23
1464.2589138632009,3.457245315123906e-05,0.001999378204345703,9,31955,36472.976017648114,25,22
1406.9546897493428,2.5318543100622848e-05,0.002000093460083008,9,31969,36311.07105050866,25,23
1409.2909318711816,4.4904152689578824e-05,0.0025141239166259766,9,31863,36318.1557785143,25,23
1397.4288288457938,2.6843182675309816e-05,0.001999378204345703,9,32149,36365.642718035735,25,22
1461.773270447429,1.5511902165229333e-05,0.0019845962524414062,9,32159,36383.057685367945,25,22
1450.2796931144646,3.68627679060222e-05,0.0029981136322021484,9,31669,36382.88393091908,25,22
1375.98033898468,3.243813942308462e-05,0.0019998550415039062,9,32173,36467.085166549325,24,22
1304.852988274298,7.103520994814628e-05,0.002517223358154297,9,32167,36376.72797273122,25,22
1291.0356180624149,7.598108606303429e-05,0.0029981136322021484,9,32189,36482.50917852051,25,22
1342.6726809502075,5.448280878043194e-05,0.0029947757720947266,9,32189,36333.21378791888,25,22
1358.3894557305623,2.3696806971405908e-05,0.0019989013671875,9,32062,36258.22892456616,25,22
1301.2884613765173,0.00010641822954969949,0.002993345260620117,9,31920,36454.108042967804,24,22
1277.3779358572829,9.294518030298643e-05,0.0029959678649902344,9,32385,36456.640958107324,24,22
1228.5235656113503,3.2345220322992045e-05,0.0019998550415039062,8,32869,36733.723269856404,24,22
1140.125689829548,3.919942546188229e-05,0.002504587173461914,8,33353,36825.585619028934,24,22
1074.6045430370516,5.08650872726581e-05,0.001998424530029297,8,33515,36814.594395438704,24,22
1066.277231675744,0.00012160206392634946,0.002997875213623047,8,33420,36777.652081599204,24,22
1147.8967985703316,3.2375576060934795e-05,0.002505779266357422,8,33392,36785.993094004865,25,22
1180.8094353805304,2.3630901771855443e-05,0.0019989013671875,8,33320,36839.48004725452,25,22
1097.4746711610787,0.00012160054315260029,0.0019998550415039062,8,33283,36781.38237997364,24,22
1130.1653862196395,3.4475042361752606e-05,0.0019986629486083984,8,33308,36662.064624045954,24,22
1127.2872641993633,3.453511232814056e-05,0.0021162033081054688,8,33275,36847.056584403996,24,22
1155.5545764812512,5.803025133945161e-05,0.0019986629486083984,8,33056,36681.13361100227,25,22
1106.944604123892,3.4474360805629665e-05,0.0029973983764648438,8,33501,36899.368216716095,24,22
1074.780822327961,0.00025981091816261367,0.0029981136322021484,7,33823,37218.29043459511,23,21
996.1065989266616,4.194257328592785e-05,0.003230571746826172,9,33470,36647.04377105437,24,22
1189.5944386227486,3.0352590318630495e-05,0.001998424530029297,8,33212,36881.16874962249,23,22
1135.1128036584782,3.6754502450847625e-05,0.0019986629486083984,8,33618,36975.771360614744,24,22
1174.4089466189232,3.9202719576628116e-05,0.002000570297241211,8,33359,36907.93677626751,24,22
1199.2993631708794,1.4589386828773612e-05,0.001996755599975586,8,33424,36954.03373235533,25,22
1095.2238857901552,5.086388766839229e-05,0.003019571304321289,8,33349,36955.55988768068,24,22
1197.812488514137,4.462621180576387e-05,0.0019979476928710938,8,33095,36891.893842318656,24,22
1162.1993139791048,2.0898664654699045e-05,0.0031981468200683594,8,33578,36833.248352772964,24,22
1152.4377745812203,1.8501748110365578e-05,0.002518892288208008,8,33430,36921.354840894164,24,22
1172.0135679858395,1.9659447904581713e-05,0.001999378204345703,8,33742,37035.46762933136,24,21
930.1777961830437,0.00019707269696084596,0.0020003318786621094,9,33712,36847.73104937495,24,22
1123.5680659901993,4.182331974104011e-05,0.0019998550415039062,8,33652,37005.01749286197,24,22
1029.4669182071916,5.819812411009604e-05,0.004207134246826172,9,33256,36659.726607535704,23,22
1100.801629070088,4.182737259541897e-05,0.001998424530029297,8,33665,37010.135412267424,24,22
1061.0606926660362,0.00012160081073606043,0.002508878707885742,8,33749,37014.72984593495,24,21
1173.3222832227436,3.448132882421676e-05,0.0029973983764648438,8,33329,36988.95742851744,24,22
1029.043552678055,0.00011390251260438283,0.002000093460083008,9,33225,36806.78604300634,24,22
1147.2276771918876,3.675499432497267e-05,0.0030782222747802734,8,33376,37030.96645623105,23,21
1085.1589511061707,5.102171785067775e-05,0.0029964447021484375,9,33086,36767.82828174099,24,22
1081.1494763895812,0.00022566536960974413,0.002503633499145508,8,33530,37200.345480199976,24,21
1004.2665391090962,4.504372727213543e-05,0.0029990673065185547,9,33709,36842.365360586075,23,22
1004.0558723800127,3.244690548748906e-05,0.0025343894958496094,9,33547,36768.8172852008,23,22
963.3393118086824,2.096032741565116e-05,0.002004861831665039,9,33798,36765.19604240918,23,22
1216.6687290367831,2.222266103221465e-05,0.002997159957885742,8,33406,37043.74385648806,23,21
1060.9425378790365,1.5523508265006658e-05,0.0035126209259033203,9,33726,36811.58246372023,23,22
1183.978426397393,5.1146826887243974e-05,0.0019991397857666016,8,33412,36961.65049591319,24,22
1104.2224389693934,2.089301911859574e-05,0.0019996166229248047,8,33816,37142.03793644701,23,21
1067.4738711802909,2.2369140163154983e-05,0.0020651817321777344,9,33617,36791.26461797456,23,22
1054.237948577536,8.122192514064512e-05,0.002995014190673828,9,33192,36731.233372701565,25,22
1049.8325970344733,1.856559380549946e-05,0.0019996166229248047,9,33807,37053.637092838326,23,21
1004.7611918315655,4.479349613083627e-05,0.0025207996368408203,9,33868,36965.80126760187,23,21
1067.1124363602917,5.8196976623469836e-05,0.002997159957885742,9,33448,36795.9345312484,24,21
1059.9615429974592,3.2460903107365534e-05,0.0020020008087158203,9,33326,36805.25395274691,23,21
1024.2824565965213,2.0965970230859775e-05,0.0025033950805664062,9,33667,36904.01902766824,23,21
1067.034054548504,2.8583239265571864e-05,0.002999544143676758,9,33528,36929.2543760658,23,21
966.9166865294264,1.4647463887510502e-05,0.0020034313201904297,9,34076,36974.71103216716,23,21
1119.6675173043727,0.00013032345922195244,0.0020003318786621094,8,33427,37131.15918383455,24,21
925.90175555348,0.000149689553026152,0.0025022029876708984,9,33792,36946.45131692243,24,21
1050.7463811622947,5.1019486225105406e-05,0.0020003318786621094,9,33634,37129.234201637846,23,21
1045.291043099061,5.448358660214388e-05,0.0025072097778320312,9,33767,37078.03107941347,22,21
1032.2973193879695,3.0449317449880692e-05,0.0019998550415039062,9,33628,36980.66676106434,23,21
1029.349046115312,2.370740085537568e-05,0.0020105838775634766,9,33935,37125.29948034441,23,21
1186.3243769991657,6.463022251324616e-05,0.0029981136322021484,7,33731,37480.68308902487,23,21
1101.0957040715812,1.9724122332781674e-05,0.002501249313354492,9,33492,36928.252688929104,24,21
975.6655740035061,8.124056785953113e-05,0.0024404525756835938,9,33655,37019.68555083624,23,21
1015.6943419050467,3.947513577182238e-05,0.0020051002502441406,9,33723,36954.372434638,23,21
1011.0475676116442,2.2292194202039496e-05,0.0025048255920410156,9,33711,37043.15524964145,22,21
1018.1656704291144,3.6867654325023415e-05,0.003005504608154297,9,33718,37058.80119116309,24,21
920.7884241480876,2.514111982493824e-05,0.0019996166229248047,8,34238,37234.07924921571,23,21
851.1097213220021,6.634660344333918e-05,0.0020101070404052734,8,34521,37274.451022051624,23,21
903.2860115788786,4.463903238679028e-05,0.0029990673065185547,8,34401,37146.09984629121,24,21
862.2976735428563,4.764905301234646e-05,0.002004384994506836,8,34676,37282.8197220162,23,21
832.9262263426218,2.85012615820456e-05,0.003000020980834961,8,34829,37366.59323469687,23,21
903.4735739200421,1.7451163762822082e-05,0.0025053024291992188,8,34625,37246.91228367976,23,21
929.203388393497,4.4630586621256425e-05,0.002003192901611328,8,34167,37205.92502550284,23,21
896.4267706421588,2.3644468250331575e-05,0.002000570297241211,8,34609,37358.20604371779,23,21
947.383192264713,3.754586601713782e-05,0.0025026798248291016,8,34338,37228.92395197098,24,21
835.9208528354674,0.0001712704031057016,0.0025115013122558594,8,34379,37263.019210155755,23,21
970.1932532241749,1.3658576290797738e-05,0.003000497817993164,8,34248,37298.62286564436,22,21
829.9885278642716,3.2345032056213596e-05,0.003511190414428711,8,34841,37392.51383145289,23,21
802.1035996287214,0.00036635830885412105,0.003001689910888672,8,34662,37360.0529097086,23,21
889.9101729719264,0.00011420532946764965,0.003010988235473633,7,34673,37553.22908223818,22,21
799.3987390784463,0.00012160104246156817,0.003512144088745117,8,34751,37400.40105013555,24,21
949.7151366640333,2.5515841567548947e-05,0.0020003318786621094,8,34430,37395.932129175155,23,21
837.6327521388937,3.235126951072739e-05,0.0025026798248291016,8,34727,37406.73563347955,23,21
873.0549138822137,7.08901200934038e-05,0.003000974655151367,8,34562,37449.83515183432,23,21
875.3101962711025,2.67650740306071e-05,0.0025072097778320312,8,34658,37357.11676444932,23,21
797.995684373698,8.673665425781617e-05,0.003011941909790039,8,34694,37386.608179646406,23,21
972.074464962846,1.0983404809316228e-05,0.0019996166229248047,8,34526,37534.79980030612,22,21
900.4405567348352,1.643006606276483e-05,0.0019998550415039062,8,34605,37543.514830414315,22,20
876.8033032736305,2.531047687341404e-05,0.00200653076171875,8,34689,37494.258189580854,22,21
803.1611537427372,0.00017126987991589816,0.002505779266357422,8,34736,37500.83811662448,22,21
859.8000081774738,4.768083211039146e-05,0.0030002593994140625,8,34902,37495.484274063914,23,21
866.2993780550181,4.465628626891705e-05,0.002998828887939453,8,34912,37473.153258912374,22,21
825.7707552266464,0.00011359700697050076,0.0019996166229248047,8,34935,37499.557188170154,23,21
880.7029261801713,3.0369298363322123e-05,0.0025072097778320312,8,34678,37479.06768781235,23,21
878.8748717451442,5.4342092766077686e-05,0.0029993057250976562,8,34884,37523.3722933623,22,21
924.3736124139618,0.00012166052922463517,0.002504110336303711,8,34278,37401.893034884524,23,21
885.4865083540234,3.0520928711025413e-05,0.0030024051666259766,8,34760,37598.596066882164,23,20
715.2313917994347,0.0001394138328876905,0.002997875213623047,8,35205,37472.056616154594,22,21
881.2826553986274,1.8637306726617085e-05,0.0030095577239990234,8,34846,37620.16429011078,22,20
903.4132655357507,5.80308298345371e-05,0.0029993057250976562,8,34562,37566.45024223546,23,20
840.8257645665374,6.659739296063232e-05,0.0015070438385009766,8,35064,37668.09885082442,22,20
928.6707011150784,3.0412080458656596e-05,0.0019998550415039062,8,34566,37572.57992798315,22,20
780.5884555435572,0.00014969171632469666,0.002000093460083008,9,34769,37322.40495031144,22,21
950.269629953428,3.245050457913077e-05,0.0015070438385009766,8,34528,37530.03371218106,23,20
888.3376332812758,4.7641220721222556e-05,0.0019989013671875,8,34962,37668.14684442756,22,20
900.0029065754684,3.238449880199214e-05,0.0030002593994140625,8,34795,37558.83155930438,22,20
812.0161359881766,6.218236520819955e-05,0.002505779266357422,9,34600,37439.029383026005,22,20
809.0151506791959,3.052449967054003e-05,0.0020034313201904297,9,34759,37395.69853983409,22,20
827.1244434335542,2.5235010349476126e-05,0.0019996166229248047,9,34702,37317.679714844904,22,21
792.1412506249178,0.00029834897147254405,0.0025022029876708984,9,34414,37412.00612367271,22,20
733.9912288666047,4.195103151581742e-05,0.0025157928466796875,9,34922,37428.45237868858,22,20
750.2581016395837,5.448380232840751e-05,0.0019996166229248047,9,34808,37298.4228944441,23,21
892.582540098285,6.2003525541674e-05,0.0020003318786621094,8,34586,37636.45399224583,22,20
878.3314837558023,5.8030349125417905e-05,0.0025026798248291016,8,34525,37553.10366640751,22,20
890.5658024304778,1.5498351346185252e-05,0.0030045509338378906,8,35043,37624.649053438305,22,20
824.5845643132699,1.8718898529689098e-05,0.0019991397857666016,9,34743,37354.303036739206,22,20
854.2991613003347,1.3810395634314889e-05,0.0020046234130859375,9,34711,37384.937033009846,21,20
846.6076150697521,2.5398877769853743e-05,0.002001047134399414,9,34747,37400.19078259647,22,20
972.6821014532135,4.269271936138008e-05,0.0035076141357421875,7,34994,37957.03473485282,21,20
761.054951977825,0.0001064199973855837,0.0030002593994140625,9,34691,37398.44231388976,22,20
784.5677509497743,8.12265430202946e-05,0.0029997825622558594,9,34786,37493.1279914893,22,20
799.3369338160377,4.778365076575768e-05,0.002003908157348633,9,34895,37433.25597432762,22,20
733.0411050295347,0.0001717252225196921,0.00200653076171875,9,34626,37390.962115881775,22,20
