rmse_I,rmse_Beta,time_predict,roll_var_npeople,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
3896.2554052057935,1.5808747804584578e-06,0.014187335968017578,7,16581,21776.625814249022,82,65
3761.9263252706733,1.778747339169698e-06,0.003000974655151367,7,16679,21821.51046958513,82,65
3815.355001887816,9.92705534955606e-07,0.003004789352416992,7,16543,21822.919885702537,82,65
3821.2085413095515,1.7759935744733229e-06,0.0030825138092041016,7,16634,21693.72848573817,83,65
3920.1295782494753,1.5161577462866296e-06,0.0035278797149658203,7,16588,21863.845002654794,82,64
3824.9189156907796,1.3836661300658963e-06,0.00299835205078125,7,16412,21835.32137837874,81,64
3661.2820080273777,1.5430378349601763e-06,0.0030472278594970703,7,16689,21908.526241704254,81,64
3657.668553042779,1.15261010317598e-06,0.0030040740966796875,7,16452,21847.285542969712,81,64
3983.3691959428124,1.6326300183886294e-06,0.003250598907470703,7,16857,21657.65830911998,85,65
3821.954879534192,1.0038193637542215e-06,0.003503561019897461,7,16727,21820.220748561434,81,65
3926.8388814583673,1.257339927987169e-06,0.0030679702758789062,7,16388,22126.705324136215,83,63
3788.327941630295,2.392846687866272e-06,0.0039899349212646484,7,16392,22211.768102224334,81,62
3683.7636222772744,1.7407359835938481e-06,0.002999544143676758,7,16533,22161.8203173218,76,63
3855.951659981854,1.3671357881881053e-06,0.003442049026489258,7,16759,22110.466791216975,80,63
3798.212821893075,1.1830401285756796e-06,0.003119230270385742,7,16670,22099.95411209129,80,63
3674.741869230683,1.6285039570204736e-06,0.003082275390625,7,16649,22055.225240370593,80,63
3661.6894088828753,1.3253837912967557e-06,0.0029997825622558594,7,16564,22049.10936968054,78,63
3774.243829308873,2.1458486851737334e-06,0.0029807090759277344,7,16423,22043.822975622646,82,63
3730.531585853258,1.4667525411107286e-06,0.0032951831817626953,7,16608,22165.43583275689,80,63
3896.883269666107,1.3898990543824243e-06,0.004005908966064453,7,16576,22154.641540630397,80,63
3826.909103631619,1.0175157229579632e-06,0.0031304359436035156,7,16226,22360.24551115968,80,61
3932.6361551915033,1.537904292129515e-06,0.0030014514923095703,7,16328,22404.225300845854,80,61
3677.260337256809,1.8468197879792272e-06,0.002522706985473633,7,16530,22403.74501029246,78,61
3758.842463095947,1.7791625915876492e-06,0.002507925033569336,7,16351,22348.54771521111,78,62
3692.302627234713,1.692980583893022e-06,0.0031290054321289062,7,16464,22465.909720771393,76,61
3860.995980079904,1.704772842183265e-06,0.0029854774475097656,7,16644,22371.55445730296,80,61
3671.617692959603,1.3143675535598483e-06,0.003063678741455078,7,16552,22471.68742586215,75,61
3801.8539981902723,1.7205770613307933e-06,0.0025482177734375,7,16506,22457.0246956422,77,61
3517.465521519282,8.522850952610097e-07,0.0032973289489746094,7,16703,22491.378964624782,77,61
3636.4579491138716,1.6612275292925166e-06,0.0029981136322021484,7,16562,22453.906302221327,76,61
3561.7062140468606,1.0736375486508741e-06,0.004864931106567383,7,16692,22700.70710188828,76,59
3619.015729152753,1.284442847452841e-06,0.0035316944122314453,7,16592,22673.431324018893,76,60
3543.7415938145914,1.275799720265136e-06,0.004513263702392578,7,16945,22592.43250692081,75,60
3864.531564956831,1.3257850388287354e-06,0.004024982452392578,7,16470,22622.112580874043,80,60
3728.884689107096,1.6416668148601871e-06,0.003999948501586914,7,16372,22640.68780965004,75,60
3566.9374257265113,1.2964806831717619e-06,0.003027677536010742,7,16499,22574.055781683775,76,60
3785.6458504382217,1.5702432842427144e-06,0.0039975643157958984,7,16425,22724.405353335023,77,59
3631.0719381359095,2.1856452088923754e-06,0.002996683120727539,7,16803,22669.113057818297,77,60
3833.8049261934443,2.7041581584335016e-06,0.0029969215393066406,7,16596,22747.592552230228,77,59
3557.12404282861,1.92733989057242e-06,0.0035178661346435547,7,16793,22711.382002175756,75,59
3675.4058122126867,9.330024421577108e-07,0.0029985904693603516,7,16635,22734.19070928577,76,59
3829.661126635359,1.3726032147138218e-06,0.0037641525268554688,7,16610,22960.979976917428,73,58
3498.0694758524496,1.119876698534138e-06,0.003505706787109375,7,16986,22869.58601146172,73,58
3697.9685605236973,1.1592095192400629e-06,0.004509925842285156,7,16753,22893.030847742626,75,58
3707.021189288184,4.385380755917427e-06,0.0040204524993896484,7,16949,22854.62316318392,75,58
3395.2947714340703,9.99792526553277e-07,0.004014730453491211,7,16543,22841.119388023497,75,58
3519.905393844024,1.3929648574987996e-06,0.0030002593994140625,7,16787,22835.072149961674,75,59
3529.800753211047,2.414522582415538e-06,0.003545999526977539,7,16915,22849.605249063377,73,58
3803.4326446525497,1.4677667801594026e-06,0.0030171871185302734,7,16409,22870.702019160242,76,58
3600.4436017041776,1.5925605676637246e-06,0.0031223297119140625,7,16569,22882.169691952546,73,58
3543.1640294188246,2.1428054371923592e-06,0.0030002593994140625,7,17000,23134.774812055464,72,57
3650.427011240814,1.436998189002444e-06,0.0030744075775146484,7,16645,23025.52972949719,74,57
3594.7348376252926,1.7231651612274985e-06,0.0029959678649902344,7,16766,23042.093021488905,74,57
3679.3501483288806,2.08482830375709e-06,0.0029990673065185547,7,16600,23068.603106857132,73,57
3498.0223130211652,1.71272887341361e-06,0.0035147666931152344,7,16761,23119.502809567635,71,57
3601.5171228235763,1.8089237807853453e-06,0.0034186840057373047,7,16988,23032.04507228341,72,57
3423.9620997746492,9.893968505396928e-07,0.0030188560485839844,7,16780,22978.60649412088,74,58
3544.1598457602176,1.495291355901014e-06,0.002484560012817383,7,16589,22972.59628805565,73,58
3620.7750234898012,1.4917882430863083e-06,0.0029973983764648438,7,16822,23013.89016052852,71,57
3622.3447882835344,1.3544128789995978e-06,0.002997159957885742,7,16896,23096.772860781202,73,57
1634.4706697789964,1.6934125741198647e-06,0.0035092830657958984,7,20161,22146.101255802958,70,63
1748.9709255416153,2.418229873853443e-06,0.0036170482635498047,7,20132,22160.180490774612,72,63
1516.3591707943347,1.7624295444759422e-06,0.0035097599029541016,7,20296,22067.02758752242,69,63
1666.2058497990834,1.4503209039430653e-06,0.0039937496185302734,7,20137,22165.475596754128,69,63
1690.6950984163766,9.32512455133024e-07,0.0029964447021484375,7,20196,22061.476681207132,72,63
1703.9118767276598,1.9462393056810978e-06,0.004050731658935547,7,20061,22110.90833179709,71,63
1750.611016067801,1.1821475167443115e-05,0.0030052661895751953,7,19932,22049.38036768831,70,63
1837.8862703430555,4.4105183751779775e-06,0.0030450820922851562,7,19679,22148.714862127898,71,63
1676.3882190516067,2.3065513446316526e-06,0.0035715103149414062,7,20053,22153.730681004785,71,63
1644.035642554587,3.433616757175432e-06,0.0032706260681152344,7,20138,22228.547388883024,71,62
1860.9365872898413,2.405233675103368e-06,0.0031099319458007812,7,19785,22454.92182149522,70,61
