rmse_I,rmse_Beta,time_predict,roll_var_npeople,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
207.6092409792568,0.001334374823302574,0.0035064220428466797,16,1676,1931.3502322751679,80,70
153.01219154010442,0.004311472070172616,0.004000663757324219,20,1762,1850.6812275946606,83,75
228.31708552744303,0.004136226701715092,0.003504514694213867,17,1689,1920.9070124302675,84,71
140.89300569737057,0.004570389654466289,0.0029997825622558594,19,1807,1852.2029878535725,80,75
249.45202599361852,0.002947126743632408,0.0039997100830078125,17,1595,1932.7366213121488,82,71
241.7428944448901,0.0039538798409347545,0.004006385803222656,20,1517,1851.936957320464,91,74
239.71708348648804,0.00452869863444069,0.003998756408691406,18,1575,1883.5846672305897,84,73
229.80236601643273,0.0036165656069653664,0.0035119056701660156,19,1651,1899.1038354640984,85,72
157.0027095171788,0.0039982943023628564,0.003991842269897461,19,1639,1886.1720849784747,80,73
186.33102248987004,0.0019540264692375076,0.003508329391479492,19,1734,1857.243055971118,83,75
207.6676247537571,0.00018471310981873769,0.003999948501586914,17,1755,1925.4202606209615,81,70
237.21582481744872,0.003808471768508516,0.003504514694213867,18,1644,1901.2198019576506,84,72
237.13602251990343,0.0005581233951321909,0.0039997100830078125,12,1731,2022.4811317757274,77,65
204.30099567261897,0.0038444297455146347,0.003141164779663086,16,1751,1935.3659944198637,81,70
253.4777888904017,0.002575403093606543,0.004001140594482422,12,1620,2028.1230443723305,74,65
214.89596332559864,0.0016176396726802482,0.004001140594482422,15,1703,1965.8124681381819,78,68
296.06638407406797,0.003385147522856062,0.004006385803222656,14,1719,1974.588303120642,78,68
213.85474616258327,0.004084198731115644,0.004012584686279297,17,1643,1916.7044500788957,82,71
210.75708348689943,0.00027298860045920547,0.004521608352661133,17,1695,1941.3227270817615,82,70
200.35433588209827,0.004283622436409028,0.003512144088745117,17,1627,1918.839517388369,82,71
226.10467257959863,0.00013237234065192213,0.0045015811920166016,15,1605,2012.3998915651177,73,65
225.7752904509882,0.003404722312122408,0.003999233245849609,13,1717,1975.934161511944,82,67
260.8869159852907,0.0006002110336095751,0.002999544143676758,12,1615,2038.4078642884106,75,64
285.5172710274545,0.0030505744184383464,0.003997087478637695,12,1740,2029.8266904851857,77,65
243.74824904553319,0.0013767434935058286,0.0040051937103271484,14,1567,1983.7861273884141,80,67
272.73005100466526,0.0002478768203807622,0.005011558532714844,13,1710,1993.655434445213,82,66
171.15113268270915,0.0006140490631586803,0.004004478454589844,15,1652,1974.1863474537095,72,68
292.87084663106384,0.0001225608264726344,0.004008769989013672,13,1679,2039.965073791084,78,64
273.5593106415213,0.0026399500474401315,0.00399470329284668,11,1702,2048.905960308368,77,64
286.4766922718217,0.00022290177328739341,0.005006313323974609,11,1672,2056.697219668918,81,64
267.4669585339555,0.003175736155343958,0.004015445709228516,12,1632,2017.8489292770487,79,65
256.9997745706996,0.0006554638115540582,0.0035097599029541016,9,1663,2075.285472868637,71,62
316.32687113899505,0.00019389267098577335,0.002999544143676758,9,1656,2074.463888705787,75,62
233.703596352022,0.0012827974920082484,0.003513336181640625,13,1613,1994.6058727737882,81,66
268.7171548838088,0.0015603604348936025,0.004001140594482422,10,1671,2061.788486125561,74,63
234.4706212540345,0.003290843335351196,0.004003286361694336,13,1759,1988.2313940036372,77,67
302.723185297102,0.0008945600971944834,0.0030226707458496094,12,1676,2030.558767379896,79,64
269.5678179395589,0.0015156005427526126,0.0039980411529541016,13,1678,2003.4915013706088,78,66
281.34738680027505,0.00027245092829200943,0.0040128231048583984,11,1678,2053.9771288406287,74,63
240.23772251298018,0.002785993454622501,0.0029993057250976562,10,1709,2071.4272313970546,72,62
234.37835145929114,0.00014218129313056871,0.004008293151855469,14,1737,2049.251471710004,72,63
266.54033277738415,0.0025497354220169483,0.003509521484375,10,1692,2087.3252495712713,76,61
279.8114754949076,0.002309933081472601,0.0039975643157958984,8,1676,2095.317873683689,74,61
245.63521955916576,0.00042690115200216236,0.003511190414428711,10,1710,2062.623130132495,75,62
307.8592641147049,9.154365307390812e-05,0.003997087478637695,8,1691,2118.6287535412675,76,60
281.0752673754071,0.0012423890426691163,0.003007173538208008,8,1649,2098.7090653018554,72,61
273.5377950439078,0.0013353656944534848,0.0045166015625,12,1779,2023.6616863809932,76,65
291.7404237813048,0.00014805816600243845,0.0030002593994140625,8,1720,2111.655869316665,71,60
265.63161695652786,0.00019776756982566303,0.003997325897216797,7,1771,2140.4659600305404,73,59
226.38965496857662,0.0015799806951437602,0.004041433334350586,8,1717,2081.863688033904,71,61
283.8256239187535,0.000457200820828288,0.003998756408691406,7,1651,2119.7119405260937,73,59
272.55266186919295,0.0023914699953266182,0.004010677337646484,7,1715,2128.536203416137,73,59
296.34435437574194,0.0004527290920081721,0.0045070648193359375,7,1622,2136.022220322488,68,59
313.22680338937585,0.000617667252847457,0.003503561019897461,7,1680,2126.457297441879,72,59
316.22569633201164,0.00012609823954821655,0.003004789352416992,7,1624,2113.0545459937416,76,60
312.9982066378195,0.00017360048269058167,0.002999544143676758,7,1663,2124.8575237449077,71,59
303.491849648581,0.00028014236840365707,0.0040035247802734375,7,1641,2091.4494732735675,73,61
315.5076376702845,0.002628343417554192,0.0045011043548583984,7,1717,2091.949158145585,73,61
259.2585834240398,0.0002734236218722579,0.0030045509338378906,7,1685,2120.4550209710683,74,59
318.36733987300613,0.0012690456535917605,0.0035066604614257812,7,1627,2142.4003907429865,77,58
82.19206526479148,0.000659585853276034,0.004014015197753906,15,1951,1964.9258444716904,73,69
57.34208535829462,0.0003389546459356949,0.00451350212097168,14,2033,2018.2504414757154,73,66
103.00509321240361,0.00023047401419790011,0.0039980411529541016,16,2068,2007.7630458362876,69,67
25.99320658133848,6.970562938182617e-05,0.003999233245849609,15,2033,2007.9087299364032,66,67
97.14678148915267,5.355968983018248e-05,0.004518747329711914,16,1999,1973.9000190697377,76,68
33.90272814735365,7.015839799767353e-05,0.003999948501586914,15,2037,2003.4974523305218,66,67
40.97147951705863,0.00021558548365425233,0.0039958953857421875,17,1961,1973.7913368240443,70,69
31.46902713999176,8.203835970172768e-05,0.0035016536712646484,12,2129,2060.9080714442425,66,64
70.4940630399242,4.28430869412508e-05,0.004008293151855469,13,2147,2058.506600567458,69,64
84.0924975819171,0.00016177413724869505,0.003997802734375,13,2005,2047.6746142593722,67,65
79.05523320744882,0.00046829852724643257,0.003510713577270508,13,1976,2014.0631819970592,72,66
96.87523259661398,0.002086193020408388,0.002999544143676758,12,2109,2051.483308095625,68,64
105.80455756657706,7.499245292074722e-05,0.0039980411529541016,11,2040,2108.2415333391914,67,61
80.71257560993062,5.80015206407599e-05,0.0030045509338378906,13,2025,2028.985774972083,70,65
95.84422214877571,2.778854364892079e-05,0.002999544143676758,11,2030,2099.085324252484,67,62
103.28790533603726,7.684137945713522e-05,0.003010272979736328,13,2013,2050.3459889270807,70,64
44.225797695655636,6.20808878756681e-05,0.0029993057250976562,22,2072,1950.8636377652906,67,69
60.62352381762489,0.0023958555856498785,0.003004312515258789,14,2003,2009.1727773387927,69,66
47.476972232171285,0.0007593227793251736,0.003504037857055664,13,2099,2041.6268655714093,66,65
63.358703353051965,3.1398031408616905e-05,0.004513263702392578,11,2084,2078.3772132586405,66,62
41.39008921027785,9.812142501874637e-05,0.0035104751586914062,14,1999,2005.2364494539243,67,66
51.89995697818213,0.0005042499407561541,0.0030002593994140625,12,2000,2064.275795769004,64,63
95.40429302571899,7.954549351979813e-05,0.0040090084075927734,12,2074,2044.6219029761774,72,64
93.68509515854092,0.00010771125776138854,0.0039975643157958984,11,2005,2075.597591382257,65,63
64.47294509148946,4.00947477818914e-05,0.003004312515258789,11,2084,2090.274567319828,66,62
105.59489231897268,0.00012239484224402393,0.0039975643157958984,12,1983,2060.203187497109,67,63
126.13087422277977,3.7157497894786574e-05,0.003010988235473633,12,2000,2036.3230612494453,74,64
95.59176522339196,0.0001473825044484236,0.0039980411529541016,10,1993,2109.8705552025053,66,61
26.945034381178722,0.0002131846828731754,0.0035109519958496094,13,2116,2035.264193208639,67,65
90.9679054895597,3.8785108431259647e-05,0.003998756408691406,8,2021,2145.2710653121394,64,59
116.76019834216834,7.949983461535649e-05,0.003520488739013672,10,1977,2088.31293960597,67,62
66.04040365529876,0.000130446165818372,0.003999471664428711,8,2053,2110.4200099955974,64,60
88.57772444676972,7.389825074550157e-05,0.002505064010620117,9,2039,2109.877368491004,63,60
87.53183395014683,0.00022246507530532784,0.004003047943115234,10,2009,2102.4474136617614,66,61
112.70629708659465,8.080610016971908e-05,0.003503084182739258,8,2005,2140.562188363182,64,59
111.83775540401464,0.00012271252621952352,0.0030083656311035156,10,2032,2113.8067893761654,66,60
158.53511124817248,0.00027814902749268944,0.004524707794189453,8,1953,2143.2066079129704,67,59
121.75251270242535,7.670699861967181e-05,0.0039958953857421875,9,2004,2128.3140745603905,67,59
122.49610344238683,0.00011431426498681566,0.003991842269897461,9,2006,2130.5717761817964,64,59
98.3346595607811,0.002044236116798455,0.004004955291748047,9,2057,2134.3727577513196,62,59
165.61344449793881,0.00016798952716099583,0.003996849060058594,10,1869,2087.7427669649037,68,61
117.10750895542866,4.1701261786843816e-05,0.004006147384643555,7,2022,2165.8967868269274,64,57
127.09777696289778,7.342052695096504e-05,0.00299835205078125,7,2008,2167.364123402607,61,57
62.25336928531899,0.00014928234886963778,0.0031664371490478516,9,2034,2116.1400650900173,62,60
159.35091596965074,0.00010033301475700806,0.002999544143676758,7,1999,2183.9777485854315,64,57
113.91837487345651,2.9530546885522254e-05,0.003094911575317383,7,1964,2170.9663714251706,59,57
126.40098697350491,9.072149020213438e-05,0.0029976367950439453,8,2034,2149.1232289739382,63,58
122.80187430822599,0.00058959145844091,0.003514528274536133,7,1980,2156.5947020588346,63,58
104.66735993935092,0.0018860680278017898,0.003995418548583984,7,2017,2173.9147467659877,60,57
105.70145311340384,0.00011420565535717593,0.0035161972045898438,7,2066,2151.6015367420136,61,58
100.84974731673363,4.9430432247891295e-05,0.002997159957885742,7,2022,2196.5618461321146,61,56
109.61677164811924,0.0003091609860987266,0.0029985904693603516,7,1932,2178.201477799248,59,56
94.2410060317147,4.287054685836608e-05,0.003515958786010742,7,2082,2163.8908469402486,59,57
147.8769215631114,5.341860658819844e-05,0.0035152435302734375,7,1964,2165.0310635102333,64,57
68.99093765757463,5.3148884762138506e-05,0.003999948501586914,7,2076,2144.5855598799676,61,58
124.76626421524152,6.255218409513536e-05,0.0029931068420410156,7,1981,2169.5888211379015,61,57
111.8270435340595,0.00011751158409754243,0.004055023193359375,7,2002,2166.3690618016535,62,57
159.77691022810131,0.0015212666912404558,0.0029990673065185547,7,2057,2178.071957209597,65,57
133.02202060555805,4.512505175705188e-05,0.0035114288330078125,7,1933,2193.115741038238,61,56
110.24571523083027,0.00018974013420102248,0.0035142898559570312,7,1991,2178.4088871011645,60,57
78.39449764773929,0.00013064495458125225,0.0029990673065185547,13,2286,2059.184777530191,65,64
63.93536688056661,6.599005256164161e-05,0.0031936168670654297,12,2288,2089.0070503943616,61,63
131.18009428450804,0.00011290061253283307,0.003998517990112305,16,2287,2004.4018434190805,65,67
73.77596175573494,2.446042799052758e-05,0.004527091979980469,13,2252,2094.759243193895,62,62
110.29949363940594,2.992315941241512e-05,0.002999544143676758,12,2307,2108.681608300334,58,62
76.55678760124175,5.036233308031833e-05,0.0032749176025390625,13,2259,2061.0948652748843,64,64
110.51499214511249,0.0001553945540723861,0.0039958953857421875,13,2298,2039.433023051665,64,65
78.07984118127366,2.8350365556549713e-05,0.0031232833862304688,11,2241,2109.4102688455537,63,62
122.71073607047236,4.488500734816915e-05,0.003996849060058594,13,2403,2076.565671777493,61,63
64.0483620931291,1.888443082367879e-05,0.003103494644165039,12,2282,2113.3724413162417,61,61
122.38466755672746,0.0002670537719006538,0.0029981136322021484,10,2322,2114.1315896653687,58,61
73.4925805249033,2.9831516901317023e-05,0.003529787063598633,10,2254,2101.3606724191627,58,62
69.54137725952337,4.183425264865531e-05,0.003998517990112305,12,2320,2105.271123499825,61,61
69.53329697010999,2.4263241950264e-05,0.004008054733276367,9,2313,2156.3190085485426,57,59
61.995974733523894,6.954574924707753e-05,0.0031054019927978516,10,2340,2141.6047199732293,59,60
79.18804169115309,4.029863227231125e-05,0.002997875213623047,10,2339,2120.960461839231,60,60
34.54268743552442,9.30776418980018e-05,0.0039958953857421875,11,2223,2118.0359305621555,61,61
95.61568681787274,3.3468882392789884e-05,0.003503561019897461,8,2312,2156.914645948491,55,59
90.68862592270926,5.545197452913257e-05,0.004009723663330078,11,2315,2107.104821252102,61,61
70.10752244238164,3.440791095576365e-05,0.0029993057250976562,10,2246,2112.3242834416205,59,61
58.2291304223901,0.00010799291563525897,0.0030105113983154297,10,2298,2134.6298289721008,59,60
40.15179515052227,7.358790172314017e-05,0.003997087478637695,12,2186,2081.702294872044,61,62
34.34533381736733,3.388635312175772e-05,0.0035135746002197266,8,2237,2172.4825734857995,57,58
28.42003981204243,2.7253915748067523e-05,0.0029990673065185547,10,2229,2165.9022529435906,55,58
36.24909554718754,6.664379158399599e-05,0.0035092830657958984,9,2304,2162.20624492357,59,58
81.84265120344207,6.636078954407897e-05,0.0030002593994140625,9,2303,2150.283538102785,57,59
31.48300934748798,6.450761907054844e-05,0.0035037994384765625,9,2205,2132.5142909466745,60,60
38.843657720011386,2.8079622647091774e-05,0.004006385803222656,7,2306,2189.537657764455,55,57
55.31475306453716,7.082275457676526e-05,0.0035142898559570312,12,2266,2105.950765228246,65,61
58.17000537443026,6.746831554537138e-05,0.003997802734375,8,2276,2151.678397855257,55,59
61.29768195026126,3.271268267219321e-05,0.004004001617431641,9,2300,2136.210572446517,59,59
66.18169835809019,3.7843805328138665e-05,0.0025110244750976562,8,2307,2161.981652546761,58,58
74.54269294940472,2.9032786089342958e-05,0.0029993057250976562,8,2245,2170.111303909318,55,57
42.93786449735967,2.4471697332124976e-05,0.0035016536712646484,8,2233,2188.0906023085718,59,56
34.63392793738386,5.445191662288023e-05,0.0030045509338378906,7,2316,2177.6708648984627,58,57
53.23042981821509,4.4822992193346884e-05,0.003503561019897461,9,2211,2162.723768826335,56,58
47.14446894105545,2.588340131549231e-05,0.0030040740966796875,7,2279,2182.8656725840747,56,57
38.96713588283318,3.135212380889962e-05,0.003999233245849609,7,2226,2158.872374092704,56,58
28.446919658572057,7.786903938168872e-05,0.0030107498168945312,7,2263,2203.19449288076,54,56
51.38438293678108,3.138300936290631e-05,0.002999544143676758,10,2253,2131.9562252821147,57,59
76.10386328918032,2.2318292048340117e-05,0.004516124725341797,8,2282,2154.57995102681,58,58
33.48944669464591,3.9279336645402826e-05,0.0029997825622558594,7,2301,2207.040252791332,55,55
16.20814130586278,3.0858724700852315e-05,0.0035147666931152344,7,2247,2193.217706220899,57,56
101.24488094273936,4.548056750067811e-05,0.0029985904693603516,7,2326,2178.6523848336724,53,57
75.83953798285486,2.4227080360700367e-05,0.0025162696838378906,7,2356,2193.2337775727833,54,56
73.48763783887085,5.8548886324709524e-05,0.00399470329284668,9,2286,2111.5035789538397,59,60
23.26391249473069,3.0871886633788256e-05,0.003598451614379883,7,2238,2195.3303025603373,57,56
79.22827838105343,4.942318910892008e-05,0.003505706787109375,7,2324,2179.346858483109,56,57
